,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000309,0.00000365,0.00000306,0.00000335,91494763.00000000,2019-05-24 08:59:59.999,303.62773813,11280,43093002.00000000,143.58800437,0
1,2019-05-24 09:00:00.000,0.00000334,0.00000338,0.00000292,0.00000298,55732561.00000000,2019-05-25 08:59:59.999,175.13962897,6249,22038545.00000000,69.25223499,0
2,2019-05-25 09:00:00.000,0.00000297,0.00000301,0.00000278,0.00000280,20254105.00000000,2019-05-26 08:59:59.999,58.14518514,2892,9013217.00000000,25.89979584,0
3,2019-05-26 09:00:00.000,0.00000280,0.00000308,0.00000252,0.00000267,51364343.00000000,2019-05-27 08:59:59.999,146.66257993,6932,21868911.00000000,62.49290764,0
4,2019-05-27 09:00:00.000,0.00000267,0.00000271,0.00000247,0.00000266,34181629.00000000,2019-05-28 08:59:59.999,88.79595012,4155,13655325.00000000,35.68590931,0
5,2019-05-28 09:00:00.000,0.00000265,0.00000291,0.00000265,0.00000270,49580671.00000000,2019-05-29 08:59:59.999,136.82214891,6716,21352798.00000000,58.96782321,0
6,2019-05-29 09:00:00.000,0.00000269,0.00000284,0.00000262,0.00000274,23509829.00000000,2019-05-30 08:59:59.999,64.17691926,3558,9656588.00000000,26.42418079,0
7,2019-05-30 09:00:00.000,0.00000273,0.00000308,0.00000258,0.00000289,49650282.00000000,2019-05-31 08:59:59.999,138.48452332,7399,21941070.00000000,61.60034169,0
8,2019-05-31 09:00:00.000,0.00000288,0.00000290,0.00000270,0.00000281,24695130.00000000,2019-06-01 08:59:59.999,68.78415033,3607,11198718.00000000,31.24989267,0
9,2019-06-01 09:00:00.000,0.00000281,0.00000286,0.00000271,0.00000276,25610383.00000000,2019-06-02 08:59:59.999,71.22612547,3668,11225023.00000000,31.33859318,0
10,2019-06-02 09:00:00.000,0.00000275,0.00000292,0.00000272,0.00000282,33010705.00000000,2019-06-03 08:59:59.999,93.57289196,4799,15779679.00000000,44.79008267,0
11,2019-06-03 09:00:00.000,0.00000282,0.00000340,0.00000279,0.00000303,148846190.00000000,2019-06-04 08:59:59.999,466.94186813,19597,71080703.00000000,222.77247464,0
12,2019-06-04 09:00:00.000,0.00000303,0.00000320,0.00000288,0.00000298,54904619.00000000,2019-06-05 08:59:59.999,166.28723276,8142,25456221.00000000,77.33007903,0
13,2019-06-05 09:00:00.000,0.00000299,0.00000307,0.00000279,0.00000298,44785615.00000000,2019-06-06 08:59:59.999,130.94145222,5500,21769754.00000000,63.88928749,0
14,2019-06-06 09:00:00.000,0.00000298,0.00000318,0.00000295,0.00000300,24648213.00000000,2019-06-07 08:59:59.999,75.27340417,3487,11248749.00000000,34.31854438,0
15,2019-06-07 09:00:00.000,0.00000299,0.00000313,0.00000294,0.00000305,34292136.00000000,2019-06-08 08:59:59.999,104.20040768,4141,14615502.00000000,44.55373356,0
16,2019-06-08 09:00:00.000,0.00000306,0.00000323,0.00000304,0.00000312,30644898.00000000,2019-06-09 08:59:59.999,96.05693111,4661,13934335.00000000,43.74015397,0
17,2019-06-09 09:00:00.000,0.00000312,0.00000313,0.00000287,0.00000292,24397208.00000000,2019-06-10 08:59:59.999,73.37424291,3826,9293124.00000000,27.87873628,0
18,2019-06-10 09:00:00.000,0.00000293,0.00000304,0.00000292,0.00000303,17348535.00000000,2019-06-11 08:59:59.999,51.99710761,2486,7111503.00000000,21.36832388,0
19,2019-06-11 09:00:00.000,0.00000304,0.00000338,0.00000295,0.00000314,75550848.00000000,2019-06-12 08:59:59.999,242.77307847,9958,34544658.00000000,111.27695655,0
20,2019-06-12 09:00:00.000,0.00000314,0.00000328,0.00000298,0.00000312,57144847.00000000,2019-06-13 08:59:59.999,178.53091821,6778,23390428.00000000,73.30987036,0
21,2019-06-13 09:00:00.000,0.00000313,0.00000313,0.00000282,0.00000289,37284738.00000000,2019-06-14 08:59:59.999,111.58030044,4475,13950192.00000000,41.80196334,0
22,2019-06-14 09:00:00.000,0.00000290,0.00000314,0.00000255,0.00000259,70151480.00000000,2019-06-15 08:59:59.999,199.71233923,7935,29633209.00000000,84.79820978,0
23,2019-06-15 09:00:00.000,0.00000259,0.00000276,0.00000254,0.00000262,34478056.00000000,2019-06-16 08:59:59.999,91.53339177,3969,15565211.00000000,41.52482688,0
24,2019-06-16 09:00:00.000,0.00000262,0.00000264,0.00000235,0.00000245,46580031.00000000,2019-06-17 08:59:59.999,114.28081061,4769,20125604.00000000,49.28704787,0
25,2019-06-17 09:00:00.000,0.00000245,0.00000249,0.00000229,0.00000239,36746865.00000000,2019-06-18 08:59:59.999,87.74057802,4191,16849321.00000000,40.20838754,0
26,2019-06-18 09:00:00.000,0.00000239,0.00000259,0.00000233,0.00000243,43125747.00000000,2019-06-19 08:59:59.999,106.43741683,5705,18240312.00000000,45.10087903,0
27,2019-06-19 09:00:00.000,0.00000244,0.00000250,0.00000232,0.00000235,24973942.00000000,2019-06-20 08:59:59.999,60.29221821,3014,9299142.00000000,22.58391747,0
28,2019-06-20 09:00:00.000,0.00000235,0.00000239,0.00000216,0.00000223,24632061.00000000,2019-06-21 08:59:59.999,56.60217735,2962,9062749.00000000,20.84241442,0
29,2019-06-21 09:00:00.000,0.00000223,0.00000225,0.00000188,0.00000191,26802163.00000000,2019-06-22 08:59:59.999,56.24213886,3066,9847269.00000000,20.91815728,0
30,2019-06-22 09:00:00.000,0.00000191,0.00000195,0.00000160,0.00000186,57065757.00000000,2019-06-23 08:59:59.999,102.47222577,6200,27280260.00000000,49.14293442,0
31,2019-06-23 09:00:00.000,0.00000187,0.00000197,0.00000168,0.00000179,30234232.00000000,2019-06-24 08:59:59.999,55.38359318,3207,14678114.00000000,26.93203680,0
32,2019-06-24 09:00:00.000,0.00000178,0.00000191,0.00000172,0.00000174,19936879.00000000,2019-06-25 08:59:59.999,35.78275830,2072,9121265.00000000,16.46720106,0
33,2019-06-25 09:00:00.000,0.00000174,0.00000176,0.00000152,0.00000153,27488761.00000000,2019-06-26 08:59:59.999,45.36937016,2480,8747331.00000000,14.51774003,0
34,2019-06-26 09:00:00.000,0.00000153,0.00000155,0.00000117,0.00000124,48240968.00000000,2019-06-27 08:59:59.999,65.23072191,4021,23216296.00000000,31.25695408,0
35,2019-06-27 09:00:00.000,0.00000125,0.00000163,0.00000120,0.00000156,72546196.00000000,2019-06-28 08:59:59.999,106.15190807,5503,31386189.00000000,46.00867230,0
36,2019-06-28 09:00:00.000,0.00000156,0.00000184,0.00000146,0.00000157,97477277.00000000,2019-06-29 08:59:59.999,158.26643085,8070,44925011.00000000,73.97577831,0
37,2019-06-29 09:00:00.000,0.00000157,0.00000176,0.00000155,0.00000162,47948915.00000000,2019-06-30 08:59:59.999,80.08922638,4325,19556927.00000000,32.76234352,0
38,2019-06-30 09:00:00.000,0.00000162,0.00000171,0.00000152,0.00000158,54202562.00000000,2019-07-01 08:59:59.999,88.25387312,4171,22346716.00000000,36.68619000,0
39,2019-07-01 09:00:00.000,0.00000158,0.00000188,0.00000158,0.00000180,59291830.00000000,2019-07-02 08:59:59.999,102.98204303,3742,33748489.00000000,58.58383968,0
40,2019-07-02 09:00:00.000,0.00000180,0.00000186,0.00000159,0.00000161,38239755.00000000,2019-07-03 08:59:59.999,66.86979691,3194,16386189.00000000,28.99497962,0
41,2019-07-03 09:00:00.000,0.00000161,0.00000163,0.00000145,0.00000146,25398422.00000000,2019-07-04 08:59:59.999,39.60404426,2321,11183194.00000000,17.46447445,0
42,2019-07-04 09:00:00.000,0.00000147,0.00000152,0.00000138,0.00000148,23681486.00000000,2019-07-05 08:59:59.999,34.47015275,1995,10580994.00000000,15.45699924,0
43,2019-07-05 09:00:00.000,0.00000148,0.00000156,0.00000143,0.00000152,20656412.00000000,2019-07-06 08:59:59.999,30.54457120,1789,13036992.00000000,19.28388590,0
44,2019-07-06 09:00:00.000,0.00000152,0.00000152,0.00000121,0.00000142,23450153.00000000,2019-07-07 08:59:59.999,33.57149109,1721,8392053.00000000,12.20351607,0
45,2019-07-07 09:00:00.000,0.00000142,0.00000149,0.00000137,0.00000140,25099778.00000000,2019-07-08 08:59:59.999,35.97720489,1844,10341170.00000000,14.91427327,0
46,2019-07-08 09:00:00.000,0.00000140,0.00000142,0.00000123,0.00000124,19516968.00000000,2019-07-09 08:59:59.999,25.73941357,1784,7054137.00000000,9.35152796,0
47,2019-07-09 09:00:00.000,0.00000124,0.00000127,0.00000116,0.00000119,19506159.00000000,2019-07-10 08:59:59.999,23.48849057,1533,9788627.00000000,11.81063400,0
48,2019-07-10 09:00:00.000,0.00000118,0.00000122,0.00000102,0.00000111,40879473.00000000,2019-07-11 08:59:59.999,45.57042210,2863,19626034.00000000,21.85294418,0
49,2019-07-11 09:00:00.000,0.00000111,0.00000115,0.00000107,0.00000110,17361985.00000000,2019-07-12 08:59:59.999,19.23177677,1359,7803678.00000000,8.67141848,0
50,2019-07-12 09:00:00.000,0.00000111,0.00000119,0.00000106,0.00000113,20587300.00000000,2019-07-13 08:59:59.999,23.42188208,1546,11363498.00000000,12.96874221,0
51,2019-07-13 09:00:00.000,0.00000113,0.00000131,0.00000113,0.00000123,20332975.00000000,2019-07-14 08:59:59.999,25.24751888,1994,9347960.00000000,11.60645046,0
52,2019-07-14 09:00:00.000,0.00000122,0.00000125,0.00000114,0.00000115,13278587.00000000,2019-07-15 08:59:59.999,15.97518318,1361,5153975.00000000,6.24192403,0
53,2019-07-15 09:00:00.000,0.00000115,0.00000118,0.00000102,0.00000105,35114734.00000000,2019-07-16 08:59:59.999,37.80493003,2346,11729454.00000000,12.74190973,0
54,2019-07-16 09:00:00.000,0.00000105,0.00000116,0.00000103,0.00000110,23217044.00000000,2019-07-17 08:59:59.999,25.24128744,2138,11017484.00000000,12.05999558,0
55,2019-07-17 09:00:00.000,0.00000109,0.00000118,0.00000104,0.00000113,14522028.00000000,2019-07-18 08:59:59.999,16.18762107,1317,6022679.00000000,6.72945004,0
