,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00005374,0.00005519,0.00005202,0.00005441,3125122.00000000,2019-05-24 08:59:59.999,167.72991156,6676,1320962.00000000,70.97951342,0
1,2019-05-24 09:00:00.000,0.00005436,0.00006248,0.00005250,0.00005456,10696646.00000000,2019-05-25 08:59:59.999,603.07171299,23919,4603345.00000000,260.14219115,0
2,2019-05-25 09:00:00.000,0.00005456,0.00005763,0.00005394,0.00005645,4097454.00000000,2019-05-26 08:59:59.999,227.76146184,9061,2065912.00000000,114.99982463,0
3,2019-05-26 09:00:00.000,0.00005652,0.00006210,0.00005036,0.00005188,7685226.00000000,2019-05-27 08:59:59.999,437.49918604,16790,3854705.00000000,220.97334738,0
4,2019-05-27 09:00:00.000,0.00005168,0.00005263,0.00005048,0.00005171,1264816.00000000,2019-05-28 08:59:59.999,65.16270181,3728,668447.00000000,34.48087538,0
5,2019-05-28 09:00:00.000,0.00005179,0.00005245,0.00005024,0.00005162,1829141.00000000,2019-05-29 08:59:59.999,93.38558668,4269,851508.00000000,43.53225356,0
6,2019-05-29 09:00:00.000,0.00005162,0.00005325,0.00005099,0.00005235,1479440.00000000,2019-05-30 08:59:59.999,77.07321149,3932,782025.00000000,40.76725765,0
7,2019-05-30 09:00:00.000,0.00005251,0.00005323,0.00004860,0.00004916,2268174.00000000,2019-05-31 08:59:59.999,116.66914035,5951,977200.00000000,50.39462137,0
8,2019-05-31 09:00:00.000,0.00004915,0.00005000,0.00004765,0.00004918,1360706.00000000,2019-06-01 08:59:59.999,66.65252917,3892,630500.00000000,30.94451888,0
9,2019-06-01 09:00:00.000,0.00004907,0.00005075,0.00004798,0.00004840,953843.00000000,2019-06-02 08:59:59.999,46.68776750,3095,410789.00000000,20.19703348,0
10,2019-06-02 09:00:00.000,0.00004842,0.00005059,0.00004800,0.00004982,1023998.00000000,2019-06-03 08:59:59.999,50.63031775,3302,458190.00000000,22.68076799,0
11,2019-06-03 09:00:00.000,0.00005002,0.00005091,0.00004861,0.00004929,768845.00000000,2019-06-04 08:59:59.999,38.04311859,2482,317462.00000000,15.75264951,0
12,2019-06-04 09:00:00.000,0.00004929,0.00005005,0.00004801,0.00004929,928821.00000000,2019-06-05 08:59:59.999,45.43155883,2818,503562.00000000,24.66135568,0
13,2019-06-05 09:00:00.000,0.00004926,0.00005500,0.00004865,0.00005059,2285288.00000000,2019-06-06 08:59:59.999,114.84421605,7109,1150936.00000000,58.09579504,0
14,2019-06-06 09:00:00.000,0.00005067,0.00005300,0.00005014,0.00005150,1315796.00000000,2019-06-07 08:59:59.999,67.47232631,4375,657832.00000000,33.79693517,0
15,2019-06-07 09:00:00.000,0.00005140,0.00005337,0.00005045,0.00005212,1202280.00000000,2019-06-08 08:59:59.999,62.17633165,4034,684727.00000000,35.42997317,0
16,2019-06-08 09:00:00.000,0.00005211,0.00005621,0.00005190,0.00005377,2224333.00000000,2019-06-09 08:59:59.999,119.99309028,7038,1071790.00000000,57.88658049,0
17,2019-06-09 09:00:00.000,0.00005368,0.00005704,0.00005168,0.00005290,1616296.00000000,2019-06-10 08:59:59.999,87.91221348,5863,769692.00000000,42.08191923,0
18,2019-06-10 09:00:00.000,0.00005295,0.00005650,0.00005258,0.00005561,1705732.00000000,2019-06-11 08:59:59.999,93.30057805,5479,862051.00000000,47.23397447,0
19,2019-06-11 09:00:00.000,0.00005561,0.00006033,0.00005425,0.00006029,4595762.00000000,2019-06-12 08:59:59.999,261.73955209,13331,2215878.00000000,126.43841722,0
20,2019-06-12 09:00:00.000,0.00006032,0.00006080,0.00005578,0.00005692,1868886.00000000,2019-06-13 08:59:59.999,108.12406878,5707,795152.00000000,45.96710819,0
21,2019-06-13 09:00:00.000,0.00005691,0.00005691,0.00005277,0.00005398,2033622.00000000,2019-06-14 08:59:59.999,110.49018528,5086,1064759.00000000,57.81978736,0
22,2019-06-14 09:00:00.000,0.00005403,0.00005424,0.00004835,0.00004927,1173600.00000000,2019-06-15 08:59:59.999,59.74767163,3877,481274.00000000,24.48915811,0
23,2019-06-15 09:00:00.000,0.00004948,0.00004959,0.00004765,0.00004906,1119213.00000000,2019-06-16 08:59:59.999,54.44241514,3110,493251.00000000,24.00352656,0
24,2019-06-16 09:00:00.000,0.00004885,0.00004895,0.00004581,0.00004835,1035039.00000000,2019-06-17 08:59:59.999,48.88601387,3016,445619.00000000,21.02875445,0
25,2019-06-17 09:00:00.000,0.00004832,0.00004834,0.00004554,0.00004637,924935.00000000,2019-06-18 08:59:59.999,43.22596970,2570,443883.00000000,20.73798057,0
26,2019-06-18 09:00:00.000,0.00004647,0.00004820,0.00004622,0.00004796,865387.00000000,2019-06-19 08:59:59.999,40.96117909,2319,380332.00000000,18.02838563,0
27,2019-06-19 09:00:00.000,0.00004774,0.00004781,0.00004662,0.00004703,653901.00000000,2019-06-20 08:59:59.999,30.88437742,1740,252648.00000000,11.95181313,0
28,2019-06-20 09:00:00.000,0.00004703,0.00004703,0.00004355,0.00004441,684831.00000000,2019-06-21 08:59:59.999,30.81487905,2018,302675.00000000,13.62090443,0
29,2019-06-21 09:00:00.000,0.00004438,0.00004445,0.00004071,0.00004101,656656.00000000,2019-06-22 08:59:59.999,27.95018436,2091,330426.00000000,14.08859174,0
30,2019-06-22 09:00:00.000,0.00004101,0.00004134,0.00003657,0.00003990,1057726.00000000,2019-06-23 08:59:59.999,41.41212955,3499,523402.00000000,20.48821472,0
31,2019-06-23 09:00:00.000,0.00003990,0.00004027,0.00003730,0.00003861,814646.00000000,2019-06-24 08:59:59.999,31.91328008,2033,345071.00000000,13.53137128,0
32,2019-06-24 09:00:00.000,0.00003869,0.00003943,0.00003789,0.00003851,564573.00000000,2019-06-25 08:59:59.999,21.85119684,1545,231422.00000000,8.97367954,0
