,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000407,0.00000433,0.00000380,0.00000405,103874459.00000000,2019-05-24 08:59:59.999,424.30945397,17252,44199598.00000000,181.03531734,0
1,2019-05-24 09:00:00.000,0.00000405,0.00000442,0.00000397,0.00000404,86097273.00000000,2019-05-25 08:59:59.999,361.61921670,15558,40800568.00000000,171.99513032,0
2,2019-05-25 09:00:00.000,0.00000404,0.00000437,0.00000400,0.00000424,47491840.00000000,2019-05-26 08:59:59.999,199.38759033,8381,25040818.00000000,105.42188913,0
3,2019-05-26 09:00:00.000,0.00000424,0.00000483,0.00000402,0.00000406,132540172.00000000,2019-05-27 08:59:59.999,594.33731132,23767,62865332.00000000,283.58248858,0
4,2019-05-27 09:00:00.000,0.00000405,0.00000429,0.00000396,0.00000411,37144854.00000000,2019-05-28 08:59:59.999,151.47980607,7918,16211501.00000000,66.22362894,0
5,2019-05-28 09:00:00.000,0.00000410,0.00000485,0.00000410,0.00000465,105802142.00000000,2019-05-29 08:59:59.999,476.73412092,23242,53283876.00000000,240.31228419,0
6,2019-05-29 09:00:00.000,0.00000465,0.00000467,0.00000430,0.00000446,46113499.00000000,2019-05-30 08:59:59.999,205.65418006,10132,20841638.00000000,92.98940657,0
7,2019-05-30 09:00:00.000,0.00000447,0.00000548,0.00000431,0.00000499,208425010.00000000,2019-05-31 08:59:59.999,1011.63575579,36683,97106627.00000000,473.86263687,0
8,2019-05-31 09:00:00.000,0.00000499,0.00000510,0.00000455,0.00000479,143570813.00000000,2019-06-01 08:59:59.999,692.53953184,25720,66321110.00000000,320.10341560,0
9,2019-06-01 09:00:00.000,0.00000479,0.00000484,0.00000438,0.00000443,58512773.00000000,2019-06-02 08:59:59.999,265.02817756,10734,27387195.00000000,124.09052851,0
10,2019-06-02 09:00:00.000,0.00000445,0.00000463,0.00000435,0.00000451,34676318.00000000,2019-06-03 08:59:59.999,155.52990823,6353,17216868.00000000,77.36563768,0
11,2019-06-03 09:00:00.000,0.00000452,0.00000453,0.00000410,0.00000415,50592487.00000000,2019-06-04 08:59:59.999,217.95527924,9051,21913080.00000000,94.63288826,0
12,2019-06-04 09:00:00.000,0.00000415,0.00000417,0.00000396,0.00000398,37409310.00000000,2019-06-05 08:59:59.999,152.80014990,6454,15725943.00000000,64.44691101,0
13,2019-06-05 09:00:00.000,0.00000399,0.00000437,0.00000390,0.00000415,85680032.00000000,2019-06-06 08:59:59.999,356.25624595,10784,41656783.00000000,173.67670717,0
14,2019-06-06 09:00:00.000,0.00000415,0.00000428,0.00000407,0.00000411,25367857.00000000,2019-06-07 08:59:59.999,105.99564529,4779,11786675.00000000,49.31937802,0
15,2019-06-07 09:00:00.000,0.00000412,0.00000448,0.00000410,0.00000430,43672695.00000000,2019-06-08 08:59:59.999,187.27399624,9222,20390163.00000000,87.70213040,0
16,2019-06-08 09:00:00.000,0.00000430,0.00000458,0.00000422,0.00000424,41643600.00000000,2019-06-09 08:59:59.999,182.22383403,7687,20611793.00000000,90.72948159,0
17,2019-06-09 09:00:00.000,0.00000425,0.00000429,0.00000390,0.00000400,20094874.00000000,2019-06-10 08:59:59.999,82.81083454,3844,7000659.00000000,28.90514596,0
18,2019-06-10 09:00:00.000,0.00000399,0.00000443,0.00000398,0.00000423,36048094.00000000,2019-06-11 08:59:59.999,151.43408280,7183,16778522.00000000,70.63136226,0
19,2019-06-11 09:00:00.000,0.00000422,0.00000430,0.00000402,0.00000423,35005301.00000000,2019-06-12 08:59:59.999,145.49475870,6082,14621322.00000000,60.94033910,0
20,2019-06-12 09:00:00.000,0.00000424,0.00000429,0.00000404,0.00000418,17772438.00000000,2019-06-13 08:59:59.999,74.33015976,3658,7620023.00000000,31.91222635,0
21,2019-06-13 09:00:00.000,0.00000418,0.00000430,0.00000393,0.00000402,25829279.00000000,2019-06-14 08:59:59.999,106.59056051,5232,10520899.00000000,43.58314753,0
22,2019-06-14 09:00:00.000,0.00000401,0.00000434,0.00000353,0.00000357,62153329.00000000,2019-06-15 08:59:59.999,245.50470518,10884,27175731.00000000,108.20358772,0
23,2019-06-15 09:00:00.000,0.00000356,0.00000379,0.00000346,0.00000351,18395763.00000000,2019-06-16 08:59:59.999,66.26075710,3567,8099725.00000000,29.23818759,0
24,2019-06-16 09:00:00.000,0.00000352,0.00000380,0.00000330,0.00000343,20859079.00000000,2019-06-17 08:59:59.999,71.86031449,3624,10216131.00000000,35.46350973,0
25,2019-06-17 09:00:00.000,0.00000343,0.00000354,0.00000312,0.00000314,20561053.00000000,2019-06-18 08:59:59.999,68.45264894,6225,7554189.00000000,25.32784244,0
26,2019-06-18 09:00:00.000,0.00000314,0.00000336,0.00000310,0.00000329,22933364.00000000,2019-06-19 08:59:59.999,73.56142404,5389,11137633.00000000,35.77026079,0
27,2019-06-19 09:00:00.000,0.00000329,0.00000359,0.00000323,0.00000329,35876831.00000000,2019-06-20 08:59:59.999,121.96538990,5719,16784975.00000000,57.32296898,0
28,2019-06-20 09:00:00.000,0.00000329,0.00000344,0.00000307,0.00000314,18319349.00000000,2019-06-21 08:59:59.999,59.51518527,3000,7075957.00000000,23.09281480,0
29,2019-06-21 09:00:00.000,0.00000314,0.00000323,0.00000294,0.00000294,14449228.00000000,2019-06-22 08:59:59.999,44.54395464,2092,4736569.00000000,14.72441527,0
30,2019-06-22 09:00:00.000,0.00000294,0.00000299,0.00000255,0.00000270,17662365.00000000,2019-06-23 08:59:59.999,47.80014199,2838,7689027.00000000,20.82476147,0
31,2019-06-23 09:00:00.000,0.00000269,0.00000288,0.00000254,0.00000262,21713552.00000000,2019-06-24 08:59:59.999,59.41894279,2538,10534165.00000000,28.86256871,0
32,2019-06-24 09:00:00.000,0.00000262,0.00000322,0.00000262,0.00000280,40372869.00000000,2019-06-25 08:59:59.999,116.59376868,5673,19042421.00000000,55.04879513,0
33,2019-06-25 09:00:00.000,0.00000280,0.00000292,0.00000240,0.00000241,20835170.00000000,2019-06-26 08:59:59.999,54.34612195,3232,8025518.00000000,21.03353003,0
34,2019-06-26 09:00:00.000,0.00000240,0.00000243,0.00000187,0.00000199,30183813.00000000,2019-06-27 08:59:59.999,64.39296287,3793,14126962.00000000,30.11968492,0
35,2019-06-27 09:00:00.000,0.00000200,0.00000234,0.00000194,0.00000213,35813743.00000000,2019-06-28 08:59:59.999,77.32712826,4108,18258089.00000000,39.35675606,0
36,2019-06-28 09:00:00.000,0.00000213,0.00000221,0.00000193,0.00000197,30377062.00000000,2019-06-29 08:59:59.999,63.06788658,3422,13324571.00000000,27.71828832,0
37,2019-06-29 09:00:00.000,0.00000197,0.00000215,0.00000195,0.00000207,16319508.00000000,2019-06-30 08:59:59.999,33.72144620,1874,8066525.00000000,16.70863898,0
38,2019-06-30 09:00:00.000,0.00000210,0.00000221,0.00000205,0.00000213,16297031.00000000,2019-07-01 08:59:59.999,34.73080140,1925,7187885.00000000,15.35063304,0
39,2019-07-01 09:00:00.000,0.00000213,0.00000296,0.00000213,0.00000264,145953193.00000000,2019-07-02 08:59:59.999,387.24301228,15050,73111839.00000000,193.76976096,0
40,2019-07-02 09:00:00.000,0.00000263,0.00000271,0.00000235,0.00000241,35696634.00000000,2019-07-03 08:59:59.999,91.50487929,4916,16668584.00000000,42.93047826,0
41,2019-07-03 09:00:00.000,0.00000241,0.00000248,0.00000216,0.00000216,25330472.00000000,2019-07-04 08:59:59.999,59.26892544,3257,10676957.00000000,25.12442615,0
42,2019-07-04 09:00:00.000,0.00000216,0.00000221,0.00000207,0.00000217,25269180.00000000,2019-07-05 08:59:59.999,53.96844674,3084,11953416.00000000,25.61122855,0
43,2019-07-05 09:00:00.000,0.00000218,0.00000238,0.00000211,0.00000222,32213976.00000000,2019-07-06 08:59:59.999,71.54181525,3397,16013100.00000000,35.65040564,0
44,2019-07-06 09:00:00.000,0.00000222,0.00000222,0.00000210,0.00000218,15658754.00000000,2019-07-07 08:59:59.999,33.71525265,1647,6535433.00000000,14.10385125,0
45,2019-07-07 09:00:00.000,0.00000218,0.00000235,0.00000217,0.00000222,15987868.00000000,2019-07-08 08:59:59.999,35.86160598,1866,8710529.00000000,19.56979528,0
46,2019-07-08 09:00:00.000,0.00000221,0.00000255,0.00000220,0.00000232,64364291.00000000,2019-07-09 08:59:59.999,153.16830004,9748,28538984.00000000,68.17943105,0
47,2019-07-09 09:00:00.000,0.00000233,0.00000239,0.00000199,0.00000205,49859642.00000000,2019-07-10 08:59:59.999,106.11346604,7114,20087837.00000000,42.84248950,0
48,2019-07-10 09:00:00.000,0.00000204,0.00000206,0.00000178,0.00000186,38833359.00000000,2019-07-11 08:59:59.999,72.95954355,4322,15270182.00000000,28.71118720,0
49,2019-07-11 09:00:00.000,0.00000186,0.00000190,0.00000174,0.00000178,12597483.00000000,2019-07-12 08:59:59.999,22.96914344,2133,5185237.00000000,9.50891213,0
50,2019-07-12 09:00:00.000,0.00000178,0.00000204,0.00000176,0.00000184,19332608.00000000,2019-07-13 08:59:59.999,36.38867780,3405,8913189.00000000,16.80804655,0
51,2019-07-13 09:00:00.000,0.00000185,0.00000199,0.00000181,0.00000190,38525201.00000000,2019-07-14 08:59:59.999,73.24342368,6854,18103841.00000000,34.61011573,0
52,2019-07-14 09:00:00.000,0.00000188,0.00000191,0.00000182,0.00000188,9348574.00000000,2019-07-15 08:59:59.999,17.49648101,2528,4589474.00000000,8.60455982,0
53,2019-07-15 09:00:00.000,0.00000187,0.00000192,0.00000164,0.00000176,22098120.00000000,2019-07-16 08:59:59.999,38.77033387,3976,9567580.00000000,16.81139527,0
54,2019-07-16 09:00:00.000,0.00000176,0.00000183,0.00000157,0.00000163,22931283.00000000,2019-07-17 08:59:59.999,39.26001854,4338,9581924.00000000,16.51744425,0
55,2019-07-17 09:00:00.000,0.00000164,0.00000186,0.00000159,0.00000171,34292864.00000000,2019-07-18 08:59:59.999,58.43553907,5365,16198494.00000000,27.61423483,0
56,2019-07-18 09:00:00.000,0.00000171,0.00000181,0.00000161,0.00000168,46843982.00000000,2019-07-19 08:59:59.999,79.64246694,7724,20593708.00000000,35.19121347,0
57,2019-07-19 09:00:00.000,0.00000168,0.00000193,0.00000166,0.00000180,34937174.00000000,2019-07-20 08:59:59.999,62.79455706,5229,20593984.00000000,37.22832868,0
58,2019-07-20 09:00:00.000,0.00000181,0.00000189,0.00000177,0.00000180,11967333.00000000,2019-07-21 08:59:59.999,22.03187659,2586,5538468.00000000,10.21602256,0
59,2019-07-21 09:00:00.000,0.00000181,0.00000193,0.00000181,0.00000182,5116443.00000000,2019-07-22 08:59:59.999,9.48151927,1306,2705956.00000000,5.02796665,0
60,2019-07-22 09:00:00.000,0.00000183,0.00000195,0.00000182,0.00000190,6698535.00000000,2019-07-23 08:59:59.999,12.71433478,1612,3265003.00000000,6.20483916,0
61,2019-07-23 09:00:00.000,0.00000190,0.00000216,0.00000187,0.00000203,25101609.00000000,2019-07-24 08:59:59.999,51.03429857,4370,12177765.00000000,24.79886661,0
62,2019-07-24 09:00:00.000,0.00000202,0.00000209,0.00000193,0.00000200,12160917.00000000,2019-07-25 08:59:59.999,24.35419452,2456,5434793.00000000,10.91541355,0
63,2019-07-25 09:00:00.000,0.00000200,0.00000206,0.00000193,0.00000195,7545742.00000000,2019-07-26 08:59:59.999,14.85664806,1491,3094564.00000000,6.11395959,0
64,2019-07-26 09:00:00.000,0.00000194,0.00000202,0.00000193,0.00000194,6720002.00000000,2019-07-27 08:59:59.999,13.28937639,1030,2788062.00000000,5.52573158,0
65,2019-07-27 09:00:00.000,0.00000195,0.00000196,0.00000185,0.00000189,6725813.00000000,2019-07-28 08:59:59.999,12.70117173,1316,2898934.00000000,5.47887715,0
66,2019-07-28 09:00:00.000,0.00000189,0.00000191,0.00000183,0.00000185,6282888.00000000,2019-07-29 08:59:59.999,11.80021170,1135,3151090.00000000,5.93385160,0
67,2019-07-29 09:00:00.000,0.00000185,0.00000190,0.00000180,0.00000182,7183783.00000000,2019-07-30 08:59:59.999,13.26003990,1203,3313807.00000000,6.14238640,0
68,2019-07-30 09:00:00.000,0.00000182,0.00000183,0.00000174,0.00000180,7897874.00000000,2019-07-31 08:59:59.999,14.09865525,5200,2949060.00000000,5.28565737,0
69,2019-07-31 09:00:00.000,0.00000180,0.00000180,0.00000169,0.00000169,8564488.00000000,2019-08-01 08:59:59.999,14.94945553,7345,2585603.00000000,4.52222115,0
70,2019-08-01 09:00:00.000,0.00000169,0.00000175,0.00000160,0.00000161,6026928.00000000,2019-08-02 08:59:59.999,10.13393057,1214,2291305.00000000,3.86732520,0
71,2019-08-02 09:00:00.000,0.00000162,0.00000168,0.00000160,0.00000164,6188010.00000000,2019-08-03 08:59:59.999,10.11170304,767,2637476.00000000,4.32412745,0
72,2019-08-03 09:00:00.000,0.00000165,0.00000169,0.00000159,0.00000160,5654952.00000000,2019-08-04 08:59:59.999,9.24951747,789,1777166.00000000,2.91776338,0
73,2019-08-04 09:00:00.000,0.00000160,0.00000165,0.00000152,0.00000154,6417068.00000000,2019-08-05 08:59:59.999,10.15802932,951,1872077.00000000,2.97517965,0
74,2019-08-05 09:00:00.000,0.00000154,0.00000155,0.00000136,0.00000138,9466786.00000000,2019-08-06 08:59:59.999,13.86156534,1506,2876688.00000000,4.20118686,0
75,2019-08-06 09:00:00.000,0.00000138,0.00000149,0.00000129,0.00000143,15131830.00000000,2019-08-07 08:59:59.999,21.17067511,2181,6586301.00000000,9.22265094,0
76,2019-08-07 09:00:00.000,0.00000143,0.00000148,0.00000124,0.00000128,13158447.00000000,2019-08-08 08:59:59.999,17.70825688,2027,5213973.00000000,7.03529968,0
