,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00045170,0.00049910,0.00042000,0.00047740,660824.44000000,2019-05-24 08:59:59.999,299.17303321,16186,328213.01000000,148.89063119,0
1,2019-05-24 09:00:00.000,0.00047740,0.00049360,0.00040970,0.00041630,421592.57000000,2019-05-25 08:59:59.999,185.77094929,8854,198391.90000000,87.48427678,0
2,2019-05-25 09:00:00.000,0.00041690,0.00042200,0.00040060,0.00041180,224798.13000000,2019-05-26 08:59:59.999,92.29493193,4400,107096.32000000,43.97380166,0
3,2019-05-26 09:00:00.000,0.00041180,0.00044210,0.00036660,0.00037460,400902.84000000,2019-05-27 08:59:59.999,164.37610389,8487,185777.06000000,76.35419040,0
4,2019-05-27 09:00:00.000,0.00037560,0.00042830,0.00035850,0.00040340,409346.95000000,2019-05-28 08:59:59.999,158.97042118,10037,198692.01000000,77.38776707,0
5,2019-05-28 09:00:00.000,0.00040190,0.00041300,0.00039420,0.00039920,233916.47000000,2019-05-29 08:59:59.999,94.24968955,5531,118408.89000000,47.75855970,0
6,2019-05-29 09:00:00.000,0.00039900,0.00041050,0.00039000,0.00040330,114781.25000000,2019-05-30 08:59:59.999,46.01702652,2916,54447.24000000,21.85184207,0
7,2019-05-30 09:00:00.000,0.00040290,0.00045000,0.00038800,0.00040680,425206.86000000,2019-05-31 08:59:59.999,176.66359661,9207,208571.58000000,86.85131943,0
8,2019-05-31 09:00:00.000,0.00040700,0.00047500,0.00040380,0.00043060,444541.02000000,2019-06-01 08:59:59.999,195.19404379,10196,211873.93000000,93.18296981,0
9,2019-06-01 09:00:00.000,0.00043130,0.00043280,0.00041050,0.00041670,184941.87000000,2019-06-02 08:59:59.999,77.79353738,4547,87220.81000000,36.71192367,0
10,2019-06-02 09:00:00.000,0.00041670,0.00042540,0.00041090,0.00042010,134957.22000000,2019-06-03 08:59:59.999,56.63318266,3075,61278.00000000,25.74344426,0
11,2019-06-03 09:00:00.000,0.00041870,0.00042270,0.00040000,0.00041600,136834.92000000,2019-06-04 08:59:59.999,56.82360950,3751,59595.56000000,24.80204515,0
12,2019-06-04 09:00:00.000,0.00041500,0.00042700,0.00040320,0.00041320,174075.11000000,2019-06-05 08:59:59.999,72.08411645,4223,76736.54000000,31.79426495,0
13,2019-06-05 09:00:00.000,0.00041310,0.00042480,0.00040450,0.00042030,117296.10000000,2019-06-06 08:59:59.999,48.78121213,3135,60878.38000000,25.35112012,0
14,2019-06-06 09:00:00.000,0.00042020,0.00043310,0.00041180,0.00042480,121397.48000000,2019-06-07 08:59:59.999,51.27979625,2825,65070.89000000,27.52001698,0
15,2019-06-07 09:00:00.000,0.00042520,0.00044500,0.00042260,0.00043450,151053.33000000,2019-06-08 08:59:59.999,65.83592025,3920,61173.88000000,26.66273125,0
16,2019-06-08 09:00:00.000,0.00043390,0.00048640,0.00043310,0.00047600,578615.79000000,2019-06-09 08:59:59.999,270.27262782,13268,270591.52000000,126.49655139,0
17,2019-06-09 09:00:00.000,0.00047600,0.00047640,0.00043000,0.00044760,263436.04000000,2019-06-10 08:59:59.999,119.98879830,6075,130435.48000000,59.48094229,0
18,2019-06-10 09:00:00.000,0.00044760,0.00046980,0.00044090,0.00045910,141247.16000000,2019-06-11 08:59:59.999,64.43627734,4002,72161.85000000,32.95270364,0
19,2019-06-11 09:00:00.000,0.00045900,0.00046790,0.00044800,0.00045200,96836.51000000,2019-06-12 08:59:59.999,43.97373079,2604,40764.70000000,18.54715479,0
20,2019-06-12 09:00:00.000,0.00045230,0.00045590,0.00043080,0.00044250,98782.24000000,2019-06-13 08:59:59.999,44.09174855,2685,47712.74000000,21.33060025,0
21,2019-06-13 09:00:00.000,0.00044200,0.00044350,0.00041620,0.00042240,141562.29000000,2019-06-14 08:59:59.999,61.21627749,4026,70468.02000000,30.53350999,0
22,2019-06-14 09:00:00.000,0.00042380,0.00043520,0.00036900,0.00037490,337733.02000000,2019-06-15 08:59:59.999,132.17626122,7908,155974.92000000,60.93732877,0
23,2019-06-15 09:00:00.000,0.00037400,0.00038950,0.00036580,0.00037270,164454.50000000,2019-06-16 08:59:59.999,62.34836647,3901,84536.11000000,32.10147536,0
24,2019-06-16 09:00:00.000,0.00037360,0.00042600,0.00034390,0.00039790,388418.22000000,2019-06-17 08:59:59.999,146.82752860,9764,197030.56000000,75.02525629,0
25,2019-06-17 09:00:00.000,0.00039850,0.00042000,0.00036400,0.00036460,449371.91000000,2019-06-18 08:59:59.999,175.26071033,10897,201580.88000000,78.82743251,0
26,2019-06-18 09:00:00.000,0.00036450,0.00039520,0.00036380,0.00037650,132131.50000000,2019-06-19 08:59:59.999,49.53096737,3777,73188.40000000,27.45091787,0
27,2019-06-19 09:00:00.000,0.00037740,0.00043040,0.00037500,0.00038030,516051.07000000,2019-06-20 08:59:59.999,208.48975826,12328,252286.80000000,102.16925888,0
28,2019-06-20 09:00:00.000,0.00038000,0.00039120,0.00035290,0.00036550,362526.02000000,2019-06-21 08:59:59.999,135.47020341,9202,165323.02000000,61.83469041,0
29,2019-06-21 09:00:00.000,0.00036680,0.00037410,0.00034480,0.00034480,136119.18000000,2019-06-22 08:59:59.999,48.55556236,3853,63920.57000000,22.83115049,0
30,2019-06-22 09:00:00.000,0.00034450,0.00035100,0.00030280,0.00032440,433579.19000000,2019-06-23 08:59:59.999,139.86665418,8568,210574.88000000,67.91730888,0
31,2019-06-23 09:00:00.000,0.00032340,0.00049650,0.00031210,0.00035780,3748469.73000000,2019-06-24 08:59:59.999,1512.87223864,58722,1613923.84000000,647.93098213,0
32,2019-06-24 09:00:00.000,0.00035780,0.00038610,0.00032670,0.00033150,1230131.03000000,2019-06-25 08:59:59.999,431.37595135,29715,618921.80000000,217.65131858,0
33,2019-06-25 09:00:00.000,0.00033160,0.00033490,0.00028760,0.00029490,545271.23000000,2019-06-26 08:59:59.999,168.55767945,11360,252056.28000000,77.85199624,0
34,2019-06-26 09:00:00.000,0.00029490,0.00029770,0.00022570,0.00024360,622304.85000000,2019-06-27 08:59:59.999,161.63627511,12004,292552.06000000,76.00541092,0
35,2019-06-27 09:00:00.000,0.00024360,0.00027000,0.00023680,0.00025440,355200.03000000,2019-06-28 08:59:59.999,91.24463905,6374,176801.01000000,45.42482243,0
36,2019-06-28 09:00:00.000,0.00025450,0.00026700,0.00023200,0.00023520,218981.65000000,2019-06-29 08:59:59.999,54.44798475,3948,106973.34000000,26.52356200,0
37,2019-06-29 09:00:00.000,0.00023490,0.00026610,0.00023300,0.00026020,322300.12000000,2019-06-30 08:59:59.999,80.75261578,5413,159336.43000000,40.00594827,0
38,2019-06-30 09:00:00.000,0.00025990,0.00033850,0.00024970,0.00027760,895345.06000000,2019-07-01 08:59:59.999,261.33222274,16130,428706.66000000,125.48534012,0
39,2019-07-01 09:00:00.000,0.00027800,0.00030800,0.00027540,0.00029000,674759.15000000,2019-07-02 08:59:59.999,196.44864550,11666,319667.67000000,93.14176395,0
40,2019-07-02 09:00:00.000,0.00028980,0.00029500,0.00025580,0.00026060,417931.10000000,2019-07-03 08:59:59.999,116.70366990,7153,201496.31000000,56.42637841,0
41,2019-07-03 09:00:00.000,0.00026060,0.00030350,0.00024410,0.00025470,609711.08000000,2019-07-04 08:59:59.999,166.73936654,10433,296209.79000000,81.27824069,0
42,2019-07-04 09:00:00.000,0.00025370,0.00027910,0.00024550,0.00025860,432424.78000000,2019-07-05 08:59:59.999,111.39082866,7750,210582.50000000,54.29862647,0
43,2019-07-05 09:00:00.000,0.00025890,0.00026900,0.00025510,0.00026410,172432.52000000,2019-07-06 08:59:59.999,45.18848637,2785,86909.92000000,22.78425512,0
44,2019-07-06 09:00:00.000,0.00026340,0.00029060,0.00025400,0.00027270,332186.66000000,2019-07-07 08:59:59.999,90.77426319,5771,160650.31000000,43.92326202,0
45,2019-07-07 09:00:00.000,0.00027290,0.00028150,0.00026260,0.00026840,224198.25000000,2019-07-08 08:59:59.999,60.91088934,4172,119259.86000000,32.39868818,0
46,2019-07-08 09:00:00.000,0.00026690,0.00027400,0.00022310,0.00023100,442087.00000000,2019-07-09 08:59:59.999,107.62728584,7136,209094.20000000,50.56645665,0
47,2019-07-09 09:00:00.000,0.00023170,0.00023260,0.00021580,0.00022100,293583.92000000,2019-07-10 08:59:59.999,65.44257903,4502,136934.95000000,30.51852839,0
48,2019-07-10 09:00:00.000,0.00022200,0.00022210,0.00019450,0.00021070,235139.77000000,2019-07-11 08:59:59.999,48.74613044,3845,114807.77000000,23.86631474,0
49,2019-07-11 09:00:00.000,0.00021070,0.00022080,0.00020210,0.00020430,155799.32000000,2019-07-12 08:59:59.999,32.57130443,2766,76568.56000000,15.99290606,0
50,2019-07-12 09:00:00.000,0.00020460,0.00022380,0.00019990,0.00021050,169829.21000000,2019-07-13 08:59:59.999,36.05658780,3227,86973.77000000,18.48466019,0
51,2019-07-13 09:00:00.000,0.00021130,0.00022450,0.00020820,0.00021440,163737.42000000,2019-07-14 08:59:59.999,35.43497186,3133,85721.03000000,18.56062903,0
52,2019-07-14 09:00:00.000,0.00021470,0.00022450,0.00020670,0.00020790,183209.11000000,2019-07-15 08:59:59.999,39.65575971,2854,89459.17000000,19.39474345,0
53,2019-07-15 09:00:00.000,0.00020910,0.00020910,0.00019040,0.00019390,167844.97000000,2019-07-16 08:59:59.999,33.53185832,2850,71629.41000000,14.32063751,0
54,2019-07-16 09:00:00.000,0.00019360,0.00019780,0.00017870,0.00018600,245028.39000000,2019-07-17 08:59:59.999,45.86193541,3952,114898.58000000,21.57936839,0
55,2019-07-17 09:00:00.000,0.00018650,0.00020780,0.00018040,0.00019680,235487.34000000,2019-07-18 08:59:59.999,45.86340811,4283,109575.84000000,21.29518485,0
56,2019-07-18 09:00:00.000,0.00019680,0.00020450,0.00018120,0.00018370,141712.77000000,2019-07-19 08:59:59.999,27.17907282,2478,71021.35000000,13.65746594,0
57,2019-07-19 09:00:00.000,0.00018310,0.00019460,0.00018240,0.00018820,195848.62000000,2019-07-20 08:59:59.999,36.91453477,3030,107273.51000000,20.23775839,0
58,2019-07-20 09:00:00.000,0.00018840,0.00020800,0.00018610,0.00019330,256288.14000000,2019-07-21 08:59:59.999,49.30555261,4265,127848.00000000,24.71078154,0
59,2019-07-21 09:00:00.000,0.00019330,0.00021190,0.00019330,0.00020900,139780.58000000,2019-07-22 08:59:59.999,28.26247742,2949,76703.82000000,15.54558365,0
60,2019-07-22 09:00:00.000,0.00020870,0.00021700,0.00020260,0.00020930,134954.49000000,2019-07-23 08:59:59.999,28.25871105,2905,65731.14000000,13.77174827,0
61,2019-07-23 09:00:00.000,0.00020920,0.00021000,0.00019510,0.00020060,127552.77000000,2019-07-24 08:59:59.999,25.80372720,2761,60151.09000000,12.17568139,0
62,2019-07-24 09:00:00.000,0.00020070,0.00021010,0.00019680,0.00020710,139206.64000000,2019-07-25 08:59:59.999,28.38936955,2493,66576.77000000,13.59529576,0
63,2019-07-25 09:00:00.000,0.00020750,0.00021250,0.00020500,0.00020510,173960.89000000,2019-07-26 08:59:59.999,36.10667461,2882,90165.08000000,18.73493262,0
64,2019-07-26 09:00:00.000,0.00020520,0.00021210,0.00020510,0.00020630,107859.80000000,2019-07-27 08:59:59.999,22.46704759,1718,45765.04000000,9.54756483,0
65,2019-07-27 09:00:00.000,0.00020570,0.00020700,0.00019620,0.00019920,168951.06000000,2019-07-28 08:59:59.999,33.98840004,2189,84367.90000000,16.98826203,0
66,2019-07-28 09:00:00.000,0.00019960,0.00021800,0.00019870,0.00020970,194121.44000000,2019-07-29 08:59:59.999,40.12875391,3181,103794.85000000,21.49670745,0
67,2019-07-29 09:00:00.000,0.00020970,0.00021690,0.00020520,0.00020990,145920.79000000,2019-07-30 08:59:59.999,30.79430743,3370,70930.16000000,14.98200673,0
68,2019-07-30 09:00:00.000,0.00021030,0.00021120,0.00020250,0.00020680,78733.89000000,2019-07-31 08:59:59.999,16.20330538,1546,43404.05000000,8.93900263,0
69,2019-07-31 09:00:00.000,0.00020690,0.00020860,0.00019350,0.00019570,126925.22000000,2019-08-01 08:59:59.999,25.61025227,1974,46447.33000000,9.36850321,0
70,2019-08-01 09:00:00.000,0.00019560,0.00019650,0.00017210,0.00017570,187059.15000000,2019-08-02 08:59:59.999,34.17238036,3095,83864.96000000,15.23184117,0
71,2019-08-02 09:00:00.000,0.00017520,0.00017800,0.00016840,0.00017110,133893.32000000,2019-08-03 08:59:59.999,23.10074661,2102,64165.98000000,11.08274360,0
72,2019-08-03 09:00:00.000,0.00017120,0.00017170,0.00016360,0.00016520,81621.93000000,2019-08-04 08:59:59.999,13.55752035,1401,35591.26000000,5.90904704,0
73,2019-08-04 09:00:00.000,0.00016540,0.00017300,0.00016130,0.00016190,98119.28000000,2019-08-05 08:59:59.999,16.39164130,1534,46763.24000000,7.83848123,0
74,2019-08-05 09:00:00.000,0.00016180,0.00016250,0.00013630,0.00013850,297816.68000000,2019-08-06 08:59:59.999,42.85723059,4562,145251.29000000,20.89575993,0
75,2019-08-06 09:00:00.000,0.00013860,0.00014180,0.00012840,0.00013620,251870.37000000,2019-08-07 08:59:59.999,33.96253894,3678,116803.14000000,15.76331802,0
76,2019-08-07 09:00:00.000,0.00013610,0.00014190,0.00012320,0.00012510,178673.97000000,2019-08-08 08:59:59.999,23.42099472,2413,91411.24000000,12.02022834,0
77,2019-08-08 09:00:00.000,0.00012480,0.00013280,0.00012100,0.00012140,120433.68000000,2019-08-09 08:59:59.999,15.05551758,1881,60747.43000000,7.60242729,0
78,2019-08-09 09:00:00.000,0.00012190,0.00012530,0.00011340,0.00011560,123909.26000000,2019-08-10 08:59:59.999,14.61037973,1560,62919.93000000,7.42308671,0
79,2019-08-10 09:00:00.000,0.00011560,0.00012190,0.00011460,0.00012080,107552.91000000,2019-08-11 08:59:59.999,12.75219974,1633,56092.67000000,6.64882190,0
80,2019-08-11 09:00:00.000,0.00012060,0.00013030,0.00011710,0.00011800,173456.18000000,2019-08-12 08:59:59.999,21.16374203,2523,81047.42000000,9.90777844,0
81,2019-08-12 09:00:00.000,0.00011810,0.00013040,0.00011760,0.00012500,129145.01000000,2019-08-13 08:59:59.999,16.12702302,1767,65089.55000000,8.11432187,0
82,2019-08-13 09:00:00.000,0.00012500,0.00013170,0.00012170,0.00012840,91253.41000000,2019-08-14 08:59:59.999,11.47049232,1296,51110.85000000,6.42179933,0
83,2019-08-14 09:00:00.000,0.00012780,0.00014800,0.00011920,0.00012380,407677.20000000,2019-08-15 08:59:59.999,53.46461390,4553,187345.80000000,24.64131995,0
84,2019-08-15 09:00:00.000,0.00012310,0.00012990,0.00011750,0.00012180,169279.97000000,2019-08-16 08:59:59.999,20.84165865,2548,83306.19000000,10.28878335,0
85,2019-08-16 09:00:00.000,0.00012170,0.00012550,0.00011250,0.00011750,233114.22000000,2019-08-17 08:59:59.999,27.33402169,3820,113215.70000000,13.29048201,0
86,2019-08-17 09:00:00.000,0.00011750,0.00012150,0.00011370,0.00011960,304480.12000000,2019-08-18 08:59:59.999,35.44601598,4256,141723.91000000,16.50766813,0
87,2019-08-18 09:00:00.000,0.00012010,0.00012110,0.00011700,0.00011850,81760.09000000,2019-08-19 08:59:59.999,9.73593371,948,43804.75000000,5.22585367,0
88,2019-08-19 09:00:00.000,0.00011850,0.00012140,0.00011580,0.00011660,80011.78000000,2019-08-20 08:59:59.999,9.48018812,848,36504.86000000,4.33376344,0
89,2019-08-20 09:00:00.000,0.00011640,0.00012090,0.00011420,0.00011690,75884.41000000,2019-08-21 08:59:59.999,8.93251497,1190,36273.54000000,4.27246908,0
90,2019-08-21 09:00:00.000,0.00011670,0.00012540,0.00011620,0.00012320,102500.21000000,2019-08-22 08:59:59.999,12.39210326,1278,51336.33000000,6.22215729,0
91,2019-08-22 09:00:00.000,0.00012370,0.00013950,0.00012130,0.00013380,308557.73000000,2019-08-23 08:59:59.999,40.70231165,4487,150491.17000000,19.88278840,0
92,2019-08-23 09:00:00.000,0.00013400,0.00013510,0.00012740,0.00012960,199854.06000000,2019-08-24 08:59:59.999,26.38200932,2471,101509.44000000,13.40556107,0
93,2019-08-24 09:00:00.000,0.00012990,0.00014610,0.00012940,0.00014090,407534.93000000,2019-08-25 08:59:59.999,57.33138840,5235,208789.85000000,29.29141090,0
94,2019-08-25 09:00:00.000,0.00014180,0.00014640,0.00013050,0.00013260,367910.08000000,2019-08-26 08:59:59.999,51.05264515,4796,191754.15000000,26.65836657,0
95,2019-08-26 09:00:00.000,0.00013240,0.00013410,0.00012390,0.00013040,173178.29000000,2019-08-27 08:59:59.999,22.53544180,3257,87417.51000000,11.40206281,0
96,2019-08-27 09:00:00.000,0.00013080,0.00013440,0.00012830,0.00013110,109219.46000000,2019-08-28 08:59:59.999,14.33453662,1097,53774.92000000,7.05398230,0
97,2019-08-28 09:00:00.000,0.00013210,0.00013790,0.00012510,0.00012910,158797.17000000,2019-08-29 08:59:59.999,20.89155695,2305,88072.92000000,11.56186424,0
98,2019-08-29 09:00:00.000,0.00012910,0.00013400,0.00012390,0.00013040,108478.47000000,2019-08-30 08:59:59.999,13.96444196,1493,44881.09000000,5.79276266,0
99,2019-08-30 09:00:00.000,0.00013020,0.00013230,0.00012560,0.00012560,85835.81000000,2019-08-31 08:59:59.999,11.08164684,1069,39269.90000000,5.07294563,0
100,2019-08-31 09:00:00.000,0.00012640,0.00013170,0.00012430,0.00012610,113470.77000000,2019-09-01 08:59:59.999,14.54179746,1697,46233.26000000,5.92635476,0
101,2019-09-01 09:00:00.000,0.00012570,0.00013670,0.00012520,0.00012660,81358.15000000,2019-09-02 08:59:59.999,10.57903430,1449,42742.97000000,5.55545935,0
102,2019-09-02 09:00:00.000,0.00012700,0.00012810,0.00011710,0.00011780,108709.02000000,2019-09-03 08:59:59.999,13.26552560,1279,53088.44000000,6.43883223,0
103,2019-09-03 09:00:00.000,0.00011780,0.00011810,0.00010890,0.00011030,172445.88000000,2019-09-04 08:59:59.999,19.42461492,1790,84855.04000000,9.56913131,0
104,2019-09-04 09:00:00.000,0.00011070,0.00011400,0.00010670,0.00010730,122450.55000000,2019-09-05 08:59:59.999,13.54595859,1679,57295.42000000,6.36300239,0
105,2019-09-05 09:00:00.000,0.00010840,0.00010920,0.00010380,0.00010670,68796.66000000,2019-09-06 08:59:59.999,7.29346043,962,31543.19000000,3.34391976,0
106,2019-09-06 09:00:00.000,0.00010720,0.00010720,0.00009930,0.00010450,73006.02000000,2019-09-07 08:59:59.999,7.48575962,1052,38978.15000000,4.00653243,0
107,2019-09-07 09:00:00.000,0.00010500,0.00011090,0.00010190,0.00010770,105819.48000000,2019-09-08 08:59:59.999,11.31184686,1310,44795.14000000,4.81817818,0
108,2019-09-08 09:00:00.000,0.00010780,0.00011310,0.00010580,0.00011040,78829.44000000,2019-09-09 08:59:59.999,8.58661963,1160,39099.90000000,4.26986397,0
109,2019-09-09 09:00:00.000,0.00011050,0.00011530,0.00010780,0.00011290,86106.58000000,2019-09-10 08:59:59.999,9.57856964,1313,39244.62000000,4.38140513,0
110,2019-09-10 09:00:00.000,0.00011220,0.00011890,0.00011190,0.00011400,100248.83000000,2019-09-11 08:59:59.999,11.62184495,1478,49498.67000000,5.74865073,0
111,2019-09-11 09:00:00.000,0.00011400,0.00011650,0.00010830,0.00011030,126878.48000000,2019-09-12 08:59:59.999,14.27955028,1302,69667.96000000,7.85155955,0
112,2019-09-12 09:00:00.000,0.00011080,0.00011290,0.00010040,0.00010070,311518.88000000,2019-09-13 08:59:59.999,33.21176127,7582,135280.37000000,14.45450919,0
113,2019-09-13 09:00:00.000,0.00010100,0.00010790,0.00009870,0.00010100,277656.44000000,2019-09-14 08:59:59.999,28.39817323,2431,137781.66000000,13.99512758,0
114,2019-09-14 09:00:00.000,0.00010040,0.00010580,0.00010010,0.00010180,102334.24000000,2019-09-15 08:59:59.999,10.45140563,1231,57460.08000000,5.86852849,0
115,2019-09-15 09:00:00.000,0.00010160,0.00010620,0.00010160,0.00010620,67995.68000000,2019-09-16 08:59:59.999,7.07530791,881,36519.00000000,3.80429309,0
116,2019-09-16 09:00:00.000,0.00010610,0.00010670,0.00010020,0.00010220,115425.53000000,2019-09-17 08:59:59.999,11.94636605,1672,40336.53000000,4.18321421,0
117,2019-09-17 09:00:00.000,0.00010250,0.00010830,0.00010100,0.00010560,121953.57000000,2019-09-18 08:59:59.999,12.79039838,1865,58817.61000000,6.17221631,0
118,2019-09-18 09:00:00.000,0.00010600,0.00011490,0.00010590,0.00011320,302143.27000000,2019-09-19 08:59:59.999,33.77004950,4527,156094.46000000,17.46617624,0
119,2019-09-19 09:00:00.000,0.00011300,0.00012140,0.00010890,0.00011380,442865.74000000,2019-09-20 08:59:59.999,51.35151387,5368,215330.14000000,25.02160406,0
120,2019-09-20 09:00:00.000,0.00011370,0.00012730,0.00011100,0.00012270,1258242.68000000,2019-09-21 08:59:59.999,150.55928876,22851,612284.10000000,73.41693924,0
121,2019-09-21 09:00:00.000,0.00012280,0.00012290,0.00011850,0.00011980,207211.46000000,2019-09-22 08:59:59.999,24.97585663,2830,84111.39000000,10.15130154,0
122,2019-09-22 09:00:00.000,0.00011970,0.00012490,0.00011470,0.00012070,167344.70000000,2019-09-23 08:59:59.999,20.04010068,1920,76274.81000000,9.12862340,0
123,2019-09-23 09:00:00.000,0.00012120,0.00012310,0.00011550,0.00012070,162090.38000000,2019-09-24 08:59:59.999,19.36407405,1771,73602.70000000,8.79916637,0
124,2019-09-24 09:00:00.000,0.00012080,0.00013220,0.00010520,0.00011000,618340.22000000,2019-09-25 08:59:59.999,75.37834773,9588,289623.18000000,35.49294104,0
125,2019-09-25 09:00:00.000,0.00011000,0.00011920,0.00010890,0.00011840,175021.14000000,2019-09-26 08:59:59.999,19.73262657,2297,91478.23000000,10.34901554,0
126,2019-09-26 09:00:00.000,0.00011880,0.00012700,0.00011500,0.00012530,181819.36000000,2019-09-27 08:59:59.999,22.01829950,2499,81392.53000000,9.89026318,0
127,2019-09-27 09:00:00.000,0.00012520,0.00013140,0.00012140,0.00012740,223895.38000000,2019-09-28 08:59:59.999,28.26747459,2849,112733.16000000,14.27032381,0
128,2019-09-28 09:00:00.000,0.00012720,0.00013200,0.00012540,0.00012700,136577.60000000,2019-09-29 08:59:59.999,17.54449796,1692,63516.15000000,8.17812208,0
129,2019-09-29 09:00:00.000,0.00012700,0.00012760,0.00012020,0.00012140,78136.85000000,2019-09-30 08:59:59.999,9.64987723,1379,34085.52000000,4.21913232,0
130,2019-09-30 09:00:00.000,0.00012150,0.00013200,0.00012120,0.00012580,133891.96000000,2019-10-01 08:59:59.999,16.91862474,2096,73308.29000000,9.26869563,0
131,2019-10-01 09:00:00.000,0.00012560,0.00013680,0.00012320,0.00012710,284041.84000000,2019-10-02 08:59:59.999,36.52402041,3531,128537.71000000,16.58049614,0
132,2019-10-02 09:00:00.000,0.00012690,0.00013490,0.00012420,0.00013010,171975.36000000,2019-10-03 08:59:59.999,22.32961766,2621,80970.46000000,10.51912871,0
133,2019-10-03 09:00:00.000,0.00012990,0.00014200,0.00012930,0.00013910,246523.50000000,2019-10-04 08:59:59.999,33.24026562,3258,125344.42000000,16.93211725,0
134,2019-10-04 09:00:00.000,0.00013910,0.00014380,0.00013650,0.00014160,235663.22000000,2019-10-05 08:59:59.999,33.12133281,3270,106805.69000000,15.01843130,0
135,2019-10-05 09:00:00.000,0.00014180,0.00014390,0.00013620,0.00013730,265332.51000000,2019-10-06 08:59:59.999,37.15650861,4371,111902.93000000,15.72551185,0
136,2019-10-06 09:00:00.000,0.00013710,0.00014330,0.00013440,0.00014060,317371.46000000,2019-10-07 08:59:59.999,44.13369594,5056,140217.65000000,19.53949215,0
137,2019-10-07 09:00:00.000,0.00014100,0.00015000,0.00014050,0.00014850,322735.83000000,2019-10-08 08:59:59.999,47.09039354,4282,149462.45000000,21.83453785,0
138,2019-10-08 09:00:00.000,0.00014850,0.00016280,0.00014680,0.00016030,361737.92000000,2019-10-09 08:59:59.999,56.22369432,4844,179096.51000000,27.86550031,0
139,2019-10-09 09:00:00.000,0.00016050,0.00016790,0.00013630,0.00014920,489006.24000000,2019-10-10 08:59:59.999,74.75404513,5993,221349.35000000,33.97925268,0
140,2019-10-10 09:00:00.000,0.00014920,0.00015040,0.00013690,0.00014790,216319.38000000,2019-10-11 08:59:59.999,31.23162627,3045,94368.73000000,13.58465756,0
141,2019-10-11 09:00:00.000,0.00014820,0.00014860,0.00013160,0.00014280,218062.07000000,2019-10-12 08:59:59.999,30.62430601,3430,100415.95000000,14.12922128,0
