,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00014410,0.00014430,0.00013760,0.00014020,218284.29000000,2019-05-24 08:59:59.999,30.74946480,4764,92918.83000000,13.08833483,0
1,2019-05-24 09:00:00.000,0.00014040,0.00014850,0.00013900,0.00014140,310343.87000000,2019-05-25 08:59:59.999,44.01809220,8053,177372.32000000,25.20414991,0
2,2019-05-25 09:00:00.000,0.00014150,0.00014150,0.00013560,0.00013790,155180.86000000,2019-05-26 08:59:59.999,21.45735756,4500,77478.81000000,10.71004539,0
3,2019-05-26 09:00:00.000,0.00013780,0.00014490,0.00012600,0.00013230,330573.28000000,2019-05-27 08:59:59.999,45.32032940,6944,164244.28000000,22.48107442,0
4,2019-05-27 09:00:00.000,0.00013260,0.00013500,0.00013000,0.00013150,228879.48000000,2019-05-28 08:59:59.999,30.31203279,4900,111620.41000000,14.80550289,0
5,2019-05-28 09:00:00.000,0.00013140,0.00013330,0.00013020,0.00013150,204127.20000000,2019-05-29 08:59:59.999,26.85235377,3693,103660.21000000,13.63704567,0
6,2019-05-29 09:00:00.000,0.00013170,0.00013180,0.00012760,0.00012830,228058.49000000,2019-05-30 08:59:59.999,29.46660820,4043,118671.06000000,15.32245660,0
7,2019-05-30 09:00:00.000,0.00012860,0.00013520,0.00012700,0.00013520,536396.06000000,2019-05-31 08:59:59.999,70.73487847,9048,273239.86000000,36.04406323,0
8,2019-05-31 09:00:00.000,0.00013530,0.00014490,0.00013030,0.00013780,659262.50000000,2019-06-01 08:59:59.999,90.70746775,10981,274398.62000000,37.76529982,0
9,2019-06-01 09:00:00.000,0.00013770,0.00013870,0.00013300,0.00013580,353022.23000000,2019-06-02 08:59:59.999,47.93149851,7327,207485.83000000,28.19846893,0
10,2019-06-02 09:00:00.000,0.00013580,0.00013710,0.00013290,0.00013420,241985.42000000,2019-06-03 08:59:59.999,32.54303340,5490,98242.06000000,13.23746323,0
11,2019-06-03 09:00:00.000,0.00013420,0.00013580,0.00012910,0.00013230,268762.88000000,2019-06-04 08:59:59.999,35.60232500,5024,110813.11000000,14.72178220,0
12,2019-06-04 09:00:00.000,0.00013270,0.00015670,0.00013120,0.00015360,752985.67000000,2019-06-05 08:59:59.999,110.77860522,13697,388892.25000000,57.28160370,0
13,2019-06-05 09:00:00.000,0.00015370,0.00021680,0.00015040,0.00018690,7275479.34000000,2019-06-06 08:59:59.999,1354.41117180,71269,3530346.21000000,659.06121681,0
14,2019-06-06 09:00:00.000,0.00018720,0.00020200,0.00018350,0.00019350,1225476.05000000,2019-06-07 08:59:59.999,235.22001505,16432,611492.76000000,117.52991675,0
15,2019-06-07 09:00:00.000,0.00019350,0.00019510,0.00018330,0.00018550,492038.52000000,2019-06-08 08:59:59.999,92.57895392,10576,237323.48000000,44.67471946,0
16,2019-06-08 09:00:00.000,0.00018560,0.00019900,0.00018290,0.00019790,433768.10000000,2019-06-09 08:59:59.999,81.64060347,9242,277921.66000000,52.47492706,0
17,2019-06-09 09:00:00.000,0.00019830,0.00032800,0.00019680,0.00030840,7702747.94000000,2019-06-10 08:59:59.999,2155.90140030,111059,4111977.47000000,1144.82053303,0
18,2019-06-10 09:00:00.000,0.00030820,0.00040730,0.00026550,0.00028470,11796084.30000000,2019-06-11 08:59:59.999,3725.71635335,111588,5895893.76000000,1872.01662909,0
19,2019-06-11 09:00:00.000,0.00028470,0.00032200,0.00025900,0.00030170,3108789.70000000,2019-06-12 08:59:59.999,903.94481528,34710,1551848.23000000,453.93177610,0
20,2019-06-12 09:00:00.000,0.00030230,0.00031650,0.00027810,0.00028280,1736009.86000000,2019-06-13 08:59:59.999,512.92633414,24654,800387.18000000,237.30375697,0
21,2019-06-13 09:00:00.000,0.00028380,0.00028860,0.00026740,0.00027220,782962.35000000,2019-06-14 08:59:59.999,217.44402184,11784,305582.14000000,84.93337627,0
22,2019-06-14 09:00:00.000,0.00027240,0.00028260,0.00025280,0.00025330,510974.64000000,2019-06-15 08:59:59.999,135.89657470,8067,205857.67000000,54.93139010,0
23,2019-06-15 09:00:00.000,0.00025390,0.00028630,0.00025160,0.00027630,596488.19000000,2019-06-16 08:59:59.999,160.22346652,9654,233761.36000000,62.75526098,0
24,2019-06-16 09:00:00.000,0.00027610,0.00027820,0.00024620,0.00025200,567623.63000000,2019-06-17 08:59:59.999,146.40659954,8665,219281.19000000,56.60916357,0
25,2019-06-17 09:00:00.000,0.00025200,0.00025610,0.00024710,0.00024800,204584.76000000,2019-06-18 08:59:59.999,51.17946754,3125,93499.56000000,23.40502474,0
26,2019-06-18 09:00:00.000,0.00024800,0.00030990,0.00024500,0.00027180,2592164.86000000,2019-06-19 08:59:59.999,713.26821729,27282,1164329.33000000,320.71393571,0
27,2019-06-19 09:00:00.000,0.00027170,0.00027810,0.00025380,0.00025740,1258681.04000000,2019-06-20 08:59:59.999,333.50216109,14379,561745.15000000,149.06139185,0
28,2019-06-20 09:00:00.000,0.00025730,0.00026130,0.00023440,0.00023800,1620903.52000000,2019-06-21 08:59:59.999,398.82167471,17352,783148.04000000,192.80891465,0
29,2019-06-21 09:00:00.000,0.00023770,0.00024560,0.00021990,0.00022060,2033266.65000000,2019-06-22 08:59:59.999,473.76633245,20776,1002902.98000000,233.63695851,0
30,2019-06-22 09:00:00.000,0.00022030,0.00023960,0.00020180,0.00022140,1934760.38000000,2019-06-23 08:59:59.999,420.23615764,26328,977305.94000000,212.29558907,0
31,2019-06-23 09:00:00.000,0.00022140,0.00027000,0.00021660,0.00024580,4489086.91000000,2019-06-24 08:59:59.999,1114.58087335,51586,2242641.90000000,557.49566259,0
32,2019-06-24 09:00:00.000,0.00024570,0.00026330,0.00021770,0.00021920,5829730.35000000,2019-06-25 08:59:59.999,1401.44598660,64783,2850667.82000000,686.21958156,0
33,2019-06-25 09:00:00.000,0.00021930,0.00021960,0.00019910,0.00020150,6507607.71000000,2019-06-26 08:59:59.999,1366.59828566,49138,3215884.45000000,675.23423216,0
34,2019-06-26 09:00:00.000,0.00020150,0.00020330,0.00016200,0.00016930,1071296.90000000,2019-06-27 08:59:59.999,195.92158700,13796,516795.24000000,94.77184929,0
35,2019-06-27 09:00:00.000,0.00016970,0.00018050,0.00015990,0.00016980,818610.83000000,2019-06-28 08:59:59.999,137.36387303,11029,379402.20000000,63.79532331,0
36,2019-06-28 09:00:00.000,0.00016950,0.00018900,0.00016360,0.00016880,786369.01000000,2019-06-29 08:59:59.999,139.38621372,10852,373676.16000000,66.25752743,0
37,2019-06-29 09:00:00.000,0.00016890,0.00020530,0.00016890,0.00018990,734076.88000000,2019-06-30 08:59:59.999,137.66465339,10772,377251.10000000,70.74015443,0
38,2019-06-30 09:00:00.000,0.00019070,0.00019840,0.00018560,0.00018620,495076.07000000,2019-07-01 08:59:59.999,94.85488164,9615,172492.71000000,32.98777022,0
39,2019-07-01 09:00:00.000,0.00018660,0.00020460,0.00018600,0.00019790,303290.43000000,2019-07-02 08:59:59.999,59.49568494,8075,144680.99000000,28.42695915,0
40,2019-07-02 09:00:00.000,0.00019790,0.00020770,0.00018960,0.00019150,187715.57000000,2019-07-03 08:59:59.999,37.37000726,6132,86722.54000000,17.33941092,0
41,2019-07-03 09:00:00.000,0.00019150,0.00019180,0.00017330,0.00017460,142341.16000000,2019-07-04 08:59:59.999,26.04816237,2388,64578.77000000,11.84738730,0
42,2019-07-04 09:00:00.000,0.00017510,0.00018840,0.00017220,0.00018580,159188.26000000,2019-07-05 08:59:59.999,28.54903191,2399,75805.06000000,13.61867513,0
43,2019-07-05 09:00:00.000,0.00018620,0.00018900,0.00018020,0.00018410,106857.54000000,2019-07-06 08:59:59.999,19.74351531,1936,58599.24000000,10.84971669,0
44,2019-07-06 09:00:00.000,0.00018380,0.00018800,0.00017660,0.00018200,188358.30000000,2019-07-07 08:59:59.999,34.15339508,2824,86341.48000000,15.67595199,0
45,2019-07-07 09:00:00.000,0.00018270,0.00019150,0.00018100,0.00018180,148665.50000000,2019-07-08 08:59:59.999,27.57445830,3050,57849.23000000,10.76575812,0
46,2019-07-08 09:00:00.000,0.00018190,0.00018300,0.00016780,0.00016880,126517.37000000,2019-07-09 08:59:59.999,22.44320141,2335,53567.75000000,9.51998502,0
47,2019-07-09 09:00:00.000,0.00016880,0.00017130,0.00016300,0.00016530,93865.85000000,2019-07-10 08:59:59.999,15.65564910,1462,48317.29000000,8.07179249,0
48,2019-07-10 09:00:00.000,0.00016540,0.00016540,0.00014530,0.00015090,151313.76000000,2019-07-11 08:59:59.999,23.14659355,2461,65244.10000000,10.01885570,0
49,2019-07-11 09:00:00.000,0.00015110,0.00015300,0.00013670,0.00014430,377407.52000000,2019-07-12 08:59:59.999,54.45605299,6362,189769.86000000,27.43774851,0
50,2019-07-12 09:00:00.000,0.00014440,0.00015490,0.00014070,0.00015250,213344.95000000,2019-07-13 08:59:59.999,31.78128990,4553,106081.67000000,15.84251977,0
51,2019-07-13 09:00:00.000,0.00015230,0.00015320,0.00014480,0.00014520,130454.92000000,2019-07-14 08:59:59.999,19.31153327,2890,70278.23000000,10.42138223,0
52,2019-07-14 09:00:00.000,0.00014520,0.00014870,0.00013590,0.00013950,283710.63000000,2019-07-15 08:59:59.999,40.51746728,7106,143857.63000000,20.63268892,0
53,2019-07-15 09:00:00.000,0.00013950,0.00014520,0.00013090,0.00013870,404384.11000000,2019-07-16 08:59:59.999,55.86601519,13474,200085.39000000,27.76273857,0
54,2019-07-16 09:00:00.000,0.00013870,0.00014040,0.00013330,0.00014040,158660.36000000,2019-07-17 08:59:59.999,21.68643383,3695,71269.33000000,9.76053994,0
55,2019-07-17 09:00:00.000,0.00014030,0.00014320,0.00013630,0.00013850,236491.16000000,2019-07-18 08:59:59.999,32.91928534,4589,110910.28000000,15.47244098,0
56,2019-07-18 09:00:00.000,0.00013830,0.00015350,0.00013610,0.00014420,507473.30000000,2019-07-19 08:59:59.999,73.47625684,8637,249130.85000000,36.02891343,0
57,2019-07-19 09:00:00.000,0.00014460,0.00014670,0.00013850,0.00014630,225020.61000000,2019-07-20 08:59:59.999,31.93365938,3774,108963.11000000,15.48976620,0
58,2019-07-20 09:00:00.000,0.00014640,0.00015470,0.00014570,0.00015220,137397.67000000,2019-07-21 08:59:59.999,20.55005288,3003,69464.80000000,10.40397755,0
59,2019-07-21 09:00:00.000,0.00015220,0.00015280,0.00014610,0.00015060,142170.02000000,2019-07-22 08:59:59.999,21.23526711,4438,69264.35000000,10.36842041,0
60,2019-07-22 09:00:00.000,0.00015100,0.00015300,0.00014410,0.00014610,158791.14000000,2019-07-23 08:59:59.999,23.41866410,4799,68220.63000000,10.05754231,0
61,2019-07-23 09:00:00.000,0.00014640,0.00014820,0.00014020,0.00014520,175684.28000000,2019-07-24 08:59:59.999,25.24579219,5421,87241.89000000,12.55314581,0
62,2019-07-24 09:00:00.000,0.00014510,0.00015240,0.00014330,0.00015030,80092.20000000,2019-07-25 08:59:59.999,11.84834650,2387,49139.30000000,7.27031846,0
63,2019-07-25 09:00:00.000,0.00015040,0.00017500,0.00014940,0.00016210,797251.60000000,2019-07-26 08:59:59.999,131.24632225,13247,441100.38000000,72.65289976,0
64,2019-07-26 09:00:00.000,0.00016200,0.00016310,0.00015400,0.00015500,260132.50000000,2019-07-27 08:59:59.999,41.12268043,4213,96063.82000000,15.21686423,0
65,2019-07-27 09:00:00.000,0.00015520,0.00015520,0.00014700,0.00015060,265650.78000000,2019-07-28 08:59:59.999,40.17209616,3597,113048.20000000,17.11867534,0
66,2019-07-28 09:00:00.000,0.00015020,0.00015200,0.00014550,0.00014770,150342.36000000,2019-07-29 08:59:59.999,22.36996311,2327,74951.80000000,11.17278301,0
67,2019-07-29 09:00:00.000,0.00014790,0.00015380,0.00014580,0.00015280,157539.54000000,2019-07-30 08:59:59.999,23.62751100,3444,82359.76000000,12.37333056,0
68,2019-07-30 09:00:00.000,0.00015230,0.00015740,0.00015060,0.00015490,182036.50000000,2019-07-31 08:59:59.999,28.08721841,3909,82691.44000000,12.76528427,0
69,2019-07-31 09:00:00.000,0.00015490,0.00017770,0.00015160,0.00017510,966140.46000000,2019-08-01 08:59:59.999,162.91113414,17591,497122.43000000,83.73782367,0
