,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-09-29 09:00:00.000,0.00000383,0.00000544,0.00000383,0.00000443,73433653.00000000,2019-09-30 08:59:59.999,333.90749790,16971,30866029.00000000,141.11281830,0
1,2019-09-30 09:00:00.000,0.00000442,0.00000590,0.00000433,0.00000457,158310259.00000000,2019-10-01 08:59:59.999,789.60001351,30875,76166487.00000000,381.64254040,0
2,2019-10-01 09:00:00.000,0.00000457,0.00000484,0.00000447,0.00000468,40655360.00000000,2019-10-02 08:59:59.999,188.23829036,9889,19362765.00000000,89.81905004,0
3,2019-10-02 09:00:00.000,0.00000467,0.00000477,0.00000436,0.00000448,19714866.00000000,2019-10-03 08:59:59.999,88.92086047,6211,9147228.00000000,41.44802186,0
4,2019-10-03 09:00:00.000,0.00000449,0.00000481,0.00000442,0.00000456,24358752.00000000,2019-10-04 08:59:59.999,111.82429322,8036,11617646.00000000,53.56280684,0
5,2019-10-04 09:00:00.000,0.00000456,0.00000480,0.00000449,0.00000475,17907439.00000000,2019-10-05 08:59:59.999,82.89204057,7134,8988108.00000000,41.78574656,0
6,2019-10-05 09:00:00.000,0.00000475,0.00000522,0.00000470,0.00000516,50936013.00000000,2019-10-06 08:59:59.999,255.33642900,17329,24356460.00000000,122.16634305,0
7,2019-10-06 09:00:00.000,0.00000514,0.00000518,0.00000475,0.00000484,17893753.00000000,2019-10-07 08:59:59.999,88.40714462,6769,6893060.00000000,34.01897227,0
8,2019-10-07 09:00:00.000,0.00000483,0.00000484,0.00000454,0.00000467,26395113.00000000,2019-10-08 08:59:59.999,122.95488691,7219,9355640.00000000,43.74712556,0
9,2019-10-08 09:00:00.000,0.00000467,0.00000480,0.00000449,0.00000476,12747320.00000000,2019-10-09 08:59:59.999,59.24633497,4424,5972916.00000000,27.87790860,0
10,2019-10-09 09:00:00.000,0.00000475,0.00000487,0.00000450,0.00000457,18547911.00000000,2019-10-10 08:59:59.999,86.78665864,5641,7499259.00000000,35.26651884,0
11,2019-10-10 09:00:00.000,0.00000456,0.00000457,0.00000426,0.00000448,11287352.00000000,2019-10-11 08:59:59.999,49.61526153,3362,5920381.00000000,26.02649732,0
12,2019-10-11 09:00:00.000,0.00000446,0.00000447,0.00000421,0.00000434,11567435.00000000,2019-10-12 08:59:59.999,50.09097701,3434,4878904.00000000,21.19532958,0
13,2019-10-12 09:00:00.000,0.00000436,0.00000437,0.00000417,0.00000424,8996946.00000000,2019-10-13 08:59:59.999,38.25966113,2165,3423343.00000000,14.60560840,0
14,2019-10-13 09:00:00.000,0.00000423,0.00000427,0.00000398,0.00000400,11186613.00000000,2019-10-14 08:59:59.999,45.77680493,2421,3970420.00000000,16.25564566,0
15,2019-10-14 09:00:00.000,0.00000400,0.00000460,0.00000392,0.00000441,41161863.00000000,2019-10-15 08:59:59.999,173.20109793,8752,20649861.00000000,86.99627172,0
16,2019-10-15 09:00:00.000,0.00000441,0.00000504,0.00000431,0.00000462,60476169.00000000,2019-10-16 08:59:59.999,276.50916840,12983,28040753.00000000,128.74034649,0
17,2019-10-16 09:00:00.000,0.00000462,0.00000475,0.00000437,0.00000467,33988738.00000000,2019-10-17 08:59:59.999,155.45508778,7386,13943985.00000000,63.92382824,0
18,2019-10-17 09:00:00.000,0.00000468,0.00000468,0.00000410,0.00000433,22449391.00000000,2019-10-18 08:59:59.999,97.56257282,5497,9275276.00000000,40.28388334,0
19,2019-10-18 09:00:00.000,0.00000435,0.00000451,0.00000419,0.00000425,17129845.00000000,2019-10-19 08:59:59.999,74.31079003,4222,6824081.00000000,29.75184176,0
20,2019-10-19 09:00:00.000,0.00000425,0.00000430,0.00000412,0.00000422,7146473.00000000,2019-10-20 08:59:59.999,30.08977876,1626,2496600.00000000,10.52670495,0
21,2019-10-20 09:00:00.000,0.00000423,0.00000425,0.00000400,0.00000403,6942491.00000000,2019-10-21 08:59:59.999,28.60016645,2037,3179341.00000000,13.12566806,0
22,2019-10-21 09:00:00.000,0.00000403,0.00000419,0.00000403,0.00000406,15813440.00000000,2019-10-22 08:59:59.999,65.04719807,3769,7454617.00000000,30.72954460,0
23,2019-10-22 09:00:00.000,0.00000406,0.00000408,0.00000385,0.00000393,29968306.00000000,2019-10-23 08:59:59.999,118.47546026,6696,10816966.00000000,42.88548209,0
24,2019-10-23 09:00:00.000,0.00000393,0.00000395,0.00000362,0.00000375,41370378.00000000,2019-10-24 08:59:59.999,154.75880342,10183,16749053.00000000,62.70098002,0
25,2019-10-24 09:00:00.000,0.00000374,0.00000401,0.00000362,0.00000385,28088035.00000000,2019-10-25 08:59:59.999,106.96872738,7494,13968842.00000000,53.42431084,0
26,2019-10-25 09:00:00.000,0.00000385,0.00000406,0.00000346,0.00000354,35930813.00000000,2019-10-26 08:59:59.999,134.74198693,9991,16566560.00000000,62.24656475,0
27,2019-10-26 09:00:00.000,0.00000355,0.00000375,0.00000313,0.00000330,23183080.00000000,2019-10-27 08:59:59.999,76.47396987,6293,10173507.00000000,33.64992356,0
28,2019-10-27 09:00:00.000,0.00000330,0.00000337,0.00000311,0.00000335,13350072.00000000,2019-10-28 08:59:59.999,43.21930396,4924,6148591.00000000,20.00290759,0
29,2019-10-28 09:00:00.000,0.00000335,0.00000355,0.00000317,0.00000344,23679973.00000000,2019-10-29 08:59:59.999,79.52242783,6804,11507875.00000000,38.71143249,0
30,2019-10-29 09:00:00.000,0.00000345,0.00000371,0.00000339,0.00000362,30690172.00000000,2019-10-30 08:59:59.999,109.03292185,9298,14089927.00000000,50.12889427,0
31,2019-10-30 09:00:00.000,0.00000363,0.00000373,0.00000343,0.00000358,18494147.00000000,2019-10-31 08:59:59.999,66.05907749,5407,8033986.00000000,28.73605625,0
32,2019-10-31 09:00:00.000,0.00000359,0.00000365,0.00000345,0.00000363,17300896.00000000,2019-11-01 08:59:59.999,61.43639557,4507,7611425.00000000,27.14526627,0
33,2019-11-01 09:00:00.000,0.00000363,0.00000383,0.00000359,0.00000377,13667013.00000000,2019-11-02 08:59:59.999,50.80944060,4961,7073017.00000000,26.33643701,0
34,2019-11-02 09:00:00.000,0.00000377,0.00000377,0.00000357,0.00000371,7959834.00000000,2019-11-03 08:59:59.999,29.07741208,3019,3057753.00000000,11.20053589,0
35,2019-11-03 09:00:00.000,0.00000370,0.00000404,0.00000358,0.00000402,40852673.00000000,2019-11-04 08:59:59.999,157.95784711,10496,18040657.00000000,69.84228385,0
36,2019-11-04 09:00:00.000,0.00000402,0.00000427,0.00000378,0.00000388,63689024.00000000,2019-11-05 08:59:59.999,255.77770155,16941,27957788.00000000,112.68005510,0
37,2019-11-05 09:00:00.000,0.00000387,0.00000398,0.00000378,0.00000388,18765574.00000000,2019-11-06 08:59:59.999,73.04190706,4514,7466098.00000000,29.11344481,0
38,2019-11-06 09:00:00.000,0.00000389,0.00000391,0.00000360,0.00000366,22243799.00000000,2019-11-07 08:59:59.999,82.59657807,4905,8689959.00000000,32.37445733,0
39,2019-11-07 09:00:00.000,0.00000366,0.00000368,0.00000344,0.00000355,12290212.00000000,2019-11-08 08:59:59.999,43.43942418,3263,4712707.00000000,16.66868770,0
40,2019-11-08 09:00:00.000,0.00000355,0.00000399,0.00000355,0.00000374,28186099.00000000,2019-11-09 08:59:59.999,107.38823476,7182,13545878.00000000,51.63489119,0
41,2019-11-09 09:00:00.000,0.00000375,0.00000449,0.00000374,0.00000418,75648745.00000000,2019-11-10 08:59:59.999,317.51604189,22521,36367067.00000000,152.71247550,0
42,2019-11-10 09:00:00.000,0.00000419,0.00000419,0.00000383,0.00000391,23077751.00000000,2019-11-11 08:59:59.999,92.27956105,6834,9974247.00000000,39.89909017,0
43,2019-11-11 09:00:00.000,0.00000392,0.00000397,0.00000380,0.00000396,12707139.00000000,2019-11-12 08:59:59.999,49.47984413,3584,6132929.00000000,23.91904212,0
44,2019-11-12 09:00:00.000,0.00000395,0.00000406,0.00000390,0.00000399,10325045.00000000,2019-11-13 08:59:59.999,41.17258481,3115,4809108.00000000,19.23831170,0
45,2019-11-13 09:00:00.000,0.00000399,0.00000406,0.00000378,0.00000403,22859397.00000000,2019-11-14 08:59:59.999,89.13455689,6244,9372777.00000000,36.57482440,0
46,2019-11-14 09:00:00.000,0.00000403,0.00000406,0.00000390,0.00000392,5838391.00000000,2019-11-15 08:59:59.999,23.20251179,2601,2030514.00000000,8.07293430,0
47,2019-11-15 09:00:00.000,0.00000392,0.00000396,0.00000344,0.00000382,12654839.00000000,2019-11-16 08:59:59.999,47.81518951,4117,4244625.00000000,16.21027464,0
48,2019-11-16 09:00:00.000,0.00000383,0.00000390,0.00000376,0.00000386,3839218.00000000,2019-11-17 08:59:59.999,14.73832193,1842,2131353.00000000,8.18796298,0
49,2019-11-17 09:00:00.000,0.00000385,0.00000408,0.00000380,0.00000384,7522717.00000000,2019-11-18 08:59:59.999,29.44654010,2979,3633425.00000000,14.23873446,0
50,2019-11-18 09:00:00.000,0.00000384,0.00000386,0.00000366,0.00000374,7471755.00000000,2019-11-19 08:59:59.999,28.15262291,2748,3328058.00000000,12.53037953,0
51,2019-11-19 09:00:00.000,0.00000375,0.00000380,0.00000352,0.00000373,8249469.00000000,2019-11-20 08:59:59.999,29.93718033,3359,3407929.00000000,12.39238205,0
