,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00016080,0.00016240,0.00015310,0.00015530,202829.48000000,2019-05-24 08:59:59.999,31.81485899,3958,98408.62000000,15.44195461,0
1,2019-05-24 09:00:00.000,0.00015630,0.00016000,0.00015090,0.00015560,182080.81000000,2019-05-25 08:59:59.999,28.48745850,3400,77179.53000000,12.07297407,0
2,2019-05-25 09:00:00.000,0.00015580,0.00015770,0.00014880,0.00015180,101925.57000000,2019-05-26 08:59:59.999,15.55217611,2008,52639.86000000,8.03135096,0
3,2019-05-26 09:00:00.000,0.00015180,0.00015970,0.00014330,0.00014920,258959.89000000,2019-05-27 08:59:59.999,39.32858312,4275,120667.42000000,18.31589796,0
4,2019-05-27 09:00:00.000,0.00014840,0.00015180,0.00014450,0.00014970,191356.84000000,2019-05-28 08:59:59.999,28.30520945,3689,103672.51000000,15.34413635,0
5,2019-05-28 09:00:00.000,0.00015050,0.00015180,0.00014690,0.00015000,179860.97000000,2019-05-29 08:59:59.999,26.83635923,3138,74581.54000000,11.13906425,0
6,2019-05-29 09:00:00.000,0.00015000,0.00015350,0.00014260,0.00014910,223293.71000000,2019-05-30 08:59:59.999,32.88568223,4187,112901.94000000,16.62470420,0
7,2019-05-30 09:00:00.000,0.00014920,0.00019760,0.00014850,0.00018820,2092903.33000000,2019-05-31 08:59:59.999,362.13990220,34092,1026562.69000000,177.21093203,0
8,2019-05-31 09:00:00.000,0.00018810,0.00022900,0.00017490,0.00021150,4250737.52000000,2019-06-01 08:59:59.999,867.95660430,70809,2161652.10000000,442.33144877,0
9,2019-06-01 09:00:00.000,0.00021190,0.00023500,0.00019800,0.00020280,1858759.85000000,2019-06-02 08:59:59.999,401.69840639,36098,966816.80000000,208.85447227,0
10,2019-06-02 09:00:00.000,0.00020400,0.00021490,0.00019730,0.00021280,939856.45000000,2019-06-03 08:59:59.999,194.88622478,37417,497815.44000000,103.41375784,0
