,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-09-24 09:00:00.000,0.00018010,0.00200000,0.00018010,0.00021380,4865437.90000000,2020-09-25 08:59:59.999,1362.37309265,76756,2090155.41000000,580.55265888,0
1,2020-09-25 09:00:00.000,0.00021380,0.00021750,0.00017410,0.00017520,1143496.26000000,2020-09-26 08:59:59.999,223.46934369,21317,481926.64000000,95.01386552,0
2,2020-09-26 09:00:00.000,0.00017510,0.00018030,0.00016300,0.00016500,687453.98000000,2020-09-27 08:59:59.999,118.02224865,12113,257008.29000000,44.26655228,0
3,2020-09-27 09:00:00.000,0.00016610,0.00016690,0.00014040,0.00014180,333072.56000000,2020-09-28 08:59:59.999,51.21507563,6680,132795.65000000,20.55186505,0
4,2020-09-28 09:00:00.000,0.00014180,0.00018210,0.00014170,0.00015450,1399159.46000000,2020-09-29 08:59:59.999,227.88114025,37002,700399.95000000,114.74361067,0
5,2020-09-29 09:00:00.000,0.00015450,0.00016060,0.00014000,0.00015100,283671.52000000,2020-09-30 08:59:59.999,42.47793604,7196,134999.66000000,20.33299550,0
6,2020-09-30 09:00:00.000,0.00015130,0.00015180,0.00014210,0.00014580,149545.40000000,2020-10-01 08:59:59.999,21.79378630,3869,67252.34000000,9.81789822,0
7,2020-10-01 09:00:00.000,0.00014620,0.00015950,0.00014100,0.00014510,199819.56000000,2020-10-02 08:59:59.999,29.65584618,4008,74391.34000000,11.18171066,0
8,2020-10-02 09:00:00.000,0.00014510,0.00014530,0.00014000,0.00014530,102377.35000000,2020-10-03 08:59:59.999,14.53870584,3174,38307.94000000,5.45061497,0
9,2020-10-03 09:00:00.000,0.00014460,0.00015150,0.00014300,0.00014560,41234.33000000,2020-10-04 08:59:59.999,6.11701102,1204,24402.88000000,3.61677013,0
