,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000022,0.00000028,0.00000022,0.00000026,4646848738.00000000,2019-05-24 08:59:59.999,1150.04458046,9975,2716268023.00000000,681.64766734,0
1,2019-05-24 09:00:00.000,0.00000027,0.00000027,0.00000024,0.00000024,2974737521.00000000,2019-05-25 08:59:59.999,754.85598872,6835,1242478561.00000000,318.45806997,0
2,2019-05-25 09:00:00.000,0.00000024,0.00000025,0.00000023,0.00000024,1549943461.00000000,2019-05-26 08:59:59.999,372.15341315,3763,581013971.00000000,140.48188383,0
3,2019-05-26 09:00:00.000,0.00000023,0.00000026,0.00000022,0.00000024,2870098152.00000000,2019-05-27 08:59:59.999,686.92751520,5806,1485600378.00000000,359.96654002,0
4,2019-05-27 09:00:00.000,0.00000024,0.00000026,0.00000023,0.00000024,2892365167.00000000,2019-05-28 08:59:59.999,705.73852877,7383,1624543215.00000000,398.33576968,0
5,2019-05-28 09:00:00.000,0.00000025,0.00000029,0.00000024,0.00000028,4562660154.00000000,2019-05-29 08:59:59.999,1221.39767920,12239,2799472015.00000000,751.33920547,0
6,2019-05-29 09:00:00.000,0.00000028,0.00000031,0.00000027,0.00000028,4263142351.00000000,2019-05-30 08:59:59.999,1216.42450462,10872,2253819125.00000000,649.85485951,0
7,2019-05-30 09:00:00.000,0.00000028,0.00000028,0.00000024,0.00000026,3502176074.00000000,2019-05-31 08:59:59.999,922.15935370,9914,1293641229.00000000,344.67364091,0
8,2019-05-31 09:00:00.000,0.00000026,0.00000028,0.00000025,0.00000027,2118832853.00000000,2019-06-01 08:59:59.999,562.81063454,5303,1364660355.00000000,364.65622700,0
9,2019-06-01 09:00:00.000,0.00000026,0.00000028,0.00000026,0.00000027,1223912514.00000000,2019-06-02 08:59:59.999,326.95927702,3009,620953062.00000000,168.10394497,0
10,2019-06-02 09:00:00.000,0.00000027,0.00000027,0.00000025,0.00000025,925155124.00000000,2019-06-03 08:59:59.999,241.57708194,2736,365570557.00000000,96.86973454,0
11,2019-06-03 09:00:00.000,0.00000026,0.00000026,0.00000024,0.00000024,1701907155.00000000,2019-06-04 08:59:59.999,422.37272554,3826,637839598.00000000,160.03630924,0
12,2019-06-04 09:00:00.000,0.00000024,0.00000025,0.00000023,0.00000024,1704024212.00000000,2019-06-05 08:59:59.999,407.91195117,4312,506464292.00000000,122.80223850,0
13,2019-06-05 09:00:00.000,0.00000024,0.00000026,0.00000023,0.00000026,2333176667.00000000,2019-06-06 08:59:59.999,568.61238638,4369,1385056585.00000000,339.48708346,0
14,2019-06-06 09:00:00.000,0.00000026,0.00000026,0.00000023,0.00000025,1096107707.00000000,2019-06-07 08:59:59.999,267.07108209,2876,416406801.00000000,102.69756974,0
15,2019-06-07 09:00:00.000,0.00000025,0.00000025,0.00000023,0.00000025,617025886.00000000,2019-06-08 08:59:59.999,148.66907971,2902,121954957.00000000,29.87619310,0
16,2019-06-08 09:00:00.000,0.00000025,0.00000025,0.00000023,0.00000024,447373834.00000000,2019-06-09 08:59:59.999,107.27703089,1516,240350812.00000000,58.24792618,0
17,2019-06-09 09:00:00.000,0.00000024,0.00000024,0.00000022,0.00000023,776755971.00000000,2019-06-10 08:59:59.999,177.87660919,3257,189466178.00000000,44.36368232,0
