,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00004900,0.00005020,0.00004640,0.00004870,13990716.03000000,2019-05-24 08:59:59.999,677.95329464,17144,6768936.23000000,328.90009739,0
1,2019-05-24 09:00:00.000,0.00004880,0.00005010,0.00004620,0.00004860,9439416.93000000,2019-05-25 08:59:59.999,455.51775035,13394,4444381.15000000,214.61038129,0
2,2019-05-25 09:00:00.000,0.00004850,0.00004850,0.00004620,0.00004700,4985517.54000000,2019-05-26 08:59:59.999,234.68050862,7239,2367122.79000000,111.51651450,0
3,2019-05-26 09:00:00.000,0.00004700,0.00004730,0.00004280,0.00004390,8739889.99000000,2019-05-27 08:59:59.999,397.62905455,12851,4146964.08000000,188.45963739,0
4,2019-05-27 09:00:00.000,0.00004380,0.00004600,0.00004320,0.00004480,8211240.62000000,2019-05-28 08:59:59.999,364.17830066,13322,3524090.17000000,156.42025624,0
5,2019-05-28 09:00:00.000,0.00004480,0.00004700,0.00004370,0.00004590,12684195.15000000,2019-05-29 08:59:59.999,573.58989694,16217,5665377.21000000,256.87735379,0
6,2019-05-29 09:00:00.000,0.00004590,0.00004850,0.00004440,0.00004720,12867739.68000000,2019-05-30 08:59:59.999,599.78319005,17005,6107168.39000000,285.34818127,0
7,2019-05-30 09:00:00.000,0.00004710,0.00005150,0.00004570,0.00004680,22713618.43000000,2019-05-31 08:59:59.999,1106.17367527,29795,10408496.84000000,507.84302198,0
8,2019-05-31 09:00:00.000,0.00004680,0.00004750,0.00004470,0.00004670,9679212.52000000,2019-06-01 08:59:59.999,446.26784833,13057,4805549.88000000,221.80059234,0
9,2019-06-01 09:00:00.000,0.00004670,0.00004700,0.00004490,0.00004530,7920441.18000000,2019-06-02 08:59:59.999,363.33879544,8382,3468235.04000000,159.28484557,0
10,2019-06-02 09:00:00.000,0.00004520,0.00005260,0.00004500,0.00004930,32360704.02000000,2019-06-03 08:59:59.999,1607.30030916,37838,14802738.43000000,735.78771460,0
11,2019-06-03 09:00:00.000,0.00004930,0.00004950,0.00004680,0.00004750,17324393.82000000,2019-06-04 08:59:59.999,828.55384121,17597,7753469.20000000,370.99798525,0
12,2019-06-04 09:00:00.000,0.00004750,0.00004900,0.00004630,0.00004690,12072145.16000000,2019-06-05 08:59:59.999,575.62332142,14299,5414835.07000000,258.50716844,0
13,2019-06-05 09:00:00.000,0.00004690,0.00004760,0.00004580,0.00004620,10045666.06000000,2019-06-06 08:59:59.999,468.81613039,9811,4458304.65000000,208.22677410,0
14,2019-06-06 09:00:00.000,0.00004620,0.00004760,0.00004610,0.00004700,6795711.80000000,2019-06-07 08:59:59.999,317.38396275,7407,3219658.83000000,150.41841501,0
15,2019-06-07 09:00:00.000,0.00004700,0.00004900,0.00004670,0.00004750,8872176.12000000,2019-06-08 08:59:59.999,424.21697221,8447,4267176.38000000,204.08002821,0
16,2019-06-08 09:00:00.000,0.00004750,0.00004860,0.00004720,0.00004760,6049246.77000000,2019-06-09 08:59:59.999,289.39688171,6357,2941966.13000000,140.81662423,0
17,2019-06-09 09:00:00.000,0.00004760,0.00004770,0.00004550,0.00004620,6680394.77000000,2019-06-10 08:59:59.999,311.96989604,6937,2982714.40000000,139.38725123,0
18,2019-06-10 09:00:00.000,0.00004620,0.00004810,0.00004600,0.00004740,8503601.92000000,2019-06-11 08:59:59.999,401.30049650,9820,4227310.54000000,199.62537276,0
19,2019-06-11 09:00:00.000,0.00004740,0.00004840,0.00004680,0.00004790,8840555.06000000,2019-06-12 08:59:59.999,419.55073187,7739,4205669.93000000,199.73307152,0
20,2019-06-12 09:00:00.000,0.00004780,0.00005040,0.00004760,0.00004870,15393103.19000000,2019-06-13 08:59:59.999,752.84904805,18293,7436019.08000000,363.71050800,0
21,2019-06-13 09:00:00.000,0.00004870,0.00004900,0.00004600,0.00004670,9592570.96000000,2019-06-14 08:59:59.999,458.10350932,12015,4150464.46000000,198.46323890,0
22,2019-06-14 09:00:00.000,0.00004670,0.00004750,0.00004210,0.00004290,15678812.64000000,2019-06-15 08:59:59.999,693.30053187,20768,7046774.46000000,311.60423699,0
23,2019-06-15 09:00:00.000,0.00004280,0.00004400,0.00004140,0.00004230,8528851.53000000,2019-06-16 08:59:59.999,364.09604117,10845,3935813.10000000,168.09960200,0
24,2019-06-16 09:00:00.000,0.00004240,0.00004250,0.00003940,0.00004090,11419386.50000000,2019-06-17 08:59:59.999,464.51534603,15396,4765322.23000000,193.92100689,0
25,2019-06-17 09:00:00.000,0.00004090,0.00004110,0.00003810,0.00003890,9004398.21000000,2019-06-18 08:59:59.999,357.66904830,12477,4012451.58000000,159.64134059,0
26,2019-06-18 09:00:00.000,0.00003880,0.00003960,0.00003840,0.00003940,5546898.40000000,2019-06-19 08:59:59.999,216.08254996,7344,2620376.15000000,102.16658456,0
27,2019-06-19 09:00:00.000,0.00003930,0.00004040,0.00003830,0.00003860,7315915.21000000,2019-06-20 08:59:59.999,287.93836704,7451,3367305.58000000,132.58455935,0
28,2019-06-20 09:00:00.000,0.00003860,0.00003910,0.00003530,0.00003560,8483174.00000000,2019-06-21 08:59:59.999,314.65917801,10099,3519104.98000000,130.75084640,0
29,2019-06-21 09:00:00.000,0.00003570,0.00003610,0.00003250,0.00003250,10157681.02000000,2019-06-22 08:59:59.999,348.60258077,12141,4518936.34000000,155.26218717,0
30,2019-06-22 09:00:00.000,0.00003260,0.00003320,0.00002940,0.00003240,14777365.30000000,2019-06-23 08:59:59.999,465.17127455,16684,6619269.10000000,208.63091911,0
31,2019-06-23 09:00:00.000,0.00003240,0.00003330,0.00002950,0.00003100,10842285.44000000,2019-06-24 08:59:59.999,344.96766057,11795,4995546.96000000,159.21565805,0
32,2019-06-24 09:00:00.000,0.00003100,0.00003220,0.00003070,0.00003100,7075649.84000000,2019-06-25 08:59:59.999,221.84840684,8104,3337139.81000000,104.66424793,0
33,2019-06-25 09:00:00.000,0.00003100,0.00003160,0.00002810,0.00002830,13417142.37000000,2019-06-26 08:59:59.999,399.54976695,14658,5180549.81000000,154.74485997,0
34,2019-06-26 09:00:00.000,0.00002820,0.00003080,0.00002520,0.00002650,32070100.05000000,2019-06-27 08:59:59.999,898.63437224,35832,15165335.66000000,425.98450604,0
35,2019-06-27 09:00:00.000,0.00002650,0.00002840,0.00002600,0.00002720,14748980.74000000,2019-06-28 08:59:59.999,399.70621995,21024,7134600.16000000,193.64978313,0
36,2019-06-28 09:00:00.000,0.00002730,0.00002780,0.00002540,0.00002550,9095799.86000000,2019-06-29 08:59:59.999,241.37487871,11580,4321455.75000000,115.05768592,0
37,2019-06-29 09:00:00.000,0.00002550,0.00002810,0.00002540,0.00002800,9547427.12000000,2019-06-30 08:59:59.999,256.16023661,11595,5024028.41000000,134.89590612,0
38,2019-06-30 09:00:00.000,0.00002800,0.00002840,0.00002670,0.00002820,7245108.44000000,2019-07-01 08:59:59.999,200.23584398,9259,3552965.47000000,98.41859125,0
39,2019-07-01 09:00:00.000,0.00002820,0.00003020,0.00002800,0.00002950,11908642.87000000,2019-07-02 08:59:59.999,346.31875509,14059,6170883.71000000,179.50968700,0
40,2019-07-02 09:00:00.000,0.00002950,0.00003020,0.00002740,0.00002800,9250709.68000000,2019-07-03 08:59:59.999,268.06340728,10779,4251011.42000000,123.53482908,0
