,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-01 09:00:00.000,0.00005630,0.00005700,0.00005450,0.00005670,1379232.32000000,2019-05-02 08:59:59.999,76.64855570,1587,1076193.80000000,59.76960563,0
1,2019-05-02 09:00:00.000,0.00005680,0.00005680,0.00005390,0.00005430,333069.44000000,2019-05-03 08:59:59.999,18.25189209,1218,150753.21000000,8.25922123,0
2,2019-05-03 09:00:00.000,0.00005440,0.00005460,0.00005070,0.00005200,556182.77000000,2019-05-04 08:59:59.999,28.97488575,1980,262687.16000000,13.63916700,0
3,2019-05-04 09:00:00.000,0.00005200,0.00005430,0.00005040,0.00005120,2415988.59000000,2019-05-05 08:59:59.999,126.31397915,2233,1910255.53000000,100.06350568,0
4,2019-05-05 09:00:00.000,0.00005120,0.00005320,0.00005110,0.00005130,2459285.77000000,2019-05-06 08:59:59.999,128.83913100,1690,2209049.14000000,115.77962268,0
5,2019-05-06 09:00:00.000,0.00005140,0.00005370,0.00005060,0.00005360,3540417.97000000,2019-05-07 08:59:59.999,185.86896614,2280,3187904.53000000,167.49277077,0
6,2019-05-07 09:00:00.000,0.00005350,0.00005410,0.00005060,0.00005130,2521856.17000000,2019-05-08 08:59:59.999,131.94022003,2266,1858906.78000000,97.47437798,0
7,2019-05-08 09:00:00.000,0.00005110,0.00005130,0.00005010,0.00005080,2047520.76000000,2019-05-09 08:59:59.999,104.00803735,1148,1753046.43000000,89.13722174,0
8,2019-05-09 09:00:00.000,0.00005100,0.00005130,0.00004710,0.00004750,5215131.72000000,2019-05-10 08:59:59.999,259.03605017,1737,4654080.09000000,231.45141303,0
9,2019-05-10 09:00:00.000,0.00004740,0.00004930,0.00004670,0.00004870,2742992.19000000,2019-05-11 08:59:59.999,132.96203103,1886,2388320.26000000,115.94450502,0
10,2019-05-11 09:00:00.000,0.00004890,0.00004890,0.00004310,0.00004350,2302923.06000000,2019-05-12 08:59:59.999,107.62876838,2745,1529585.24000000,72.21405228,0
11,2019-05-12 09:00:00.000,0.00004340,0.00004380,0.00003970,0.00004080,862082.82000000,2019-05-13 08:59:59.999,35.96963705,2426,303968.22000000,12.76234907,0
