,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00005015,0.00005033,0.00004830,0.00004920,9797989.00000000,2019-05-24 08:59:59.999,482.45794687,23927,5631789.00000000,277.48785824,0
1,2019-05-24 09:00:00.000,0.00004920,0.00005056,0.00004750,0.00004779,8176061.00000000,2019-05-25 08:59:59.999,400.00781309,20381,4492145.00000000,220.05383243,0
2,2019-05-25 09:00:00.000,0.00004777,0.00004865,0.00004695,0.00004762,5045960.00000000,2019-05-26 08:59:59.999,240.55563332,12303,2707879.00000000,129.18935534,0
3,2019-05-26 09:00:00.000,0.00004761,0.00004825,0.00004600,0.00004704,5851344.00000000,2019-05-27 08:59:59.999,277.16008299,15037,3290431.00000000,155.99280642,0
4,2019-05-27 09:00:00.000,0.00004706,0.00005093,0.00004539,0.00004950,15386248.00000000,2019-05-28 08:59:59.999,731.79418614,33584,8410431.00000000,398.15566744,0
5,2019-05-28 09:00:00.000,0.00004944,0.00005740,0.00004770,0.00005511,41362459.00000000,2019-05-29 08:59:59.999,2190.83661126,77547,22414262.00000000,1186.14693454,0
6,2019-05-29 09:00:00.000,0.00005511,0.00006475,0.00005362,0.00005915,68828330.00000000,2019-05-30 08:59:59.999,4108.12247909,144347,33815086.00000000,2017.39076267,0
7,2019-05-30 09:00:00.000,0.00005917,0.00006311,0.00005555,0.00005707,41479164.00000000,2019-05-31 08:59:59.999,2447.90766444,95178,21153967.00000000,1249.32648920,0
8,2019-05-31 09:00:00.000,0.00005709,0.00006000,0.00005600,0.00005943,17446348.00000000,2019-06-01 08:59:59.999,1010.62422640,41703,9248912.00000000,535.53000006,0
9,2019-06-01 09:00:00.000,0.00005939,0.00006026,0.00005510,0.00005605,16264491.00000000,2019-06-02 08:59:59.999,927.32504050,36683,8767469.00000000,500.09564324,0
10,2019-06-02 09:00:00.000,0.00005606,0.00005718,0.00005523,0.00005609,9550042.00000000,2019-06-03 08:59:59.999,537.82804217,22108,4808203.00000000,271.14960340,0
11,2019-06-03 09:00:00.000,0.00005612,0.00005680,0.00005410,0.00005480,10835803.00000000,2019-06-04 08:59:59.999,601.45352027,27488,5451353.00000000,303.10536030,0
12,2019-06-04 09:00:00.000,0.00005472,0.00005600,0.00005306,0.00005520,12566677.00000000,2019-06-05 08:59:59.999,690.55740721,35295,6292322.00000000,345.79946451,0
13,2019-06-05 09:00:00.000,0.00005520,0.00005580,0.00005421,0.00005515,7258300.00000000,2019-06-06 08:59:59.999,399.11294067,21964,4017233.00000000,220.99319665,0
14,2019-06-06 09:00:00.000,0.00005514,0.00005547,0.00005337,0.00005415,7294913.00000000,2019-06-07 08:59:59.999,397.27233004,17229,3534801.00000000,192.63868297,0
15,2019-06-07 09:00:00.000,0.00005415,0.00005741,0.00005362,0.00005545,10326404.00000000,2019-06-08 08:59:59.999,572.68978693,21147,5835634.00000000,323.96231409,0
16,2019-06-08 09:00:00.000,0.00005545,0.00005618,0.00005315,0.00005425,7260430.00000000,2019-06-09 08:59:59.999,394.05242263,16817,3523373.00000000,191.25350572,0
17,2019-06-09 09:00:00.000,0.00005427,0.00005455,0.00005220,0.00005317,4863598.00000000,2019-06-10 08:59:59.999,258.61352239,11828,2376748.00000000,126.51573378,0
18,2019-06-10 09:00:00.000,0.00005310,0.00005532,0.00005270,0.00005360,5579955.00000000,2019-06-11 08:59:59.999,300.83026841,13766,2936771.00000000,158.56619283,0
19,2019-06-11 09:00:00.000,0.00005361,0.00005396,0.00005250,0.00005344,5191873.00000000,2019-06-12 08:59:59.999,275.95478992,10837,2529616.00000000,134.39178108,0
20,2019-06-12 09:00:00.000,0.00005344,0.00005487,0.00005303,0.00005343,6226376.00000000,2019-06-13 08:59:59.999,336.09649330,14724,3224556.00000000,174.13640326,0
