,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000144,0.00000161,0.00000138,0.00000145,221722546.00000000,2019-05-24 08:59:59.999,331.78489426,10814,148537615.00000000,221.87208660,0
1,2019-05-24 09:00:00.000,0.00000145,0.00000165,0.00000136,0.00000143,138651330.00000000,2019-05-25 08:59:59.999,210.56153300,9049,77176744.00000000,117.83817877,0
2,2019-05-25 09:00:00.000,0.00000143,0.00000156,0.00000143,0.00000145,60804399.00000000,2019-05-26 08:59:59.999,91.56072074,3558,43649181.00000000,66.22470517,0
3,2019-05-26 09:00:00.000,0.00000146,0.00000148,0.00000130,0.00000131,61445244.00000000,2019-05-27 08:59:59.999,86.87355620,4505,29354491.00000000,41.88496964,0
4,2019-05-27 09:00:00.000,0.00000131,0.00000140,0.00000125,0.00000133,63884372.00000000,2019-05-28 08:59:59.999,84.97898775,4241,37205123.00000000,49.92474357,0
5,2019-05-28 09:00:00.000,0.00000133,0.00000143,0.00000129,0.00000135,100767420.00000000,2019-05-29 08:59:59.999,134.75666720,5375,58894610.00000000,79.06738740,0
6,2019-05-29 09:00:00.000,0.00000134,0.00000141,0.00000129,0.00000134,88791365.00000000,2019-05-30 08:59:59.999,121.13698851,5514,54367505.00000000,74.35004124,0
7,2019-05-30 09:00:00.000,0.00000134,0.00000143,0.00000130,0.00000132,103476634.00000000,2019-05-31 08:59:59.999,141.28063839,5760,64664662.00000000,88.56519064,0
8,2019-05-31 09:00:00.000,0.00000132,0.00000136,0.00000129,0.00000131,55753110.00000000,2019-06-01 08:59:59.999,73.72788391,2863,38221954.00000000,50.67911147,0
9,2019-06-01 09:00:00.000,0.00000131,0.00000134,0.00000125,0.00000128,68533258.00000000,2019-06-02 08:59:59.999,88.83432852,4021,38399190.00000000,50.05433652,0
10,2019-06-02 09:00:00.000,0.00000129,0.00000135,0.00000126,0.00000131,40367920.00000000,2019-06-03 08:59:59.999,52.40274886,2836,24735551.00000000,32.21312721,0
11,2019-06-03 09:00:00.000,0.00000131,0.00000136,0.00000126,0.00000132,69441858.00000000,2019-06-04 08:59:59.999,90.85973247,4460,42914531.00000000,56.39766301,0
