,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-07-21 09:00:00.000,0.00000357,0.00000682,0.00000357,0.00000605,471551041.00000000,2020-07-22 08:59:59.999,2600.77985537,71677,236776183.00000000,1306.31988215,0
1,2020-07-22 09:00:00.000,0.00000603,0.00000892,0.00000586,0.00000679,548720637.00000000,2020-07-23 08:59:59.999,4039.02742009,110135,263317017.00000000,1939.12626312,0
2,2020-07-23 09:00:00.000,0.00000677,0.00000749,0.00000571,0.00000584,180273197.00000000,2020-07-24 08:59:59.999,1176.13977534,39918,76049940.00000000,498.84143412,0
3,2020-07-24 09:00:00.000,0.00000585,0.00000613,0.00000512,0.00000531,93196652.00000000,2020-07-25 08:59:59.999,526.52970264,24895,39728444.00000000,225.10637511,0
4,2020-07-25 09:00:00.000,0.00000532,0.00000595,0.00000516,0.00000520,73605500.00000000,2020-07-26 08:59:59.999,408.15224807,17820,34331267.00000000,191.34840865,0
5,2020-07-26 09:00:00.000,0.00000522,0.00000548,0.00000457,0.00000478,59837538.00000000,2020-07-27 08:59:59.999,292.11514955,15639,27999291.00000000,136.70035133,0
6,2020-07-27 09:00:00.000,0.00000479,0.00000494,0.00000331,0.00000368,71803246.00000000,2020-07-28 08:59:59.999,291.27908411,17337,36906774.00000000,149.03736803,0
7,2020-07-28 09:00:00.000,0.00000368,0.00000539,0.00000361,0.00000493,116205836.00000000,2020-07-29 08:59:59.999,540.52358460,29598,55565895.00000000,259.35376039,0
8,2020-07-29 09:00:00.000,0.00000489,0.00000495,0.00000410,0.00000433,46990722.00000000,2020-07-30 08:59:59.999,211.43526796,12397,19824739.00000000,89.65578519,0
9,2020-07-30 09:00:00.000,0.00000434,0.00000479,0.00000421,0.00000444,30865809.00000000,2020-07-31 08:59:59.999,140.09338371,8777,13197074.00000000,59.96646532,0
10,2020-07-31 09:00:00.000,0.00000444,0.00000545,0.00000440,0.00000515,123726126.00000000,2020-08-01 08:59:59.999,625.62652768,29575,62776767.00000000,318.49511339,0
11,2020-08-01 09:00:00.000,0.00000516,0.00000596,0.00000470,0.00000572,150451972.00000000,2020-08-02 08:59:59.999,816.72776277,34604,74105863.00000000,403.40699920,0
12,2020-08-02 09:00:00.000,0.00000573,0.00000685,0.00000544,0.00000593,117809158.00000000,2020-08-03 08:59:59.999,730.19544969,29646,55709794.00000000,348.02387776,0
13,2020-08-03 09:00:00.000,0.00000593,0.00000642,0.00000556,0.00000633,63088611.00000000,2020-08-04 08:59:59.999,381.97703053,16191,29702636.00000000,180.28406497,0
14,2020-08-04 09:00:00.000,0.00000632,0.00000656,0.00000602,0.00000634,40992722.00000000,2020-08-05 08:59:59.999,257.92271191,13110,17380699.00000000,109.93206755,0
15,2020-08-05 09:00:00.000,0.00000636,0.00000679,0.00000571,0.00000581,56697174.00000000,2020-08-06 08:59:59.999,356.18116110,18077,27397486.00000000,172.56007968,0
16,2020-08-06 09:00:00.000,0.00000584,0.00000604,0.00000545,0.00000572,42015471.00000000,2020-08-07 08:59:59.999,241.13656418,11156,20836006.00000000,119.80507069,0
17,2020-08-07 09:00:00.000,0.00000570,0.00000601,0.00000538,0.00000553,33174448.00000000,2020-08-08 08:59:59.999,187.92269170,10580,14210494.00000000,80.71989441,0
18,2020-08-08 09:00:00.000,0.00000552,0.00000572,0.00000536,0.00000566,20752958.00000000,2020-08-09 08:59:59.999,115.52325888,7698,8815623.00000000,49.23474239,0
19,2020-08-09 09:00:00.000,0.00000568,0.00000598,0.00000555,0.00000587,26527566.00000000,2020-08-10 08:59:59.999,153.39405925,10211,12216038.00000000,70.82713987,0
20,2020-08-10 09:00:00.000,0.00000587,0.00001074,0.00000503,0.00000856,219944775.00000000,2020-08-11 08:59:59.999,1735.74818917,71422,104864297.00000000,819.05374700,0
21,2020-08-11 09:00:00.000,0.00000856,0.00000993,0.00000733,0.00000952,119843584.00000000,2020-08-12 08:59:59.999,1038.63466177,53157,59574023.00000000,519.69440072,0
22,2020-08-12 09:00:00.000,0.00000952,0.00001288,0.00000850,0.00001230,148398646.00000000,2020-08-13 08:59:59.999,1612.92363299,83176,73086797.00000000,796.54696916,0
23,2020-08-13 09:00:00.000,0.00001230,0.00001240,0.00000948,0.00001026,55974471.00000000,2020-08-14 08:59:59.999,624.88358826,40742,25283099.00000000,283.61445744,0
24,2020-08-14 09:00:00.000,0.00001028,0.00001170,0.00000998,0.00001043,33899929.00000000,2020-08-15 08:59:59.999,361.10505815,21792,17310692.00000000,184.43612387,0
25,2020-08-15 09:00:00.000,0.00001043,0.00001073,0.00000963,0.00000965,19054573.00000000,2020-08-16 08:59:59.999,192.37271384,11709,9206325.00000000,93.12658992,0
26,2020-08-16 09:00:00.000,0.00000964,0.00001064,0.00000955,0.00001051,19548244.00000000,2020-08-17 08:59:59.999,195.20138445,12181,9936028.00000000,99.44870980,0
