,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-08-11 09:00:00.000,0.00000621,0.00000800,0.00000550,0.00000606,121133041.00000000,2020-08-12 08:59:59.999,771.20288119,35036,51667315.00000000,332.23415759,0
1,2020-08-12 09:00:00.000,0.00000604,0.00000751,0.00000601,0.00000666,149305862.00000000,2020-08-13 08:59:59.999,997.07975800,41038,61261068.00000000,409.59488918,0
2,2020-08-13 09:00:00.000,0.00000662,0.00000673,0.00000579,0.00000595,87713220.00000000,2020-08-14 08:59:59.999,550.37690491,26335,36128317.00000000,227.16490149,0
3,2020-08-14 09:00:00.000,0.00000591,0.00000747,0.00000584,0.00000609,98581773.00000000,2020-08-15 08:59:59.999,627.16386972,30082,43884280.00000000,280.76556142,0
4,2020-08-15 09:00:00.000,0.00000608,0.00000614,0.00000569,0.00000599,40126330.00000000,2020-08-16 08:59:59.999,235.96872779,15899,17362634.00000000,102.33646210,0
5,2020-08-16 09:00:00.000,0.00000598,0.00000637,0.00000587,0.00000618,35707518.00000000,2020-08-17 08:59:59.999,216.25838059,14463,17131704.00000000,103.98629308,0
6,2020-08-17 09:00:00.000,0.00000615,0.00000672,0.00000583,0.00000605,68775973.00000000,2020-08-18 08:59:59.999,433.73685972,24698,32680690.00000000,206.82349752,0
7,2020-08-18 09:00:00.000,0.00000603,0.00000607,0.00000555,0.00000564,39185561.00000000,2020-08-19 08:59:59.999,225.70543082,14483,16051411.00000000,92.60541778,0
8,2020-08-19 09:00:00.000,0.00000564,0.00000569,0.00000489,0.00000509,46479032.00000000,2020-08-20 08:59:59.999,241.56190801,17412,19566068.00000000,101.81731601,0
9,2020-08-20 09:00:00.000,0.00000512,0.00000529,0.00000503,0.00000514,33156556.00000000,2020-08-21 08:59:59.999,171.42812140,11025,15095408.00000000,78.10990558,0
10,2020-08-21 09:00:00.000,0.00000515,0.00000543,0.00000400,0.00000416,77229996.00000000,2020-08-22 08:59:59.999,353.25963008,21536,31042118.00000000,142.74903442,0
11,2020-08-22 09:00:00.000,0.00000413,0.00000445,0.00000375,0.00000430,51752929.00000000,2020-08-23 08:59:59.999,213.32076509,15811,25220304.00000000,104.65063294,0
12,2020-08-23 09:00:00.000,0.00000428,0.00000487,0.00000406,0.00000454,40901328.00000000,2020-08-24 08:59:59.999,182.84772853,13102,21133659.00000000,94.84254991,0
13,2020-08-24 09:00:00.000,0.00000454,0.00000546,0.00000441,0.00000545,55966724.00000000,2020-08-25 08:59:59.999,278.95639212,21647,28738343.00000000,143.99712833,0
14,2020-08-25 09:00:00.000,0.00000546,0.00000548,0.00000461,0.00000496,43272388.00000000,2020-08-26 08:59:59.999,216.98006534,20820,19535087.00000000,98.21894223,0
15,2020-08-26 09:00:00.000,0.00000496,0.00000535,0.00000479,0.00000517,32215190.00000000,2020-08-27 08:59:59.999,165.82785475,15516,17710699.00000000,91.26427979,0
16,2020-08-27 09:00:00.000,0.00000516,0.00000518,0.00000455,0.00000482,18799139.00000000,2020-08-28 08:59:59.999,92.77378182,11129,9122560.00000000,45.08612064,0
17,2020-08-28 09:00:00.000,0.00000483,0.00000510,0.00000473,0.00000493,18794126.00000000,2020-08-29 08:59:59.999,92.90224586,8355,9141131.00000000,45.28118643,0
18,2020-08-29 09:00:00.000,0.00000494,0.00000504,0.00000466,0.00000474,15997805.00000000,2020-08-30 08:59:59.999,77.50863540,6714,6895832.00000000,33.46352870,0
19,2020-08-30 09:00:00.000,0.00000473,0.00000557,0.00000468,0.00000510,50371891.00000000,2020-08-31 08:59:59.999,263.93485083,17060,26140502.00000000,136.72072422,0
20,2020-08-31 09:00:00.000,0.00000509,0.00000531,0.00000493,0.00000507,35770017.00000000,2020-09-01 08:59:59.999,181.51411037,12699,15864755.00000000,80.73658633,0
21,2020-09-01 09:00:00.000,0.00000505,0.00000512,0.00000457,0.00000483,42504759.00000000,2020-09-02 08:59:59.999,205.51627256,12063,19169229.00000000,92.58915242,0
22,2020-09-02 09:00:00.000,0.00000483,0.00000542,0.00000483,0.00000533,176331381.00000000,2020-09-03 08:59:59.999,916.17295873,33968,87555392.00000000,454.67919964,0
23,2020-09-03 09:00:00.000,0.00000533,0.00000665,0.00000525,0.00000554,310375607.00000000,2020-09-04 08:59:59.999,1860.92751896,71418,153833344.00000000,922.20510221,0
24,2020-09-04 09:00:00.000,0.00000554,0.00000554,0.00000424,0.00000470,151605372.00000000,2020-09-05 08:59:59.999,750.37590759,36444,73880255.00000000,366.04173997,0
25,2020-09-05 09:00:00.000,0.00000469,0.00000480,0.00000362,0.00000372,107466210.00000000,2020-09-06 08:59:59.999,439.06821254,20748,50218685.00000000,204.60597784,0
26,2020-09-06 09:00:00.000,0.00000372,0.00000407,0.00000310,0.00000391,54767958.00000000,2020-09-07 08:59:59.999,198.21185258,18475,27224175.00000000,98.84142053,0
27,2020-09-07 09:00:00.000,0.00000391,0.00000394,0.00000343,0.00000380,28342425.00000000,2020-09-08 08:59:59.999,105.05996602,10743,13477799.00000000,50.02225341,0
