,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2018-11-21 09:00:00.000,0.00000077,0.00000083,0.00000076,0.00000081,173906556.00000000,2018-11-22 08:59:59.999,138.78161644,2205,97746365.00000000,78.24118162,0
1,2018-11-22 09:00:00.000,0.00000082,0.00000083,0.00000077,0.00000077,191448907.00000000,2018-11-23 08:59:59.999,153.92338098,2974,78136600.00000000,63.24650925,0
2,2018-11-23 09:00:00.000,0.00000078,0.00000079,0.00000076,0.00000078,146563124.00000000,2018-11-24 08:59:59.999,113.58751413,1648,64830609.00000000,50.51292210,0
3,2018-11-24 09:00:00.000,0.00000079,0.00000080,0.00000074,0.00000076,134384229.00000000,2018-11-25 08:59:59.999,103.59937756,2097,50205320.00000000,38.84021960,0
4,2018-11-25 09:00:00.000,0.00000076,0.00000080,0.00000072,0.00000077,269035943.00000000,2018-11-26 08:59:59.999,202.38417934,2996,133200532.00000000,100.71274733,0
5,2018-11-26 09:00:00.000,0.00000077,0.00000082,0.00000074,0.00000077,402168807.00000000,2018-11-27 08:59:59.999,311.91728130,5094,204180628.00000000,159.20208931,0
6,2018-11-27 09:00:00.000,0.00000077,0.00000082,0.00000074,0.00000080,373435305.00000000,2018-11-28 08:59:59.999,292.37723444,4038,193640865.00000000,152.87538073,0
7,2018-11-28 09:00:00.000,0.00000081,0.00000087,0.00000079,0.00000083,510285816.00000000,2018-11-29 08:59:59.999,425.04232326,6548,257442983.00000000,215.14206069,0
8,2018-11-29 09:00:00.000,0.00000083,0.00000088,0.00000081,0.00000084,291510774.00000000,2018-11-30 08:59:59.999,246.86965395,3880,131463988.00000000,111.80434454,0
9,2018-11-30 09:00:00.000,0.00000083,0.00000084,0.00000076,0.00000080,203507888.00000000,2018-12-01 08:59:59.999,161.31423642,3007,74905627.00000000,59.46438639,0
10,2018-12-01 09:00:00.000,0.00000079,0.00000083,0.00000079,0.00000080,133708130.00000000,2018-12-02 08:59:59.999,108.35325807,1853,60719154.00000000,49.52151253,0
11,2018-12-02 09:00:00.000,0.00000079,0.00000081,0.00000078,0.00000079,72111289.00000000,2018-12-03 08:59:59.999,57.36435820,1107,29773124.00000000,23.80153701,0
12,2018-12-03 09:00:00.000,0.00000080,0.00000081,0.00000076,0.00000078,134934680.00000000,2018-12-04 08:59:59.999,105.44357747,1703,49342799.00000000,38.72020858,0
13,2018-12-04 09:00:00.000,0.00000078,0.00000080,0.00000077,0.00000079,92882821.00000000,2018-12-05 08:59:59.999,72.94607516,1201,37474154.00000000,29.55064432,0
14,2018-12-05 09:00:00.000,0.00000079,0.00000081,0.00000077,0.00000078,107631867.00000000,2018-12-06 08:59:59.999,84.53812980,1577,49235924.00000000,38.92230667,0
15,2018-12-06 09:00:00.000,0.00000078,0.00000082,0.00000073,0.00000073,287457239.00000000,2018-12-07 08:59:59.999,221.80831442,3552,123200015.00000000,96.07109972,0
16,2018-12-07 09:00:00.000,0.00000074,0.00000075,0.00000070,0.00000073,179849308.00000000,2018-12-08 08:59:59.999,130.47528199,2364,72855774.00000000,53.21209061,0
17,2018-12-08 09:00:00.000,0.00000074,0.00000076,0.00000072,0.00000074,88100078.00000000,2018-12-09 08:59:59.999,64.76274189,1165,47210767.00000000,34.87401344,0
18,2018-12-09 09:00:00.000,0.00000074,0.00000076,0.00000072,0.00000074,51716892.00000000,2018-12-10 08:59:59.999,38.30324924,778,24501445.00000000,18.24971832,0
19,2018-12-10 09:00:00.000,0.00000074,0.00000075,0.00000071,0.00000073,57138353.00000000,2018-12-11 08:59:59.999,41.53010908,785,22825378.00000000,16.67077983,0
20,2018-12-11 09:00:00.000,0.00000072,0.00000074,0.00000070,0.00000072,60234732.00000000,2018-12-12 08:59:59.999,43.32671172,835,24287763.00000000,17.58888764,0
21,2018-12-12 09:00:00.000,0.00000071,0.00000076,0.00000071,0.00000075,95156757.00000000,2018-12-13 08:59:59.999,70.20807044,1267,56795493.00000000,42.09663329,0
