,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00014460,0.00015520,0.00014030,0.00015070,1177389.79000000,2019-05-24 08:59:59.999,173.48050193,10748,503982.46000000,74.47008267,0
1,2019-05-24 09:00:00.000,0.00015090,0.00015970,0.00014500,0.00014990,1275665.13000000,2019-05-25 08:59:59.999,194.57723884,11552,558968.29000000,85.53283318,0
2,2019-05-25 09:00:00.000,0.00014920,0.00015450,0.00014440,0.00014880,568178.09000000,2019-05-26 08:59:59.999,84.56642158,7415,267774.26000000,39.91868077,0
3,2019-05-26 09:00:00.000,0.00014870,0.00017260,0.00014040,0.00014570,1912570.19000000,2019-05-27 08:59:59.999,293.79270690,16341,827321.45000000,127.94556617,0
4,2019-05-27 09:00:00.000,0.00014570,0.00016240,0.00014060,0.00015030,1532858.21000000,2019-05-28 08:59:59.999,232.34866975,14623,659740.07000000,99.94407264,0
5,2019-05-28 09:00:00.000,0.00015020,0.00016800,0.00014440,0.00016200,1360475.17000000,2019-05-29 08:59:59.999,209.69003750,12987,654438.24000000,101.48598855,0
6,2019-05-29 09:00:00.000,0.00016150,0.00017800,0.00015500,0.00017340,1841854.88000000,2019-05-30 08:59:59.999,309.98673253,17296,818464.70000000,138.38363653,0
7,2019-05-30 09:00:00.000,0.00017310,0.00019890,0.00016230,0.00016480,3178648.01000000,2019-05-31 08:59:59.999,580.68182100,37103,1537835.84000000,282.30596331,0
8,2019-05-31 09:00:00.000,0.00016520,0.00017210,0.00016090,0.00016700,1066339.72000000,2019-06-01 08:59:59.999,178.09703188,12955,521378.93000000,87.22253752,0
9,2019-06-01 09:00:00.000,0.00016700,0.00018230,0.00015990,0.00016980,1155274.72000000,2019-06-02 08:59:59.999,194.06961722,12386,563398.27000000,94.86577825,0
10,2019-06-02 09:00:00.000,0.00017020,0.00019930,0.00016850,0.00018250,2087895.84000000,2019-06-03 08:59:59.999,391.39386805,18470,784471.76000000,147.08105347,0
11,2019-06-03 09:00:00.000,0.00018240,0.00019600,0.00017500,0.00018480,1312586.39000000,2019-06-04 08:59:59.999,239.73327357,14617,592682.07000000,108.46445447,0
12,2019-06-04 09:00:00.000,0.00018430,0.00020880,0.00017800,0.00020300,1254433.38000000,2019-06-05 08:59:59.999,240.02913590,17027,631285.73000000,120.87126797,0
13,2019-06-05 09:00:00.000,0.00020300,0.00020600,0.00018110,0.00018980,1623500.44000000,2019-06-06 08:59:59.999,307.20186503,16727,706775.30000000,133.91061582,0
14,2019-06-06 09:00:00.000,0.00018960,0.00020400,0.00018730,0.00020170,637300.44000000,2019-06-07 08:59:59.999,125.23349845,8136,290307.09000000,57.08051422,0
15,2019-06-07 09:00:00.000,0.00020170,0.00020500,0.00019390,0.00020210,640420.85000000,2019-06-08 08:59:59.999,127.46062011,7886,313008.81000000,62.33995931,0
16,2019-06-08 09:00:00.000,0.00020270,0.00022390,0.00020080,0.00021790,1005854.86000000,2019-06-09 08:59:59.999,214.10962005,12580,531270.65000000,113.02361701,0
17,2019-06-09 09:00:00.000,0.00021790,0.00022250,0.00020750,0.00021130,515575.64000000,2019-06-10 08:59:59.999,110.32914682,6617,224708.58000000,48.20393304,0
18,2019-06-10 09:00:00.000,0.00021170,0.00022600,0.00020650,0.00020850,669109.54000000,2019-06-11 08:59:59.999,142.92735114,9133,343354.13000000,73.91183670,0
19,2019-06-11 09:00:00.000,0.00020820,0.00020930,0.00020270,0.00020470,211542.60000000,2019-06-12 08:59:59.999,43.37407372,3223,95580.61000000,19.61497112,0
20,2019-06-12 09:00:00.000,0.00020520,0.00021240,0.00020280,0.00020650,253471.33000000,2019-06-13 08:59:59.999,52.47231741,3750,124237.26000000,25.72890882,0
21,2019-06-13 09:00:00.000,0.00020710,0.00021190,0.00020550,0.00020690,243937.79000000,2019-06-14 08:59:59.999,51.08213462,3097,99924.24000000,20.95432325,0
22,2019-06-14 09:00:00.000,0.00020690,0.00021230,0.00018050,0.00018450,653525.62000000,2019-06-15 08:59:59.999,128.93450671,7415,227910.22000000,44.94687809,0
23,2019-06-15 09:00:00.000,0.00018390,0.00019760,0.00018110,0.00018270,352930.74000000,2019-06-16 08:59:59.999,66.14047363,5094,162221.82000000,30.46225030,0
24,2019-06-16 09:00:00.000,0.00018270,0.00018680,0.00016760,0.00017910,600537.08000000,2019-06-17 08:59:59.999,106.46671205,7776,259962.11000000,46.08229711,0
25,2019-06-17 09:00:00.000,0.00017910,0.00018700,0.00017260,0.00017340,386593.76000000,2019-06-18 08:59:59.999,69.55945740,5259,168647.64000000,30.35135096,0
26,2019-06-18 09:00:00.000,0.00017330,0.00017500,0.00016840,0.00017440,192507.82000000,2019-06-19 08:59:59.999,33.05373864,2617,103140.38000000,17.71186971,0
27,2019-06-19 09:00:00.000,0.00017430,0.00017660,0.00016200,0.00016260,1017566.48000000,2019-06-20 08:59:59.999,172.41022515,10273,398598.32000000,67.71848364,0
28,2019-06-20 09:00:00.000,0.00016270,0.00016300,0.00014530,0.00014650,731094.97000000,2019-06-21 08:59:59.999,112.36738705,7982,302510.87000000,46.38111590,0
29,2019-06-21 09:00:00.000,0.00014670,0.00015480,0.00013940,0.00013970,930015.96000000,2019-06-22 08:59:59.999,135.10172128,9180,399177.86000000,58.26938283,0
30,2019-06-22 09:00:00.000,0.00013970,0.00014060,0.00011780,0.00012710,1509800.63000000,2019-06-23 08:59:59.999,192.63418045,14157,665265.34000000,84.84709075,0
31,2019-06-23 09:00:00.000,0.00012690,0.00015100,0.00011960,0.00012510,2795253.16000000,2019-06-24 08:59:59.999,371.03560441,20895,1427505.20000000,190.14933070,0
32,2019-06-24 09:00:00.000,0.00012510,0.00013170,0.00012140,0.00012780,986661.87000000,2019-06-25 08:59:59.999,124.48146083,9367,481672.21000000,60.82280669,0
33,2019-06-25 09:00:00.000,0.00012770,0.00012770,0.00011240,0.00011520,1043349.81000000,2019-06-26 08:59:59.999,124.15326923,9052,460071.46000000,54.77675698,0
34,2019-06-26 09:00:00.000,0.00011520,0.00011550,0.00008800,0.00009620,1607038.63000000,2019-06-27 08:59:59.999,163.11699928,13114,686552.41000000,69.62418756,0
35,2019-06-27 09:00:00.000,0.00009640,0.00010500,0.00009250,0.00009890,1723151.11000000,2019-06-28 08:59:59.999,168.72962941,11417,822254.83000000,80.54057364,0
36,2019-06-28 09:00:00.000,0.00009870,0.00012180,0.00009200,0.00010560,2795989.39000000,2019-06-29 08:59:59.999,295.14320049,24302,1309999.72000000,138.64779506,0
37,2019-06-29 09:00:00.000,0.00010580,0.00012310,0.00010380,0.00011360,2035796.29000000,2019-06-30 08:59:59.999,232.59195689,19683,974274.21000000,111.41180555,0
38,2019-06-30 09:00:00.000,0.00011350,0.00012720,0.00011000,0.00012680,1059901.48000000,2019-07-01 08:59:59.999,124.27939717,10604,498967.15000000,58.69328073,0
39,2019-07-01 09:00:00.000,0.00012660,0.00013600,0.00011990,0.00013110,1535156.21000000,2019-07-02 08:59:59.999,198.80395262,14518,745509.01000000,96.77954420,0
40,2019-07-02 09:00:00.000,0.00013080,0.00013350,0.00012000,0.00012490,785807.62000000,2019-07-03 08:59:59.999,100.36147522,7844,352099.66000000,45.06918703,0
41,2019-07-03 09:00:00.000,0.00012520,0.00012560,0.00011130,0.00011160,778261.94000000,2019-07-04 08:59:59.999,92.90669797,6478,316675.01000000,37.90907614,0
42,2019-07-04 09:00:00.000,0.00011160,0.00013640,0.00010890,0.00013030,2119689.48000000,2019-07-05 08:59:59.999,265.17313286,19133,1018729.25000000,127.64752152,0
