,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00003372,0.00003842,0.00003302,0.00003635,3989970.00000000,2019-05-24 08:59:59.999,142.11053626,9354,1935734.00000000,69.18645405,0
1,2019-05-24 09:00:00.000,0.00003628,0.00004300,0.00003521,0.00003554,6490218.00000000,2019-05-25 08:59:59.999,248.26770615,15622,3363019.00000000,129.13154081,0
2,2019-05-25 09:00:00.000,0.00003562,0.00003841,0.00003444,0.00003518,2749805.00000000,2019-05-26 08:59:59.999,97.12044923,6660,1334506.00000000,47.20749663,0
3,2019-05-26 09:00:00.000,0.00003516,0.00003771,0.00003192,0.00003232,3575317.00000000,2019-05-27 08:59:59.999,125.96751426,8706,1784451.00000000,62.89586799,0
4,2019-05-27 09:00:00.000,0.00003216,0.00003304,0.00003167,0.00003276,1914289.00000000,2019-05-28 08:59:59.999,61.94937935,4939,978884.00000000,31.69937271,0
5,2019-05-28 09:00:00.000,0.00003279,0.00003546,0.00003253,0.00003308,3142991.00000000,2019-05-29 08:59:59.999,105.25237923,8026,1402761.00000000,47.05552094,0
6,2019-05-29 09:00:00.000,0.00003311,0.00003388,0.00003178,0.00003273,2603558.00000000,2019-05-30 08:59:59.999,85.69864154,5766,1075537.00000000,35.38098661,0
7,2019-05-30 09:00:00.000,0.00003272,0.00003348,0.00003121,0.00003141,2870532.00000000,2019-05-31 08:59:59.999,93.76268874,6365,1429083.00000000,46.68437987,0
8,2019-05-31 09:00:00.000,0.00003141,0.00003304,0.00003069,0.00003204,2807405.00000000,2019-06-01 08:59:59.999,88.63223935,7176,1394213.00000000,44.12728827,0
9,2019-06-01 09:00:00.000,0.00003203,0.00003256,0.00003081,0.00003087,1720164.00000000,2019-06-02 08:59:59.999,54.37544197,4321,765168.00000000,24.22644350,0
10,2019-06-02 09:00:00.000,0.00003094,0.00003163,0.00003050,0.00003143,1666371.00000000,2019-06-03 08:59:59.999,51.79365523,3809,924924.00000000,28.76221630,0
11,2019-06-03 09:00:00.000,0.00003151,0.00003218,0.00003063,0.00003115,1597510.00000000,2019-06-04 08:59:59.999,50.07238771,3985,731001.00000000,22.92247182,0
12,2019-06-04 09:00:00.000,0.00003114,0.00003497,0.00003072,0.00003219,5074110.00000000,2019-06-05 08:59:59.999,165.94364923,12726,2571433.00000000,84.09966695,0
13,2019-06-05 09:00:00.000,0.00003219,0.00003269,0.00003095,0.00003165,2056645.00000000,2019-06-06 08:59:59.999,65.18043053,4722,795163.00000000,25.21653974,0
14,2019-06-06 09:00:00.000,0.00003167,0.00003349,0.00003132,0.00003277,1418029.00000000,2019-06-07 08:59:59.999,45.78196386,3415,762615.00000000,24.63043197,0
15,2019-06-07 09:00:00.000,0.00003285,0.00003398,0.00003175,0.00003262,2901868.00000000,2019-06-08 08:59:59.999,95.06488272,6849,1439405.00000000,47.21375286,0
16,2019-06-08 09:00:00.000,0.00003255,0.00003453,0.00003220,0.00003339,2288336.00000000,2019-06-09 08:59:59.999,76.54226479,5370,1195451.00000000,40.03494723,0
17,2019-06-09 09:00:00.000,0.00003327,0.00003473,0.00003310,0.00003333,1750327.00000000,2019-06-10 08:59:59.999,59.28923268,4972,895075.00000000,30.36233435,0
