,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-09-02 09:00:00.000,0.00354500,0.00619300,0.00354500,0.00525000,384333.32600000,2020-09-03 08:59:59.999,1790.67401119,79476,179559.34100000,837.28579274,0
1,2020-09-03 09:00:00.000,0.00525100,0.00568700,0.00404100,0.00435800,252393.05400000,2020-09-04 08:59:59.999,1175.35562823,75628,126861.99800000,589.78534760,0
2,2020-09-04 09:00:00.000,0.00435700,0.00447600,0.00342800,0.00402000,115271.69000000,2020-09-05 08:59:59.999,456.61998713,33800,56918.35000000,226.50730812,0
3,2020-09-05 09:00:00.000,0.00404100,0.00428600,0.00293800,0.00322400,94968.29500000,2020-09-06 08:59:59.999,329.55363436,33041,46701.39600000,161.69837961,0
4,2020-09-06 09:00:00.000,0.00322600,0.00388300,0.00293900,0.00370200,65103.59100000,2020-09-07 08:59:59.999,219.07936233,23029,28648.97400000,97.08812341,0
5,2020-09-07 09:00:00.000,0.00370100,0.00379200,0.00301000,0.00340200,61159.73300000,2020-09-08 08:59:59.999,205.98585427,17226,28964.59900000,97.85269053,0
6,2020-09-08 09:00:00.000,0.00340200,0.00349800,0.00280100,0.00309800,51123.37800000,2020-09-09 08:59:59.999,163.56590521,18723,24587.34600000,78.78163129,0
7,2020-09-09 09:00:00.000,0.00310000,0.00356500,0.00301500,0.00331900,42371.80500000,2020-09-10 08:59:59.999,138.51451973,11815,21647.77100000,71.07487012,0
8,2020-09-10 09:00:00.000,0.00331800,0.00355900,0.00308000,0.00320100,31600.00700000,2020-09-11 08:59:59.999,103.98736494,8780,15992.59100000,52.59075143,0
9,2020-09-11 09:00:00.000,0.00320100,0.00320100,0.00299700,0.00306300,47931.36000000,2020-09-12 08:59:59.999,146.89059577,11894,24810.11400000,76.01935524,0
10,2020-09-12 09:00:00.000,0.00306200,0.00353900,0.00299900,0.00337200,41821.13500000,2020-09-13 08:59:59.999,135.94969452,10872,20887.00900000,67.97477868,0
11,2020-09-13 09:00:00.000,0.00336900,0.00402000,0.00330700,0.00381300,111529.29100000,2020-09-14 08:59:59.999,411.15319538,33553,57594.15100000,212.40549674,0
