,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000126,0.00000140,0.00000123,0.00000129,91347707.00000000,2019-05-24 08:59:59.999,120.58524009,6491,37830536.00000000,50.01849420,0
1,2019-05-24 09:00:00.000,0.00000129,0.00000134,0.00000114,0.00000115,59600069.00000000,2019-05-25 08:59:59.999,72.64342683,3714,22551302.00000000,27.52510951,0
2,2019-05-25 09:00:00.000,0.00000116,0.00000120,0.00000112,0.00000119,31244077.00000000,2019-05-26 08:59:59.999,36.45368295,2115,13818912.00000000,16.18758593,0
3,2019-05-26 09:00:00.000,0.00000118,0.00000126,0.00000108,0.00000110,45775521.00000000,2019-05-27 08:59:59.999,54.04799171,3376,18205912.00000000,21.65251846,0
4,2019-05-27 09:00:00.000,0.00000110,0.00000112,0.00000104,0.00000112,37814179.00000000,2019-05-28 08:59:59.999,40.90485310,2418,15486531.00000000,16.78092928,0
5,2019-05-28 09:00:00.000,0.00000111,0.00000115,0.00000108,0.00000111,28048274.00000000,2019-05-29 08:59:59.999,31.30881380,2107,14083887.00000000,15.77304516,0
6,2019-05-29 09:00:00.000,0.00000110,0.00000114,0.00000106,0.00000112,42255385.00000000,2019-05-30 08:59:59.999,46.50473875,2135,19883437.00000000,21.98258369,0
7,2019-05-30 09:00:00.000,0.00000112,0.00000117,0.00000106,0.00000108,40793513.00000000,2019-05-31 08:59:59.999,45.51311721,2583,19710473.00000000,22.16617906,0
8,2019-05-31 09:00:00.000,0.00000108,0.00000110,0.00000105,0.00000106,21009173.00000000,2019-06-01 08:59:59.999,22.52566285,1192,8227947.00000000,8.86650393,0
9,2019-06-01 09:00:00.000,0.00000108,0.00000108,0.00000101,0.00000103,26285940.00000000,2019-06-02 08:59:59.999,27.31292348,1652,10033500.00000000,10.44111418,0
10,2019-06-02 09:00:00.000,0.00000102,0.00000111,0.00000101,0.00000108,51704832.00000000,2019-06-03 08:59:59.999,54.98811912,2479,27738636.00000000,29.64478597,0
11,2019-06-03 09:00:00.000,0.00000108,0.00000109,0.00000102,0.00000104,22738907.00000000,2019-06-04 08:59:59.999,23.85070649,1382,7566105.00000000,7.95717184,0
12,2019-06-04 09:00:00.000,0.00000104,0.00000109,0.00000101,0.00000103,34905634.00000000,2019-06-05 08:59:59.999,36.36056671,1768,16075515.00000000,16.87800376,0
13,2019-06-05 09:00:00.000,0.00000103,0.00000107,0.00000102,0.00000104,18927112.00000000,2019-06-06 08:59:59.999,19.73411985,942,7275123.00000000,7.61175237,0
14,2019-06-06 09:00:00.000,0.00000104,0.00000109,0.00000104,0.00000108,24471178.00000000,2019-06-07 08:59:59.999,26.14557592,1327,12823997.00000000,13.75823597,0
15,2019-06-07 09:00:00.000,0.00000109,0.00000110,0.00000106,0.00000107,20247923.00000000,2019-06-08 08:59:59.999,21.87206193,1160,7437124.00000000,8.08038245,0
16,2019-06-08 09:00:00.000,0.00000108,0.00000121,0.00000106,0.00000115,63285598.00000000,2019-06-09 08:59:59.999,71.82399883,3362,30530821.00000000,34.74813651,0
17,2019-06-09 09:00:00.000,0.00000115,0.00000137,0.00000113,0.00000117,251490848.00000000,2019-06-10 08:59:59.999,306.03619593,10527,141164663.00000000,172.77070407,0
18,2019-06-10 09:00:00.000,0.00000118,0.00000124,0.00000112,0.00000117,74427712.00000000,2019-06-11 08:59:59.999,87.66022492,4974,33209186.00000000,39.24004283,0
19,2019-06-11 09:00:00.000,0.00000118,0.00000140,0.00000114,0.00000129,275377237.00000000,2019-06-12 08:59:59.999,353.24745538,11498,125987233.00000000,161.43248843,0
20,2019-06-12 09:00:00.000,0.00000127,0.00000133,0.00000113,0.00000118,118586640.00000000,2019-06-13 08:59:59.999,145.35115111,6820,44605937.00000000,55.02498907,0
21,2019-06-13 09:00:00.000,0.00000117,0.00000119,0.00000109,0.00000110,47882526.00000000,2019-06-14 08:59:59.999,54.81613361,3208,18865258.00000000,21.71084072,0
22,2019-06-14 09:00:00.000,0.00000110,0.00000118,0.00000097,0.00000102,76090803.00000000,2019-06-15 08:59:59.999,81.11020827,4999,32055428.00000000,34.65362342,0
23,2019-06-15 09:00:00.000,0.00000102,0.00000123,0.00000100,0.00000106,155217894.00000000,2019-06-16 08:59:59.999,172.23607507,8683,72385467.00000000,80.91006883,0
24,2019-06-16 09:00:00.000,0.00000106,0.00000130,0.00000100,0.00000117,221176356.00000000,2019-06-17 08:59:59.999,255.32057958,11752,95159452.00000000,110.71804319,0
25,2019-06-17 09:00:00.000,0.00000117,0.00000125,0.00000111,0.00000119,107539257.00000000,2019-06-18 08:59:59.999,126.54508828,6987,37021589.00000000,43.95192586,0
26,2019-06-18 09:00:00.000,0.00000119,0.00000121,0.00000114,0.00000116,25266543.00000000,2019-06-19 08:59:59.999,29.50613339,1915,8006038.00000000,9.39188425,0
27,2019-06-19 09:00:00.000,0.00000116,0.00000162,0.00000106,0.00000108,500617553.00000000,2019-06-20 08:59:59.999,651.07330235,19853,215278859.00000000,283.81091335,0
28,2019-06-20 09:00:00.000,0.00000108,0.00000111,0.00000095,0.00000097,153978604.00000000,2019-06-21 08:59:59.999,158.49112670,6880,55067535.00000000,56.76474013,0
29,2019-06-21 09:00:00.000,0.00000097,0.00000098,0.00000086,0.00000087,57910675.00000000,2019-06-22 08:59:59.999,53.68779217,2674,20963270.00000000,19.57522950,0
30,2019-06-22 09:00:00.000,0.00000088,0.00000089,0.00000073,0.00000083,76843639.00000000,2019-06-23 08:59:59.999,62.15397597,3766,32698651.00000000,26.54128922,0
31,2019-06-23 09:00:00.000,0.00000083,0.00000090,0.00000075,0.00000079,62518409.00000000,2019-06-24 08:59:59.999,51.82944316,2919,29025163.00000000,24.19059645,0
32,2019-06-24 09:00:00.000,0.00000079,0.00000082,0.00000077,0.00000078,45118652.00000000,2019-06-25 08:59:59.999,35.65815953,1546,20193485.00000000,16.00860021,0
33,2019-06-25 09:00:00.000,0.00000078,0.00000084,0.00000070,0.00000071,57237856.00000000,2019-06-26 08:59:59.999,44.44923781,2477,19101612.00000000,14.90829952,0
34,2019-06-26 09:00:00.000,0.00000071,0.00000073,0.00000057,0.00000061,81255819.00000000,2019-06-27 08:59:59.999,52.57772133,3699,32842827.00000000,21.41826657,0
35,2019-06-27 09:00:00.000,0.00000061,0.00000069,0.00000059,0.00000065,44068077.00000000,2019-06-28 08:59:59.999,28.49230747,1847,23031469.00000000,14.91798398,0
36,2019-06-28 09:00:00.000,0.00000065,0.00000068,0.00000058,0.00000060,46831948.00000000,2019-06-29 08:59:59.999,29.24763450,1508,21098022.00000000,13.20953910,0
37,2019-06-29 09:00:00.000,0.00000061,0.00000066,0.00000058,0.00000064,43825047.00000000,2019-06-30 08:59:59.999,27.22986433,1678,16958066.00000000,10.56725898,0
38,2019-06-30 09:00:00.000,0.00000064,0.00000068,0.00000064,0.00000066,31807453.00000000,2019-07-01 08:59:59.999,20.80614792,1158,16865611.00000000,11.08672795,0
39,2019-07-01 09:00:00.000,0.00000066,0.00000075,0.00000065,0.00000071,49702479.00000000,2019-07-02 08:59:59.999,35.14476881,1985,23145128.00000000,16.38884209,0
40,2019-07-02 09:00:00.000,0.00000072,0.00000074,0.00000065,0.00000068,51151864.00000000,2019-07-03 08:59:59.999,35.80020692,1908,18560229.00000000,13.10333079,0
41,2019-07-03 09:00:00.000,0.00000067,0.00000069,0.00000063,0.00000066,49279989.00000000,2019-07-04 08:59:59.999,32.49560807,1652,20332465.00000000,13.44770100,0
