,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00016033,0.00017662,0.00015098,0.00017035,21447089.00000000,2019-05-24 08:59:59.999,3502.08096401,117056,11078325.00000000,1813.29653433,0
1,2019-05-24 09:00:00.000,0.00017036,0.00018428,0.00015253,0.00016758,17084685.00000000,2019-05-25 08:59:59.999,2864.74451932,95141,8822382.00000000,1484.05201870,0
2,2019-05-25 09:00:00.000,0.00016719,0.00016752,0.00013739,0.00013886,20659392.00000000,2019-05-26 08:59:59.999,3007.41788922,77283,9959960.00000000,1449.99447067,0
3,2019-05-26 09:00:00.000,0.00013877,0.00014884,0.00012080,0.00012509,17530031.00000000,2019-05-27 08:59:59.999,2347.66272150,69403,8759911.00000000,1174.09039860,0
4,2019-05-27 09:00:00.000,0.00012509,0.00014890,0.00012427,0.00013870,20873652.00000000,2019-05-28 08:59:59.999,2830.19772589,96288,10454877.00000000,1417.62530377,0
5,2019-05-28 09:00:00.000,0.00013870,0.00015488,0.00013117,0.00014672,18835580.00000000,2019-05-29 08:59:59.999,2695.66596882,82647,9691053.00000000,1387.91105388,0
6,2019-05-29 09:00:00.000,0.00014650,0.00014698,0.00013138,0.00013558,13160558.00000000,2019-05-30 08:59:59.999,1827.52227899,58093,6522106.00000000,906.38935717,0
7,2019-05-30 09:00:00.000,0.00013567,0.00014072,0.00011000,0.00012110,24541830.00000000,2019-05-31 08:59:59.999,3116.97540565,101123,11904290.00000000,1515.28960248,0
8,2019-05-31 09:00:00.000,0.00012104,0.00012810,0.00011371,0.00011931,17211489.00000000,2019-06-01 08:59:59.999,2028.50474984,64645,9079522.00000000,1071.04139289,0
9,2019-06-01 09:00:00.000,0.00011933,0.00012359,0.00011129,0.00011202,9216073.00000000,2019-06-02 08:59:59.999,1073.33376975,34433,4326542.00000000,504.50537321,0
10,2019-06-02 09:00:00.000,0.00011188,0.00012220,0.00010912,0.00011615,7827935.00000000,2019-06-03 08:59:59.999,897.49607538,33539,3969825.00000000,455.72434477,0
