,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000917,0.00000996,0.00000907,0.00000939,17727724.00000000,2019-05-24 08:59:59.999,167.96690738,9040,8439787.00000000,79.96150218,0
1,2019-05-24 09:00:00.000,0.00000940,0.00001049,0.00000904,0.00000925,19527888.00000000,2019-05-25 08:59:59.999,189.50080565,10440,9166179.00000000,89.05769569,0
2,2019-05-25 09:00:00.000,0.00000923,0.00001009,0.00000883,0.00000924,15624124.00000000,2019-05-26 08:59:59.999,144.99554786,8491,8572614.00000000,79.94341814,0
3,2019-05-26 09:00:00.000,0.00000924,0.00001000,0.00000841,0.00000843,17769643.00000000,2019-05-27 08:59:59.999,164.12402882,9175,7779593.00000000,72.72995994,0
4,2019-05-27 09:00:00.000,0.00000846,0.00000900,0.00000819,0.00000871,9655990.00000000,2019-05-28 08:59:59.999,83.48654348,5738,5245074.00000000,45.30154736,0
5,2019-05-28 09:00:00.000,0.00000871,0.00000970,0.00000863,0.00000905,11966196.00000000,2019-05-29 08:59:59.999,107.97918061,7731,5899472.00000000,53.39363843,0
6,2019-05-29 09:00:00.000,0.00000906,0.00000976,0.00000881,0.00000936,14162425.00000000,2019-05-30 08:59:59.999,131.36242458,6311,6950924.00000000,64.54005947,0
7,2019-05-30 09:00:00.000,0.00000936,0.00000995,0.00000890,0.00000906,16911476.00000000,2019-05-31 08:59:59.999,158.71900421,8474,8375821.00000000,78.99768351,0
8,2019-05-31 09:00:00.000,0.00000910,0.00000953,0.00000890,0.00000911,7006382.00000000,2019-06-01 08:59:59.999,63.81918509,3739,3147258.00000000,28.72491958,0
9,2019-06-01 09:00:00.000,0.00000911,0.00000921,0.00000881,0.00000883,7646557.00000000,2019-06-02 08:59:59.999,68.65540243,3489,2903021.00000000,26.08828838,0
10,2019-06-02 09:00:00.000,0.00000885,0.00000940,0.00000883,0.00000911,9850745.00000000,2019-06-03 08:59:59.999,89.75828772,4451,4503584.00000000,41.07727264,0
11,2019-06-03 09:00:00.000,0.00000911,0.00000977,0.00000899,0.00000930,13359542.00000000,2019-06-04 08:59:59.999,124.60191138,7180,6207733.00000000,58.00669055,0
12,2019-06-04 09:00:00.000,0.00000932,0.00001018,0.00000915,0.00001000,17682524.00000000,2019-06-05 08:59:59.999,171.47997397,8332,9020486.00000000,87.73027616,0
13,2019-06-05 09:00:00.000,0.00001000,0.00001035,0.00000951,0.00000979,9389254.00000000,2019-06-06 08:59:59.999,91.59342562,5302,4002492.00000000,39.19081863,0
14,2019-06-06 09:00:00.000,0.00000979,0.00000980,0.00000931,0.00000950,7733239.00000000,2019-06-07 08:59:59.999,73.72445096,3569,3307669.00000000,31.54454911,0
15,2019-06-07 09:00:00.000,0.00000949,0.00001048,0.00000943,0.00000996,16817268.00000000,2019-06-08 08:59:59.999,166.03588518,8068,8605942.00000000,85.21182265,0
