,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000834,0.00000940,0.00000815,0.00000885,16708652.00000000,2019-05-24 08:59:59.999,146.12329142,8668,6419533.00000000,55.88756742,0
1,2019-05-24 09:00:00.000,0.00000885,0.00000958,0.00000859,0.00000869,14869225.00000000,2019-05-25 08:59:59.999,134.35921949,9148,6529810.00000000,59.02671672,0
2,2019-05-25 09:00:00.000,0.00000871,0.00000884,0.00000827,0.00000838,4887450.00000000,2019-05-26 08:59:59.999,41.74453584,3615,2520897.00000000,21.58314729,0
3,2019-05-26 09:00:00.000,0.00000837,0.00000886,0.00000764,0.00000810,7977070.00000000,2019-05-27 08:59:59.999,65.86831931,5282,3760528.00000000,31.11497971,0
4,2019-05-27 09:00:00.000,0.00000811,0.00000857,0.00000785,0.00000810,7148035.00000000,2019-05-28 08:59:59.999,57.73196198,4720,4148195.00000000,33.43627354,0
5,2019-05-28 09:00:00.000,0.00000809,0.00000890,0.00000805,0.00000851,7611564.00000000,2019-05-29 08:59:59.999,64.36307639,5790,3314045.00000000,28.05594724,0
6,2019-05-29 09:00:00.000,0.00000851,0.00000856,0.00000820,0.00000838,2955343.00000000,2019-05-30 08:59:59.999,24.66801296,3257,1480426.00000000,12.35999761,0
7,2019-05-30 09:00:00.000,0.00000840,0.00000877,0.00000800,0.00000830,7438946.00000000,2019-05-31 08:59:59.999,62.31354572,5422,3473984.00000000,29.26452913,0
8,2019-05-31 09:00:00.000,0.00000831,0.00000834,0.00000807,0.00000821,2039513.00000000,2019-06-01 08:59:59.999,16.64289261,2222,847912.00000000,6.92212944,0
9,2019-06-01 09:00:00.000,0.00000818,0.00000833,0.00000783,0.00000787,3713767.00000000,2019-06-02 08:59:59.999,29.97435558,2847,1768880.00000000,14.31235995,0
10,2019-06-02 09:00:00.000,0.00000785,0.00000795,0.00000763,0.00000778,6905673.00000000,2019-06-03 08:59:59.999,53.61271070,3976,3426972.00000000,26.65877495,0
11,2019-06-03 09:00:00.000,0.00000778,0.00000791,0.00000734,0.00000756,8152818.00000000,2019-06-04 08:59:59.999,62.33055452,5340,3262151.00000000,25.00029735,0
12,2019-06-04 09:00:00.000,0.00000755,0.00000780,0.00000741,0.00000774,4711661.00000000,2019-06-05 08:59:59.999,35.72127596,3093,2038698.00000000,15.48585620,0
13,2019-06-05 09:00:00.000,0.00000775,0.00000778,0.00000742,0.00000758,3373734.00000000,2019-06-06 08:59:59.999,25.61104106,2329,1775608.00000000,13.48013559,0
14,2019-06-06 09:00:00.000,0.00000757,0.00000779,0.00000746,0.00000774,2996995.00000000,2019-06-07 08:59:59.999,22.80905677,2178,1668284.00000000,12.71216563,0
15,2019-06-07 09:00:00.000,0.00000774,0.00000810,0.00000765,0.00000795,5803674.00000000,2019-06-08 08:59:59.999,45.68635760,4456,2680719.00000000,21.11556003,0
