,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00024260,0.00025390,0.00023540,0.00024010,588577.79000000,2019-05-24 08:59:59.999,143.87250720,7304,291499.65000000,71.40505148,0
1,2019-05-24 09:00:00.000,0.00024010,0.00025340,0.00023250,0.00024070,456866.38000000,2019-05-25 08:59:59.999,110.85009093,5997,225874.42000000,54.65494752,0
2,2019-05-25 09:00:00.000,0.00024060,0.00027190,0.00023930,0.00024590,799411.12000000,2019-05-26 08:59:59.999,201.80708637,11688,410800.37000000,104.12849569,0
3,2019-05-26 09:00:00.000,0.00024600,0.00025000,0.00023200,0.00023220,318149.67000000,2019-05-27 08:59:59.999,77.33832241,4585,133902.51000000,32.58377415,0
4,2019-05-27 09:00:00.000,0.00023210,0.00024100,0.00022710,0.00023510,298421.01000000,2019-05-28 08:59:59.999,69.19718819,5114,152038.70000000,35.26970321,0
5,2019-05-28 09:00:00.000,0.00023470,0.00025760,0.00023460,0.00024260,638139.31000000,2019-05-29 08:59:59.999,155.87077670,9959,297449.45000000,72.79331421,0
6,2019-05-29 09:00:00.000,0.00024270,0.00024710,0.00023360,0.00024590,399109.34000000,2019-05-30 08:59:59.999,95.67960333,6311,198184.30000000,47.55656877,0
7,2019-05-30 09:00:00.000,0.00024470,0.00026150,0.00022770,0.00023750,880907.16000000,2019-05-31 08:59:59.999,216.88393607,12341,438488.93000000,107.81279378,0
8,2019-05-31 09:00:00.000,0.00023700,0.00024550,0.00023370,0.00024230,359745.74000000,2019-06-01 08:59:59.999,86.21699416,5393,174078.71000000,41.78458467,0
9,2019-06-01 09:00:00.000,0.00024250,0.00024600,0.00023560,0.00024400,205014.82000000,2019-06-02 08:59:59.999,49.32823450,3719,109210.16000000,26.27393944,0
10,2019-06-02 09:00:00.000,0.00024430,0.00025500,0.00024030,0.00024540,331486.99000000,2019-06-03 08:59:59.999,81.91136212,5486,170312.89000000,42.10083269,0
11,2019-06-03 09:00:00.000,0.00024500,0.00024860,0.00023910,0.00024550,243413.65000000,2019-06-04 08:59:59.999,59.38220657,4087,122013.24000000,29.77934627,0
12,2019-06-04 09:00:00.000,0.00024610,0.00026500,0.00024240,0.00025370,561527.84000000,2019-06-05 08:59:59.999,142.54621914,8766,279356.73000000,70.87914951,0
13,2019-06-05 09:00:00.000,0.00025370,0.00025790,0.00024840,0.00025220,295658.22000000,2019-06-06 08:59:59.999,74.95363311,4794,133338.93000000,33.81426171,0
14,2019-06-06 09:00:00.000,0.00025220,0.00025430,0.00024670,0.00025180,241131.91000000,2019-06-07 08:59:59.999,60.51377194,3622,115424.97000000,28.96224628,0
15,2019-06-07 09:00:00.000,0.00025230,0.00026670,0.00025230,0.00026460,272902.32000000,2019-06-08 08:59:59.999,70.86015790,3929,142654.09000000,37.06584892,0
16,2019-06-08 09:00:00.000,0.00026470,0.00027120,0.00025560,0.00026050,268078.58000000,2019-06-09 08:59:59.999,70.59186635,4284,132742.04000000,34.97517206,0
17,2019-06-09 09:00:00.000,0.00026090,0.00026100,0.00024650,0.00025030,313288.81000000,2019-06-10 08:59:59.999,79.12325953,4244,137705.94000000,34.81371846,0
18,2019-06-10 09:00:00.000,0.00024960,0.00026070,0.00024800,0.00025650,314301.20000000,2019-06-11 08:59:59.999,80.20974810,4599,141008.66000000,35.99296604,0
19,2019-06-11 09:00:00.000,0.00025710,0.00026610,0.00025300,0.00026220,330543.25000000,2019-06-12 08:59:59.999,85.70489631,4834,175689.88000000,45.56889083,0
20,2019-06-12 09:00:00.000,0.00026270,0.00026290,0.00025000,0.00025710,262663.04000000,2019-06-13 08:59:59.999,67.26892896,3794,108774.04000000,27.87885994,0
21,2019-06-13 09:00:00.000,0.00025700,0.00025900,0.00024220,0.00024580,263353.92000000,2019-06-14 08:59:59.999,66.08441802,3830,107688.66000000,27.09315337,0
22,2019-06-14 09:00:00.000,0.00024550,0.00024960,0.00023050,0.00023190,350782.32000000,2019-06-15 08:59:59.999,83.75437496,5107,171241.45000000,40.86948578,0
23,2019-06-15 09:00:00.000,0.00023210,0.00023660,0.00022290,0.00022350,371249.39000000,2019-06-16 08:59:59.999,84.93667785,5356,170063.27000000,38.95408981,0
24,2019-06-16 09:00:00.000,0.00022390,0.00028490,0.00021170,0.00023160,2435017.90000000,2019-06-17 08:59:59.999,599.17240564,31631,1266150.90000000,313.04572136,0
25,2019-06-17 09:00:00.000,0.00023180,0.00023550,0.00022080,0.00022340,635210.39000000,2019-06-18 08:59:59.999,145.75369545,9543,309430.32000000,71.02081693,0
26,2019-06-18 09:00:00.000,0.00022310,0.00022950,0.00022110,0.00022530,262388.05000000,2019-06-19 08:59:59.999,59.12605005,4889,136690.12000000,30.83354207,0
27,2019-06-19 09:00:00.000,0.00022550,0.00023000,0.00022180,0.00022280,222733.21000000,2019-06-20 08:59:59.999,50.30736413,3672,116900.60000000,26.41958783,0
28,2019-06-20 09:00:00.000,0.00022280,0.00022570,0.00021160,0.00021310,337970.02000000,2019-06-21 08:59:59.999,73.93412513,5205,156138.25000000,34.16666208,0
29,2019-06-21 09:00:00.000,0.00021320,0.00021670,0.00020500,0.00020700,357150.87000000,2019-06-22 08:59:59.999,75.04480021,6537,193781.82000000,40.76610430,0
30,2019-06-22 09:00:00.000,0.00020770,0.00021150,0.00018000,0.00019730,701346.90000000,2019-06-23 08:59:59.999,135.56018376,11618,340158.48000000,65.86371770,0
31,2019-06-23 09:00:00.000,0.00019720,0.00020840,0.00018310,0.00019300,388120.88000000,2019-06-24 08:59:59.999,75.97551510,6950,203449.52000000,39.89937617,0
32,2019-06-24 09:00:00.000,0.00019230,0.00020140,0.00018560,0.00018900,334981.06000000,2019-06-25 08:59:59.999,64.24813368,5872,167127.32000000,32.08663256,0
33,2019-06-25 09:00:00.000,0.00018880,0.00018920,0.00017140,0.00017880,358703.66000000,2019-06-26 08:59:59.999,64.58231294,6879,159512.32000000,28.75824244,0
34,2019-06-26 09:00:00.000,0.00017850,0.00017880,0.00014720,0.00015460,683121.36000000,2019-06-27 08:59:59.999,110.04870019,10039,358761.47000000,57.61378403,0
35,2019-06-27 09:00:00.000,0.00015440,0.00017130,0.00015240,0.00016470,524863.81000000,2019-06-28 08:59:59.999,85.53624828,7131,304769.13000000,49.79997703,0
