,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.01150500,0.01153900,0.01119100,0.01129200,149575.59000000,2019-05-24 08:59:59.999,1702.62771045,44729,76941.56000000,875.96617822,0
1,2019-05-24 09:00:00.000,0.01128900,0.01300000,0.01127500,0.01261600,489876.69000000,2019-05-25 08:59:59.999,6032.79285207,133330,252557.55000000,3110.05849606,0
2,2019-05-25 09:00:00.000,0.01261700,0.01311700,0.01241900,0.01279300,311632.10000000,2019-05-26 08:59:59.999,3976.09742645,84248,154443.44000000,1969.66160696,0
3,2019-05-26 09:00:00.000,0.01279100,0.01333900,0.01216600,0.01289600,406226.64000000,2019-05-27 08:59:59.999,5163.41812502,96356,192124.07000000,2441.61684997,0
4,2019-05-27 09:00:00.000,0.01289200,0.01370100,0.01267700,0.01329300,521619.02000000,2019-05-28 08:59:59.999,6826.46979468,148269,267442.60000000,3499.15978283,0
5,2019-05-28 09:00:00.000,0.01329600,0.01346000,0.01295100,0.01317300,247421.30000000,2019-05-29 08:59:59.999,3253.27938658,83028,128491.48000000,1689.64100531,0
6,2019-05-29 09:00:00.000,0.01317200,0.01354900,0.01283000,0.01331000,235909.30000000,2019-05-30 08:59:59.999,3126.93394210,69764,120853.03000000,1602.47021837,0
7,2019-05-30 09:00:00.000,0.01330800,0.01359500,0.01267900,0.01303700,439489.05000000,2019-05-31 08:59:59.999,5797.46083455,115449,219306.47000000,2895.17104237,0
8,2019-05-31 09:00:00.000,0.01302700,0.01339900,0.01274900,0.01339500,280048.85000000,2019-06-01 08:59:59.999,3646.28283401,76751,142098.60000000,1848.97542329,0
9,2019-06-01 09:00:00.000,0.01339500,0.01355300,0.01305100,0.01314300,179265.57000000,2019-06-02 08:59:59.999,2383.45175916,62398,91464.47000000,1216.69906180,0
10,2019-06-02 09:00:00.000,0.01314200,0.01330900,0.01303600,0.01311100,119238.48000000,2019-06-03 08:59:59.999,1568.99538658,41870,57931.24000000,762.29964634,0
11,2019-06-03 09:00:00.000,0.01311400,0.01338500,0.01282700,0.01305300,221827.97000000,2019-06-04 08:59:59.999,2918.44551502,74195,118536.46000000,1559.80487747,0
12,2019-06-04 09:00:00.000,0.01304900,0.01331600,0.01284000,0.01329800,244527.08000000,2019-06-05 08:59:59.999,3207.53843949,86257,128157.38000000,1681.02882820,0
13,2019-06-05 09:00:00.000,0.01329700,0.01341800,0.01308200,0.01332700,162308.97000000,2019-06-06 08:59:59.999,2149.20342431,57691,87782.40000000,1162.93275936,0
14,2019-06-06 09:00:00.000,0.01333100,0.01451200,0.01326000,0.01428300,266866.12000000,2019-06-07 08:59:59.999,3667.35316116,84792,133969.42000000,1840.45589570,0
15,2019-06-07 09:00:00.000,0.01428200,0.01498000,0.01411000,0.01462600,363729.36000000,2019-06-08 08:59:59.999,5287.23234869,104202,187273.89000000,2722.39312111,0
16,2019-06-08 09:00:00.000,0.01463800,0.01520000,0.01444900,0.01494000,245402.10000000,2019-06-09 08:59:59.999,3619.68633681,80221,130313.81000000,1925.15231408,0
17,2019-06-09 09:00:00.000,0.01494000,0.01505000,0.01465900,0.01503100,210850.17000000,2019-06-10 08:59:59.999,3142.91693682,71628,104011.97000000,1550.52650402,0
18,2019-06-10 09:00:00.000,0.01502900,0.01631900,0.01495100,0.01618700,430309.54000000,2019-06-11 08:59:59.999,6740.28597316,130888,218920.99000000,3431.50421189,0
