,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-02-07 09:00:00.000,0.00000588,0.00001550,0.00000588,0.00001290,337258172.00000000,2020-02-08 08:59:59.999,4098.99110934,152021,157434325.00000000,1915.51489495,0
1,2020-02-08 09:00:00.000,0.00001282,0.00001323,0.00000959,0.00000983,149757939.00000000,2020-02-09 08:59:59.999,1712.99032329,79107,65629737.00000000,753.34131760,0
2,2020-02-09 09:00:00.000,0.00000985,0.00000985,0.00000768,0.00000792,75143666.00000000,2020-02-10 08:59:59.999,656.85417783,29202,31264717.00000000,274.29387300,0
3,2020-02-10 09:00:00.000,0.00000790,0.00000867,0.00000723,0.00000747,65954512.00000000,2020-02-11 08:59:59.999,515.37805273,20686,25464847.00000000,200.32354504,0
4,2020-02-11 09:00:00.000,0.00000747,0.00000818,0.00000704,0.00000716,34679836.00000000,2020-02-12 08:59:59.999,261.40389157,12200,13521245.00000000,102.05143500,0
5,2020-02-12 09:00:00.000,0.00000715,0.00000867,0.00000696,0.00000784,84277238.00000000,2020-02-13 08:59:59.999,649.44554100,24273,36331333.00000000,281.41770722,0
6,2020-02-13 09:00:00.000,0.00000784,0.00000830,0.00000720,0.00000730,32139944.00000000,2020-02-14 08:59:59.999,242.92409075,10716,13028089.00000000,98.65518397,0
7,2020-02-14 09:00:00.000,0.00000732,0.00000796,0.00000725,0.00000749,14927729.00000000,2020-02-15 08:59:59.999,112.70410224,6328,6245239.00000000,47.39849141,0
8,2020-02-15 09:00:00.000,0.00000749,0.00000819,0.00000721,0.00000736,28012566.00000000,2020-02-16 08:59:59.999,216.13578858,11912,11899945.00000000,92.39888843,0
9,2020-02-16 09:00:00.000,0.00000735,0.00000749,0.00000616,0.00000647,29411487.00000000,2020-02-17 08:59:59.999,199.59092713,10000,9776803.00000000,66.09470356,0
10,2020-02-17 09:00:00.000,0.00000651,0.00000685,0.00000593,0.00000640,19026045.00000000,2020-02-18 08:59:59.999,121.59623717,7746,6633386.00000000,42.62835732,0
11,2020-02-18 09:00:00.000,0.00000640,0.00000668,0.00000616,0.00000632,7513385.00000000,2020-02-19 08:59:59.999,47.94044700,3954,2843834.00000000,18.17892662,0
12,2020-02-19 09:00:00.000,0.00000632,0.00000712,0.00000606,0.00000615,21276062.00000000,2020-02-20 08:59:59.999,140.93384597,8456,9341196.00000000,62.48495856,0
13,2020-02-20 09:00:00.000,0.00000615,0.00000710,0.00000610,0.00000639,19309461.00000000,2020-02-21 08:59:59.999,128.89860993,8938,9019199.00000000,60.63369612,0
14,2020-02-21 09:00:00.000,0.00000638,0.00000690,0.00000634,0.00000665,7158880.00000000,2020-02-22 08:59:59.999,47.20292720,4121,2955185.00000000,19.51333299,0
15,2020-02-22 09:00:00.000,0.00000663,0.00000690,0.00000641,0.00000651,4608110.00000000,2020-02-23 08:59:59.999,30.53159862,2913,1973653.00000000,13.13923554,0
16,2020-02-23 09:00:00.000,0.00000653,0.00000662,0.00000630,0.00000638,3551149.00000000,2020-02-24 08:59:59.999,22.80709025,2380,1424315.00000000,9.14839575,0
17,2020-02-24 09:00:00.000,0.00000638,0.00000657,0.00000560,0.00000572,12514830.00000000,2020-02-25 08:59:59.999,74.87539731,5019,4453790.00000000,26.87424619,0
18,2020-02-25 09:00:00.000,0.00000570,0.00000591,0.00000520,0.00000524,10010889.00000000,2020-02-26 08:59:59.999,54.79042445,4683,3491169.00000000,19.15620139,0
19,2020-02-26 09:00:00.000,0.00000524,0.00000563,0.00000416,0.00000495,35175481.00000000,2020-02-27 08:59:59.999,174.22335452,7644,19417340.00000000,97.47405119,0
20,2020-02-27 09:00:00.000,0.00000497,0.00000588,0.00000477,0.00000549,21373348.00000000,2020-02-28 08:59:59.999,117.50993225,7347,8706981.00000000,47.84095069,0
21,2020-02-28 09:00:00.000,0.00000550,0.00000560,0.00000485,0.00000527,12140191.00000000,2020-02-29 08:59:59.999,62.52039117,4905,4280570.00000000,22.05880244,0
22,2020-02-29 09:00:00.000,0.00000525,0.00000535,0.00000495,0.00000495,3967358.00000000,2020-03-01 08:59:59.999,20.33942554,1938,1329556.00000000,6.85178508,0
23,2020-03-01 09:00:00.000,0.00000497,0.00000528,0.00000485,0.00000496,5868715.00000000,2020-03-02 08:59:59.999,29.83396414,2685,2735902.00000000,13.97474740,0
24,2020-03-02 09:00:00.000,0.00000496,0.00000570,0.00000490,0.00000538,13297014.00000000,2020-03-03 08:59:59.999,70.85450442,4534,5799537.00000000,31.01976361,0
25,2020-03-03 09:00:00.000,0.00000538,0.00000556,0.00000503,0.00000526,9942297.00000000,2020-03-04 08:59:59.999,52.27640235,4084,3680877.00000000,19.45132598,0
26,2020-03-04 09:00:00.000,0.00000527,0.00000728,0.00000524,0.00000676,70495643.00000000,2020-03-05 08:59:59.999,445.06286283,21800,34975803.00000000,221.51028700,0
27,2020-03-05 09:00:00.000,0.00000675,0.00000788,0.00000622,0.00000759,86884102.00000000,2020-03-06 08:59:59.999,605.99451252,29577,38734552.00000000,272.35205226,0
28,2020-03-06 09:00:00.000,0.00000759,0.00000804,0.00000666,0.00000784,95861489.00000000,2020-03-07 08:59:59.999,709.94621291,31006,50605977.00000000,377.91791289,0
29,2020-03-07 09:00:00.000,0.00000784,0.00000930,0.00000759,0.00000830,110904973.00000000,2020-03-08 08:59:59.999,943.35209553,40128,50201832.00000000,428.08463865,0
30,2020-03-08 09:00:00.000,0.00000830,0.00000896,0.00000737,0.00000776,73331043.00000000,2020-03-09 08:59:59.999,596.27784620,29374,29786902.00000000,244.12835166,0
31,2020-03-09 09:00:00.000,0.00000776,0.00000836,0.00000680,0.00000784,74217158.00000000,2020-03-10 08:59:59.999,567.18882531,34291,31909995.00000000,245.14798863,0
32,2020-03-10 09:00:00.000,0.00000784,0.00000975,0.00000784,0.00000958,99049266.00000000,2020-03-11 08:59:59.999,885.62783853,47907,45526644.00000000,407.67568635,0
33,2020-03-11 09:00:00.000,0.00000959,0.00000963,0.00000751,0.00000845,74032295.00000000,2020-03-12 08:59:59.999,626.34788756,33546,31058651.00000000,263.51924252,0
34,2020-03-12 09:00:00.000,0.00000844,0.00000865,0.00000515,0.00000550,70575098.00000000,2020-03-13 08:59:59.999,465.14947660,33676,28081130.00000000,184.87883898,0
35,2020-03-13 09:00:00.000,0.00000552,0.00000675,0.00000520,0.00000602,58296490.00000000,2020-03-14 08:59:59.999,341.10725754,21247,25599801.00000000,151.07116527,0
36,2020-03-14 09:00:00.000,0.00000605,0.00000661,0.00000572,0.00000582,32610309.00000000,2020-03-15 08:59:59.999,199.85927017,13019,14140504.00000000,87.18087568,0
37,2020-03-15 09:00:00.000,0.00000582,0.00000615,0.00000543,0.00000556,20174408.00000000,2020-03-16 08:59:59.999,116.88326654,8126,8899712.00000000,52.03430760,0
38,2020-03-16 09:00:00.000,0.00000556,0.00000556,0.00000458,0.00000495,30936170.00000000,2020-03-17 08:59:59.999,154.67969457,9925,13170777.00000000,65.85724958,0
39,2020-03-17 09:00:00.000,0.00000495,0.00000556,0.00000465,0.00000510,30371863.00000000,2020-03-18 08:59:59.999,156.88682307,8202,14477941.00000000,75.02849852,0
40,2020-03-18 09:00:00.000,0.00000511,0.00000541,0.00000484,0.00000494,16503989.00000000,2020-03-19 08:59:59.999,83.40694772,4711,6456751.00000000,32.75435680,0
41,2020-03-19 09:00:00.000,0.00000491,0.00000546,0.00000485,0.00000502,28718271.00000000,2020-03-20 08:59:59.999,147.77836036,7413,13165118.00000000,67.95474684,0
42,2020-03-20 09:00:00.000,0.00000502,0.00000542,0.00000432,0.00000467,26865039.00000000,2020-03-21 08:59:59.999,133.64068627,8613,10426440.00000000,52.31789383,0
43,2020-03-21 09:00:00.000,0.00000467,0.00000505,0.00000445,0.00000470,18316060.00000000,2020-03-22 08:59:59.999,86.57972158,5275,7922914.00000000,37.44782014,0
44,2020-03-22 09:00:00.000,0.00000470,0.00000479,0.00000440,0.00000441,11847862.00000000,2020-03-23 08:59:59.999,53.93720749,3633,4546375.00000000,20.71762153,0
45,2020-03-23 09:00:00.000,0.00000441,0.00000498,0.00000429,0.00000473,22549622.00000000,2020-03-24 08:59:59.999,104.91278039,9173,10600361.00000000,49.48825015,0
46,2020-03-24 09:00:00.000,0.00000472,0.00000475,0.00000453,0.00000456,14149177.00000000,2020-03-25 08:59:59.999,65.27050957,5243,5919679.00000000,27.32144728,0
47,2020-03-25 09:00:00.000,0.00000456,0.00000543,0.00000450,0.00000517,51247989.00000000,2020-03-26 08:59:59.999,252.86791538,10256,25728921.00000000,127.32374191,0
48,2020-03-26 09:00:00.000,0.00000518,0.00000577,0.00000490,0.00000503,35852510.00000000,2020-03-27 08:59:59.999,189.47806773,10979,16583873.00000000,87.79459410,0
49,2020-03-27 09:00:00.000,0.00000503,0.00000508,0.00000470,0.00000470,13726511.00000000,2020-03-28 08:59:59.999,67.39027645,3873,5524532.00000000,27.23073242,0
50,2020-03-28 09:00:00.000,0.00000469,0.00000489,0.00000457,0.00000485,9938985.00000000,2020-03-29 08:59:59.999,46.94057753,2532,5105670.00000000,24.17277969,0
51,2020-03-29 09:00:00.000,0.00000483,0.00000540,0.00000476,0.00000478,26883707.00000000,2020-03-30 08:59:59.999,136.54980064,5645,13533685.00000000,68.68516894,0
52,2020-03-30 09:00:00.000,0.00000479,0.00000540,0.00000476,0.00000498,18390423.00000000,2020-03-31 08:59:59.999,93.38485195,5332,8954462.00000000,45.58427700,0
53,2020-03-31 09:00:00.000,0.00000499,0.00000509,0.00000489,0.00000492,6533836.00000000,2020-04-01 08:59:59.999,32.57676137,1819,2164432.00000000,10.82328210,0
