,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-03-09 09:00:00.000,0.00054390,0.00057440,0.00053810,0.00057030,278720.91000000,2019-03-10 08:59:59.999,154.25905768,10524,142613.74000000,79.06921309,0
1,2019-03-10 09:00:00.000,0.00057030,0.00064010,0.00056080,0.00061530,506949.56000000,2019-03-11 08:59:59.999,302.06288550,17681,263427.66000000,156.94706365,0
2,2019-03-11 09:00:00.000,0.00061520,0.00067160,0.00057510,0.00059870,1036366.14000000,2019-03-12 08:59:59.999,643.78975527,34498,505985.76000000,314.93012078,0
3,2019-03-12 09:00:00.000,0.00059850,0.00074800,0.00056010,0.00063740,1275132.36000000,2019-03-13 08:59:59.999,830.07871238,31127,593867.86000000,386.99757450,0
4,2019-03-13 09:00:00.000,0.00063800,0.00071890,0.00062920,0.00067480,945740.96000000,2019-03-14 08:59:59.999,635.48558593,33105,480885.05000000,323.51667678,0
5,2019-03-14 09:00:00.000,0.00067490,0.00067640,0.00064150,0.00065630,348035.35000000,2019-03-15 08:59:59.999,228.11725079,11352,165056.60000000,108.29864479,0
6,2019-03-15 09:00:00.000,0.00065640,0.00067700,0.00064700,0.00064940,194431.21000000,2019-03-16 08:59:59.999,128.30245024,6536,80501.94000000,53.16366292,0
7,2019-03-16 09:00:00.000,0.00064940,0.00066230,0.00061580,0.00063510,282137.12000000,2019-03-17 08:59:59.999,179.96557211,10714,129628.49000000,82.71850558,0
8,2019-03-17 09:00:00.000,0.00063510,0.00063670,0.00061800,0.00062360,162566.93000000,2019-03-18 08:59:59.999,101.81690448,5898,66274.76000000,41.57538404,0
9,2019-03-18 09:00:00.000,0.00062380,0.00063030,0.00060210,0.00061410,150500.82000000,2019-03-19 08:59:59.999,92.51696754,4958,72096.82000000,44.39727049,0
10,2019-03-19 09:00:00.000,0.00061450,0.00062870,0.00060210,0.00061720,112214.72000000,2019-03-20 08:59:59.999,69.36677992,3821,55142.83000000,34.12625293,0
11,2019-03-20 09:00:00.000,0.00061810,0.00064970,0.00060500,0.00063510,289718.60000000,2019-03-21 08:59:59.999,182.26599932,10384,147410.28000000,92.71702619,0
12,2019-03-21 09:00:00.000,0.00063520,0.00071200,0.00060810,0.00063900,682474.82000000,2019-03-22 08:59:59.999,448.73206389,23853,328843.26000000,217.36023454,0
13,2019-03-22 09:00:00.000,0.00063970,0.00064980,0.00061880,0.00063830,197117.36000000,2019-03-23 08:59:59.999,124.80816879,7543,104359.71000000,66.10508075,0
14,2019-03-23 09:00:00.000,0.00063830,0.00065860,0.00063390,0.00063840,146692.59000000,2019-03-24 08:59:59.999,94.64413719,7448,69502.45000000,44.88935762,0
15,2019-03-24 09:00:00.000,0.00063860,0.00064830,0.00062420,0.00063440,104584.09000000,2019-03-25 08:59:59.999,66.12283454,5098,43390.87000000,27.49352235,0
16,2019-03-25 09:00:00.000,0.00063440,0.00078650,0.00061400,0.00061990,1062040.77000000,2019-03-26 08:59:59.999,720.90627711,24439,500225.33000000,342.77309390,0
17,2019-03-26 09:00:00.000,0.00061990,0.00077000,0.00061520,0.00070160,2452059.93000000,2019-03-27 08:59:59.999,1707.23071129,79299,1192889.63000000,832.32961334,0
18,2019-03-27 09:00:00.000,0.00070150,0.00073850,0.00067210,0.00071000,819242.94000000,2019-03-28 08:59:59.999,569.92676949,31813,414399.50000000,288.71659172,0
19,2019-03-28 09:00:00.000,0.00071040,0.00071330,0.00066740,0.00069980,433170.21000000,2019-03-29 08:59:59.999,296.04864198,17088,211662.02000000,144.76502492,0
20,2019-03-29 09:00:00.000,0.00069940,0.00081220,0.00068190,0.00071240,927881.30000000,2019-03-30 08:59:59.999,690.51394885,27691,460322.02000000,343.03657627,0
21,2019-03-30 09:00:00.000,0.00071190,0.00077530,0.00070450,0.00074150,498147.11000000,2019-03-31 08:59:59.999,363.42816030,21521,257780.36000000,188.34074147,0
22,2019-03-31 09:00:00.000,0.00074130,0.00074890,0.00071540,0.00072580,201752.10000000,2019-04-01 08:59:59.999,147.25159461,9599,84230.96000000,61.57815853,0
23,2019-04-01 09:00:00.000,0.00072570,0.00073320,0.00070550,0.00070980,200324.67000000,2019-04-02 08:59:59.999,143.66079438,7660,71848.43000000,51.65628158,0
24,2019-04-02 09:00:00.000,0.00070810,0.00071650,0.00062650,0.00063620,334108.24000000,2019-04-03 08:59:59.999,222.85274363,14289,134614.46000000,89.99894753,0
25,2019-04-03 09:00:00.000,0.00063610,0.00065130,0.00055550,0.00059340,408422.68000000,2019-04-04 08:59:59.999,251.85183759,14860,192583.06000000,119.01816561,0
26,2019-04-04 09:00:00.000,0.00059280,0.00061300,0.00057320,0.00059510,168762.56000000,2019-04-05 08:59:59.999,100.19553148,6690,87126.31000000,51.80640447,0
27,2019-04-05 09:00:00.000,0.00059510,0.00063660,0.00058080,0.00061630,164698.41000000,2019-04-06 08:59:59.999,100.25386419,7899,84314.17000000,51.34321283,0
28,2019-04-06 09:00:00.000,0.00061640,0.00066930,0.00059290,0.00061060,397504.43000000,2019-04-07 08:59:59.999,251.64683856,16032,189914.15000000,120.42436509,0
29,2019-04-07 09:00:00.000,0.00060950,0.00062350,0.00059980,0.00061500,160275.07000000,2019-04-08 08:59:59.999,98.01457542,6592,74993.57000000,45.94072317,0
30,2019-04-08 09:00:00.000,0.00061540,0.00062370,0.00056630,0.00057410,136537.24000000,2019-04-09 08:59:59.999,80.12624259,6470,57737.46000000,33.87369490,0
31,2019-04-09 09:00:00.000,0.00057310,0.00057590,0.00054000,0.00055900,138161.01000000,2019-04-10 08:59:59.999,76.88519679,5381,62701.44000000,34.90229380,0
32,2019-04-10 09:00:00.000,0.00056020,0.00058640,0.00053000,0.00053610,138612.55000000,2019-04-11 08:59:59.999,76.96774216,5936,61157.83000000,34.06189771,0
33,2019-04-11 09:00:00.000,0.00053610,0.00053760,0.00047320,0.00050360,196385.06000000,2019-04-12 08:59:59.999,98.68484040,6976,103963.95000000,52.26413236,0
34,2019-04-12 09:00:00.000,0.00050360,0.00057340,0.00048500,0.00053820,281905.59000000,2019-04-13 08:59:59.999,151.28667859,9320,134502.23000000,72.08447940,0
35,2019-04-13 09:00:00.000,0.00053730,0.00053990,0.00051530,0.00052440,141891.46000000,2019-04-14 08:59:59.999,74.80977379,9201,70284.01000000,37.05919857,0
36,2019-04-14 09:00:00.000,0.00052290,0.00058000,0.00051530,0.00052450,201718.94000000,2019-04-15 08:59:59.999,110.20772440,6732,92072.58000000,50.56483199,0
37,2019-04-15 09:00:00.000,0.00052450,0.00054550,0.00051160,0.00052080,121144.97000000,2019-04-16 08:59:59.999,63.97924365,4275,56452.61000000,29.88129669,0
38,2019-04-16 09:00:00.000,0.00052090,0.00052450,0.00050330,0.00051120,81479.05000000,2019-04-17 08:59:59.999,41.80925260,2327,45879.75000000,23.53819989,0
39,2019-04-17 09:00:00.000,0.00051120,0.00051460,0.00050140,0.00050640,58959.03000000,2019-04-18 08:59:59.999,29.85929553,1484,23045.31000000,11.67825320,0
40,2019-04-18 09:00:00.000,0.00050650,0.00053810,0.00050210,0.00052960,146378.75000000,2019-04-19 08:59:59.999,76.45850879,4995,80752.90000000,42.16077886,0
41,2019-04-19 09:00:00.000,0.00052870,0.00053200,0.00051620,0.00051900,67701.44000000,2019-04-20 08:59:59.999,35.43991483,2304,27695.61000000,14.51576472,0
42,2019-04-20 09:00:00.000,0.00051900,0.00055860,0.00051900,0.00053960,229725.15000000,2019-04-21 08:59:59.999,124.22069984,7449,128926.96000000,69.73940442,0
43,2019-04-21 09:00:00.000,0.00054230,0.00054890,0.00049000,0.00050900,148769.50000000,2019-04-22 08:59:59.999,76.34302060,4658,65645.53000000,33.62957056,0
44,2019-04-22 09:00:00.000,0.00050910,0.00057000,0.00050190,0.00050890,292900.45000000,2019-04-23 08:59:59.999,157.12867275,8382,146602.89000000,78.99005757,0
45,2019-04-23 09:00:00.000,0.00050890,0.00051070,0.00047100,0.00047360,114041.54000000,2019-04-24 08:59:59.999,56.24533141,3943,51418.67000000,25.34508125,0
46,2019-04-24 09:00:00.000,0.00047330,0.00047370,0.00043380,0.00044990,120896.04000000,2019-04-25 08:59:59.999,54.44555019,3426,49439.24000000,22.29583685,0
47,2019-04-25 09:00:00.000,0.00044920,0.00048760,0.00044410,0.00044700,142839.22000000,2019-04-26 08:59:59.999,65.88439362,4209,68858.50000000,31.77521923,0
48,2019-04-26 09:00:00.000,0.00044700,0.00046440,0.00042630,0.00043500,77780.22000000,2019-04-27 08:59:59.999,34.26378522,2867,40205.25000000,17.71632462,0
49,2019-04-27 09:00:00.000,0.00043500,0.00047360,0.00043460,0.00045020,104428.98000000,2019-04-28 08:59:59.999,47.41044129,3420,47340.05000000,21.42186078,0
50,2019-04-28 09:00:00.000,0.00045000,0.00046970,0.00044480,0.00044770,94782.37000000,2019-04-29 08:59:59.999,43.36595150,2965,46964.35000000,21.53688868,0
51,2019-04-29 09:00:00.000,0.00044760,0.00045300,0.00041240,0.00041570,120146.55000000,2019-04-30 08:59:59.999,51.62926314,3185,53966.50000000,23.25432567,0
52,2019-04-30 09:00:00.000,0.00041570,0.00044000,0.00041390,0.00043080,50812.03000000,2019-05-01 08:59:59.999,21.70403651,2220,24371.12000000,10.40074689,0
53,2019-05-01 09:00:00.000,0.00043230,0.00044870,0.00043020,0.00043440,64883.64000000,2019-05-02 08:59:59.999,28.50136907,2081,28778.45000000,12.63621663,0
54,2019-05-02 09:00:00.000,0.00043460,0.00047300,0.00042860,0.00043550,205260.37000000,2019-05-03 08:59:59.999,91.71983204,6326,105880.55000000,47.35522862,0
55,2019-05-03 09:00:00.000,0.00043530,0.00044620,0.00041220,0.00041990,111338.20000000,2019-05-04 08:59:59.999,47.14667906,3521,47638.68000000,20.23050456,0
56,2019-05-04 09:00:00.000,0.00042000,0.00042050,0.00038870,0.00039300,67012.30000000,2019-05-05 08:59:59.999,27.02545972,2400,29642.24000000,11.94019077,0
57,2019-05-05 09:00:00.000,0.00039300,0.00041400,0.00039010,0.00040070,33252.20000000,2019-05-06 08:59:59.999,13.36785221,1655,17291.87000000,6.96165125,0
58,2019-05-06 09:00:00.000,0.00040220,0.00043300,0.00040060,0.00041910,123093.88000000,2019-05-07 08:59:59.999,51.35073591,4699,56364.59000000,23.55243594,0
59,2019-05-07 09:00:00.000,0.00041920,0.00042180,0.00038250,0.00038500,92045.17000000,2019-05-08 08:59:59.999,36.76440978,2829,37345.41000000,14.93340875,0
60,2019-05-08 09:00:00.000,0.00038500,0.00038570,0.00037440,0.00037680,49477.02000000,2019-05-09 08:59:59.999,18.81396784,1393,21026.13000000,8.00089475,0
61,2019-05-09 09:00:00.000,0.00037600,0.00037680,0.00033900,0.00033990,77092.26000000,2019-05-10 08:59:59.999,27.08655862,1870,33191.32000000,11.66023196,0
62,2019-05-10 09:00:00.000,0.00033930,0.00035830,0.00031740,0.00035370,122375.97000000,2019-05-11 08:59:59.999,41.65075162,3033,64269.67000000,21.89705854,0
63,2019-05-11 09:00:00.000,0.00035360,0.00036240,0.00032020,0.00032640,99076.85000000,2019-05-12 08:59:59.999,33.47510587,2783,45930.75000000,15.53165736,0
64,2019-05-12 09:00:00.000,0.00032670,0.00032950,0.00030930,0.00032170,74209.56000000,2019-05-13 08:59:59.999,23.56215441,2074,33683.54000000,10.70843314,0
65,2019-05-13 09:00:00.000,0.00032090,0.00034000,0.00027490,0.00028380,80587.48000000,2019-05-14 08:59:59.999,24.88516895,2480,37866.96000000,11.63936403,0
66,2019-05-14 09:00:00.000,0.00028510,0.00030530,0.00027000,0.00028610,143959.88000000,2019-05-15 08:59:59.999,41.51019528,3874,80246.88000000,23.26680251,0
67,2019-05-15 09:00:00.000,0.00028820,0.00033590,0.00028000,0.00032410,189068.93000000,2019-05-16 08:59:59.999,59.54845767,4988,99318.54000000,31.30000782,0
68,2019-05-16 09:00:00.000,0.00032520,0.00034980,0.00032010,0.00032630,205825.97000000,2019-05-17 08:59:59.999,68.87929768,5784,107488.45000000,36.04060147,0
69,2019-05-17 09:00:00.000,0.00032640,0.00033500,0.00031600,0.00033060,69494.52000000,2019-05-18 08:59:59.999,22.52375436,2247,36311.32000000,11.77213517,0
70,2019-05-18 09:00:00.000,0.00033150,0.00034300,0.00032800,0.00033720,73574.25000000,2019-05-19 08:59:59.999,24.67143246,2026,33303.37000000,11.18729576,0
71,2019-05-19 09:00:00.000,0.00033720,0.00033840,0.00029800,0.00029880,92546.24000000,2019-05-20 08:59:59.999,29.06243156,2611,37802.56000000,11.86050067,0
72,2019-05-20 09:00:00.000,0.00029830,0.00033900,0.00029380,0.00031110,231334.58000000,2019-05-21 08:59:59.999,72.91117437,5758,111271.27000000,35.01109370,0
73,2019-05-21 09:00:00.000,0.00031100,0.00034170,0.00030860,0.00033320,145654.14000000,2019-05-22 08:59:59.999,47.52864962,4121,71984.31000000,23.47804527,0
74,2019-05-22 09:00:00.000,0.00033360,0.00043170,0.00032330,0.00034640,872512.19000000,2019-05-23 08:59:59.999,329.13233534,16318,430048.09000000,162.44725426,0
75,2019-05-23 09:00:00.000,0.00034640,0.00042470,0.00034610,0.00039830,704547.78000000,2019-05-24 08:59:59.999,270.25703985,18060,352927.28000000,135.26134371,0
76,2019-05-24 09:00:00.000,0.00039670,0.00040310,0.00032040,0.00032480,463750.28000000,2019-05-25 08:59:59.999,163.59193986,9312,201409.14000000,70.57833739,0
77,2019-05-25 09:00:00.000,0.00032490,0.00032930,0.00031180,0.00031650,305917.68000000,2019-05-26 08:59:59.999,97.82811836,6597,148656.11000000,47.60766014,0
78,2019-05-26 09:00:00.000,0.00031650,0.00033620,0.00029110,0.00029690,228689.56000000,2019-05-27 08:59:59.999,72.27020731,5364,112513.64000000,35.67263431,0
79,2019-05-27 09:00:00.000,0.00029710,0.00030500,0.00028970,0.00030030,147673.64000000,2019-05-28 08:59:59.999,43.75900390,3457,72024.27000000,21.36371427,0
80,2019-05-28 09:00:00.000,0.00030020,0.00031820,0.00029850,0.00029940,173487.26000000,2019-05-29 08:59:59.999,53.52429901,4016,77535.40000000,23.94673296,0
81,2019-05-29 09:00:00.000,0.00029950,0.00030690,0.00029090,0.00030190,99996.54000000,2019-05-30 08:59:59.999,30.02195251,2374,45761.19000000,13.75933322,0
82,2019-05-30 09:00:00.000,0.00030230,0.00033640,0.00029400,0.00030210,380740.88000000,2019-05-31 08:59:59.999,119.94467347,8190,197869.17000000,62.71144182,0
83,2019-05-31 09:00:00.000,0.00030210,0.00031830,0.00030030,0.00030910,149066.33000000,2019-06-01 08:59:59.999,46.10367635,4335,69889.71000000,21.63771617,0
84,2019-06-01 09:00:00.000,0.00031040,0.00031620,0.00029640,0.00029850,102232.11000000,2019-06-02 08:59:59.999,31.23896630,2584,44566.77000000,13.63160813,0
85,2019-06-02 09:00:00.000,0.00029850,0.00030870,0.00029450,0.00030320,117158.83000000,2019-06-03 08:59:59.999,35.19236054,2474,52992.52000000,15.94129901,0
86,2019-06-03 09:00:00.000,0.00030400,0.00031010,0.00029330,0.00029410,98022.78000000,2019-06-04 08:59:59.999,29.46047108,2083,44541.51000000,13.40057426,0
87,2019-06-04 09:00:00.000,0.00029390,0.00031470,0.00028600,0.00030300,136664.83000000,2019-06-05 08:59:59.999,41.25635314,3379,67146.98000000,20.26951860,0
88,2019-06-05 09:00:00.000,0.00030430,0.00036470,0.00030240,0.00031170,1184212.45000000,2019-06-06 08:59:59.999,385.85557344,20467,587864.35000000,192.13570005,0
89,2019-06-06 09:00:00.000,0.00031170,0.00032130,0.00030560,0.00031360,226922.23000000,2019-06-07 08:59:59.999,71.27588195,4826,121315.54000000,38.12264448,0
90,2019-06-07 09:00:00.000,0.00031420,0.00031880,0.00030520,0.00031770,102028.17000000,2019-06-08 08:59:59.999,31.86302754,2030,53353.99000000,16.66822917,0
91,2019-06-08 09:00:00.000,0.00031720,0.00033000,0.00031370,0.00032100,148380.27000000,2019-06-09 08:59:59.999,47.71608414,2751,66092.83000000,21.27007006,0
92,2019-06-09 09:00:00.000,0.00032100,0.00032640,0.00031270,0.00031590,86720.37000000,2019-06-10 08:59:59.999,27.61143250,1813,42181.24000000,13.46442614,0
93,2019-06-10 09:00:00.000,0.00031380,0.00034950,0.00031370,0.00032400,347608.73000000,2019-06-11 08:59:59.999,114.85633230,6685,176380.60000000,58.25351891,0
94,2019-06-11 09:00:00.000,0.00032400,0.00033600,0.00031560,0.00033330,143530.11000000,2019-06-12 08:59:59.999,46.67497856,3363,73320.08000000,23.88937704,0
95,2019-06-12 09:00:00.000,0.00033360,0.00036000,0.00031910,0.00033890,643213.82000000,2019-06-13 08:59:59.999,218.98549421,12611,313846.87000000,107.10809715,0
96,2019-06-13 09:00:00.000,0.00033880,0.00034040,0.00031020,0.00031400,206954.59000000,2019-06-14 08:59:59.999,68.03060227,4953,95768.64000000,31.58613806,0
97,2019-06-14 09:00:00.000,0.00031400,0.00032910,0.00028080,0.00028190,266817.69000000,2019-06-15 08:59:59.999,80.99977160,4746,120696.21000000,36.84902020,0
98,2019-06-15 09:00:00.000,0.00028190,0.00031600,0.00028070,0.00028660,226981.11000000,2019-06-16 08:59:59.999,66.73246504,4545,110642.13000000,32.56856751,0
99,2019-06-16 09:00:00.000,0.00028680,0.00029040,0.00026180,0.00026990,211316.77000000,2019-06-17 08:59:59.999,57.44422118,4204,96498.62000000,26.24014186,0
