,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000727,0.00000834,0.00000706,0.00000795,44619953.00000000,2019-05-24 08:59:59.999,339.20159412,14319,22832996.00000000,174.49077061,0
1,2019-05-24 09:00:00.000,0.00000796,0.00000873,0.00000722,0.00000744,60419920.00000000,2019-05-25 08:59:59.999,479.57946992,17551,26357724.00000000,210.41044000,0
2,2019-05-25 09:00:00.000,0.00000745,0.00000785,0.00000735,0.00000743,10688145.00000000,2019-05-26 08:59:59.999,80.05498675,4617,4634831.00000000,34.76030006,0
3,2019-05-26 09:00:00.000,0.00000745,0.00000808,0.00000663,0.00000687,30410968.00000000,2019-05-27 08:59:59.999,223.77474556,10018,14462599.00000000,106.62228716,0
4,2019-05-27 09:00:00.000,0.00000687,0.00000711,0.00000669,0.00000689,12059206.00000000,2019-05-28 08:59:59.999,83.10143465,5002,5983099.00000000,41.28365045,0
5,2019-05-28 09:00:00.000,0.00000688,0.00000729,0.00000678,0.00000706,18348417.00000000,2019-05-29 08:59:59.999,128.69785561,7499,8959971.00000000,63.02165825,0
6,2019-05-29 09:00:00.000,0.00000707,0.00000813,0.00000692,0.00000720,45647446.00000000,2019-05-30 08:59:59.999,341.32946531,15083,22067448.00000000,166.03654664,0
7,2019-05-30 09:00:00.000,0.00000720,0.00000734,0.00000680,0.00000686,28691384.00000000,2019-05-31 08:59:59.999,203.59751833,9658,12963499.00000000,92.21985992,0
8,2019-05-31 09:00:00.000,0.00000685,0.00000757,0.00000669,0.00000702,29505426.00000000,2019-06-01 08:59:59.999,206.48425094,10452,14274329.00000000,100.14933623,0
9,2019-06-01 09:00:00.000,0.00000701,0.00000711,0.00000681,0.00000690,12174249.00000000,2019-06-02 08:59:59.999,84.80940530,4905,5800389.00000000,40.49159955,0
10,2019-06-02 09:00:00.000,0.00000691,0.00000715,0.00000684,0.00000698,8943313.00000000,2019-06-03 08:59:59.999,62.24647488,3721,3523061.00000000,24.57209291,0
11,2019-06-03 09:00:00.000,0.00000696,0.00000711,0.00000626,0.00000670,15424656.00000000,2019-06-04 08:59:59.999,104.98510015,5347,6590139.00000000,44.82003926,0
12,2019-06-04 09:00:00.000,0.00000671,0.00000697,0.00000658,0.00000672,12758340.00000000,2019-06-05 08:59:59.999,86.06524005,5592,6874978.00000000,46.42587184,0
13,2019-06-05 09:00:00.000,0.00000672,0.00000688,0.00000667,0.00000676,9247958.00000000,2019-06-06 08:59:59.999,62.61338432,3906,4344337.00000000,29.44167081,0
14,2019-06-06 09:00:00.000,0.00000675,0.00000760,0.00000673,0.00000722,28645198.00000000,2019-06-07 08:59:59.999,206.88262461,10529,13247025.00000000,95.40646208,0
15,2019-06-07 09:00:00.000,0.00000722,0.00000759,0.00000708,0.00000728,18948568.00000000,2019-06-08 08:59:59.999,137.62859467,7112,9393523.00000000,68.35434382,0
16,2019-06-08 09:00:00.000,0.00000729,0.00000761,0.00000724,0.00000744,15351542.00000000,2019-06-09 08:59:59.999,114.06736843,5756,6769807.00000000,50.40120500,0
17,2019-06-09 09:00:00.000,0.00000743,0.00000810,0.00000731,0.00000743,25198702.00000000,2019-06-10 08:59:59.999,194.00526853,10386,12557820.00000000,96.99023722,0
18,2019-06-10 09:00:00.000,0.00000744,0.00000804,0.00000730,0.00000754,20779964.00000000,2019-06-11 08:59:59.999,156.62304497,8073,9512289.00000000,71.97142670,0
19,2019-06-11 09:00:00.000,0.00000753,0.00000769,0.00000732,0.00000751,11209034.00000000,2019-06-12 08:59:59.999,83.61430118,4637,5174762.00000000,38.69543849,0
20,2019-06-12 09:00:00.000,0.00000748,0.00000751,0.00000707,0.00000719,11052467.00000000,2019-06-13 08:59:59.999,80.36387286,4368,4248096.00000000,30.91020294,0
21,2019-06-13 09:00:00.000,0.00000719,0.00000730,0.00000683,0.00000685,9591458.00000000,2019-06-14 08:59:59.999,67.90880005,3792,3683209.00000000,26.13133983,0
22,2019-06-14 09:00:00.000,0.00000687,0.00000718,0.00000650,0.00000661,16938833.00000000,2019-06-15 08:59:59.999,115.27060641,6427,7630994.00000000,52.25890577,0
23,2019-06-15 09:00:00.000,0.00000660,0.00000686,0.00000652,0.00000666,13467843.00000000,2019-06-16 08:59:59.999,90.14629428,5315,5627523.00000000,37.75549901,0
24,2019-06-16 09:00:00.000,0.00000666,0.00000669,0.00000599,0.00000631,18942828.00000000,2019-06-17 08:59:59.999,118.12176389,7222,7658544.00000000,47.93386010,0
25,2019-06-17 09:00:00.000,0.00000630,0.00000636,0.00000602,0.00000607,8782318.00000000,2019-06-18 08:59:59.999,54.39740454,3687,4440790.00000000,27.53624252,0
26,2019-06-18 09:00:00.000,0.00000608,0.00000645,0.00000598,0.00000623,11256606.00000000,2019-06-19 08:59:59.999,69.49137995,5091,5449014.00000000,33.69510481,0
27,2019-06-19 09:00:00.000,0.00000622,0.00000652,0.00000610,0.00000625,14183407.00000000,2019-06-20 08:59:59.999,89.42637073,5069,5999791.00000000,37.86495677,0
28,2019-06-20 09:00:00.000,0.00000626,0.00000634,0.00000589,0.00000597,12857224.00000000,2019-06-21 08:59:59.999,77.73314407,4349,4915659.00000000,29.81522444,0
29,2019-06-21 09:00:00.000,0.00000596,0.00000607,0.00000548,0.00000549,17850152.00000000,2019-06-22 08:59:59.999,104.18624051,6293,7851764.00000000,45.97442398,0
30,2019-06-22 09:00:00.000,0.00000548,0.00000563,0.00000481,0.00000518,19550916.00000000,2019-06-23 08:59:59.999,100.31688129,8130,9138749.00000000,46.95394341,0
31,2019-06-23 09:00:00.000,0.00000518,0.00000549,0.00000473,0.00000497,27034397.00000000,2019-06-24 08:59:59.999,137.26365246,8652,11732722.00000000,59.40022451,0
32,2019-06-24 09:00:00.000,0.00000496,0.00000519,0.00000489,0.00000490,9547659.00000000,2019-06-25 08:59:59.999,47.83083363,4064,4836121.00000000,24.28335236,0
33,2019-06-25 09:00:00.000,0.00000490,0.00000500,0.00000439,0.00000442,20256843.00000000,2019-06-26 08:59:59.999,94.31157177,6193,9239668.00000000,43.10666819,0
34,2019-06-26 09:00:00.000,0.00000442,0.00000443,0.00000362,0.00000383,34103260.00000000,2019-06-27 08:59:59.999,138.40965127,11785,16587871.00000000,67.67611079,0
35,2019-06-27 09:00:00.000,0.00000383,0.00000427,0.00000365,0.00000407,21846971.00000000,2019-06-28 08:59:59.999,86.01392561,7120,10519427.00000000,41.56953855,0
36,2019-06-28 09:00:00.000,0.00000407,0.00000408,0.00000367,0.00000375,11205734.00000000,2019-06-29 08:59:59.999,43.62381022,3935,5515678.00000000,21.47726212,0
37,2019-06-29 09:00:00.000,0.00000376,0.00000449,0.00000375,0.00000423,21903887.00000000,2019-06-30 08:59:59.999,90.80454099,6638,11106508.00000000,46.12119739,0
38,2019-06-30 09:00:00.000,0.00000421,0.00000464,0.00000413,0.00000462,13322501.00000000,2019-07-01 08:59:59.999,57.75108207,4398,8085816.00000000,35.27273968,0
39,2019-07-01 09:00:00.000,0.00000463,0.00000474,0.00000442,0.00000457,20071999.00000000,2019-07-02 08:59:59.999,91.22612233,6794,11052059.00000000,50.27881488,0
