,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000290,0.00000447,0.00000285,0.00000348,7909941433.00000000,2019-05-24 08:59:59.999,29643.04357616,321415,3722138458.00000000,13969.46603841,0
1,2019-05-24 09:00:00.000,0.00000348,0.00000370,0.00000279,0.00000318,3060407904.00000000,2019-05-25 08:59:59.999,9700.98593401,139378,1363456396.00000000,4333.07629310,0
2,2019-05-25 09:00:00.000,0.00000318,0.00000353,0.00000287,0.00000309,3216533548.00000000,2019-05-26 08:59:59.999,10380.12041775,125578,1463359562.00000000,4735.72945491,0
3,2019-05-26 09:00:00.000,0.00000309,0.00000343,0.00000266,0.00000281,2040573432.00000000,2019-05-27 08:59:59.999,6315.06877574,92525,910142449.00000000,2828.82536156,0
4,2019-05-27 09:00:00.000,0.00000280,0.00000285,0.00000236,0.00000255,2016779889.00000000,2019-05-28 08:59:59.999,5221.97389754,71635,910490447.00000000,2358.93457614,0
5,2019-05-28 09:00:00.000,0.00000255,0.00000295,0.00000238,0.00000272,1983748236.00000000,2019-05-29 08:59:59.999,5304.77219960,80065,916502852.00000000,2456.73987333,0
6,2019-05-29 09:00:00.000,0.00000273,0.00000287,0.00000254,0.00000256,1189815155.00000000,2019-05-30 08:59:59.999,3195.87343533,44627,516333672.00000000,1390.48073819,0
7,2019-05-30 09:00:00.000,0.00000256,0.00000268,0.00000226,0.00000239,1154216020.00000000,2019-05-31 08:59:59.999,2888.74315034,47120,519280956.00000000,1305.50707585,0
8,2019-05-31 09:00:00.000,0.00000239,0.00000274,0.00000233,0.00000259,1282682159.00000000,2019-06-01 08:59:59.999,3281.74465703,52287,664539010.00000000,1700.92310899,0
9,2019-06-01 09:00:00.000,0.00000259,0.00000268,0.00000241,0.00000246,1312357361.00000000,2019-06-02 08:59:59.999,3298.56299313,47077,553836631.00000000,1396.77654989,0
10,2019-06-02 09:00:00.000,0.00000247,0.00000256,0.00000223,0.00000231,852021363.00000000,2019-06-03 08:59:59.999,2068.92898892,35204,347129235.00000000,847.74148364,0
11,2019-06-03 09:00:00.000,0.00000231,0.00000248,0.00000223,0.00000235,829456036.00000000,2019-06-04 08:59:59.999,1948.37479511,30357,404039697.00000000,951.57239957,0
12,2019-06-04 09:00:00.000,0.00000235,0.00000286,0.00000228,0.00000278,1951128707.00000000,2019-06-05 08:59:59.999,5007.00321051,74382,950691278.00000000,2450.93035709,0
13,2019-06-05 09:00:00.000,0.00000279,0.00000304,0.00000254,0.00000295,2186667272.00000000,2019-06-06 08:59:59.999,6008.76531297,86416,1045951708.00000000,2887.23038852,0
14,2019-06-06 09:00:00.000,0.00000295,0.00000323,0.00000286,0.00000303,1975594791.00000000,2019-06-07 08:59:59.999,5997.21329974,85045,942109210.00000000,2867.07688030,0
15,2019-06-07 09:00:00.000,0.00000303,0.00000311,0.00000281,0.00000304,853843752.00000000,2019-06-08 08:59:59.999,2536.09204184,43127,398424787.00000000,1187.52003131,0
16,2019-06-08 09:00:00.000,0.00000304,0.00000338,0.00000294,0.00000328,1207119159.00000000,2019-06-09 08:59:59.999,3864.85990596,63310,615904868.00000000,1976.09377665,0
17,2019-06-09 09:00:00.000,0.00000328,0.00000350,0.00000318,0.00000333,1311173698.00000000,2019-06-10 08:59:59.999,4393.05405446,67408,640909032.00000000,2155.72879363,0
18,2019-06-10 09:00:00.000,0.00000332,0.00000345,0.00000308,0.00000338,1041333237.00000000,2019-06-11 08:59:59.999,3396.82713663,61158,490235285.00000000,1603.50372022,0
19,2019-06-11 09:00:00.000,0.00000338,0.00000340,0.00000297,0.00000303,911444287.00000000,2019-06-12 08:59:59.999,2882.48735572,49667,368467912.00000000,1167.35574171,0
20,2019-06-12 09:00:00.000,0.00000303,0.00000319,0.00000280,0.00000284,1035582032.00000000,2019-06-13 08:59:59.999,3098.46110276,50052,482449469.00000000,1448.98694385,0
21,2019-06-13 09:00:00.000,0.00000283,0.00000301,0.00000270,0.00000281,1097196398.00000000,2019-06-14 08:59:59.999,3118.33400850,52628,494488698.00000000,1410.01492696,0
22,2019-06-14 09:00:00.000,0.00000281,0.00000284,0.00000227,0.00000238,1044689090.00000000,2019-06-15 08:59:59.999,2621.75055521,45971,443742066.00000000,1113.81691050,0
23,2019-06-15 09:00:00.000,0.00000238,0.00000267,0.00000237,0.00000248,795171653.00000000,2019-06-16 08:59:59.999,1987.27758684,32907,365825979.00000000,915.95198191,0
24,2019-06-16 09:00:00.000,0.00000247,0.00000255,0.00000224,0.00000250,746714043.00000000,2019-06-17 08:59:59.999,1789.17485462,31702,332058682.00000000,798.18161270,0
25,2019-06-17 09:00:00.000,0.00000251,0.00000261,0.00000226,0.00000234,733163908.00000000,2019-06-18 08:59:59.999,1796.91552539,32184,300794976.00000000,741.60974758,0
26,2019-06-18 09:00:00.000,0.00000233,0.00000255,0.00000232,0.00000248,560011504.00000000,2019-06-19 08:59:59.999,1363.02596283,25638,280432730.00000000,685.38749158,0
27,2019-06-19 09:00:00.000,0.00000248,0.00000267,0.00000245,0.00000250,826775244.00000000,2019-06-20 08:59:59.999,2121.06721816,36002,402535930.00000000,1035.62020024,0
28,2019-06-20 09:00:00.000,0.00000250,0.00000259,0.00000231,0.00000235,641796536.00000000,2019-06-21 08:59:59.999,1558.42212753,26468,264325490.00000000,644.32723356,0
29,2019-06-21 09:00:00.000,0.00000236,0.00000242,0.00000204,0.00000206,628025020.00000000,2019-06-22 08:59:59.999,1413.80437958,24533,239015094.00000000,540.78904208,0
30,2019-06-22 09:00:00.000,0.00000207,0.00000216,0.00000186,0.00000204,1200134465.00000000,2019-06-23 08:59:59.999,2417.90629699,40333,527739335.00000000,1066.54037986,0
31,2019-06-23 09:00:00.000,0.00000204,0.00000209,0.00000182,0.00000193,623197484.00000000,2019-06-24 08:59:59.999,1229.00819081,21027,263712637.00000000,522.38814832,0
32,2019-06-24 09:00:00.000,0.00000193,0.00000202,0.00000183,0.00000188,432056716.00000000,2019-06-25 08:59:59.999,831.28030546,13509,197022728.00000000,380.30324700,0
33,2019-06-25 09:00:00.000,0.00000187,0.00000187,0.00000161,0.00000163,775275552.00000000,2019-06-26 08:59:59.999,1344.34012840,19208,320586276.00000000,557.19058022,0
34,2019-06-26 09:00:00.000,0.00000162,0.00000165,0.00000118,0.00000137,2222650122.00000000,2019-06-27 08:59:59.999,3116.20569335,46262,991821409.00000000,1394.99921039,0
35,2019-06-27 09:00:00.000,0.00000137,0.00000188,0.00000128,0.00000171,2275250124.00000000,2019-06-28 08:59:59.999,3749.86218428,60820,1118905973.00000000,1855.63775126,0
36,2019-06-28 09:00:00.000,0.00000171,0.00000186,0.00000152,0.00000154,1573683176.00000000,2019-06-29 08:59:59.999,2645.77080356,40529,726895077.00000000,1229.20893899,0
37,2019-06-29 09:00:00.000,0.00000155,0.00000221,0.00000154,0.00000203,2648838690.00000000,2019-06-30 08:59:59.999,5098.57359219,81034,1313641772.00000000,2529.05284855,0
38,2019-06-30 09:00:00.000,0.00000203,0.00000227,0.00000195,0.00000204,1485032155.00000000,2019-07-01 08:59:59.999,3131.51184737,58202,687555558.00000000,1453.77515411,0
