,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-02-21 09:00:00.000,0.00000048,0.00000059,0.00000030,0.00000034,1835629413.00000000,2020-02-22 08:59:59.999,699.75868922,16249,811790405.00000000,309.48380610,0
1,2020-02-22 09:00:00.000,0.00000033,0.00000033,0.00000025,0.00000028,1122378419.00000000,2020-02-23 08:59:59.999,322.44140875,8410,571298949.00000000,166.23034146,0
2,2020-02-23 09:00:00.000,0.00000028,0.00000028,0.00000025,0.00000026,284365104.00000000,2020-02-24 08:59:59.999,75.21283649,3176,123758714.00000000,33.04932387,0
3,2020-02-24 09:00:00.000,0.00000025,0.00000027,0.00000024,0.00000025,328031697.00000000,2020-02-25 08:59:59.999,83.61275949,2795,171968346.00000000,44.16400839,0
4,2020-02-25 09:00:00.000,0.00000024,0.00000025,0.00000022,0.00000024,329441763.00000000,2020-02-26 08:59:59.999,77.28368878,3637,142122221.00000000,33.57989146,0
5,2020-02-26 09:00:00.000,0.00000023,0.00000024,0.00000020,0.00000020,452039418.00000000,2020-02-27 08:59:59.999,96.62130327,2854,201252210.00000000,43.18053158,0
6,2020-02-27 09:00:00.000,0.00000020,0.00000024,0.00000020,0.00000023,337510234.00000000,2020-02-28 08:59:59.999,75.30031378,2139,207636990.00000000,46.52673171,0
7,2020-02-28 09:00:00.000,0.00000023,0.00000026,0.00000022,0.00000025,383305598.00000000,2020-02-29 08:59:59.999,94.75195609,4162,203681519.00000000,50.56953952,0
8,2020-02-29 09:00:00.000,0.00000025,0.00000026,0.00000023,0.00000025,95413899.00000000,2020-03-01 08:59:59.999,23.35036075,1679,39840473.00000000,9.79941011,0
9,2020-03-01 09:00:00.000,0.00000025,0.00000026,0.00000023,0.00000024,44066887.00000000,2020-03-02 08:59:59.999,10.69782473,759,16982530.00000000,4.23700477,0
10,2020-03-02 09:00:00.000,0.00000023,0.00000025,0.00000023,0.00000023,91030401.00000000,2020-03-03 08:59:59.999,21.64974808,916,50388173.00000000,12.02740575,0
11,2020-03-03 09:00:00.000,0.00000023,0.00000025,0.00000023,0.00000024,68280220.00000000,2020-03-04 08:59:59.999,16.06655843,764,11739408.00000000,2.82179187,0
