,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00012372,0.00013300,0.00012090,0.00012592,1104371.00000000,2019-05-24 08:59:59.999,140.32991994,7959,484076.00000000,61.46721526,0
1,2019-05-24 09:00:00.000,0.00012602,0.00013084,0.00011822,0.00012083,1278230.00000000,2019-05-25 08:59:59.999,159.23699404,9106,589026.00000000,73.25067115,0
2,2019-05-25 09:00:00.000,0.00012083,0.00012353,0.00011854,0.00011978,408541.00000000,2019-05-26 08:59:59.999,49.26938074,3995,222107.00000000,26.85181059,0
3,2019-05-26 09:00:00.000,0.00011991,0.00012563,0.00010660,0.00011305,860321.00000000,2019-05-27 08:59:59.999,101.95226353,6553,421611.00000000,49.83945309,0
4,2019-05-27 09:00:00.000,0.00011305,0.00011473,0.00010833,0.00011326,578522.00000000,2019-05-28 08:59:59.999,64.67076687,5147,330471.00000000,36.94073935,0
5,2019-05-28 09:00:00.000,0.00011326,0.00011473,0.00011030,0.00011230,383768.00000000,2019-05-29 08:59:59.999,43.23203100,3193,180957.00000000,20.40381949,0
6,2019-05-29 09:00:00.000,0.00011222,0.00011489,0.00010801,0.00011164,430462.00000000,2019-05-30 08:59:59.999,48.19512560,2794,222143.00000000,24.88080007,0
7,2019-05-30 09:00:00.000,0.00011185,0.00012872,0.00011000,0.00011499,1821917.00000000,2019-05-31 08:59:59.999,218.19640262,12346,953292.00000000,114.43186260,0
8,2019-05-31 09:00:00.000,0.00011487,0.00011921,0.00011363,0.00011545,724911.00000000,2019-06-01 08:59:59.999,84.00149632,5285,363721.00000000,42.12283793,0
9,2019-06-01 09:00:00.000,0.00011560,0.00012113,0.00011298,0.00011655,950726.00000000,2019-06-02 08:59:59.999,111.36452890,6254,394327.00000000,46.13071363,0
10,2019-06-02 09:00:00.000,0.00011646,0.00012549,0.00011617,0.00012265,1798160.00000000,2019-06-03 08:59:59.999,219.12551170,10507,976767.00000000,119.22435542,0
11,2019-06-03 09:00:00.000,0.00012278,0.00012311,0.00011660,0.00011816,1101247.00000000,2019-06-04 08:59:59.999,130.54377250,7791,592711.00000000,70.26651278,0
12,2019-06-04 09:00:00.000,0.00011817,0.00012600,0.00011702,0.00012096,719919.00000000,2019-06-05 08:59:59.999,87.03691145,6334,332196.00000000,40.16159391,0
13,2019-06-05 09:00:00.000,0.00012093,0.00013108,0.00011951,0.00012709,829939.00000000,2019-06-06 08:59:59.999,103.25853141,7577,391406.00000000,48.83751993,0
14,2019-06-06 09:00:00.000,0.00012700,0.00013050,0.00012204,0.00012604,667101.00000000,2019-06-07 08:59:59.999,83.35091702,6057,343660.00000000,42.95852262,0
15,2019-06-07 09:00:00.000,0.00012630,0.00012659,0.00012081,0.00012382,402421.00000000,2019-06-08 08:59:59.999,49.57880134,3948,210370.00000000,25.93845045,0
16,2019-06-08 09:00:00.000,0.00012379,0.00013198,0.00012230,0.00012624,917900.00000000,2019-06-09 08:59:59.999,117.16454416,6763,392973.00000000,50.09237203,0
17,2019-06-09 09:00:00.000,0.00012624,0.00014660,0.00012351,0.00013976,2916236.00000000,2019-06-10 08:59:59.999,396.23698682,20289,1527651.00000000,207.58995206,0
18,2019-06-10 09:00:00.000,0.00013984,0.00015099,0.00013500,0.00013548,3906688.00000000,2019-06-11 08:59:59.999,546.72209705,26431,1884519.00000000,263.63930502,0
19,2019-06-11 09:00:00.000,0.00013555,0.00013693,0.00013077,0.00013281,934081.00000000,2019-06-12 08:59:59.999,124.57652860,7291,443250.00000000,59.18961574,0
20,2019-06-12 09:00:00.000,0.00013285,0.00013320,0.00012357,0.00012550,725439.00000000,2019-06-13 08:59:59.999,92.98632429,5187,353807.00000000,45.41355212,0
21,2019-06-13 09:00:00.000,0.00012550,0.00012723,0.00012052,0.00012160,482671.00000000,2019-06-14 08:59:59.999,59.69176930,3701,238087.00000000,29.45201119,0
22,2019-06-14 09:00:00.000,0.00012167,0.00012531,0.00011127,0.00011340,584783.00000000,2019-06-15 08:59:59.999,69.20018965,4956,308936.00000000,36.49511552,0
23,2019-06-15 09:00:00.000,0.00011343,0.00011750,0.00011108,0.00011523,447011.00000000,2019-06-16 08:59:59.999,51.27114132,3902,214711.00000000,24.67354971,0
24,2019-06-16 09:00:00.000,0.00011531,0.00011599,0.00010519,0.00010839,464175.00000000,2019-06-17 08:59:59.999,50.81662994,4527,204898.00000000,22.43182159,0
25,2019-06-17 09:00:00.000,0.00010931,0.00010931,0.00010429,0.00010703,267281.00000000,2019-06-18 08:59:59.999,28.63913074,2852,113568.00000000,12.17791623,0
26,2019-06-18 09:00:00.000,0.00010703,0.00011650,0.00010664,0.00010907,694918.00000000,2019-06-19 08:59:59.999,76.73262588,7119,324057.00000000,35.82045420,0
27,2019-06-19 09:00:00.000,0.00010907,0.00010937,0.00010432,0.00010498,268684.00000000,2019-06-20 08:59:59.999,28.77529318,2290,120891.00000000,12.97465578,0
28,2019-06-20 09:00:00.000,0.00010516,0.00010562,0.00009694,0.00009837,567944.00000000,2019-06-21 08:59:59.999,57.88725209,4628,318279.00000000,32.48180071,0
29,2019-06-21 09:00:00.000,0.00009837,0.00009925,0.00009260,0.00009260,373094.00000000,2019-06-22 08:59:59.999,35.99553908,3765,213993.00000000,20.70955800,0
30,2019-06-22 09:00:00.000,0.00009254,0.00009479,0.00008262,0.00009017,546652.00000000,2019-06-23 08:59:59.999,48.47369293,5441,266346.00000000,23.51612227,0
31,2019-06-23 09:00:00.000,0.00009059,0.00009350,0.00008288,0.00008706,476981.00000000,2019-06-24 08:59:59.999,42.16490796,3910,218783.00000000,19.29879185,0
32,2019-06-24 09:00:00.000,0.00008707,0.00008912,0.00008514,0.00008625,208040.00000000,2019-06-25 08:59:59.999,18.09247385,2443,112747.00000000,9.82092096,0
33,2019-06-25 09:00:00.000,0.00008675,0.00008689,0.00007800,0.00007873,347189.00000000,2019-06-26 08:59:59.999,28.70204393,3924,171014.00000000,14.14592421,0
34,2019-06-26 09:00:00.000,0.00007886,0.00008278,0.00006595,0.00007054,572473.00000000,2019-06-27 08:59:59.999,41.80162388,5385,286879.00000000,20.98894556,0
35,2019-06-27 09:00:00.000,0.00007086,0.00007957,0.00006952,0.00007417,540708.00000000,2019-06-28 08:59:59.999,40.18160782,4444,246978.00000000,18.32757028,0
36,2019-06-28 09:00:00.000,0.00007421,0.00007955,0.00006825,0.00006911,383451.00000000,2019-06-29 08:59:59.999,27.77119211,3353,205108.00000000,14.86471200,0
