,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-06-05 09:00:00.000,0.00000129,0.00000180,0.00000097,0.00000106,606271345.00000000,2020-06-06 08:59:59.999,692.25109780,23179,239820801.00000000,270.63517059,0
1,2020-06-06 09:00:00.000,0.00000107,0.00000110,0.00000102,0.00000103,148359511.00000000,2020-06-07 08:59:59.999,155.56580702,5884,53791747.00000000,56.73683117,0
2,2020-06-07 09:00:00.000,0.00000103,0.00000103,0.00000092,0.00000094,127695918.00000000,2020-06-08 08:59:59.999,122.22113181,5089,52573639.00000000,50.37952206,0
3,2020-06-08 09:00:00.000,0.00000094,0.00000099,0.00000092,0.00000094,43611601.00000000,2020-06-09 08:59:59.999,41.62236594,3535,19765274.00000000,18.97638522,0
4,2020-06-09 09:00:00.000,0.00000093,0.00000095,0.00000088,0.00000089,44968645.00000000,2020-06-10 08:59:59.999,40.93144709,3073,16502779.00000000,15.12328261,0
5,2020-06-10 09:00:00.000,0.00000089,0.00000092,0.00000085,0.00000088,44105961.00000000,2020-06-11 08:59:59.999,39.27892609,3038,18045462.00000000,16.16635900,0
6,2020-06-11 09:00:00.000,0.00000087,0.00000097,0.00000085,0.00000092,122926832.00000000,2020-06-12 08:59:59.999,110.25378771,7655,60183474.00000000,54.29890949,0
7,2020-06-12 09:00:00.000,0.00000092,0.00000105,0.00000092,0.00000099,181483825.00000000,2020-06-13 08:59:59.999,179.04507030,8986,83731506.00000000,83.16555981,0
8,2020-06-13 09:00:00.000,0.00000098,0.00000103,0.00000095,0.00000100,70208463.00000000,2020-06-14 08:59:59.999,68.72407515,3103,31515985.00000000,30.97562119,0
9,2020-06-14 09:00:00.000,0.00000101,0.00000103,0.00000096,0.00000098,70401515.00000000,2020-06-15 08:59:59.999,70.10569301,4434,32554689.00000000,32.55380835,0
10,2020-06-15 09:00:00.000,0.00000099,0.00000108,0.00000092,0.00000101,167039297.00000000,2020-06-16 08:59:59.999,167.47043518,7715,81779892.00000000,82.15262227,0
11,2020-06-16 09:00:00.000,0.00000100,0.00000102,0.00000095,0.00000097,47503700.00000000,2020-06-17 08:59:59.999,46.75466509,2598,16574370.00000000,16.38533673,0
12,2020-06-17 09:00:00.000,0.00000097,0.00000098,0.00000094,0.00000096,41410183.00000000,2020-06-18 08:59:59.999,39.89386184,1874,12186450.00000000,11.78078656,0
13,2020-06-18 09:00:00.000,0.00000096,0.00000100,0.00000094,0.00000098,57010610.00000000,2020-06-19 08:59:59.999,55.11189486,2265,23710291.00000000,23.03616637,0
14,2020-06-19 09:00:00.000,0.00000098,0.00000103,0.00000095,0.00000099,55289889.00000000,2020-06-20 08:59:59.999,54.64604165,2620,23585027.00000000,23.35139613,0
15,2020-06-20 09:00:00.000,0.00000099,0.00000099,0.00000095,0.00000097,28658467.00000000,2020-06-21 08:59:59.999,27.81111757,1182,10153835.00000000,9.89600438,0
16,2020-06-21 09:00:00.000,0.00000097,0.00000098,0.00000095,0.00000096,23200711.00000000,2020-06-22 08:59:59.999,22.31797051,848,6167107.00000000,5.96880736,0
17,2020-06-22 09:00:00.000,0.00000096,0.00000099,0.00000094,0.00000095,28395103.00000000,2020-06-23 08:59:59.999,27.31321854,1500,12251554.00000000,11.86094317,0
18,2020-06-23 09:00:00.000,0.00000095,0.00000099,0.00000092,0.00000097,47239630.00000000,2020-06-24 08:59:59.999,45.22930172,2588,23939795.00000000,23.05959472,0
19,2020-06-24 09:00:00.000,0.00000097,0.00000109,0.00000097,0.00000103,131278232.00000000,2020-06-25 08:59:59.999,137.21408454,5238,71690095.00000000,75.13868764,0
20,2020-06-25 09:00:00.000,0.00000103,0.00000111,0.00000100,0.00000107,118432514.00000000,2020-06-26 08:59:59.999,126.84573206,4494,82484866.00000000,88.76702795,0
21,2020-06-26 09:00:00.000,0.00000107,0.00000110,0.00000102,0.00000106,57084235.00000000,2020-06-27 08:59:59.999,60.08687725,2467,29905214.00000000,31.68351584,0
22,2020-06-27 09:00:00.000,0.00000106,0.00000106,0.00000094,0.00000095,67801055.00000000,2020-06-28 08:59:59.999,67.55676190,2787,28269796.00000000,28.52056316,0
