,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2018-11-21 09:00:00.000,0.00000096,0.00000103,0.00000095,0.00000100,192824456.00000000,2018-11-22 08:59:59.999,190.17464229,3154,93892257.00000000,92.88464765,0
1,2018-11-22 09:00:00.000,0.00000100,0.00000104,0.00000095,0.00000096,228720692.00000000,2018-11-23 08:59:59.999,228.95024822,3385,98636043.00000000,99.34063638,0
2,2018-11-23 09:00:00.000,0.00000096,0.00000098,0.00000091,0.00000094,212011929.00000000,2018-11-24 08:59:59.999,200.05993248,3366,94688091.00000000,89.54280545,0
3,2018-11-24 09:00:00.000,0.00000094,0.00000096,0.00000086,0.00000089,236689820.00000000,2018-11-25 08:59:59.999,216.02459431,5677,92838769.00000000,84.78876816,0
4,2018-11-25 09:00:00.000,0.00000090,0.00000092,0.00000084,0.00000089,265554503.00000000,2018-11-26 08:59:59.999,230.95407977,6566,103129334.00000000,90.05640344,0
5,2018-11-26 09:00:00.000,0.00000089,0.00000100,0.00000087,0.00000091,457001767.00000000,2018-11-27 08:59:59.999,422.34872832,7915,207538866.00000000,192.50965381,0
6,2018-11-27 09:00:00.000,0.00000091,0.00000104,0.00000090,0.00000101,464056195.00000000,2018-11-28 08:59:59.999,452.56030895,7248,234305596.00000000,229.19388286,0
7,2018-11-28 09:00:00.000,0.00000101,0.00000109,0.00000100,0.00000105,404757153.00000000,2018-11-29 08:59:59.999,426.86920588,6639,192328957.00000000,203.42816695,0
8,2018-11-29 09:00:00.000,0.00000105,0.00000110,0.00000099,0.00000103,370609429.00000000,2018-11-30 08:59:59.999,386.88816187,6983,169450594.00000000,177.75709338,0
9,2018-11-30 09:00:00.000,0.00000103,0.00000104,0.00000093,0.00000095,234789094.00000000,2018-12-01 08:59:59.999,226.61867033,6129,82813279.00000000,80.06454219,0
10,2018-12-01 09:00:00.000,0.00000095,0.00000102,0.00000095,0.00000099,127244270.00000000,2018-12-02 08:59:59.999,125.41383996,2947,72642785.00000000,71.46182274,0
