,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000600,0.00000619,0.00000583,0.00000593,23495290.00000000,2019-05-24 08:59:59.999,140.20983021,6330,11324894.00000000,67.76797900,0
1,2019-05-24 09:00:00.000,0.00000593,0.00000695,0.00000593,0.00000613,69024120.00000000,2019-05-25 08:59:59.999,441.71801425,16510,30417768.00000000,195.25604154,0
2,2019-05-25 09:00:00.000,0.00000613,0.00000650,0.00000601,0.00000626,31673496.00000000,2019-05-26 08:59:59.999,195.84335745,8008,14306980.00000000,88.56589198,0
3,2019-05-26 09:00:00.000,0.00000627,0.00000778,0.00000611,0.00000661,154119120.00000000,2019-05-27 08:59:59.999,1064.32176413,37714,69365619.00000000,480.12351642,0
4,2019-05-27 09:00:00.000,0.00000662,0.00000666,0.00000594,0.00000617,56435804.00000000,2019-05-28 08:59:59.999,351.75433427,13038,25453939.00000000,158.75050782,0
5,2019-05-28 09:00:00.000,0.00000619,0.00000640,0.00000589,0.00000603,28335709.00000000,2019-05-29 08:59:59.999,173.33540596,7027,12387302.00000000,75.83153906,0
6,2019-05-29 09:00:00.000,0.00000603,0.00000611,0.00000574,0.00000588,27423799.00000000,2019-05-30 08:59:59.999,161.23588043,6178,11749520.00000000,69.20231683,0
7,2019-05-30 09:00:00.000,0.00000588,0.00000617,0.00000536,0.00000555,61124095.00000000,2019-05-31 08:59:59.999,355.28268280,11349,29077679.00000000,168.88373279,0
8,2019-05-31 09:00:00.000,0.00000551,0.00000574,0.00000542,0.00000565,22727706.00000000,2019-06-01 08:59:59.999,126.77262259,5057,10110001.00000000,56.44209030,0
9,2019-06-01 09:00:00.000,0.00000564,0.00000567,0.00000528,0.00000537,20228649.00000000,2019-06-02 08:59:59.999,109.82962870,4296,8681156.00000000,47.20786332,0
10,2019-06-02 09:00:00.000,0.00000536,0.00000555,0.00000531,0.00000543,17328001.00000000,2019-06-03 08:59:59.999,94.13382182,4116,7656000.00000000,41.64843265,0
11,2019-06-03 09:00:00.000,0.00000544,0.00000551,0.00000513,0.00000518,15173723.00000000,2019-06-04 08:59:59.999,80.82760857,4241,5723968.00000000,30.57557806,0
12,2019-06-04 09:00:00.000,0.00000517,0.00000530,0.00000506,0.00000526,16048021.00000000,2019-06-05 08:59:59.999,83.20563690,3943,7617369.00000000,39.51479935,0
13,2019-06-05 09:00:00.000,0.00000525,0.00000552,0.00000524,0.00000543,13219482.00000000,2019-06-06 08:59:59.999,71.34526274,3986,6602790.00000000,35.64886971,0
14,2019-06-06 09:00:00.000,0.00000542,0.00000555,0.00000491,0.00000520,40563793.00000000,2019-06-07 08:59:59.999,210.57982305,12309,15107380.00000000,78.64739728,0
15,2019-06-07 09:00:00.000,0.00000521,0.00000542,0.00000516,0.00000530,17438903.00000000,2019-06-08 08:59:59.999,92.29155489,4518,8091596.00000000,42.81751956,0
16,2019-06-08 09:00:00.000,0.00000529,0.00000544,0.00000526,0.00000535,15542998.00000000,2019-06-09 08:59:59.999,83.13905966,3027,6104910.00000000,32.65768777,0
17,2019-06-09 09:00:00.000,0.00000534,0.00000564,0.00000527,0.00000531,24028638.00000000,2019-06-10 08:59:59.999,130.21222104,5889,11260512.00000000,61.08240443,0
18,2019-06-10 09:00:00.000,0.00000531,0.00000860,0.00000524,0.00000709,520093187.00000000,2019-06-11 08:59:59.999,3765.36644331,93050,251709999.00000000,1815.70111984,0
19,2019-06-11 09:00:00.000,0.00000709,0.00000782,0.00000655,0.00000676,187247557.00000000,2019-06-12 08:59:59.999,1325.73329956,33927,83430593.00000000,592.58108652,0
20,2019-06-12 09:00:00.000,0.00000675,0.00000808,0.00000628,0.00000747,169428018.00000000,2019-06-13 08:59:59.999,1233.37919369,36843,78614320.00000000,573.51131075,0
21,2019-06-13 09:00:00.000,0.00000749,0.00000968,0.00000729,0.00000773,271962493.00000000,2019-06-14 08:59:59.999,2246.50249990,57729,125609879.00000000,1040.02826705,0
22,2019-06-14 09:00:00.000,0.00000772,0.00000772,0.00000665,0.00000714,58604928.00000000,2019-06-15 08:59:59.999,419.50889198,16550,25188336.00000000,179.90164607,0
23,2019-06-15 09:00:00.000,0.00000714,0.00000781,0.00000669,0.00000703,61711317.00000000,2019-06-16 08:59:59.999,445.89509874,17639,29223303.00000000,211.20770984,0
24,2019-06-16 09:00:00.000,0.00000706,0.00000773,0.00000684,0.00000718,69168914.00000000,2019-06-17 08:59:59.999,496.13757204,21402,33124437.00000000,237.79878305,0
25,2019-06-17 09:00:00.000,0.00000720,0.00000721,0.00000657,0.00000667,25686533.00000000,2019-06-18 08:59:59.999,174.73298005,14507,10439330.00000000,70.81890554,0
26,2019-06-18 09:00:00.000,0.00000665,0.00000665,0.00000620,0.00000639,23228927.00000000,2019-06-19 08:59:59.999,147.47607213,6972,10044810.00000000,63.87022410,0
27,2019-06-19 09:00:00.000,0.00000636,0.00000641,0.00000583,0.00000588,28882527.00000000,2019-06-20 08:59:59.999,174.69553751,7409,12527530.00000000,75.62373477,0
28,2019-06-20 09:00:00.000,0.00000588,0.00000599,0.00000485,0.00000501,92587263.00000000,2019-06-21 08:59:59.999,500.18980890,16726,36734584.00000000,198.03662370,0
29,2019-06-21 09:00:00.000,0.00000501,0.00000507,0.00000446,0.00000456,51559828.00000000,2019-06-22 08:59:59.999,248.12136661,11239,21120692.00000000,101.84643669,0
30,2019-06-22 09:00:00.000,0.00000457,0.00000489,0.00000401,0.00000433,66628268.00000000,2019-06-23 08:59:59.999,289.45847190,15868,30286282.00000000,131.93972359,0
31,2019-06-23 09:00:00.000,0.00000433,0.00000457,0.00000397,0.00000419,33096436.00000000,2019-06-24 08:59:59.999,142.98297729,8505,13207835.00000000,57.13200726,0
32,2019-06-24 09:00:00.000,0.00000419,0.00000442,0.00000408,0.00000425,22698799.00000000,2019-06-25 08:59:59.999,95.66403573,6602,11218834.00000000,47.29459662,0
33,2019-06-25 09:00:00.000,0.00000425,0.00000431,0.00000387,0.00000388,17688686.00000000,2019-06-26 08:59:59.999,72.59550612,7146,7666369.00000000,31.50006811,0
34,2019-06-26 09:00:00.000,0.00000388,0.00000405,0.00000302,0.00000321,35087603.00000000,2019-06-27 08:59:59.999,121.12159735,9970,15541468.00000000,53.33617461,0
35,2019-06-27 09:00:00.000,0.00000320,0.00000364,0.00000310,0.00000339,23677902.00000000,2019-06-28 08:59:59.999,80.51500343,5801,10981721.00000000,37.47921478,0
36,2019-06-28 09:00:00.000,0.00000339,0.00000354,0.00000313,0.00000317,13729351.00000000,2019-06-29 08:59:59.999,45.85156336,3648,5442136.00000000,18.19679223,0
37,2019-06-29 09:00:00.000,0.00000316,0.00000366,0.00000316,0.00000359,19007437.00000000,2019-06-30 08:59:59.999,65.64534272,4261,9518215.00000000,32.91209650,0
38,2019-06-30 09:00:00.000,0.00000358,0.00000376,0.00000351,0.00000376,16746902.00000000,2019-07-01 08:59:59.999,60.73606058,4015,7451651.00000000,27.04574893,0
39,2019-07-01 09:00:00.000,0.00000373,0.00000387,0.00000364,0.00000375,21258139.00000000,2019-07-02 08:59:59.999,79.52954996,4209,9862311.00000000,36.92606790,0
