,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000388,0.00000415,0.00000341,0.00000362,120814525.00000000,2019-05-24 08:59:59.999,457.93449449,21377,52926144.00000000,201.42296600,0
1,2019-05-24 09:00:00.000,0.00000364,0.00000369,0.00000310,0.00000320,48652760.00000000,2019-05-25 08:59:59.999,164.35246548,7222,18987531.00000000,63.75741249,0
2,2019-05-25 09:00:00.000,0.00000320,0.00000320,0.00000295,0.00000303,20242795.00000000,2019-05-26 08:59:59.999,61.73941137,3374,8043143.00000000,24.57857133,0
3,2019-05-26 09:00:00.000,0.00000304,0.00000338,0.00000272,0.00000287,57216919.00000000,2019-05-27 08:59:59.999,179.46225978,7745,25521087.00000000,80.37357816,0
4,2019-05-27 09:00:00.000,0.00000288,0.00000299,0.00000275,0.00000292,20048803.00000000,2019-05-28 08:59:59.999,57.40265547,3374,8898076.00000000,25.44925896,0
5,2019-05-28 09:00:00.000,0.00000293,0.00000333,0.00000287,0.00000304,34367139.00000000,2019-05-29 08:59:59.999,105.81625561,6119,15304647.00000000,47.29219620,0
6,2019-05-29 09:00:00.000,0.00000305,0.00000309,0.00000286,0.00000303,13558523.00000000,2019-05-30 08:59:59.999,40.55951094,2415,5654575.00000000,16.92622843,0
7,2019-05-30 09:00:00.000,0.00000303,0.00000314,0.00000281,0.00000287,21159040.00000000,2019-05-31 08:59:59.999,63.37108882,3684,7922042.00000000,23.87965689,0
8,2019-05-31 09:00:00.000,0.00000287,0.00000293,0.00000279,0.00000288,9618451.00000000,2019-06-01 08:59:59.999,27.56172781,1863,4470506.00000000,12.81773173,0
9,2019-06-01 09:00:00.000,0.00000289,0.00000290,0.00000274,0.00000282,9372686.00000000,2019-06-02 08:59:59.999,26.28276692,1764,4116756.00000000,11.53482904,0
10,2019-06-02 09:00:00.000,0.00000280,0.00000295,0.00000275,0.00000290,8450979.00000000,2019-06-03 08:59:59.999,24.08857113,1683,4067475.00000000,11.62357194,0
11,2019-06-03 09:00:00.000,0.00000291,0.00000299,0.00000283,0.00000286,11480745.00000000,2019-06-04 08:59:59.999,33.38006565,2102,5164023.00000000,15.07680057,0
12,2019-06-04 09:00:00.000,0.00000287,0.00000295,0.00000275,0.00000282,14281168.00000000,2019-06-05 08:59:59.999,40.68343215,2458,5658797.00000000,16.13290446,0
13,2019-06-05 09:00:00.000,0.00000282,0.00000298,0.00000278,0.00000285,8235131.00000000,2019-06-06 08:59:59.999,23.60582775,1401,4262664.00000000,12.26164139,0
14,2019-06-06 09:00:00.000,0.00000285,0.00000290,0.00000279,0.00000286,10980437.00000000,2019-06-07 08:59:59.999,31.30434035,1378,3548463.00000000,10.14185956,0
15,2019-06-07 09:00:00.000,0.00000286,0.00000309,0.00000282,0.00000295,17646488.00000000,2019-06-08 08:59:59.999,52.05176950,2452,8601033.00000000,25.40374683,0
16,2019-06-08 09:00:00.000,0.00000295,0.00000305,0.00000292,0.00000300,9114531.00000000,2019-06-09 08:59:59.999,27.18126546,1606,3840520.00000000,11.48372526,0
