,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00006150,0.00006600,0.00005820,0.00006060,5928435.75000000,2019-05-24 08:59:59.999,361.25803420,7660,4189452.65000000,255.84318676,0
1,2019-05-24 09:00:00.000,0.00006040,0.00006440,0.00005690,0.00005940,2857775.10000000,2019-05-25 08:59:59.999,170.60403520,6826,1510561.39000000,90.20523253,0
2,2019-05-25 09:00:00.000,0.00005940,0.00006220,0.00005790,0.00005920,1498923.45000000,2019-05-26 08:59:59.999,88.52157232,4653,836788.32000000,49.49049419,0
3,2019-05-26 09:00:00.000,0.00005900,0.00006530,0.00005240,0.00005400,4374090.53000000,2019-05-27 08:59:59.999,258.77806949,12076,2204769.26000000,131.10340898,0
4,2019-05-27 09:00:00.000,0.00005420,0.00005570,0.00005280,0.00005500,1580171.62000000,2019-05-28 08:59:59.999,85.79775304,4414,848925.43000000,46.22941839,0
5,2019-05-28 09:00:00.000,0.00005500,0.00005780,0.00005410,0.00005640,2425214.84000000,2019-05-29 08:59:59.999,135.29520808,4929,1629943.90000000,91.07063231,0
6,2019-05-29 09:00:00.000,0.00005640,0.00005760,0.00005440,0.00005610,919297.27000000,2019-05-30 08:59:59.999,51.47815910,3551,433582.33000000,24.37895432,0
7,2019-05-30 09:00:00.000,0.00005610,0.00006090,0.00005360,0.00005410,2070813.81000000,2019-05-31 08:59:59.999,118.36011578,6656,942771.19000000,54.09067309,0
8,2019-05-31 09:00:00.000,0.00005400,0.00005630,0.00005270,0.00005410,1887729.99000000,2019-06-01 08:59:59.999,102.46921990,3509,1288478.49000000,70.00468160,0
9,2019-06-01 09:00:00.000,0.00005430,0.00005550,0.00005290,0.00005420,2034264.98000000,2019-06-02 08:59:59.999,109.98218955,2699,1618797.13000000,87.52608189,0
10,2019-06-02 09:00:00.000,0.00005420,0.00006120,0.00005400,0.00005750,9375312.44000000,2019-06-03 08:59:59.999,538.33446859,13649,6096270.90000000,350.14238161,0
11,2019-06-03 09:00:00.000,0.00005760,0.00006020,0.00005600,0.00005800,11599249.99000000,2019-06-04 08:59:59.999,677.54468758,7639,9638033.14000000,563.63826040,0
12,2019-06-04 09:00:00.000,0.00005800,0.00005950,0.00005630,0.00005790,6807316.08000000,2019-06-05 08:59:59.999,397.46765009,6330,5474674.37000000,320.14567920,0
13,2019-06-05 09:00:00.000,0.00005790,0.00006230,0.00005770,0.00006000,9159476.38000000,2019-06-06 08:59:59.999,555.58603686,9715,6882929.15000000,418.63787604,0
14,2019-06-06 09:00:00.000,0.00006030,0.00006230,0.00005880,0.00005960,4375448.38000000,2019-06-07 08:59:59.999,264.43595679,5662,3073127.60000000,185.95179861,0
15,2019-06-07 09:00:00.000,0.00005980,0.00006300,0.00005830,0.00006250,5728171.27000000,2019-06-08 08:59:59.999,352.30753307,6468,4618956.44000000,284.88565785,0
16,2019-06-08 09:00:00.000,0.00006240,0.00006770,0.00006120,0.00006240,4091541.99000000,2019-06-09 08:59:59.999,258.86184569,8513,2445826.99000000,155.18677763,0
17,2019-06-09 09:00:00.000,0.00006230,0.00006400,0.00005980,0.00006180,3708379.04000000,2019-06-10 08:59:59.999,233.41908199,4798,2915947.68000000,184.37887328,0
18,2019-06-10 09:00:00.000,0.00006180,0.00006840,0.00006130,0.00006630,12380803.75000000,2019-06-11 08:59:59.999,807.12999961,9021,10546305.28000000,688.11738271,0
19,2019-06-11 09:00:00.000,0.00006620,0.00008680,0.00006440,0.00007720,18787053.15000000,2019-06-12 08:59:59.999,1479.67393258,36811,10454714.85000000,816.82058703,0
20,2019-06-12 09:00:00.000,0.00007730,0.00007960,0.00007020,0.00007280,4301704.87000000,2019-06-13 08:59:59.999,317.03207182,8810,2367658.69000000,173.87363774,0
21,2019-06-13 09:00:00.000,0.00007270,0.00007670,0.00006860,0.00007000,3774100.38000000,2019-06-14 08:59:59.999,271.68776625,7439,2327073.10000000,167.48436980,0
22,2019-06-14 09:00:00.000,0.00007000,0.00007140,0.00006380,0.00006560,3367221.24000000,2019-06-15 08:59:59.999,225.92876200,6396,2288051.13000000,152.91140668,0
23,2019-06-15 09:00:00.000,0.00006580,0.00006700,0.00006330,0.00006460,834783.84000000,2019-06-16 08:59:59.999,54.48527999,2944,290159.23000000,18.93238167,0
24,2019-06-16 09:00:00.000,0.00006460,0.00006550,0.00006050,0.00006390,3254711.72000000,2019-06-17 08:59:59.999,205.45566207,4183,2404336.06000000,152.09204557,0
25,2019-06-17 09:00:00.000,0.00006400,0.00006660,0.00006200,0.00006400,4504577.61000000,2019-06-18 08:59:59.999,290.04543081,7078,3032988.58000000,195.32706020,0
26,2019-06-18 09:00:00.000,0.00006400,0.00006610,0.00006170,0.00006460,5522435.84000000,2019-06-19 08:59:59.999,355.58773986,4910,4598088.12000000,296.24776860,0
27,2019-06-19 09:00:00.000,0.00006450,0.00006950,0.00006370,0.00006730,3387857.52000000,2019-06-20 08:59:59.999,229.31911687,7078,2387119.41000000,162.04002230,0
28,2019-06-20 09:00:00.000,0.00006720,0.00006730,0.00006310,0.00006330,4451028.57000000,2019-06-21 08:59:59.999,288.24685648,5068,3375211.61000000,218.56213643,0
29,2019-06-21 09:00:00.000,0.00006340,0.00006430,0.00005790,0.00005810,2825429.75000000,2019-06-22 08:59:59.999,171.05256796,4136,2084497.45000000,126.08461854,0
30,2019-06-22 09:00:00.000,0.00005810,0.00005910,0.00005210,0.00005660,1340513.76000000,2019-06-23 08:59:59.999,73.33853868,4839,589042.37000000,32.25235769,0
