,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00021540,0.00021600,0.00020580,0.00021260,1174938.39000000,2019-05-24 08:59:59.999,248.94616157,14418,546463.47000000,115.91624128,0
1,2019-05-24 09:00:00.000,0.00021260,0.00021780,0.00020800,0.00020880,1340895.64000000,2019-05-25 08:59:59.999,285.14178796,15989,619394.25000000,131.76557221,0
2,2019-05-25 09:00:00.000,0.00020890,0.00021400,0.00020610,0.00020860,770946.50000000,2019-05-26 08:59:59.999,161.40963941,9994,385124.65000000,80.72109483,0
3,2019-05-26 09:00:00.000,0.00020830,0.00021400,0.00019280,0.00019920,1353872.19000000,2019-05-27 08:59:59.999,277.79596301,14227,612184.54000000,125.27034389,0
4,2019-05-27 09:00:00.000,0.00019910,0.00020630,0.00019480,0.00020380,1219410.89000000,2019-05-28 08:59:59.999,244.08904723,16556,631468.73000000,126.41541964,0
5,2019-05-28 09:00:00.000,0.00020370,0.00020630,0.00020050,0.00020110,1156675.34000000,2019-05-29 08:59:59.999,234.22995297,12736,531919.76000000,107.82182883,0
6,2019-05-29 09:00:00.000,0.00020110,0.00021300,0.00019530,0.00020590,1851717.87000000,2019-05-30 08:59:59.999,378.24132654,20050,881520.16000000,180.28658749,0
7,2019-05-30 09:00:00.000,0.00020590,0.00021840,0.00019800,0.00019980,2416959.42000000,2019-05-31 08:59:59.999,502.60386149,27274,1111479.16000000,231.34549581,0
8,2019-05-31 09:00:00.000,0.00019980,0.00020360,0.00019600,0.00020220,1315827.29000000,2019-06-01 08:59:59.999,263.24605959,16539,706332.64000000,141.35538539,0
9,2019-06-01 09:00:00.000,0.00020230,0.00020470,0.00019460,0.00019650,1203338.41000000,2019-06-02 08:59:59.999,238.24975726,13410,489763.14000000,97.00423833,0
10,2019-06-02 09:00:00.000,0.00019660,0.00020880,0.00019630,0.00020350,1371721.50000000,2019-06-03 08:59:59.999,277.51055425,14957,742262.84000000,150.10568036,0
11,2019-06-03 09:00:00.000,0.00020350,0.00020360,0.00019700,0.00019940,869932.87000000,2019-06-04 08:59:59.999,173.39226106,9688,384168.65000000,76.61386013,0
12,2019-06-04 09:00:00.000,0.00019970,0.00020190,0.00018770,0.00019300,1774628.94000000,2019-06-05 08:59:59.999,345.90495328,16705,826795.76000000,161.15670622,0
13,2019-06-05 09:00:00.000,0.00019290,0.00019520,0.00018920,0.00019120,1050119.59000000,2019-06-06 08:59:59.999,202.18714972,10849,455464.33000000,87.80107809,0
14,2019-06-06 09:00:00.000,0.00019130,0.00019480,0.00018790,0.00019190,1207742.47000000,2019-06-07 08:59:59.999,231.13534056,10828,649579.65000000,124.45027966,0
