,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00014160,0.00014230,0.00013470,0.00013790,518940.60000000,2019-05-24 08:59:59.999,72.01122244,5147,231781.18000000,32.19548424,0
1,2019-05-24 09:00:00.000,0.00013790,0.00014270,0.00013510,0.00013790,581995.17000000,2019-05-25 08:59:59.999,81.08929774,6478,285282.55000000,39.81177840,0
2,2019-05-25 09:00:00.000,0.00013810,0.00014510,0.00013740,0.00014000,557761.90000000,2019-05-26 08:59:59.999,78.64617054,5463,216722.83000000,30.52728416,0
3,2019-05-26 09:00:00.000,0.00013990,0.00015450,0.00012720,0.00013670,1164870.05000000,2019-05-27 08:59:59.999,165.64706189,11931,567296.08000000,80.69906055,0
4,2019-05-27 09:00:00.000,0.00013670,0.00013840,0.00012650,0.00013270,486339.61000000,2019-05-28 08:59:59.999,64.52128579,6323,265960.84000000,35.33717604,0
5,2019-05-28 09:00:00.000,0.00013260,0.00014370,0.00013010,0.00013460,319813.36000000,2019-05-29 08:59:59.999,42.82805443,3835,157431.50000000,21.13191065,0
6,2019-05-29 09:00:00.000,0.00013470,0.00013650,0.00013120,0.00013320,328403.77000000,2019-05-30 08:59:59.999,44.00599412,3257,164068.85000000,22.00292792,0
7,2019-05-30 09:00:00.000,0.00013320,0.00014780,0.00013240,0.00013640,799932.53000000,2019-05-31 08:59:59.999,111.43727138,7556,421196.36000000,58.68420763,0
8,2019-05-31 09:00:00.000,0.00013640,0.00014130,0.00013490,0.00014020,424943.28000000,2019-06-01 08:59:59.999,58.49930626,3959,204591.36000000,28.16851883,0
9,2019-06-01 09:00:00.000,0.00014030,0.00014490,0.00013800,0.00013870,639139.69000000,2019-06-02 08:59:59.999,90.42038706,5193,272853.14000000,38.58810950,0
10,2019-06-02 09:00:00.000,0.00013860,0.00014290,0.00013520,0.00013650,442983.85000000,2019-06-03 08:59:59.999,60.99250773,3727,192121.98000000,26.49232714,0
11,2019-06-03 09:00:00.000,0.00013650,0.00013670,0.00013080,0.00013460,405385.54000000,2019-06-04 08:59:59.999,54.41280452,3321,197584.56000000,26.55725177,0
12,2019-06-04 09:00:00.000,0.00013460,0.00013730,0.00013200,0.00013330,429103.88000000,2019-06-05 08:59:59.999,57.41542218,4171,208685.18000000,27.95480659,0
13,2019-06-05 09:00:00.000,0.00013340,0.00013860,0.00013260,0.00013620,531719.59000000,2019-06-06 08:59:59.999,71.83576919,5420,236541.29000000,31.96543016,0
14,2019-06-06 09:00:00.000,0.00013620,0.00014070,0.00013540,0.00014010,551528.89000000,2019-06-07 08:59:59.999,76.19683865,4831,263972.01000000,36.49316007,0
15,2019-06-07 09:00:00.000,0.00014010,0.00014290,0.00013910,0.00014060,322026.84000000,2019-06-08 08:59:59.999,45.34526116,2848,168647.84000000,23.76681910,0
16,2019-06-08 09:00:00.000,0.00014050,0.00014150,0.00013700,0.00013920,380504.08000000,2019-06-09 08:59:59.999,53.08359098,2558,176025.17000000,24.55380529,0
17,2019-06-09 09:00:00.000,0.00013910,0.00018140,0.00013840,0.00017960,3761154.00000000,2019-06-10 08:59:59.999,625.94068538,31090,1949594.68000000,323.83085332,0
18,2019-06-10 09:00:00.000,0.00017930,0.00026180,0.00017290,0.00021610,13392336.18000000,2019-06-11 08:59:59.999,3016.62557051,105111,6994111.43000000,1568.07873705,0
19,2019-06-11 09:00:00.000,0.00021610,0.00024940,0.00021130,0.00022010,5464114.38000000,2019-06-12 08:59:59.999,1234.56088246,32235,2702222.09000000,610.56032301,0
20,2019-06-12 09:00:00.000,0.00022010,0.00022050,0.00018950,0.00020330,5456730.65000000,2019-06-13 08:59:59.999,1110.20173908,24069,2652532.01000000,539.94927863,0
21,2019-06-13 09:00:00.000,0.00020330,0.00021500,0.00019340,0.00019980,1469926.39000000,2019-06-14 08:59:59.999,300.03302080,10682,715709.47000000,145.98312121,0
22,2019-06-14 09:00:00.000,0.00019990,0.00020250,0.00017420,0.00017610,851870.59000000,2019-06-15 08:59:59.999,160.85261240,8290,402236.88000000,75.89888986,0
