,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00003010,0.00003090,0.00002740,0.00002800,1305629.77000000,2019-05-24 08:59:59.999,37.36855529,2266,545395.14000000,15.57383891,0
1,2019-05-24 09:00:00.000,0.00002810,0.00002910,0.00002600,0.00002610,1088644.29000000,2019-05-25 08:59:59.999,30.22483309,2339,457615.93000000,12.78217248,0
2,2019-05-25 09:00:00.000,0.00002610,0.00002690,0.00002490,0.00002620,1663751.86000000,2019-05-26 08:59:59.999,42.74928703,2727,827142.35000000,21.30448926,0
3,2019-05-26 09:00:00.000,0.00002620,0.00002930,0.00002420,0.00002500,2564651.54000000,2019-05-27 08:59:59.999,68.57671623,5428,1147901.20000000,30.70601193,0
4,2019-05-27 09:00:00.000,0.00002500,0.00002500,0.00002350,0.00002480,761391.04000000,2019-05-28 08:59:59.999,18.45780428,1835,362548.42000000,8.79731926,0
5,2019-05-28 09:00:00.000,0.00002480,0.00002660,0.00002400,0.00002520,1330884.79000000,2019-05-29 08:59:59.999,33.83880165,2986,588976.95000000,14.99975894,0
6,2019-05-29 09:00:00.000,0.00002520,0.00002630,0.00002420,0.00002590,965173.21000000,2019-05-30 08:59:59.999,24.21657217,1955,470062.12000000,11.83843052,0
7,2019-05-30 09:00:00.000,0.00002590,0.00002760,0.00002430,0.00002570,1673724.27000000,2019-05-31 08:59:59.999,43.51022606,3833,773047.21000000,20.16956299,0
8,2019-05-31 09:00:00.000,0.00002550,0.00002740,0.00002510,0.00002700,1240184.51000000,2019-06-01 08:59:59.999,32.39986308,3275,584699.70000000,15.33746990,0
9,2019-06-01 09:00:00.000,0.00002700,0.00003030,0.00002540,0.00002810,2862453.70000000,2019-06-02 08:59:59.999,80.12146425,5564,1400220.10000000,39.22651755,0
10,2019-06-02 09:00:00.000,0.00002810,0.00003100,0.00002760,0.00003010,4805320.13000000,2019-06-03 08:59:59.999,139.51927211,8598,2168790.61000000,63.28269327,0
11,2019-06-03 09:00:00.000,0.00003010,0.00003020,0.00002660,0.00002670,1247799.97000000,2019-06-04 08:59:59.999,34.64411261,2615,400325.19000000,11.11708673,0
12,2019-06-04 09:00:00.000,0.00002660,0.00002700,0.00002610,0.00002650,644771.88000000,2019-06-05 08:59:59.999,17.17651480,1271,325810.52000000,8.70039731,0
13,2019-06-05 09:00:00.000,0.00002660,0.00002920,0.00002650,0.00002780,1483236.39000000,2019-06-06 08:59:59.999,41.23443653,2832,715395.69000000,19.88483187,0
14,2019-06-06 09:00:00.000,0.00002770,0.00002820,0.00002680,0.00002730,652339.98000000,2019-06-07 08:59:59.999,18.02248457,1442,245920.42000000,6.82064373,0
15,2019-06-07 09:00:00.000,0.00002730,0.00002930,0.00002720,0.00002790,1365146.16000000,2019-06-08 08:59:59.999,38.48922378,2639,602930.46000000,17.01747570,0
16,2019-06-08 09:00:00.000,0.00002790,0.00002830,0.00002770,0.00002780,572750.87000000,2019-06-09 08:59:59.999,16.04350786,1123,240432.94000000,6.75295789,0
17,2019-06-09 09:00:00.000,0.00002780,0.00002840,0.00002700,0.00002710,529692.24000000,2019-06-10 08:59:59.999,14.75675793,1091,218045.53000000,6.10055047,0
18,2019-06-10 09:00:00.000,0.00002730,0.00002900,0.00002710,0.00002840,1086724.37000000,2019-06-11 08:59:59.999,30.73724201,2127,523205.97000000,14.83630223,0
19,2019-06-11 09:00:00.000,0.00002850,0.00002960,0.00002820,0.00002950,1083484.38000000,2019-06-12 08:59:59.999,31.31971411,1745,618462.78000000,17.91130390,0
20,2019-06-12 09:00:00.000,0.00002940,0.00002940,0.00002790,0.00002890,542813.66000000,2019-06-13 08:59:59.999,15.58209851,1058,228396.07000000,6.56338051,0
