,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-09-21 09:00:00.000,0.00000152,0.00000246,0.00000111,0.00000119,161810266.00000000,2020-09-22 08:59:59.999,246.35423296,16437,62978962.00000000,96.80393123,0
1,2020-09-22 09:00:00.000,0.00000118,0.00000138,0.00000095,0.00000101,232648183.00000000,2020-09-23 08:59:59.999,261.02444984,12602,134552715.00000000,152.99101563,0
2,2020-09-23 09:00:00.000,0.00000100,0.00000101,0.00000071,0.00000074,126528495.00000000,2020-09-24 08:59:59.999,105.60455824,8302,51723882.00000000,43.37917375,0
3,2020-09-24 09:00:00.000,0.00000074,0.00000082,0.00000070,0.00000077,110827139.00000000,2020-09-25 08:59:59.999,82.83644485,4928,62828921.00000000,47.34288813,0
4,2020-09-25 09:00:00.000,0.00000077,0.00000089,0.00000074,0.00000081,90029399.00000000,2020-09-26 08:59:59.999,73.65721636,4356,50318777.00000000,41.29963969,0
5,2020-09-26 09:00:00.000,0.00000081,0.00000086,0.00000076,0.00000077,135350256.00000000,2020-09-27 08:59:59.999,110.94577821,3358,105645300.00000000,87.16333504,0
6,2020-09-27 09:00:00.000,0.00000077,0.00000078,0.00000072,0.00000072,15700947.00000000,2020-09-28 08:59:59.999,11.71989830,1040,4681088.00000000,3.49972195,0
7,2020-09-28 09:00:00.000,0.00000072,0.00000075,0.00000068,0.00000069,15704893.00000000,2020-09-29 08:59:59.999,11.21652269,1365,7760234.00000000,5.57237382,0
8,2020-09-29 09:00:00.000,0.00000069,0.00000070,0.00000063,0.00000064,28097944.00000000,2020-09-30 08:59:59.999,18.41789734,2240,14785882.00000000,9.70933502,0
9,2020-09-30 09:00:00.000,0.00000064,0.00000065,0.00000059,0.00000060,25477257.00000000,2020-10-01 08:59:59.999,15.67588871,1392,11074884.00000000,6.83154326,0
10,2020-10-01 09:00:00.000,0.00000060,0.00000075,0.00000058,0.00000071,75095978.00000000,2020-10-02 08:59:59.999,50.52466570,3399,49930390.00000000,33.93449397,0
11,2020-10-02 09:00:00.000,0.00000071,0.00000110,0.00000068,0.00000083,685653126.00000000,2020-10-03 08:59:59.999,586.22862274,32398,422392084.00000000,367.00058754,0
12,2020-10-03 09:00:00.000,0.00000082,0.00000083,0.00000072,0.00000075,60793001.00000000,2020-10-04 08:59:59.999,46.75778490,3141,26189161.00000000,20.15165924,0
