,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2018-11-21 09:00:00.000,0.00000050,0.00000054,0.00000050,0.00000053,189470474.00000000,2018-11-22 08:59:59.999,98.09403616,2070,90066820.00000000,46.89085206,0
1,2018-11-22 09:00:00.000,0.00000052,0.00000054,0.00000051,0.00000052,143631998.00000000,2018-11-23 08:59:59.999,75.43542122,1806,66653328.00000000,35.17764497,0
2,2018-11-23 09:00:00.000,0.00000051,0.00000052,0.00000049,0.00000051,149463763.00000000,2018-11-24 08:59:59.999,75.09028497,1649,64984362.00000000,32.82391263,0
3,2018-11-24 09:00:00.000,0.00000050,0.00000054,0.00000049,0.00000051,254935244.00000000,2018-11-25 08:59:59.999,130.70650776,2595,122627226.00000000,63.28633873,0
4,2018-11-25 09:00:00.000,0.00000050,0.00000052,0.00000048,0.00000051,233303410.00000000,2018-11-26 08:59:59.999,117.13693460,2054,101070148.00000000,51.21491557,0
5,2018-11-26 09:00:00.000,0.00000051,0.00000053,0.00000048,0.00000052,277031418.00000000,2018-11-27 08:59:59.999,141.62625307,2424,132162778.00000000,67.87585102,0
6,2018-11-27 09:00:00.000,0.00000053,0.00000060,0.00000051,0.00000055,514743066.00000000,2018-11-28 08:59:59.999,284.91780721,4855,276370642.00000000,153.49612042,0
7,2018-11-28 09:00:00.000,0.00000055,0.00000059,0.00000055,0.00000056,396961325.00000000,2018-11-29 08:59:59.999,225.54969613,3656,194164520.00000000,110.81054745,0
8,2018-11-29 09:00:00.000,0.00000056,0.00000065,0.00000054,0.00000058,828386491.00000000,2018-11-30 08:59:59.999,492.72130019,6993,410421357.00000000,245.82616849,0
9,2018-11-30 09:00:00.000,0.00000058,0.00000059,0.00000052,0.00000055,393262212.00000000,2018-12-01 08:59:59.999,214.64843771,3792,144196466.00000000,79.12618538,0
10,2018-12-01 09:00:00.000,0.00000055,0.00000058,0.00000054,0.00000056,220734280.00000000,2018-12-02 08:59:59.999,123.55028965,1954,116807842.00000000,65.93029035,0
11,2018-12-02 09:00:00.000,0.00000056,0.00000057,0.00000054,0.00000055,121608348.00000000,2018-12-03 08:59:59.999,67.28426924,1155,52435905.00000000,29.20276151,0
12,2018-12-03 09:00:00.000,0.00000055,0.00000057,0.00000052,0.00000055,264520382.00000000,2018-12-04 08:59:59.999,145.64044036,1894,115122429.00000000,63.90127287,0
