,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00016900,0.00017290,0.00016390,0.00016870,198841.13000000,2019-05-24 08:59:59.999,33.44333022,2229,88391.99000000,14.89965812,0
1,2019-05-24 09:00:00.000,0.00016980,0.00017900,0.00015400,0.00015800,402951.73000000,2019-05-25 08:59:59.999,67.31380157,4213,183742.76000000,30.74681330,0
2,2019-05-25 09:00:00.000,0.00015810,0.00016330,0.00015530,0.00015920,194878.60000000,2019-05-26 08:59:59.999,30.90084644,2470,78686.35000000,12.48972259,0
3,2019-05-26 09:00:00.000,0.00015920,0.00016830,0.00014920,0.00015210,399526.31000000,2019-05-27 08:59:59.999,63.84456427,4609,164148.98000000,26.26657142,0
4,2019-05-27 09:00:00.000,0.00015230,0.00016790,0.00014890,0.00015390,377703.84000000,2019-05-28 08:59:59.999,59.10197895,4220,179846.18000000,28.17392451,0
5,2019-05-28 09:00:00.000,0.00015380,0.00015620,0.00015100,0.00015400,162395.55000000,2019-05-29 08:59:59.999,25.01371032,1840,66943.42000000,10.31708019,0
6,2019-05-29 09:00:00.000,0.00015380,0.00015840,0.00015100,0.00015610,143213.44000000,2019-05-30 08:59:59.999,22.17127063,1628,61073.32000000,9.45058416,0
7,2019-05-30 09:00:00.000,0.00015610,0.00016330,0.00015050,0.00015750,299490.24000000,2019-05-31 08:59:59.999,47.13957970,3581,125101.08000000,19.68680537,0
8,2019-05-31 09:00:00.000,0.00015740,0.00015970,0.00015440,0.00015840,126580.65000000,2019-06-01 08:59:59.999,19.94829394,1482,53715.56000000,8.48752959,0
9,2019-06-01 09:00:00.000,0.00015780,0.00017200,0.00015760,0.00016090,365786.86000000,2019-06-02 08:59:59.999,60.11305248,4206,172355.26000000,28.34514159,0
10,2019-06-02 09:00:00.000,0.00016090,0.00016340,0.00015670,0.00016090,170846.05000000,2019-06-03 08:59:59.999,27.30071265,1679,84201.68000000,13.47115722,0
11,2019-06-03 09:00:00.000,0.00016040,0.00016090,0.00015200,0.00015340,151688.04000000,2019-06-04 08:59:59.999,23.77231035,1393,70999.42000000,11.12412457,0
12,2019-06-04 09:00:00.000,0.00015280,0.00015570,0.00014990,0.00015230,125833.93000000,2019-06-05 08:59:59.999,19.23730242,1290,55486.50000000,8.49849383,0
13,2019-06-05 09:00:00.000,0.00015270,0.00016300,0.00015180,0.00016090,211688.16000000,2019-06-06 08:59:59.999,33.35535629,2033,87793.96000000,13.82070494,0
14,2019-06-06 09:00:00.000,0.00016090,0.00016450,0.00015300,0.00015730,206338.02000000,2019-06-07 08:59:59.999,32.86401647,2235,86946.24000000,13.91521584,0
15,2019-06-07 09:00:00.000,0.00015690,0.00016260,0.00015560,0.00015910,243684.35000000,2019-06-08 08:59:59.999,38.81861851,1916,107539.76000000,17.15744396,0
16,2019-06-08 09:00:00.000,0.00015910,0.00017020,0.00015880,0.00016690,286031.70000000,2019-06-09 08:59:59.999,47.05199009,2710,127712.64000000,21.08151242,0
17,2019-06-09 09:00:00.000,0.00016660,0.00019440,0.00016430,0.00018150,1622198.36000000,2019-06-10 08:59:59.999,295.39064402,16361,815134.14000000,148.42567676,0
18,2019-06-10 09:00:00.000,0.00018050,0.00021000,0.00017500,0.00017610,1472517.61000000,2019-06-11 08:59:59.999,276.30067786,15676,652225.81000000,122.91461582,0
19,2019-06-11 09:00:00.000,0.00017610,0.00018090,0.00016950,0.00017500,477940.19000000,2019-06-12 08:59:59.999,83.57916539,4432,203302.38000000,35.55181723,0
20,2019-06-12 09:00:00.000,0.00017520,0.00017970,0.00016860,0.00017240,286587.23000000,2019-06-13 08:59:59.999,49.77400950,2609,115502.69000000,20.06961887,0
21,2019-06-13 09:00:00.000,0.00017220,0.00017250,0.00015940,0.00016070,294007.17000000,2019-06-14 08:59:59.999,49.11552309,2249,125514.25000000,20.99489620,0
22,2019-06-14 09:00:00.000,0.00016080,0.00016210,0.00013590,0.00013860,541594.00000000,2019-06-15 08:59:59.999,79.81170703,4818,196735.39000000,28.90830263,0
23,2019-06-15 09:00:00.000,0.00013830,0.00014700,0.00013610,0.00014300,310143.18000000,2019-06-16 08:59:59.999,43.68493521,3184,147009.72000000,20.71997992,0
24,2019-06-16 09:00:00.000,0.00014300,0.00024360,0.00013620,0.00015200,3252424.58000000,2019-06-17 08:59:59.999,601.34846051,24830,1700551.92000000,318.89304348,0
25,2019-06-17 09:00:00.000,0.00015220,0.00015250,0.00013090,0.00013250,770868.94000000,2019-06-18 08:59:59.999,107.74258016,6096,301715.07000000,42.24038516,0
26,2019-06-18 09:00:00.000,0.00013250,0.00013480,0.00013100,0.00013450,211521.61000000,2019-06-19 08:59:59.999,28.11860282,1737,98464.88000000,13.11662812,0
27,2019-06-19 09:00:00.000,0.00013420,0.00013560,0.00012860,0.00013020,171961.51000000,2019-06-20 08:59:59.999,22.83479828,1770,65768.62000000,8.76235134,0
28,2019-06-20 09:00:00.000,0.00013010,0.00013100,0.00011540,0.00012010,393675.85000000,2019-06-21 08:59:59.999,48.47992511,3671,182208.75000000,22.44074605,0
