,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-10-11 09:00:00.000,0.00000150,0.00000408,0.00000150,0.00000314,216796762.00000000,2019-10-12 08:59:59.999,761.43221109,31969,100749986.00000000,357.29163511,0
1,2019-10-12 09:00:00.000,0.00000315,0.00000497,0.00000299,0.00000447,663618172.00000000,2019-10-13 08:59:59.999,2808.00481401,83212,325755451.00000000,1377.83208646,0
2,2019-10-13 09:00:00.000,0.00000448,0.00000470,0.00000366,0.00000378,190815107.00000000,2019-10-14 08:59:59.999,804.70676145,35320,85915885.00000000,364.83694267,0
3,2019-10-14 09:00:00.000,0.00000379,0.00000909,0.00000373,0.00000525,702392606.00000000,2019-10-15 08:59:59.999,3818.06034561,96812,350458971.00000000,1898.16964674,0
4,2019-10-15 09:00:00.000,0.00000525,0.00000582,0.00000468,0.00000482,186179574.00000000,2019-10-16 08:59:59.999,972.81520203,38472,81439108.00000000,427.35950751,0
5,2019-10-16 09:00:00.000,0.00000481,0.00000510,0.00000425,0.00000461,103334173.00000000,2019-10-17 08:59:59.999,480.92095466,20869,44505455.00000000,207.10453872,0
6,2019-10-17 09:00:00.000,0.00000462,0.00000469,0.00000432,0.00000436,58742494.00000000,2019-10-18 08:59:59.999,263.69226512,11326,23712480.00000000,106.62893385,0
7,2019-10-18 09:00:00.000,0.00000436,0.00000449,0.00000387,0.00000408,81513034.00000000,2019-10-19 08:59:59.999,334.58440832,13626,33360577.00000000,136.77575543,0
8,2019-10-19 09:00:00.000,0.00000408,0.00000428,0.00000381,0.00000408,71706909.00000000,2019-10-20 08:59:59.999,288.15881523,12575,31526139.00000000,127.20173980,0
9,2019-10-20 09:00:00.000,0.00000407,0.00000471,0.00000392,0.00000436,164666919.00000000,2019-10-21 08:59:59.999,716.18531840,27946,79548935.00000000,346.68258680,0
10,2019-10-21 09:00:00.000,0.00000436,0.00000455,0.00000401,0.00000412,74546926.00000000,2019-10-22 08:59:59.999,317.87087634,12967,29141050.00000000,124.78738909,0
11,2019-10-22 09:00:00.000,0.00000412,0.00000419,0.00000386,0.00000390,46179169.00000000,2019-10-23 08:59:59.999,186.13709276,8266,16597722.00000000,67.03986144,0
12,2019-10-23 09:00:00.000,0.00000391,0.00000403,0.00000370,0.00000377,43729535.00000000,2019-10-24 08:59:59.999,168.55065155,10063,17789244.00000000,68.71700485,0
13,2019-10-24 09:00:00.000,0.00000376,0.00000396,0.00000372,0.00000384,44991245.00000000,2019-10-25 08:59:59.999,172.58200518,8485,19850001.00000000,76.29288787,0
14,2019-10-25 09:00:00.000,0.00000383,0.00000385,0.00000320,0.00000325,113249720.00000000,2019-10-26 08:59:59.999,394.20668563,18533,44677360.00000000,154.58912612,0
15,2019-10-26 09:00:00.000,0.00000325,0.00000328,0.00000267,0.00000277,82839101.00000000,2019-10-27 08:59:59.999,240.76589127,9833,35663193.00000000,103.31316664,0
16,2019-10-27 09:00:00.000,0.00000277,0.00000322,0.00000252,0.00000308,125615901.00000000,2019-10-28 08:59:59.999,364.83147535,20835,60440782.00000000,176.16439354,0
17,2019-10-28 09:00:00.000,0.00000308,0.00000310,0.00000285,0.00000288,64719510.00000000,2019-10-29 08:59:59.999,192.21055124,12492,25106821.00000000,74.88023853,0
18,2019-10-29 09:00:00.000,0.00000288,0.00000329,0.00000286,0.00000303,79791121.00000000,2019-10-30 08:59:59.999,245.65512483,14914,34003318.00000000,104.90994819,0
19,2019-10-30 09:00:00.000,0.00000302,0.00000307,0.00000291,0.00000293,31298419.00000000,2019-10-31 08:59:59.999,93.46259743,6078,13161227.00000000,39.43134002,0
20,2019-10-31 09:00:00.000,0.00000292,0.00000295,0.00000275,0.00000283,34276629.00000000,2019-11-01 08:59:59.999,97.30615502,6351,15052457.00000000,42.76613040,0
21,2019-11-01 09:00:00.000,0.00000284,0.00000294,0.00000280,0.00000282,16799673.00000000,2019-11-02 08:59:59.999,47.85566667,3259,6937938.00000000,19.81466893,0
22,2019-11-02 09:00:00.000,0.00000282,0.00000299,0.00000277,0.00000295,24960991.00000000,2019-11-03 08:59:59.999,71.63763739,4176,13027003.00000000,37.53975571,0
