,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-08-17 09:00:00.000,0.00710000,0.00710000,0.00388900,0.00420000,136878.12600000,2020-08-18 08:59:59.999,626.30673052,39605,63384.48700000,292.34326214,0
1,2020-08-18 09:00:00.000,0.00420000,0.00446300,0.00370100,0.00386000,107861.21100000,2020-08-19 08:59:59.999,438.41277464,41392,55956.30800000,228.03304124,0
2,2020-08-19 09:00:00.000,0.00386300,0.00399800,0.00337000,0.00358400,56177.13700000,2020-08-20 08:59:59.999,204.54349022,26564,27017.99900000,98.55171293,0
3,2020-08-20 09:00:00.000,0.00358800,0.00450000,0.00330000,0.00395700,111171.48300000,2020-08-21 08:59:59.999,436.47331641,40375,57633.19100000,227.12547445,0
4,2020-08-21 09:00:00.000,0.00395700,0.00442500,0.00359900,0.00363500,82212.96900000,2020-08-22 08:59:59.999,323.33234965,38060,40503.00900000,159.74747737,0
5,2020-08-22 09:00:00.000,0.00363600,0.00425000,0.00358000,0.00410100,31597.01400000,2020-08-23 08:59:59.999,119.29332468,15682,17280.03400000,65.56800029,0
6,2020-08-23 09:00:00.000,0.00410100,0.00410900,0.00368700,0.00372800,27591.03100000,2020-08-24 08:59:59.999,105.81863709,11891,12880.72600000,49.62059456,0
7,2020-08-24 09:00:00.000,0.00372700,0.00405100,0.00365100,0.00379300,17510.52500000,2020-08-25 08:59:59.999,66.79467565,8452,8120.22800000,31.08192497,0
8,2020-08-25 09:00:00.000,0.00378300,0.00385300,0.00358400,0.00370700,17663.83600000,2020-08-26 08:59:59.999,65.44210805,6399,9551.74500000,35.41202794,0
9,2020-08-26 09:00:00.000,0.00370400,0.00387800,0.00356300,0.00382400,13635.17700000,2020-08-27 08:59:59.999,50.07246171,3335,6051.67500000,22.23814176,0
10,2020-08-27 09:00:00.000,0.00381900,0.00597900,0.00349500,0.00463200,100469.65500000,2020-08-28 08:59:59.999,466.59971125,35560,57558.01200000,266.88195991,0
11,2020-08-28 09:00:00.000,0.00463200,0.00567300,0.00442900,0.00474000,212028.05900000,2020-08-29 08:59:59.999,1078.93445074,87431,110105.91000000,563.88043780,0
12,2020-08-29 09:00:00.000,0.00474300,0.00485000,0.00444500,0.00458200,41317.22900000,2020-08-30 08:59:59.999,190.81668034,17784,18014.69200000,83.36802520,0
13,2020-08-30 09:00:00.000,0.00458700,0.00460000,0.00415000,0.00439200,44757.51600000,2020-08-31 08:59:59.999,195.60158916,16993,21294.27800000,93.07253339,0
14,2020-08-31 09:00:00.000,0.00438800,0.00514500,0.00425000,0.00473400,55741.83000000,2020-09-01 08:59:59.999,259.99466801,22387,28403.02900000,132.10961894,0
15,2020-09-01 09:00:00.000,0.00475800,0.00476800,0.00417100,0.00427900,27816.80300000,2020-09-02 08:59:59.999,121.97899919,12152,11567.61200000,50.61978531,0
16,2020-09-02 09:00:00.000,0.00428100,0.00445800,0.00404500,0.00430600,18499.12600000,2020-09-03 08:59:59.999,78.59553517,7912,9141.05400000,38.80059374,0
17,2020-09-03 09:00:00.000,0.00431100,0.00431700,0.00377600,0.00401300,22214.32000000,2020-09-04 08:59:59.999,88.89014624,10758,10176.67800000,40.91248445,0
18,2020-09-04 09:00:00.000,0.00400700,0.00463500,0.00372400,0.00410000,23441.42400000,2020-09-05 08:59:59.999,96.08271006,10231,12153.37100000,50.00424378,0
19,2020-09-05 09:00:00.000,0.00407600,0.00423400,0.00358200,0.00370300,23852.17800000,2020-09-06 08:59:59.999,94.46277392,8976,12790.99600000,50.74516714,0
20,2020-09-06 09:00:00.000,0.00370900,0.00390000,0.00344200,0.00373500,26853.99700000,2020-09-07 08:59:59.999,98.20888237,8011,14073.53900000,51.50638285,0
21,2020-09-07 09:00:00.000,0.00373500,0.00450000,0.00346700,0.00360000,11596.76900000,2020-09-08 08:59:59.999,42.31368513,4789,5947.36700000,21.75930111,0
22,2020-09-08 09:00:00.000,0.00360200,0.00362900,0.00339600,0.00353200,12463.07600000,2020-09-09 08:59:59.999,43.82259125,4881,7150.63800000,25.14724318,0
23,2020-09-09 09:00:00.000,0.00352700,0.00366100,0.00341600,0.00352000,6972.84300000,2020-09-10 08:59:59.999,24.70206215,2950,3555.14300000,12.61947618,0
24,2020-09-10 09:00:00.000,0.00351800,0.00375700,0.00348500,0.00353300,11818.93500000,2020-09-11 08:59:59.999,42.57445711,4519,5551.53900000,20.00926421,0
25,2020-09-11 09:00:00.000,0.00352900,0.00357500,0.00339100,0.00349100,9953.52500000,2020-09-12 08:59:59.999,34.79389998,3041,4526.42100000,15.84620505,0
26,2020-09-12 09:00:00.000,0.00348900,0.00382700,0.00348500,0.00361300,21171.32200000,2020-09-13 08:59:59.999,77.56651391,7777,9567.81400000,35.14002027,0
27,2020-09-13 09:00:00.000,0.00361500,0.00368400,0.00342000,0.00344200,6641.93400000,2020-09-14 08:59:59.999,23.58816451,2824,3371.92100000,12.01114766,0
28,2020-09-14 09:00:00.000,0.00344200,0.00360000,0.00325200,0.00330200,12206.97200000,2020-09-15 08:59:59.999,41.76702134,4468,6170.12000000,21.11330030,0
29,2020-09-15 09:00:00.000,0.00331200,0.00344600,0.00312500,0.00323300,15730.25000000,2020-09-16 08:59:59.999,51.73933865,6083,7323.18500000,24.11691386,0
30,2020-09-16 09:00:00.000,0.00322900,0.00327300,0.00293800,0.00294600,7916.72300000,2020-09-17 08:59:59.999,24.37712656,4026,4228.18700000,13.00568507,0
31,2020-09-17 09:00:00.000,0.00294700,0.00334600,0.00291000,0.00293800,18698.66500000,2020-09-18 08:59:59.999,58.91941953,7547,9134.53900000,28.88545068,0
32,2020-09-18 09:00:00.000,0.00293700,0.00296100,0.00264100,0.00268800,27741.47500000,2020-09-19 08:59:59.999,75.85180452,7759,10405.98000000,28.50426284,0
33,2020-09-19 09:00:00.000,0.00268800,0.00270900,0.00252900,0.00264800,7261.69500000,2020-09-20 08:59:59.999,19.15031227,2385,3716.58500000,9.81261055,0
34,2020-09-20 09:00:00.000,0.00263800,0.00365900,0.00260200,0.00304900,174988.84800000,2020-09-21 08:59:59.999,550.67476183,54064,89179.06100000,281.77855149,0
35,2020-09-21 09:00:00.000,0.00305100,0.00320900,0.00276500,0.00298800,45934.31300000,2020-09-22 08:59:59.999,136.39457970,13184,20977.43300000,62.56419620,0
36,2020-09-22 09:00:00.000,0.00299500,0.00317200,0.00285600,0.00291600,29062.39600000,2020-09-23 08:59:59.999,87.79019033,8566,14701.38600000,44.53427659,0
37,2020-09-23 09:00:00.000,0.00291400,0.00308000,0.00281800,0.00284500,32181.64900000,2020-09-24 08:59:59.999,94.49608568,14503,15421.38700000,45.36483684,0
38,2020-09-24 09:00:00.000,0.00284000,0.00318000,0.00282800,0.00294900,25745.43300000,2020-09-25 08:59:59.999,77.45718216,7961,13905.59300000,41.82555760,0
39,2020-09-25 09:00:00.000,0.00294800,0.00297600,0.00283300,0.00291400,9280.89700000,2020-09-26 08:59:59.999,26.95716130,3222,5204.31000000,15.11371216,0
40,2020-09-26 09:00:00.000,0.00291100,0.00300500,0.00289100,0.00292900,7194.99100000,2020-09-27 08:59:59.999,21.14382584,2586,4006.28900000,11.76654010,0
41,2020-09-27 09:00:00.000,0.00293000,0.00305700,0.00287900,0.00293600,9023.87300000,2020-09-28 08:59:59.999,26.55471457,2962,4706.33200000,13.86151219,0
