,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2018-06-21 09:00:00.000,0.00000152,0.00000215,0.00000050,0.00000120,4043658167.00000000,2018-06-22 08:59:59.999,5068.50753508,59481,2003547818.00000000,2523.51018560,0
1,2018-06-22 09:00:00.000,0.00000120,0.00000121,0.00000095,0.00000102,2593083065.00000000,2018-06-23 08:59:59.999,2698.85999870,28340,1137062706.00000000,1181.61007455,0
2,2018-06-23 09:00:00.000,0.00000102,0.00000108,0.00000096,0.00000102,736799560.00000000,2018-06-24 08:59:59.999,754.96089315,15338,374298386.00000000,385.66614353,0
3,2018-06-24 09:00:00.000,0.00000102,0.00000104,0.00000081,0.00000089,2283027154.00000000,2018-06-25 08:59:59.999,2067.89640794,27142,1001321182.00000000,905.87318113,0
4,2018-06-25 09:00:00.000,0.00000090,0.00000091,0.00000081,0.00000085,1583137213.00000000,2018-06-26 08:59:59.999,1354.45561055,17521,615167211.00000000,529.06084377,0
5,2018-06-26 09:00:00.000,0.00000086,0.00000086,0.00000080,0.00000081,634857925.00000000,2018-06-27 08:59:59.999,525.23123092,6782,237701955.00000000,197.17708528,0
6,2018-06-27 09:00:00.000,0.00000081,0.00000096,0.00000080,0.00000092,2101642907.00000000,2018-06-28 08:59:59.999,1864.78545873,22029,1086072535.00000000,969.74868043,0
7,2018-06-28 09:00:00.000,0.00000092,0.00000093,0.00000085,0.00000086,1045840963.00000000,2018-06-29 08:59:59.999,919.48133136,12132,402278628.00000000,355.67996661,0
8,2018-06-29 09:00:00.000,0.00000086,0.00000090,0.00000082,0.00000090,1255771201.00000000,2018-06-30 08:59:59.999,1079.05548737,26341,537714584.00000000,464.82339736,0
9,2018-06-30 09:00:00.000,0.00000090,0.00000094,0.00000075,0.00000079,4203789146.00000000,2018-07-01 08:59:59.999,3610.94275369,32918,1869240209.00000000,1619.77786708,0
10,2018-07-01 09:00:00.000,0.00000079,0.00000080,0.00000068,0.00000072,2346218293.00000000,2018-07-02 08:59:59.999,1731.64947796,19174,918684817.00000000,679.21071091,0
11,2018-07-02 09:00:00.000,0.00000072,0.00000078,0.00000063,0.00000071,2615269916.00000000,2018-07-03 08:59:59.999,1812.49898838,24403,1260691929.00000000,879.95777703,0
12,2018-07-03 09:00:00.000,0.00000072,0.00000074,0.00000062,0.00000063,2250209609.00000000,2018-07-04 08:59:59.999,1521.43597943,30474,922201272.00000000,629.81490161,0
13,2018-07-04 09:00:00.000,0.00000064,0.00000067,0.00000062,0.00000064,1298334446.00000000,2018-07-05 08:59:59.999,828.78065156,11154,553755776.00000000,355.85063421,0
14,2018-07-05 09:00:00.000,0.00000063,0.00000065,0.00000057,0.00000057,1864520499.00000000,2018-07-06 08:59:59.999,1129.89302368,24270,762150458.00000000,462.76531658,0
15,2018-07-06 09:00:00.000,0.00000057,0.00000071,0.00000052,0.00000061,5164868814.00000000,2018-07-07 08:59:59.999,3158.45031753,77598,2532007547.00000000,1556.63848981,0
16,2018-07-07 09:00:00.000,0.00000061,0.00000064,0.00000058,0.00000060,1387726412.00000000,2018-07-08 08:59:59.999,849.91754542,42378,655568691.00000000,405.35535598,0
17,2018-07-08 09:00:00.000,0.00000059,0.00000064,0.00000058,0.00000061,1002970074.00000000,2018-07-09 08:59:59.999,614.04726041,38312,465762955.00000000,286.63015505,0
18,2018-07-09 09:00:00.000,0.00000061,0.00000064,0.00000056,0.00000058,1294355359.00000000,2018-07-10 08:59:59.999,777.43498043,37746,476333102.00000000,288.54447797,0
19,2018-07-10 09:00:00.000,0.00000058,0.00000058,0.00000052,0.00000054,1448282621.00000000,2018-07-11 08:59:59.999,795.81493984,33523,541175114.00000000,299.63808462,0
20,2018-07-11 09:00:00.000,0.00000054,0.00000055,0.00000052,0.00000054,639966597.00000000,2018-07-12 08:59:59.999,342.63886354,11866,233790595.00000000,125.97580394,0
21,2018-07-12 09:00:00.000,0.00000053,0.00000054,0.00000049,0.00000050,1508006774.00000000,2018-07-13 08:59:59.999,765.51684718,30619,615625663.00000000,314.05071034,0
22,2018-07-13 09:00:00.000,0.00000051,0.00000056,0.00000050,0.00000054,1277264328.00000000,2018-07-14 08:59:59.999,675.49685216,25938,633660016.00000000,337.21648080,0
23,2018-07-14 09:00:00.000,0.00000054,0.00000055,0.00000052,0.00000054,450727738.00000000,2018-07-15 08:59:59.999,239.72444138,5953,164330979.00000000,87.96842785,0
24,2018-07-15 09:00:00.000,0.00000054,0.00000055,0.00000052,0.00000053,617631315.00000000,2018-07-16 08:59:59.999,326.92918055,5364,242346131.00000000,128.88542907,0
25,2018-07-16 09:00:00.000,0.00000053,0.00000059,0.00000051,0.00000057,1428561096.00000000,2018-07-17 08:59:59.999,781.41374450,12884,844885279.00000000,464.91226268,0
