,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00009310,0.00009866,0.00009042,0.00009711,2113607.00000000,2019-05-24 08:59:59.999,199.43296171,9479,1267188.00000000,119.77505848,0
1,2019-05-24 09:00:00.000,0.00009711,0.00010600,0.00009288,0.00009447,5873039.00000000,2019-05-25 08:59:59.999,584.41746591,26497,3985162.00000000,397.46861415,0
2,2019-05-25 09:00:00.000,0.00009458,0.00010249,0.00009395,0.00009544,1527309.00000000,2019-05-26 08:59:59.999,149.01388478,10137,806943.00000000,78.70201421,0
3,2019-05-26 09:00:00.000,0.00009541,0.00009606,0.00008772,0.00008906,930546.00000000,2019-05-27 08:59:59.999,86.83624019,5349,467143.00000000,43.67146564,0
4,2019-05-27 09:00:00.000,0.00008905,0.00009123,0.00008627,0.00008855,3050408.00000000,2019-05-28 08:59:59.999,272.57387743,12098,2284334.00000000,204.51593835,0
5,2019-05-28 09:00:00.000,0.00008856,0.00009470,0.00008801,0.00009004,2253683.00000000,2019-05-29 08:59:59.999,207.09529106,11129,1439839.00000000,132.80495178,0
6,2019-05-29 09:00:00.000,0.00009004,0.00009189,0.00008700,0.00009100,1342104.00000000,2019-05-30 08:59:59.999,120.28091223,6843,736528.00000000,66.10054304,0
7,2019-05-30 09:00:00.000,0.00009101,0.00009449,0.00008690,0.00009036,1549131.00000000,2019-05-31 08:59:59.999,141.24819863,8175,847204.00000000,77.32315370,0
8,2019-05-31 09:00:00.000,0.00009036,0.00009641,0.00008932,0.00009128,4882022.00000000,2019-06-01 08:59:59.999,452.74372105,17188,3870604.00000000,359.72224082,0
9,2019-06-01 09:00:00.000,0.00009128,0.00009400,0.00008946,0.00009045,1957880.00000000,2019-06-02 08:59:59.999,180.16618195,9463,1291939.00000000,119.16019992,0
10,2019-06-02 09:00:00.000,0.00009045,0.00009515,0.00008889,0.00009090,2129655.00000000,2019-06-03 08:59:59.999,196.41210872,9070,1584164.00000000,146.50687409,0
11,2019-06-03 09:00:00.000,0.00009092,0.00009357,0.00008920,0.00009193,3545273.00000000,2019-06-04 08:59:59.999,325.55856905,15489,2607008.00000000,239.70042233,0
12,2019-06-04 09:00:00.000,0.00009207,0.00009606,0.00009043,0.00009397,2054766.00000000,2019-06-05 08:59:59.999,191.63945371,9646,1378979.00000000,128.63683143,0
13,2019-06-05 09:00:00.000,0.00009390,0.00010360,0.00009289,0.00009835,3695135.00000000,2019-06-06 08:59:59.999,359.25825667,15530,2392833.00000000,231.21931082,0
14,2019-06-06 09:00:00.000,0.00009835,0.00010380,0.00009550,0.00009755,3242203.00000000,2019-06-07 08:59:59.999,325.55604454,12387,2234584.00000000,225.25585068,0
15,2019-06-07 09:00:00.000,0.00009749,0.00009966,0.00009651,0.00009826,730799.00000000,2019-06-08 08:59:59.999,71.58793710,4942,369501.00000000,36.17724905,0
16,2019-06-08 09:00:00.000,0.00009815,0.00010156,0.00009761,0.00009918,2212586.00000000,2019-06-09 08:59:59.999,220.65696413,7136,1780316.00000000,177.66867258,0
17,2019-06-09 09:00:00.000,0.00009918,0.00012237,0.00009898,0.00011725,4090027.00000000,2019-06-10 08:59:59.999,440.81882534,22577,2561459.00000000,272.75232658,0
18,2019-06-10 09:00:00.000,0.00011730,0.00013017,0.00011344,0.00012088,11028418.00000000,2019-06-11 08:59:59.999,1360.81820232,58023,6771362.00000000,836.26608622,0
19,2019-06-11 09:00:00.000,0.00012083,0.00012647,0.00011426,0.00011836,7489298.00000000,2019-06-12 08:59:59.999,893.10311486,29299,5321629.00000000,636.71584207,0
20,2019-06-12 09:00:00.000,0.00011835,0.00012179,0.00010818,0.00010902,3768778.00000000,2019-06-13 08:59:59.999,438.77074449,18397,2480251.00000000,291.04119498,0
21,2019-06-13 09:00:00.000,0.00010905,0.00011387,0.00010707,0.00010939,4742552.00000000,2019-06-14 08:59:59.999,524.42112659,19870,3386031.00000000,375.38799029,0
22,2019-06-14 09:00:00.000,0.00010958,0.00013936,0.00010290,0.00012136,18183865.00000000,2019-06-15 08:59:59.999,2153.93624819,78335,12231696.00000000,1437.53138047,0
23,2019-06-15 09:00:00.000,0.00012137,0.00013000,0.00011145,0.00011206,7095929.00000000,2019-06-16 08:59:59.999,838.68537794,34938,4298906.00000000,509.64866869,0
24,2019-06-16 09:00:00.000,0.00011192,0.00011983,0.00010300,0.00010732,4749423.00000000,2019-06-17 08:59:59.999,531.47996148,22026,3313692.00000000,373.37822822,0
