,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00004850,0.00005320,0.00004810,0.00005240,549951.64000000,2019-05-24 08:59:59.999,27.82102539,2535,271219.02000000,13.72964698,0
1,2019-05-24 09:00:00.000,0.00005220,0.00005300,0.00004660,0.00004740,639271.43000000,2019-05-25 08:59:59.999,31.72290913,2339,211502.95000000,10.51813753,0
2,2019-05-25 09:00:00.000,0.00004730,0.00004820,0.00004360,0.00004460,913136.49000000,2019-05-26 08:59:59.999,41.37848565,2776,318592.41000000,14.46590574,0
3,2019-05-26 09:00:00.000,0.00004460,0.00004690,0.00003960,0.00004040,937332.52000000,2019-05-27 08:59:59.999,41.05415190,3116,408745.89000000,18.01091170,0
4,2019-05-27 09:00:00.000,0.00004060,0.00004100,0.00003810,0.00004020,920338.37000000,2019-05-28 08:59:59.999,36.41977056,2423,398923.05000000,15.85692496,0
5,2019-05-28 09:00:00.000,0.00004020,0.00004290,0.00003980,0.00004150,542874.01000000,2019-05-29 08:59:59.999,22.29817759,1681,266343.29000000,10.96415779,0
6,2019-05-29 09:00:00.000,0.00004170,0.00004700,0.00003970,0.00004260,1095415.14000000,2019-05-30 08:59:59.999,47.98396511,3586,491700.42000000,21.60712699,0
7,2019-05-30 09:00:00.000,0.00004270,0.00004500,0.00004020,0.00004100,944124.47000000,2019-05-31 08:59:59.999,40.08236783,3241,472919.08000000,20.13318062,0
8,2019-05-31 09:00:00.000,0.00004100,0.00004730,0.00003990,0.00004280,1117300.31000000,2019-06-01 08:59:59.999,48.80089382,4283,526880.94000000,23.08681149,0
9,2019-06-01 09:00:00.000,0.00004270,0.00004340,0.00004100,0.00004220,448147.64000000,2019-06-02 08:59:59.999,18.82590174,1387,229548.58000000,9.66296113,0
10,2019-06-02 09:00:00.000,0.00004210,0.00004580,0.00004210,0.00004420,938324.94000000,2019-06-03 08:59:59.999,41.51753948,3182,506079.68000000,22.44357513,0
11,2019-06-03 09:00:00.000,0.00004420,0.00004430,0.00004150,0.00004310,578905.37000000,2019-06-04 08:59:59.999,24.76543274,1684,265968.40000000,11.38228959,0
12,2019-06-04 09:00:00.000,0.00004270,0.00004460,0.00004070,0.00004360,674595.21000000,2019-06-05 08:59:59.999,28.40621804,1682,340210.56000000,14.37500736,0
13,2019-06-05 09:00:00.000,0.00004380,0.00004440,0.00004240,0.00004440,415837.10000000,2019-06-06 08:59:59.999,18.06088282,1659,186351.87000000,8.09548677,0
14,2019-06-06 09:00:00.000,0.00004420,0.00004630,0.00004400,0.00004470,735667.97000000,2019-06-07 08:59:59.999,33.10153801,2524,341358.10000000,15.40218279,0
15,2019-06-07 09:00:00.000,0.00004500,0.00004730,0.00004430,0.00004610,841587.77000000,2019-06-08 08:59:59.999,38.72285148,3068,432962.13000000,19.96114325,0
16,2019-06-08 09:00:00.000,0.00004610,0.00004850,0.00004550,0.00004770,660126.20000000,2019-06-09 08:59:59.999,31.16222082,2380,331130.60000000,15.63012618,0
17,2019-06-09 09:00:00.000,0.00004760,0.00004950,0.00004660,0.00004690,782492.76000000,2019-06-10 08:59:59.999,37.72317818,2584,283693.39000000,13.72663403,0
18,2019-06-10 09:00:00.000,0.00004680,0.00004820,0.00004600,0.00004650,636762.29000000,2019-06-11 08:59:59.999,30.00205507,1686,279490.91000000,13.21044071,0
19,2019-06-11 09:00:00.000,0.00004660,0.00004790,0.00004490,0.00004580,767282.28000000,2019-06-12 08:59:59.999,35.56042594,1894,370668.90000000,17.22073734,0
20,2019-06-12 09:00:00.000,0.00004580,0.00004610,0.00004440,0.00004570,660503.35000000,2019-06-13 08:59:59.999,29.85507412,1973,357184.50000000,16.16756451,0
21,2019-06-13 09:00:00.000,0.00004570,0.00004630,0.00004350,0.00004360,576987.89000000,2019-06-14 08:59:59.999,25.99754153,1625,209590.57000000,9.46104100,0
22,2019-06-14 09:00:00.000,0.00004370,0.00004530,0.00003970,0.00004270,1119278.05000000,2019-06-15 08:59:59.999,47.55207421,3479,480279.98000000,20.46085813,0
23,2019-06-15 09:00:00.000,0.00004270,0.00004780,0.00003980,0.00004040,2088315.14000000,2019-06-16 08:59:59.999,90.03351440,5692,903416.07000000,39.12063033,0
24,2019-06-16 09:00:00.000,0.00004040,0.00004070,0.00003800,0.00003860,756636.07000000,2019-06-17 08:59:59.999,29.71846606,2164,314390.33000000,12.41772977,0
25,2019-06-17 09:00:00.000,0.00003860,0.00004400,0.00003630,0.00003690,2365215.99000000,2019-06-18 08:59:59.999,93.70299190,6179,1233286.60000000,49.10029142,0
26,2019-06-18 09:00:00.000,0.00003690,0.00003910,0.00003680,0.00003840,467961.43000000,2019-06-19 08:59:59.999,17.69962223,1547,252880.84000000,9.57303998,0
27,2019-06-19 09:00:00.000,0.00003830,0.00004330,0.00003810,0.00003930,1128983.80000000,2019-06-20 08:59:59.999,46.20866142,3677,558560.70000000,22.80615516,0
28,2019-06-20 09:00:00.000,0.00003930,0.00004340,0.00003830,0.00003880,1052253.31000000,2019-06-21 08:59:59.999,43.00133854,3516,529759.48000000,21.78379194,0
29,2019-06-21 09:00:00.000,0.00003880,0.00004060,0.00003800,0.00003870,365206.86000000,2019-06-22 08:59:59.999,14.30847927,1387,156740.01000000,6.14249668,0
30,2019-06-22 09:00:00.000,0.00003830,0.00003840,0.00003330,0.00003550,825981.71000000,2019-06-23 08:59:59.999,29.06075320,2457,367424.04000000,12.94827319,0
31,2019-06-23 09:00:00.000,0.00003540,0.00003730,0.00003240,0.00003460,616674.75000000,2019-06-24 08:59:59.999,21.52823861,1824,263170.90000000,9.19841365,0
32,2019-06-24 09:00:00.000,0.00003450,0.00003490,0.00003260,0.00003290,363443.66000000,2019-06-25 08:59:59.999,12.19488584,928,162545.40000000,5.46577400,0
33,2019-06-25 09:00:00.000,0.00003290,0.00003360,0.00003060,0.00003080,503511.85000000,2019-06-26 08:59:59.999,16.12820265,1395,181885.84000000,5.86881856,0
34,2019-06-26 09:00:00.000,0.00003080,0.00003470,0.00002580,0.00002870,2094247.11000000,2019-06-27 08:59:59.999,63.32853544,5497,908247.80000000,27.47546774,0
35,2019-06-27 09:00:00.000,0.00002840,0.00003070,0.00002710,0.00002890,591847.26000000,2019-06-28 08:59:59.999,17.16881538,1784,301103.42000000,8.75877291,0
36,2019-06-28 09:00:00.000,0.00002890,0.00002960,0.00002640,0.00002660,377386.99000000,2019-06-29 08:59:59.999,10.54673675,933,151042.83000000,4.23407574,0
37,2019-06-29 09:00:00.000,0.00002680,0.00002910,0.00002640,0.00002790,533775.22000000,2019-06-30 08:59:59.999,14.83665671,1097,283714.46000000,7.87508014,0
38,2019-06-30 09:00:00.000,0.00002790,0.00002810,0.00002700,0.00002780,559706.38000000,2019-07-01 08:59:59.999,15.41417748,984,272919.66000000,7.54748973,0
39,2019-07-01 09:00:00.000,0.00002780,0.00003000,0.00002770,0.00002950,695620.91000000,2019-07-02 08:59:59.999,20.07794331,1765,382282.86000000,11.05381451,0
40,2019-07-02 09:00:00.000,0.00002940,0.00003190,0.00002750,0.00002830,1487871.69000000,2019-07-03 08:59:59.999,44.37066440,2846,721608.85000000,21.68076640,0
41,2019-07-03 09:00:00.000,0.00002820,0.00002900,0.00002570,0.00002590,970952.22000000,2019-07-04 08:59:59.999,26.36007401,1865,392771.25000000,10.66937752,0
42,2019-07-04 09:00:00.000,0.00002590,0.00002720,0.00002550,0.00002640,354284.53000000,2019-07-05 08:59:59.999,9.27778915,918,170933.23000000,4.49227409,0
43,2019-07-05 09:00:00.000,0.00002660,0.00002810,0.00002620,0.00002650,458799.59000000,2019-07-06 08:59:59.999,12.34793696,1085,188259.85000000,5.08674215,0
44,2019-07-06 09:00:00.000,0.00002640,0.00002730,0.00002520,0.00002720,426274.76000000,2019-07-07 08:59:59.999,11.11237590,994,239292.36000000,6.25669877,0
45,2019-07-07 09:00:00.000,0.00002700,0.00002770,0.00002600,0.00002630,394399.48000000,2019-07-08 08:59:59.999,10.57728557,719,159239.72000000,4.27220122,0
46,2019-07-08 09:00:00.000,0.00002620,0.00002790,0.00002360,0.00002400,843307.52000000,2019-07-09 08:59:59.999,21.68490626,1738,339193.93000000,8.76880785,0
47,2019-07-09 09:00:00.000,0.00002390,0.00002400,0.00002220,0.00002330,673234.21000000,2019-07-10 08:59:59.999,15.57602541,1511,292405.04000000,6.77546946,0
48,2019-07-10 09:00:00.000,0.00002330,0.00002370,0.00002180,0.00002320,612466.35000000,2019-07-11 08:59:59.999,13.99918694,1631,293267.35000000,6.72877650,0
49,2019-07-11 09:00:00.000,0.00002310,0.00002510,0.00002280,0.00002360,430081.44000000,2019-07-12 08:59:59.999,10.05640311,1029,253609.57000000,5.95522287,0
50,2019-07-12 09:00:00.000,0.00002360,0.00002480,0.00002350,0.00002390,281561.08000000,2019-07-13 08:59:59.999,6.76239476,908,134906.34000000,3.24755340,0
51,2019-07-13 09:00:00.000,0.00002380,0.00002460,0.00002360,0.00002390,204988.21000000,2019-07-14 08:59:59.999,4.93001480,775,88543.33000000,2.13576352,0
52,2019-07-14 09:00:00.000,0.00002370,0.00002600,0.00002290,0.00002290,653360.24000000,2019-07-15 08:59:59.999,15.89381538,1933,276021.15000000,6.75577785,0
53,2019-07-15 09:00:00.000,0.00002300,0.00002330,0.00002140,0.00002180,483939.73000000,2019-07-16 08:59:59.999,10.85934625,1426,189759.23000000,4.29368095,0
54,2019-07-16 09:00:00.000,0.00002180,0.00002630,0.00002120,0.00002220,1949380.26000000,2019-07-17 08:59:59.999,46.27754651,4149,688834.14000000,16.35535382,0
55,2019-07-17 09:00:00.000,0.00002210,0.00002420,0.00002150,0.00002210,1250077.18000000,2019-07-18 08:59:59.999,28.02029214,2446,590257.84000000,13.25307137,0
