,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00002868,0.00003300,0.00002808,0.00003100,6229060.00000000,2019-05-24 08:59:59.999,186.76475996,10289,2948528.00000000,88.80807297,0
1,2019-05-24 09:00:00.000,0.00003112,0.00003144,0.00002687,0.00002756,5450746.00000000,2019-05-25 08:59:59.999,158.29944268,8093,2334145.00000000,68.11053159,0
2,2019-05-25 09:00:00.000,0.00002753,0.00002875,0.00002642,0.00002711,2961112.00000000,2019-05-26 08:59:59.999,80.87548365,4542,1343785.00000000,36.80797889,0
3,2019-05-26 09:00:00.000,0.00002717,0.00002922,0.00002400,0.00002430,5066367.00000000,2019-05-27 08:59:59.999,134.04022027,7193,2216067.00000000,58.50709252,0
4,2019-05-27 09:00:00.000,0.00002436,0.00002550,0.00002350,0.00002500,3324009.00000000,2019-05-28 08:59:59.999,81.10213434,4814,1501025.00000000,36.68497902,0
5,2019-05-28 09:00:00.000,0.00002508,0.00002717,0.00002480,0.00002601,5579811.00000000,2019-05-29 08:59:59.999,144.78386932,8009,2485880.00000000,64.69138451,0
6,2019-05-29 09:00:00.000,0.00002598,0.00002705,0.00002553,0.00002612,2527154.00000000,2019-05-30 08:59:59.999,66.52520487,4024,1142835.00000000,30.12277226,0
7,2019-05-30 09:00:00.000,0.00002618,0.00002709,0.00002389,0.00002513,5161042.00000000,2019-05-31 08:59:59.999,133.57738350,6633,2415648.00000000,62.71802216,0
8,2019-05-31 09:00:00.000,0.00002513,0.00002749,0.00002406,0.00002603,5594123.00000000,2019-06-01 08:59:59.999,144.40503354,7652,2711984.00000000,70.14070057,0
9,2019-06-01 09:00:00.000,0.00002603,0.00002605,0.00002460,0.00002489,2759092.00000000,2019-06-02 08:59:59.999,69.90125523,4346,1005316.00000000,25.51989787,0
10,2019-06-02 09:00:00.000,0.00002497,0.00002590,0.00002490,0.00002537,2737428.00000000,2019-06-03 08:59:59.999,69.64693865,4135,1252381.00000000,31.92267480,0
11,2019-06-03 09:00:00.000,0.00002547,0.00002594,0.00002489,0.00002492,1535172.00000000,2019-06-04 08:59:59.999,38.87852171,2444,555107.00000000,14.10464718,0
12,2019-06-04 09:00:00.000,0.00002492,0.00002504,0.00002376,0.00002413,2029934.00000000,2019-06-05 08:59:59.999,49.74630463,3346,784657.00000000,19.29535077,0
13,2019-06-05 09:00:00.000,0.00002413,0.00002514,0.00002412,0.00002455,1260047.00000000,2019-06-06 08:59:59.999,31.02188448,2155,581152.00000000,14.32186632,0
14,2019-06-06 09:00:00.000,0.00002458,0.00002546,0.00002457,0.00002478,1233285.00000000,2019-06-07 08:59:59.999,30.86592707,2280,563085.00000000,14.11490063,0
15,2019-06-07 09:00:00.000,0.00002489,0.00002749,0.00002468,0.00002664,5664298.00000000,2019-06-08 08:59:59.999,148.89269164,8249,2782136.00000000,73.24542068,0
16,2019-06-08 09:00:00.000,0.00002672,0.00002789,0.00002580,0.00002718,4634965.00000000,2019-06-09 08:59:59.999,124.94635905,6412,2332652.00000000,63.05616602,0
17,2019-06-09 09:00:00.000,0.00002718,0.00002742,0.00002499,0.00002557,2866909.00000000,2019-06-10 08:59:59.999,74.67915554,4247,1142819.00000000,29.76922487,0
18,2019-06-10 09:00:00.000,0.00002566,0.00002740,0.00002560,0.00002667,3262857.00000000,2019-06-11 08:59:59.999,86.47495852,5012,1561567.00000000,41.48014001,0
19,2019-06-11 09:00:00.000,0.00002677,0.00003150,0.00002565,0.00002818,17157959.00000000,2019-06-12 08:59:59.999,492.93107154,24714,8074472.00000000,232.06406686,0
20,2019-06-12 09:00:00.000,0.00002829,0.00003080,0.00002691,0.00002739,7713055.00000000,2019-06-13 08:59:59.999,220.49862886,11556,3488336.00000000,100.05882102,0
21,2019-06-13 09:00:00.000,0.00002739,0.00002765,0.00002501,0.00002533,5257534.00000000,2019-06-14 08:59:59.999,137.53568572,6990,1865718.00000000,48.78933657,0
