,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-08-17 09:00:00.000,0.00004018,0.00006390,0.00004018,0.00005240,33055159.00000000,2020-08-18 08:59:59.999,1713.45377508,83518,15126532.00000000,786.95265481,0
1,2020-08-18 09:00:00.000,0.00005239,0.00006184,0.00004816,0.00004905,18653420.00000000,2020-08-19 08:59:59.999,1014.12418623,69788,9565339.00000000,521.87190923,0
2,2020-08-19 09:00:00.000,0.00004891,0.00005209,0.00004233,0.00004670,11706579.00000000,2020-08-20 08:59:59.999,545.53751486,44819,6104872.00000000,285.40369399,0
3,2020-08-20 09:00:00.000,0.00004664,0.00005394,0.00004643,0.00005166,8036120.00000000,2020-08-21 08:59:59.999,409.56852167,43130,3828325.00000000,195.31435571,0
4,2020-08-21 09:00:00.000,0.00005166,0.00005403,0.00004466,0.00004518,4579408.00000000,2020-08-22 08:59:59.999,221.65429393,28510,2101726.00000000,102.66795037,0
5,2020-08-22 09:00:00.000,0.00004508,0.00004717,0.00004074,0.00004560,3819527.00000000,2020-08-23 08:59:59.999,166.71286103,22009,1735073.00000000,75.86743396,0
6,2020-08-23 09:00:00.000,0.00004574,0.00005270,0.00004506,0.00005109,4147732.00000000,2020-08-24 08:59:59.999,203.71660057,25287,1936015.00000000,95.08394132,0
7,2020-08-24 09:00:00.000,0.00005095,0.00005250,0.00004608,0.00004720,3850200.00000000,2020-08-25 08:59:59.999,187.61660607,23729,1849816.00000000,90.43588192,0
8,2020-08-25 09:00:00.000,0.00004720,0.00004940,0.00004199,0.00004432,4204384.00000000,2020-08-26 08:59:59.999,191.99010152,18793,1928778.00000000,88.19447823,0
9,2020-08-26 09:00:00.000,0.00004449,0.00005172,0.00004229,0.00004881,6685800.00000000,2020-08-27 08:59:59.999,312.57224999,30699,3280613.00000000,152.66223385,0
10,2020-08-27 09:00:00.000,0.00004881,0.00005272,0.00004402,0.00004552,5878584.00000000,2020-08-28 08:59:59.999,280.99234313,27034,2864018.00000000,137.28765939,0
11,2020-08-28 09:00:00.000,0.00004551,0.00005161,0.00004530,0.00004719,5127306.00000000,2020-08-29 08:59:59.999,247.19545300,20449,2324651.00000000,111.89031338,0
