,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-01-09 09:00:00.000,0.00001234,0.00020000,0.00001234,0.00002770,83655514.00000000,2020-01-10 08:59:59.999,2400.73427876,84880,38038343.00000000,1094.59281460,0
1,2020-01-10 09:00:00.000,0.00002769,0.00003060,0.00002458,0.00002458,32144091.00000000,2020-01-11 08:59:59.999,898.77750820,44227,15320391.00000000,431.10386890,0
2,2020-01-11 09:00:00.000,0.00002459,0.00002485,0.00002089,0.00002124,19586836.00000000,2020-01-12 08:59:59.999,456.84210918,22540,10125710.00000000,236.79122382,0
3,2020-01-12 09:00:00.000,0.00002124,0.00002174,0.00001943,0.00002038,11960933.00000000,2020-01-13 08:59:59.999,245.66158157,14713,5370167.00000000,110.28465600,0
4,2020-01-13 09:00:00.000,0.00002038,0.00002244,0.00001945,0.00002057,13696606.00000000,2020-01-14 08:59:59.999,286.98295299,15242,6575950.00000000,137.91323837,0
5,2020-01-14 09:00:00.000,0.00002057,0.00002088,0.00001630,0.00001646,15941033.00000000,2020-01-15 08:59:59.999,281.69310097,13571,7411277.00000000,130.41939558,0
6,2020-01-15 09:00:00.000,0.00001646,0.00001665,0.00001461,0.00001492,16687346.00000000,2020-01-16 08:59:59.999,253.92081961,14515,7326004.00000000,111.36543328,0
7,2020-01-16 09:00:00.000,0.00001492,0.00001774,0.00001250,0.00001357,17444819.00000000,2020-01-17 08:59:59.999,265.27620132,15726,6907162.00000000,105.62607377,0
8,2020-01-17 09:00:00.000,0.00001356,0.00001439,0.00001310,0.00001347,8533582.00000000,2020-01-18 08:59:59.999,116.95916720,6840,3929963.00000000,53.91040475,0
9,2020-01-18 09:00:00.000,0.00001350,0.00001443,0.00001337,0.00001439,3096749.00000000,2020-01-19 08:59:59.999,42.71621233,3642,1612345.00000000,22.25269478,0
10,2020-01-19 09:00:00.000,0.00001442,0.00001455,0.00001234,0.00001316,6940172.00000000,2020-01-20 08:59:59.999,90.17336963,5966,3213284.00000000,41.88797448,0
11,2020-01-20 09:00:00.000,0.00001319,0.00001322,0.00001243,0.00001269,1984211.00000000,2020-01-21 08:59:59.999,25.39214500,2114,720201.00000000,9.24473354,0
12,2020-01-21 09:00:00.000,0.00001269,0.00001479,0.00001257,0.00001434,14477684.00000000,2020-01-22 08:59:59.999,202.53935580,12558,6637016.00000000,92.95544302,0
13,2020-01-22 09:00:00.000,0.00001424,0.00001702,0.00001422,0.00001500,18527594.00000000,2020-01-23 08:59:59.999,291.76207158,19026,7747383.00000000,122.49402320,0
14,2020-01-23 09:00:00.000,0.00001497,0.00001584,0.00001437,0.00001532,6029841.00000000,2020-01-24 08:59:59.999,90.86783035,6620,2657229.00000000,40.21699904,0
15,2020-01-24 09:00:00.000,0.00001531,0.00001592,0.00001383,0.00001438,7024099.00000000,2020-01-25 08:59:59.999,103.02375370,9762,3050277.00000000,44.92242081,0
16,2020-01-25 09:00:00.000,0.00001440,0.00001450,0.00001382,0.00001394,2784666.00000000,2020-01-26 08:59:59.999,39.48944784,3527,1255107.00000000,17.84176721,0
17,2020-01-26 09:00:00.000,0.00001393,0.00001426,0.00001335,0.00001356,2981214.00000000,2020-01-27 08:59:59.999,41.03517270,3083,1442280.00000000,19.90620820,0
18,2020-01-27 09:00:00.000,0.00001356,0.00001444,0.00001330,0.00001344,2458877.00000000,2020-01-28 08:59:59.999,33.82084715,2679,1122823.00000000,15.49038334,0
19,2020-01-28 09:00:00.000,0.00001342,0.00001347,0.00001181,0.00001187,3135422.00000000,2020-01-29 08:59:59.999,39.78415542,3571,1151763.00000000,14.63018355,0
20,2020-01-29 09:00:00.000,0.00001186,0.00001210,0.00001137,0.00001155,3114334.00000000,2020-01-30 08:59:59.999,36.32490952,3226,1383911.00000000,16.15331912,0
21,2020-01-30 09:00:00.000,0.00001156,0.00001175,0.00001089,0.00001160,3835890.00000000,2020-01-31 08:59:59.999,43.02803904,3260,1512704.00000000,16.96927683,0
22,2020-01-31 09:00:00.000,0.00001160,0.00001257,0.00001103,0.00001196,5199695.00000000,2020-02-01 08:59:59.999,61.90259178,4656,2417370.00000000,28.78326044,0
23,2020-02-01 09:00:00.000,0.00001196,0.00001228,0.00001147,0.00001188,2758593.00000000,2020-02-02 08:59:59.999,32.80793069,2615,1233098.00000000,14.65369967,0
24,2020-02-02 09:00:00.000,0.00001188,0.00001374,0.00001188,0.00001253,7477476.00000000,2020-02-03 08:59:59.999,95.90979038,6564,3133965.00000000,40.27161453,0
25,2020-02-03 09:00:00.000,0.00001256,0.00001335,0.00001196,0.00001227,9271445.00000000,2020-02-04 08:59:59.999,116.43443479,7654,3578057.00000000,44.83642647,0
26,2020-02-04 09:00:00.000,0.00001227,0.00001303,0.00001209,0.00001277,5067493.00000000,2020-02-05 08:59:59.999,63.58108998,3999,2255055.00000000,28.35429803,0
27,2020-02-05 09:00:00.000,0.00001278,0.00001289,0.00001155,0.00001259,4499638.00000000,2020-02-06 08:59:59.999,54.67613378,4452,2124145.00000000,25.77886945,0
28,2020-02-06 09:00:00.000,0.00001251,0.00002941,0.00001211,0.00002569,130749320.00000000,2020-02-07 08:59:59.999,2786.26061892,111558,64055885.00000000,1369.24196500,0
29,2020-02-07 09:00:00.000,0.00002578,0.00003287,0.00002141,0.00002220,86059815.00000000,2020-02-08 08:59:59.999,2289.77320455,92263,44095696.00000000,1178.57010909,0
30,2020-02-08 09:00:00.000,0.00002226,0.00003574,0.00002157,0.00003309,60929023.00000000,2020-02-09 08:59:59.999,1841.16208629,79647,30689055.00000000,932.66302572,0
31,2020-02-09 09:00:00.000,0.00003300,0.00004533,0.00002777,0.00004335,74159683.00000000,2020-02-10 08:59:59.999,2830.16926151,120335,36106232.00000000,1384.00013803,0
32,2020-02-10 09:00:00.000,0.00004334,0.00004489,0.00003552,0.00003847,31851387.00000000,2020-02-11 08:59:59.999,1282.21064916,59180,14321468.00000000,578.31521017,0
33,2020-02-11 09:00:00.000,0.00003841,0.00003908,0.00003143,0.00003399,16223115.00000000,2020-02-12 08:59:59.999,565.30086723,28221,7068950.00000000,246.46819262,0
34,2020-02-12 09:00:00.000,0.00003400,0.00003880,0.00002912,0.00003140,30358561.00000000,2020-02-13 08:59:59.999,1027.30370395,53508,14857222.00000000,507.44689455,0
35,2020-02-13 09:00:00.000,0.00003140,0.00003380,0.00002976,0.00003211,11958197.00000000,2020-02-14 08:59:59.999,373.83968752,25926,4803075.00000000,150.60678069,0
36,2020-02-14 09:00:00.000,0.00003211,0.00003211,0.00002665,0.00002736,10161003.00000000,2020-02-15 08:59:59.999,289.38092792,18988,3974149.00000000,112.75448447,0
37,2020-02-15 09:00:00.000,0.00002736,0.00003673,0.00002709,0.00002806,27807021.00000000,2020-02-16 08:59:59.999,879.70049483,41850,12827885.00000000,407.23295697,0
38,2020-02-16 09:00:00.000,0.00002807,0.00003230,0.00002610,0.00002888,10867972.00000000,2020-02-17 08:59:59.999,317.37045690,19899,4974788.00000000,146.03391085,0
39,2020-02-17 09:00:00.000,0.00002878,0.00003579,0.00002832,0.00003301,19265013.00000000,2020-02-18 08:59:59.999,627.01001520,43525,9304925.00000000,304.23835493,0
40,2020-02-18 09:00:00.000,0.00003313,0.00003808,0.00003151,0.00003216,13813445.00000000,2020-02-19 08:59:59.999,479.85853804,34627,6388295.00000000,222.92209419,0
41,2020-02-19 09:00:00.000,0.00003215,0.00003348,0.00003072,0.00003193,3471897.00000000,2020-02-20 08:59:59.999,111.51016248,12706,1582610.00000000,50.98374565,0
