,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-06-01 09:00:00.000,0.00000125,0.00000336,0.00000110,0.00000282,17063105529.00000000,2019-06-02 08:59:59.999,46040.77585513,465577,8319857723.00000000,22514.87850421,0
1,2019-06-02 09:00:00.000,0.00000281,0.00000282,0.00000225,0.00000242,2540555883.00000000,2019-06-03 08:59:59.999,6295.60272988,114922,1182588954.00000000,2936.11079836,0
2,2019-06-03 09:00:00.000,0.00000242,0.00000278,0.00000233,0.00000261,2726054462.00000000,2019-06-04 08:59:59.999,6904.59396598,121295,1323310281.00000000,3359.15853245,0
3,2019-06-04 09:00:00.000,0.00000262,0.00000332,0.00000254,0.00000306,3982059768.00000000,2019-06-05 08:59:59.999,11855.22202082,167008,1943321345.00000000,5791.38549648,0
4,2019-06-05 09:00:00.000,0.00000305,0.00000398,0.00000286,0.00000365,4903522408.00000000,2019-06-06 08:59:59.999,16989.91888356,185240,2435151672.00000000,8451.99176008,0
5,2019-06-06 09:00:00.000,0.00000364,0.00000396,0.00000315,0.00000339,3061505197.00000000,2019-06-07 08:59:59.999,11070.17990997,131991,1459444359.00000000,5296.43289983,0
6,2019-06-07 09:00:00.000,0.00000339,0.00000357,0.00000306,0.00000325,1422733435.00000000,2019-06-08 08:59:59.999,4679.33010340,65520,711870829.00000000,2344.42398761,0
7,2019-06-08 09:00:00.000,0.00000325,0.00000339,0.00000316,0.00000331,738068269.00000000,2019-06-09 08:59:59.999,2419.70305780,42946,367975950.00000000,1208.78973179,0
8,2019-06-09 09:00:00.000,0.00000331,0.00000354,0.00000312,0.00000318,1102881568.00000000,2019-06-10 08:59:59.999,3678.09045947,62717,488619459.00000000,1637.37443670,0
9,2019-06-10 09:00:00.000,0.00000318,0.00000326,0.00000306,0.00000321,663263749.00000000,2019-06-11 08:59:59.999,2106.01657519,33517,315039416.00000000,1002.21960791,0
10,2019-06-11 09:00:00.000,0.00000321,0.00000322,0.00000281,0.00000285,909063383.00000000,2019-06-12 08:59:59.999,2742.95423416,44728,414139898.00000000,1252.42502882,0
11,2019-06-12 09:00:00.000,0.00000285,0.00000292,0.00000269,0.00000274,743319462.00000000,2019-06-13 08:59:59.999,2079.54042386,38351,365785410.00000000,1024.69582510,0
12,2019-06-13 09:00:00.000,0.00000274,0.00000307,0.00000264,0.00000272,1055607193.00000000,2019-06-14 08:59:59.999,3006.88819391,57742,492371775.00000000,1408.94223800,0
13,2019-06-14 09:00:00.000,0.00000272,0.00000282,0.00000233,0.00000236,693351318.00000000,2019-06-15 08:59:59.999,1769.43795931,38474,294746508.00000000,754.89968799,0
14,2019-06-15 09:00:00.000,0.00000237,0.00000259,0.00000236,0.00000245,483771088.00000000,2019-06-16 08:59:59.999,1196.31043091,23174,217473564.00000000,539.49621427,0
15,2019-06-16 09:00:00.000,0.00000246,0.00000246,0.00000221,0.00000241,480402424.00000000,2019-06-17 08:59:59.999,1110.69995821,22257,230782841.00000000,533.97711791,0
16,2019-06-17 09:00:00.000,0.00000241,0.00000246,0.00000214,0.00000219,446695757.00000000,2019-06-18 08:59:59.999,1041.44907737,21956,189812630.00000000,444.82608129,0
17,2019-06-18 09:00:00.000,0.00000220,0.00000265,0.00000219,0.00000253,809744199.00000000,2019-06-19 08:59:59.999,1982.64523490,37393,416903757.00000000,1021.22304278,0
18,2019-06-19 09:00:00.000,0.00000253,0.00000273,0.00000244,0.00000249,936228446.00000000,2019-06-20 08:59:59.999,2430.73005573,44804,451193848.00000000,1175.00812712,0
19,2019-06-20 09:00:00.000,0.00000249,0.00000262,0.00000226,0.00000234,710682228.00000000,2019-06-21 08:59:59.999,1714.24985834,33325,319812733.00000000,774.86095158,0
20,2019-06-21 09:00:00.000,0.00000233,0.00000238,0.00000200,0.00000201,562886484.00000000,2019-06-22 08:59:59.999,1244.47047988,26647,230263252.00000000,513.09232873,0
21,2019-06-22 09:00:00.000,0.00000201,0.00000212,0.00000182,0.00000199,879713222.00000000,2019-06-23 08:59:59.999,1730.85703148,31837,405297204.00000000,799.16321116,0
22,2019-06-23 09:00:00.000,0.00000199,0.00000209,0.00000183,0.00000194,512205776.00000000,2019-06-24 08:59:59.999,1009.83247558,18922,240344398.00000000,475.30383470,0
23,2019-06-24 09:00:00.000,0.00000193,0.00000205,0.00000185,0.00000187,335853745.00000000,2019-06-25 08:59:59.999,648.88026077,14544,151819197.00000000,294.40630986,0
24,2019-06-25 09:00:00.000,0.00000188,0.00000190,0.00000162,0.00000163,579472945.00000000,2019-06-26 08:59:59.999,1012.45726670,19594,241708341.00000000,423.61396788,0
25,2019-06-26 09:00:00.000,0.00000163,0.00000165,0.00000120,0.00000141,1025758204.00000000,2019-06-27 08:59:59.999,1463.50307648,31885,463133872.00000000,662.04497910,0
26,2019-06-27 09:00:00.000,0.00000140,0.00000185,0.00000128,0.00000161,1523711981.00000000,2019-06-28 08:59:59.999,2484.30758948,43643,756831554.00000000,1234.10738411,0
27,2019-06-28 09:00:00.000,0.00000161,0.00000176,0.00000147,0.00000150,941745257.00000000,2019-06-29 08:59:59.999,1510.74219416,26897,461827992.00000000,744.67697650,0
28,2019-06-29 09:00:00.000,0.00000150,0.00000184,0.00000149,0.00000170,1478428269.00000000,2019-06-30 08:59:59.999,2477.57544485,35787,751420266.00000000,1262.65768970,0
29,2019-06-30 09:00:00.000,0.00000170,0.00000196,0.00000166,0.00000177,1052374061.00000000,2019-07-01 08:59:59.999,1926.09587099,32648,516847474.00000000,949.66149934,0
30,2019-07-01 09:00:00.000,0.00000177,0.00000186,0.00000172,0.00000182,469311255.00000000,2019-07-02 08:59:59.999,843.56252366,15539,218895111.00000000,394.99224750,0
31,2019-07-02 09:00:00.000,0.00000182,0.00000189,0.00000157,0.00000162,544449586.00000000,2019-07-03 08:59:59.999,937.29221261,17027,235393105.00000000,407.60922715,0
32,2019-07-03 09:00:00.000,0.00000162,0.00000164,0.00000142,0.00000143,535562893.00000000,2019-07-04 08:59:59.999,828.96019914,14638,238978689.00000000,371.16461694,0
33,2019-07-04 09:00:00.000,0.00000143,0.00000144,0.00000128,0.00000140,600083307.00000000,2019-07-05 08:59:59.999,819.17442266,15331,282169297.00000000,386.94645496,0
34,2019-07-05 09:00:00.000,0.00000141,0.00000153,0.00000134,0.00000142,499800883.00000000,2019-07-06 08:59:59.999,712.61068189,15451,252109505.00000000,359.45391860,0
35,2019-07-06 09:00:00.000,0.00000142,0.00000142,0.00000133,0.00000138,204928711.00000000,2019-07-07 08:59:59.999,279.55341310,6736,98377159.00000000,134.69676580,0
36,2019-07-07 09:00:00.000,0.00000137,0.00000145,0.00000135,0.00000140,226413580.00000000,2019-07-08 08:59:59.999,317.86102694,8081,113802611.00000000,160.34641318,0
37,2019-07-08 09:00:00.000,0.00000140,0.00000143,0.00000114,0.00000118,340521090.00000000,2019-07-09 08:59:59.999,433.38176490,10897,132238880.00000000,168.80963088,0
38,2019-07-09 09:00:00.000,0.00000118,0.00000122,0.00000110,0.00000112,370957776.00000000,2019-07-10 08:59:59.999,428.53636235,9990,176685816.00000000,204.41038107,0
39,2019-07-10 09:00:00.000,0.00000112,0.00000123,0.00000099,0.00000116,618776823.00000000,2019-07-11 08:59:59.999,681.93452460,16263,295742317.00000000,328.72535816,0
40,2019-07-11 09:00:00.000,0.00000116,0.00000127,0.00000102,0.00000106,375050795.00000000,2019-07-12 08:59:59.999,429.30859097,12779,182554030.00000000,209.16205661,0
41,2019-07-12 09:00:00.000,0.00000107,0.00000125,0.00000103,0.00000118,460346047.00000000,2019-07-13 08:59:59.999,531.48645448,14865,221930296.00000000,257.23424257,0
42,2019-07-13 09:00:00.000,0.00000117,0.00000142,0.00000117,0.00000139,730170246.00000000,2019-07-14 08:59:59.999,968.54666359,29849,375299651.00000000,498.63393254,0
43,2019-07-14 09:00:00.000,0.00000140,0.00000150,0.00000123,0.00000126,491851599.00000000,2019-07-15 08:59:59.999,663.59128664,17275,210641683.00000000,285.91712228,0
44,2019-07-15 09:00:00.000,0.00000127,0.00000133,0.00000117,0.00000124,351807733.00000000,2019-07-16 08:59:59.999,439.53124950,13037,156654980.00000000,196.71841888,0
45,2019-07-16 09:00:00.000,0.00000125,0.00000135,0.00000119,0.00000121,341350929.00000000,2019-07-17 08:59:59.999,431.20644578,13709,151079826.00000000,191.81612240,0
46,2019-07-17 09:00:00.000,0.00000122,0.00000143,0.00000121,0.00000139,358095548.00000000,2019-07-18 08:59:59.999,473.91753876,13917,175053428.00000000,231.90277863,0
47,2019-07-18 09:00:00.000,0.00000139,0.00000142,0.00000119,0.00000122,380152056.00000000,2019-07-19 08:59:59.999,495.47585199,13641,158777330.00000000,208.56826432,0
48,2019-07-19 09:00:00.000,0.00000122,0.00000126,0.00000119,0.00000122,185642412.00000000,2019-07-20 08:59:59.999,226.25875738,6119,86341137.00000000,105.45160366,0
49,2019-07-20 09:00:00.000,0.00000122,0.00000127,0.00000119,0.00000122,161301071.00000000,2019-07-21 08:59:59.999,198.37338646,5882,72628909.00000000,89.49222654,0
50,2019-07-21 09:00:00.000,0.00000121,0.00000124,0.00000117,0.00000119,100148133.00000000,2019-07-22 08:59:59.999,121.69341404,3099,32325343.00000000,39.43014427,0
