,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00005608,0.00006149,0.00005413,0.00005657,2498327.00000000,2019-05-24 08:59:59.999,142.44848470,9487,1286813.00000000,73.62365712,0
1,2019-05-24 09:00:00.000,0.00005626,0.00005940,0.00005438,0.00005560,1536954.00000000,2019-05-25 08:59:59.999,87.29619487,5930,739110.00000000,42.04695128,0
2,2019-05-25 09:00:00.000,0.00005583,0.00006100,0.00005519,0.00005859,2115803.00000000,2019-05-26 08:59:59.999,122.92614633,7666,1030908.00000000,59.98136301,0
3,2019-05-26 09:00:00.000,0.00005880,0.00006690,0.00005300,0.00005428,6600566.00000000,2019-05-27 08:59:59.999,398.95997980,22507,3138497.00000000,191.04836626,0
4,2019-05-27 09:00:00.000,0.00005424,0.00005682,0.00005302,0.00005524,1780000.00000000,2019-05-28 08:59:59.999,97.04158395,7094,942486.00000000,51.42329468,0
5,2019-05-28 09:00:00.000,0.00005524,0.00005582,0.00005319,0.00005460,773966.00000000,2019-05-29 08:59:59.999,41.97879811,3233,358619.00000000,19.47941231,0
6,2019-05-29 09:00:00.000,0.00005465,0.00006089,0.00005426,0.00005751,2189410.00000000,2019-05-30 08:59:59.999,124.61599201,9655,1133979.00000000,64.62376421,0
7,2019-05-30 09:00:00.000,0.00005740,0.00005877,0.00005232,0.00005391,2270386.00000000,2019-05-31 08:59:59.999,127.86209070,9156,1001267.00000000,56.43440637,0
8,2019-05-31 09:00:00.000,0.00005396,0.00005460,0.00005223,0.00005350,792818.00000000,2019-06-01 08:59:59.999,42.22593938,3975,367781.00000000,19.62068323,0
9,2019-06-01 09:00:00.000,0.00005337,0.00005367,0.00005094,0.00005115,617776.00000000,2019-06-02 08:59:59.999,32.20323574,3008,291989.00000000,15.22896992,0
10,2019-06-02 09:00:00.000,0.00005137,0.00005243,0.00005066,0.00005160,551263.00000000,2019-06-03 08:59:59.999,28.39711130,2371,247955.00000000,12.78407233,0
11,2019-06-03 09:00:00.000,0.00005184,0.00005290,0.00005050,0.00005139,542871.00000000,2019-06-04 08:59:59.999,27.94943494,2586,259040.00000000,13.34185778,0
12,2019-06-04 09:00:00.000,0.00005143,0.00005175,0.00004873,0.00005034,1047088.00000000,2019-06-05 08:59:59.999,52.38506133,5461,475806.00000000,23.85341882,0
