,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00017260,0.00017360,0.00016430,0.00016690,1747989.99000000,2019-05-24 08:59:59.999,292.97985702,12630,797959.47000000,133.84788274,0
1,2019-05-24 09:00:00.000,0.00016680,0.00017380,0.00016530,0.00016790,2754198.74000000,2019-05-25 08:59:59.999,465.59298634,16526,1331841.09000000,224.97886072,0
2,2019-05-25 09:00:00.000,0.00016790,0.00017250,0.00016570,0.00016810,1146812.42000000,2019-05-26 08:59:59.999,193.13659540,7731,546575.70000000,92.15098708,0
3,2019-05-26 09:00:00.000,0.00016820,0.00017060,0.00015830,0.00016340,2078958.66000000,2019-05-27 08:59:59.999,342.30739519,13699,1011388.59000000,166.49271846,0
4,2019-05-27 09:00:00.000,0.00016320,0.00017340,0.00016000,0.00017060,2847216.34000000,2019-05-28 08:59:59.999,473.84768722,20976,1304507.51000000,217.00930157,0
5,2019-05-28 09:00:00.000,0.00017060,0.00017520,0.00016620,0.00016930,2430928.95000000,2019-05-29 08:59:59.999,411.94948774,15657,1228482.41000000,208.27450915,0
6,2019-05-29 09:00:00.000,0.00016930,0.00018440,0.00016300,0.00017670,4274498.56000000,2019-05-30 08:59:59.999,750.65625294,22907,2008688.47000000,353.20811440,0
7,2019-05-30 09:00:00.000,0.00017670,0.00019630,0.00017100,0.00017460,7039880.13000000,2019-05-31 08:59:59.999,1277.71970583,40762,3309217.18000000,602.85153313,0
8,2019-05-31 09:00:00.000,0.00017460,0.00017910,0.00017010,0.00017840,3096643.67000000,2019-06-01 08:59:59.999,539.61564894,16931,1629127.76000000,283.95628320,0
9,2019-06-01 09:00:00.000,0.00017840,0.00018220,0.00016830,0.00017150,2450330.20000000,2019-06-02 08:59:59.999,428.04786950,15795,1122339.15000000,196.23710346,0
10,2019-06-02 09:00:00.000,0.00017140,0.00017950,0.00016990,0.00017210,1797635.09000000,2019-06-03 08:59:59.999,312.50263624,12024,828560.26000000,144.13146168,0
11,2019-06-03 09:00:00.000,0.00017210,0.00017250,0.00016500,0.00016580,1752295.66000000,2019-06-04 08:59:59.999,293.99836891,10907,797957.52000000,133.93164801,0
12,2019-06-04 09:00:00.000,0.00016570,0.00016860,0.00016080,0.00016300,3073337.31000000,2019-06-05 08:59:59.999,504.83204210,17467,1418556.52000000,233.33888243,0
13,2019-06-05 09:00:00.000,0.00016310,0.00016840,0.00016090,0.00016760,2527001.59000000,2019-06-06 08:59:59.999,415.09465091,14447,1067531.65000000,175.42511008,0
14,2019-06-06 09:00:00.000,0.00016780,0.00017030,0.00016310,0.00016690,1510496.69000000,2019-06-07 08:59:59.999,250.79192377,9152,712143.48000000,118.31555556,0
15,2019-06-07 09:00:00.000,0.00016710,0.00016870,0.00016460,0.00016600,1343110.76000000,2019-06-08 08:59:59.999,223.58394909,7109,655421.70000000,109.18591305,0
16,2019-06-08 09:00:00.000,0.00016600,0.00017050,0.00016350,0.00016710,1412475.86000000,2019-06-09 08:59:59.999,235.90096885,9200,652192.99000000,109.11869097,0
17,2019-06-09 09:00:00.000,0.00016680,0.00017750,0.00016500,0.00017370,2050790.28000000,2019-06-10 08:59:59.999,348.90768463,13542,1089073.92000000,185.75790349,0
