,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000320,0.00000368,0.00000302,0.00000340,70489743.00000000,2019-05-24 08:59:59.999,235.53265645,12457,33847071.00000000,113.71375477,0
1,2019-05-24 09:00:00.000,0.00000340,0.00000359,0.00000311,0.00000315,51812202.00000000,2019-05-25 08:59:59.999,172.40486236,8609,20929685.00000000,69.23728307,0
2,2019-05-25 09:00:00.000,0.00000316,0.00000331,0.00000308,0.00000321,21745816.00000000,2019-05-26 08:59:59.999,68.86073631,3462,10248701.00000000,32.53227753,0
3,2019-05-26 09:00:00.000,0.00000322,0.00000387,0.00000309,0.00000326,123740700.00000000,2019-05-27 08:59:59.999,432.99053560,20865,57994079.00000000,204.48670179,0
4,2019-05-27 09:00:00.000,0.00000323,0.00000336,0.00000305,0.00000325,31912858.00000000,2019-05-28 08:59:59.999,101.81414964,5359,13204844.00000000,42.22192226,0
5,2019-05-28 09:00:00.000,0.00000325,0.00000337,0.00000315,0.00000322,32929511.00000000,2019-05-29 08:59:59.999,106.54852083,4897,14479698.00000000,46.84522555,0
6,2019-05-29 09:00:00.000,0.00000321,0.00000403,0.00000321,0.00000344,165061531.00000000,2019-05-30 08:59:59.999,614.22360610,25656,82816525.00000000,309.63647350,0
7,2019-05-30 09:00:00.000,0.00000344,0.00000356,0.00000313,0.00000320,52314204.00000000,2019-05-31 08:59:59.999,176.98330953,7296,20436870.00000000,69.38895330,0
8,2019-05-31 09:00:00.000,0.00000320,0.00000330,0.00000308,0.00000322,17432355.00000000,2019-06-01 08:59:59.999,55.79982840,3094,8332398.00000000,26.75787125,0
9,2019-06-01 09:00:00.000,0.00000324,0.00000325,0.00000305,0.00000307,15775189.00000000,2019-06-02 08:59:59.999,49.38557136,2967,6450291.00000000,20.23402442,0
10,2019-06-02 09:00:00.000,0.00000309,0.00000325,0.00000302,0.00000325,24990850.00000000,2019-06-03 08:59:59.999,78.31395658,3423,11949943.00000000,37.50816075,0
11,2019-06-03 09:00:00.000,0.00000323,0.00000345,0.00000310,0.00000325,46303212.00000000,2019-06-04 08:59:59.999,151.04046112,7040,22512135.00000000,73.76240219,0
12,2019-06-04 09:00:00.000,0.00000324,0.00000336,0.00000312,0.00000318,22964152.00000000,2019-06-05 08:59:59.999,74.41039419,4088,10068325.00000000,32.74793318,0
13,2019-06-05 09:00:00.000,0.00000317,0.00000367,0.00000312,0.00000338,97399283.00000000,2019-06-06 08:59:59.999,337.27322298,13198,45711742.00000000,158.52182723,0
14,2019-06-06 09:00:00.000,0.00000338,0.00000350,0.00000326,0.00000335,27524237.00000000,2019-06-07 08:59:59.999,92.70783241,4173,11215169.00000000,37.93823654,0
15,2019-06-07 09:00:00.000,0.00000335,0.00000347,0.00000331,0.00000340,16015823.00000000,2019-06-08 08:59:59.999,54.52058557,3175,8016065.00000000,27.29879184,0
