,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2020-08-26 09:00:00.000,0.17083000,0.18500000,0.16703000,0.17115000,625.61760000,2020-08-27 08:59:59.999,106.94995465,5223,298.07020000,51.04391946,0
1,2020-08-27 09:00:00.000,0.17115000,0.17584000,0.16900000,0.17059000,223.07170000,2020-08-28 08:59:59.999,38.29702006,2043,112.23310000,19.29333355,0
2,2020-08-28 09:00:00.000,0.17109000,0.17371000,0.16984000,0.17150000,112.90710000,2020-08-29 08:59:59.999,19.40858109,1429,45.30620000,7.79994212,0
3,2020-08-29 09:00:00.000,0.17057000,0.17266000,0.16999000,0.17111000,75.07950000,2020-08-30 08:59:59.999,12.87563438,980,31.16670000,5.34917234,0
4,2020-08-30 09:00:00.000,0.17153000,0.17201000,0.16800000,0.16957000,131.31600000,2020-08-31 08:59:59.999,22.29134796,1389,81.65700000,13.85293540,0
5,2020-08-31 09:00:00.000,0.16944000,0.17068000,0.16659000,0.16912000,61.86870000,2020-09-01 08:59:59.999,10.45091553,1322,30.73740000,5.19615933,0
6,2020-09-01 09:00:00.000,0.16912000,0.17201000,0.16392000,0.16609000,81.96890000,2020-09-02 08:59:59.999,13.75763551,1871,29.96800000,5.05219864,0
7,2020-09-02 09:00:00.000,0.16609000,0.17566000,0.16497000,0.17147000,89.92550000,2020-09-03 08:59:59.999,15.38845116,2135,50.33410000,8.62754512,0
8,2020-09-03 09:00:00.000,0.17146000,0.19665000,0.16996000,0.18987000,202.74450000,2020-09-04 08:59:59.999,36.89051811,4002,107.18370000,19.58919105,0
9,2020-09-04 09:00:00.000,0.19000000,0.19416000,0.18247000,0.18500000,312.69760000,2020-09-05 08:59:59.999,58.80476164,5335,139.11310000,26.14682026,0
10,2020-09-05 09:00:00.000,0.18506000,0.19906000,0.18400000,0.19164000,285.66260000,2020-09-06 08:59:59.999,54.83010314,5726,132.15390000,25.38402881,0
11,2020-09-06 09:00:00.000,0.19157000,0.19414000,0.18436000,0.18872000,132.32480000,2020-09-07 08:59:59.999,25.13342771,3678,68.57310000,13.02600549,0
12,2020-09-07 09:00:00.000,0.18890000,0.19629000,0.18600000,0.18693000,82.46300000,2020-09-08 08:59:59.999,15.76453661,2649,44.88180000,8.59169725,0
13,2020-09-08 09:00:00.000,0.18677000,0.19632000,0.18587000,0.19151000,45.89030000,2020-09-09 08:59:59.999,8.78732519,1796,25.08370000,4.79617903,0
14,2020-09-09 09:00:00.000,0.19151000,0.19361000,0.18812000,0.19124000,46.28550000,2020-09-10 08:59:59.999,8.82416597,1201,19.55630000,3.73144307,0
15,2020-09-10 09:00:00.000,0.19121000,0.19310000,0.18703000,0.18935000,61.07810000,2020-09-11 08:59:59.999,11.56993804,1716,37.66770000,7.15176684,0
16,2020-09-11 09:00:00.000,0.18864000,0.19063000,0.18543000,0.18713000,40.50990000,2020-09-12 08:59:59.999,7.64910691,1028,12.33380000,2.33726226,0
17,2020-09-12 09:00:00.000,0.18713000,0.18987000,0.18625000,0.18680000,22.51310000,2020-09-13 08:59:59.999,4.24598820,766,9.96670000,1.88002356,0
18,2020-09-13 09:00:00.000,0.18731000,0.19177000,0.18477000,0.18908000,51.44940000,2020-09-14 08:59:59.999,9.68440812,1326,21.38720000,4.02732146,0
19,2020-09-14 09:00:00.000,0.18857000,0.18979000,0.18273000,0.18410000,41.47960000,2020-09-15 08:59:59.999,7.72327621,1112,15.01800000,2.80020659,0
20,2020-09-15 09:00:00.000,0.18410000,0.18649000,0.17326000,0.18244000,124.55050000,2020-09-16 08:59:59.999,22.63388264,2165,43.92280000,8.04315120,0
21,2020-09-16 09:00:00.000,0.18243000,0.18451000,0.17723000,0.18040000,71.39710000,2020-09-17 08:59:59.999,12.92991443,1715,34.92530000,6.34826658,0
22,2020-09-17 09:00:00.000,0.18040000,0.18577000,0.17807000,0.17902000,54.88160000,2020-09-18 08:59:59.999,9.91260335,1327,36.83890000,6.66443874,0
23,2020-09-18 09:00:00.000,0.17900000,0.18081000,0.17759000,0.17911000,34.61320000,2020-09-19 08:59:59.999,6.21271432,904,20.72920000,3.72307105,0
24,2020-09-19 09:00:00.000,0.17954000,0.18019000,0.16831000,0.17754000,57.97990000,2020-09-20 08:59:59.999,10.16200161,974,20.79180000,3.62931606,0
25,2020-09-20 09:00:00.000,0.17739000,0.18285000,0.17714000,0.18011000,39.42990000,2020-09-21 08:59:59.999,7.10688275,1097,23.43350000,4.23062070,0
26,2020-09-21 09:00:00.000,0.17964000,0.18544000,0.17786000,0.18416000,96.11760000,2020-09-22 08:59:59.999,17.51979873,2174,50.35360000,9.19169029,0
27,2020-09-22 09:00:00.000,0.18440000,0.18577000,0.18102000,0.18103000,43.89680000,2020-09-23 08:59:59.999,8.02889946,1189,18.53180000,3.40023149,0
28,2020-09-23 09:00:00.000,0.18160000,0.18390000,0.17729000,0.18220000,64.56860000,2020-09-24 08:59:59.999,11.60743356,1673,38.13940000,6.83635863,0
29,2020-09-24 09:00:00.000,0.18220000,0.18301000,0.17444000,0.17594000,36.26340000,2020-09-25 08:59:59.999,6.46834105,1303,16.11710000,2.87894731,0
30,2020-09-25 09:00:00.000,0.17596000,0.17772000,0.17356000,0.17515000,30.65020000,2020-09-26 08:59:59.999,5.38317196,1026,17.80380000,3.12968871,0
31,2020-09-26 09:00:00.000,0.17532000,0.17582000,0.17344000,0.17427000,20.52350000,2020-09-27 08:59:59.999,3.59325566,616,7.57350000,1.32294510,0
32,2020-09-27 09:00:00.000,0.17444000,0.17637000,0.17300000,0.17393000,13.97030000,2020-09-28 08:59:59.999,2.44143643,563,8.48920000,1.48483435,0
33,2020-09-28 09:00:00.000,0.17393000,0.17710000,0.17113000,0.17710000,55.35540000,2020-09-29 08:59:59.999,9.59371638,1180,23.93980000,4.17425537,0
34,2020-09-29 09:00:00.000,0.17710000,0.17999000,0.17582000,0.17639000,26.01720000,2020-09-30 08:59:59.999,4.62606596,984,7.67380000,1.36651164,0
35,2020-09-30 09:00:00.000,0.17621000,0.17823000,0.17621000,0.17658000,12.04700000,2020-10-01 08:59:59.999,2.13375772,688,6.18000000,1.09586653,0
