,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-08-26 09:00:00.000,0.00000738,0.00003300,0.00000738,0.00001111,249093231.00000000,2019-08-27 08:59:59.999,3199.49774136,109341,111729362.00000000,1441.45269995,0
1,2019-08-27 09:00:00.000,0.00001110,0.00001276,0.00001013,0.00001102,129151585.00000000,2019-08-28 08:59:59.999,1482.69089209,55622,54215620.00000000,625.27840041,0
2,2019-08-28 09:00:00.000,0.00001101,0.00001164,0.00000969,0.00000997,64291500.00000000,2019-08-29 08:59:59.999,691.53536820,31283,24540192.00000000,264.07003666,0
3,2019-08-29 09:00:00.000,0.00000997,0.00000999,0.00000935,0.00000955,25110144.00000000,2019-08-30 08:59:59.999,242.69263811,12943,10092681.00000000,97.70333301,0
4,2019-08-30 09:00:00.000,0.00000956,0.00001080,0.00000944,0.00000963,45272370.00000000,2019-08-31 08:59:59.999,460.05685166,24376,20378882.00000000,207.80173336,0
5,2019-08-31 09:00:00.000,0.00000965,0.00000977,0.00000881,0.00000903,15341206.00000000,2019-09-01 08:59:59.999,143.48981160,6984,6036742.00000000,56.45122563,0
6,2019-09-01 09:00:00.000,0.00000903,0.00000979,0.00000882,0.00000923,16289392.00000000,2019-09-02 08:59:59.999,150.66624881,8494,6914577.00000000,63.85800507,0
7,2019-09-02 09:00:00.000,0.00000921,0.00000925,0.00000794,0.00000810,32539248.00000000,2019-09-03 08:59:59.999,276.56717916,11573,14443937.00000000,122.96458571,0
8,2019-09-03 09:00:00.000,0.00000814,0.00000862,0.00000772,0.00000809,19808836.00000000,2019-09-04 08:59:59.999,161.94599308,7759,8557367.00000000,69.99475903,0
9,2019-09-04 09:00:00.000,0.00000809,0.00000955,0.00000799,0.00000880,51994515.00000000,2019-09-05 08:59:59.999,463.70813479,19913,25045623.00000000,224.59174499,0
10,2019-09-05 09:00:00.000,0.00000880,0.00000975,0.00000828,0.00000841,57796803.00000000,2019-09-06 08:59:59.999,528.72405369,24274,26114531.00000000,239.29095548,0
