,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000073,0.00000084,0.00000070,0.00000081,157455117.00000000,2019-05-24 08:59:59.999,119.98319250,3542,83815870.00000000,64.51615414,0
1,2019-05-24 09:00:00.000,0.00000080,0.00000084,0.00000071,0.00000079,199630135.00000000,2019-05-25 08:59:59.999,155.30539369,4930,92252170.00000000,72.30538030,0
2,2019-05-25 09:00:00.000,0.00000079,0.00000084,0.00000077,0.00000079,149176561.00000000,2019-05-26 08:59:59.999,119.70907086,3874,66348052.00000000,53.72533035,0
3,2019-05-26 09:00:00.000,0.00000079,0.00000079,0.00000067,0.00000070,155622463.00000000,2019-05-27 08:59:59.999,115.90584110,3700,61435149.00000000,46.17994714,0
4,2019-05-27 09:00:00.000,0.00000070,0.00000071,0.00000066,0.00000069,109802297.00000000,2019-05-28 08:59:59.999,75.23962771,2626,42655098.00000000,29.35267466,0
5,2019-05-28 09:00:00.000,0.00000069,0.00000072,0.00000068,0.00000069,68838929.00000000,2019-05-29 08:59:59.999,47.76195924,1625,31955254.00000000,22.24276188,0
6,2019-05-29 09:00:00.000,0.00000068,0.00000073,0.00000068,0.00000072,60627892.00000000,2019-05-30 08:59:59.999,42.62148729,1325,38193206.00000000,26.97851417,0
7,2019-05-30 09:00:00.000,0.00000072,0.00000073,0.00000066,0.00000068,63544365.00000000,2019-05-31 08:59:59.999,44.58846499,1641,26341867.00000000,18.64457928,0
8,2019-05-31 09:00:00.000,0.00000068,0.00000069,0.00000066,0.00000068,34763609.00000000,2019-06-01 08:59:59.999,23.51471602,932,15335979.00000000,10.42804463,0
9,2019-06-01 09:00:00.000,0.00000068,0.00000068,0.00000065,0.00000065,35104139.00000000,2019-06-02 08:59:59.999,23.33994797,1002,11100993.00000000,7.41945575,0
10,2019-06-02 09:00:00.000,0.00000066,0.00000068,0.00000065,0.00000066,27515547.00000000,2019-06-03 08:59:59.999,18.24253451,754,12834194.00000000,8.56599493,0
11,2019-06-03 09:00:00.000,0.00000067,0.00000067,0.00000064,0.00000065,46369310.00000000,2019-06-04 08:59:59.999,30.50080531,981,18542430.00000000,12.27097301,0
12,2019-06-04 09:00:00.000,0.00000065,0.00000066,0.00000063,0.00000064,40867542.00000000,2019-06-05 08:59:59.999,26.42383091,940,11522176.00000000,7.50104249,0
13,2019-06-05 09:00:00.000,0.00000065,0.00000065,0.00000063,0.00000064,25225901.00000000,2019-06-06 08:59:59.999,16.09669515,685,9810882.00000000,6.30395011,0
14,2019-06-06 09:00:00.000,0.00000064,0.00000066,0.00000064,0.00000065,32033891.00000000,2019-06-07 08:59:59.999,20.79581902,714,15106602.00000000,9.86936661,0
15,2019-06-07 09:00:00.000,0.00000065,0.00000072,0.00000064,0.00000067,110645625.00000000,2019-06-08 08:59:59.999,75.51398243,2385,59657275.00000000,40.82341448,0
