,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00001250,0.00001310,0.00001196,0.00001244,17778619.00000000,2019-05-24 08:59:59.999,221.33011557,8886,8499523.00000000,105.96714419,0
1,2019-05-24 09:00:00.000,0.00001244,0.00001294,0.00001207,0.00001235,13039717.00000000,2019-05-25 08:59:59.999,162.79078716,6941,6141767.00000000,76.75224780,0
2,2019-05-25 09:00:00.000,0.00001236,0.00001310,0.00001221,0.00001295,10784891.00000000,2019-05-26 08:59:59.999,136.31480819,5763,5046093.00000000,63.94099367,0
3,2019-05-26 09:00:00.000,0.00001295,0.00001440,0.00001131,0.00001167,28145282.00000000,2019-05-27 08:59:59.999,363.62831641,17323,13209219.00000000,172.18833991,0
4,2019-05-27 09:00:00.000,0.00001169,0.00001234,0.00001142,0.00001195,11670089.00000000,2019-05-28 08:59:59.999,138.02289349,7266,5828493.00000000,68.96092563,0
5,2019-05-28 09:00:00.000,0.00001194,0.00001257,0.00001163,0.00001238,20524441.00000000,2019-05-29 08:59:59.999,248.13274409,10580,9961552.00000000,120.37300310,0
6,2019-05-29 09:00:00.000,0.00001238,0.00001289,0.00001188,0.00001224,24597642.00000000,2019-05-30 08:59:59.999,303.99015511,11160,11257998.00000000,139.46052391,0
7,2019-05-30 09:00:00.000,0.00001224,0.00001333,0.00001183,0.00001193,32581250.00000000,2019-05-31 08:59:59.999,409.36585588,15290,15549310.00000000,195.69182315,0
8,2019-05-31 09:00:00.000,0.00001192,0.00001223,0.00001151,0.00001185,10797644.00000000,2019-06-01 08:59:59.999,127.67844115,5814,5111822.00000000,60.55511929,0
9,2019-06-01 09:00:00.000,0.00001186,0.00001218,0.00001148,0.00001150,6723513.00000000,2019-06-02 08:59:59.999,78.99099926,4016,3160436.00000000,37.21497207,0
10,2019-06-02 09:00:00.000,0.00001153,0.00001187,0.00001136,0.00001166,6923312.00000000,2019-06-03 08:59:59.999,80.41043766,3743,3511954.00000000,40.74819956,0
11,2019-06-03 09:00:00.000,0.00001166,0.00001178,0.00001133,0.00001139,5002638.00000000,2019-06-04 08:59:59.999,57.69504922,2782,2534086.00000000,29.25117590,0
12,2019-06-04 09:00:00.000,0.00001139,0.00001165,0.00001097,0.00001141,8700372.00000000,2019-06-05 08:59:59.999,98.17172185,5583,4005163.00000000,45.31012735,0
13,2019-06-05 09:00:00.000,0.00001143,0.00001177,0.00001109,0.00001138,6839849.00000000,2019-06-06 08:59:59.999,77.77039246,4281,3238779.00000000,36.90598273,0
14,2019-06-06 09:00:00.000,0.00001136,0.00001205,0.00001127,0.00001183,12612692.00000000,2019-06-07 08:59:59.999,146.92962088,6967,5303773.00000000,61.80350519,0
15,2019-06-07 09:00:00.000,0.00001182,0.00001237,0.00001163,0.00001205,19704114.00000000,2019-06-08 08:59:59.999,237.69146741,11478,7533486.00000000,90.95646414,0
16,2019-06-08 09:00:00.000,0.00001207,0.00001279,0.00001201,0.00001240,14797166.00000000,2019-06-09 08:59:59.999,183.92984632,8299,7387816.00000000,91.99819716,0
17,2019-06-09 09:00:00.000,0.00001240,0.00001258,0.00001159,0.00001183,10343627.00000000,2019-06-10 08:59:59.999,125.11916275,5442,4566232.00000000,55.39546510,0
18,2019-06-10 09:00:00.000,0.00001183,0.00001277,0.00001168,0.00001245,29976738.00000000,2019-06-11 08:59:59.999,367.03647450,15212,14345199.00000000,175.85218737,0
19,2019-06-11 09:00:00.000,0.00001244,0.00001350,0.00001240,0.00001317,36211061.00000000,2019-06-12 08:59:59.999,468.92638549,18673,18332831.00000000,237.78898190,0
20,2019-06-12 09:00:00.000,0.00001317,0.00001334,0.00001226,0.00001270,15697281.00000000,2019-06-13 08:59:59.999,200.74754986,7920,6333496.00000000,81.19257949,0
21,2019-06-13 09:00:00.000,0.00001270,0.00001271,0.00001186,0.00001196,12652978.00000000,2019-06-14 08:59:59.999,155.12617627,6107,5147756.00000000,63.23606227,0
22,2019-06-14 09:00:00.000,0.00001203,0.00001250,0.00001101,0.00001130,15445759.00000000,2019-06-15 08:59:59.999,180.38455709,8131,7396432.00000000,86.09188413,0
23,2019-06-15 09:00:00.000,0.00001126,0.00001152,0.00001073,0.00001113,6901499.00000000,2019-06-16 08:59:59.999,76.73803992,3287,3308456.00000000,36.83046911,0
24,2019-06-16 09:00:00.000,0.00001114,0.00001118,0.00001033,0.00001105,10534924.00000000,2019-06-17 08:59:59.999,113.36262588,4865,5899144.00000000,63.59928529,0
25,2019-06-17 09:00:00.000,0.00001108,0.00001142,0.00001050,0.00001081,16397252.00000000,2019-06-18 08:59:59.999,178.21795925,6102,7913348.00000000,85.92895841,0
26,2019-06-18 09:00:00.000,0.00001081,0.00001086,0.00001041,0.00001056,4249023.00000000,2019-06-19 08:59:59.999,44.92577007,2257,1879100.00000000,19.90277802,0
27,2019-06-19 09:00:00.000,0.00001052,0.00001080,0.00001048,0.00001057,4963278.00000000,2019-06-20 08:59:59.999,52.73077649,2512,2420134.00000000,25.70887434,0
28,2019-06-20 09:00:00.000,0.00001057,0.00001064,0.00000963,0.00000997,9764069.00000000,2019-06-21 08:59:59.999,99.17021206,5950,5371755.00000000,54.63566734,0
29,2019-06-21 09:00:00.000,0.00000997,0.00001007,0.00000917,0.00000930,6692860.00000000,2019-06-22 08:59:59.999,64.47361134,4152,3684969.00000000,35.57292329,0
30,2019-06-22 09:00:00.000,0.00000927,0.00000942,0.00000818,0.00000885,9682845.00000000,2019-06-23 08:59:59.999,84.38623093,5986,4784753.00000000,41.84289352,0
31,2019-06-23 09:00:00.000,0.00000890,0.00000892,0.00000830,0.00000858,4643014.00000000,2019-06-24 08:59:59.999,40.47273671,2415,2350467.00000000,20.46256847,0
32,2019-06-24 09:00:00.000,0.00000859,0.00000881,0.00000833,0.00000844,2612526.00000000,2019-06-25 08:59:59.999,22.31603931,1895,1204222.00000000,10.30375238,0
33,2019-06-25 09:00:00.000,0.00000844,0.00000855,0.00000774,0.00000778,4413446.00000000,2019-06-26 08:59:59.999,36.04851971,4220,2374210.00000000,19.43044854,0
34,2019-06-26 09:00:00.000,0.00000778,0.00000785,0.00000653,0.00000669,9060203.00000000,2019-06-27 08:59:59.999,64.40274895,8030,4220417.00000000,30.06070324,0
35,2019-06-27 09:00:00.000,0.00000669,0.00000743,0.00000651,0.00000707,10818245.00000000,2019-06-28 08:59:59.999,74.95330794,7054,4972288.00000000,34.49495788,0
36,2019-06-28 09:00:00.000,0.00000707,0.00000737,0.00000650,0.00000651,7899359.00000000,2019-06-29 08:59:59.999,54.25044950,6182,4122664.00000000,28.40127830,0
37,2019-06-29 09:00:00.000,0.00000651,0.00000719,0.00000651,0.00000708,5578675.00000000,2019-06-30 08:59:59.999,38.75557059,5895,2964092.00000000,20.61500843,0
38,2019-06-30 09:00:00.000,0.00000705,0.00000790,0.00000697,0.00000766,11503386.00000000,2019-07-01 08:59:59.999,85.40412145,8769,5504831.00000000,40.80113571,0
39,2019-07-01 09:00:00.000,0.00000767,0.00000815,0.00000755,0.00000785,6398146.00000000,2019-07-02 08:59:59.999,49.73999515,6514,3271380.00000000,25.45458405,0
40,2019-07-02 09:00:00.000,0.00000785,0.00000826,0.00000743,0.00000760,7178647.00000000,2019-07-03 08:59:59.999,57.06676766,5125,3413006.00000000,27.12824970,0
41,2019-07-03 09:00:00.000,0.00000755,0.00000755,0.00000686,0.00000692,4390971.00000000,2019-07-04 08:59:59.999,31.71911855,3587,2108688.00000000,15.26703102,0
42,2019-07-04 09:00:00.000,0.00000692,0.00000720,0.00000680,0.00000714,3330886.00000000,2019-07-05 08:59:59.999,23.10645007,3156,1346276.00000000,9.35966855,0
43,2019-07-05 09:00:00.000,0.00000714,0.00000760,0.00000700,0.00000727,3661560.00000000,2019-07-06 08:59:59.999,26.33093443,3413,2013715.00000000,14.47637238,0
44,2019-07-06 09:00:00.000,0.00000725,0.00000738,0.00000694,0.00000724,3828006.00000000,2019-07-07 08:59:59.999,27.32708293,3604,1966613.00000000,14.07523801,0
45,2019-07-07 09:00:00.000,0.00000724,0.00000734,0.00000714,0.00000725,2832377.00000000,2019-07-08 08:59:59.999,20.54743078,2999,1619692.00000000,11.76700091,0
46,2019-07-08 09:00:00.000,0.00000724,0.00000727,0.00000659,0.00000668,10056522.00000000,2019-07-09 08:59:59.999,70.27757291,5868,4763389.00000000,33.27913135,0
47,2019-07-09 09:00:00.000,0.00000664,0.00000671,0.00000639,0.00000647,3635713.00000000,2019-07-10 08:59:59.999,23.72428835,3446,1714637.00000000,11.18541864,0
