,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00001549,0.00001600,0.00001488,0.00001523,5703179.00000000,2019-05-24 08:59:59.999,87.41921395,5343,2672146.00000000,40.94053083,0
1,2019-05-24 09:00:00.000,0.00001521,0.00001784,0.00001517,0.00001567,16124404.00000000,2019-05-25 08:59:59.999,261.36077489,15958,8313931.00000000,135.36074262,0
2,2019-05-25 09:00:00.000,0.00001573,0.00001640,0.00001557,0.00001583,2977820.00000000,2019-05-26 08:59:59.999,47.53301224,3718,1505854.00000000,24.08011420,0
3,2019-05-26 09:00:00.000,0.00001584,0.00001629,0.00001387,0.00001443,5551919.00000000,2019-05-27 08:59:59.999,85.00900062,5662,2464778.00000000,37.75885661,0
4,2019-05-27 09:00:00.000,0.00001441,0.00001480,0.00001406,0.00001468,2959247.00000000,2019-05-28 08:59:59.999,42.69556836,3167,1614030.00000000,23.32238701,0
5,2019-05-28 09:00:00.000,0.00001466,0.00001493,0.00001437,0.00001488,2850740.00000000,2019-05-29 08:59:59.999,41.94493979,3019,1039189.00000000,15.30043583,0
6,2019-05-29 09:00:00.000,0.00001488,0.00001514,0.00001443,0.00001483,3849203.00000000,2019-05-30 08:59:59.999,56.84470567,3816,1689726.00000000,25.01715621,0
7,2019-05-30 09:00:00.000,0.00001487,0.00001577,0.00001416,0.00001427,5085969.00000000,2019-05-31 08:59:59.999,75.30391557,5699,2119503.00000000,31.44709523,0
8,2019-05-31 09:00:00.000,0.00001428,0.00001453,0.00001395,0.00001429,2689487.00000000,2019-06-01 08:59:59.999,38.32342086,3182,1214952.00000000,17.32619419,0
9,2019-06-01 09:00:00.000,0.00001429,0.00001449,0.00001398,0.00001423,2102224.00000000,2019-06-02 08:59:59.999,29.95583554,2333,1152345.00000000,16.44217316,0
10,2019-06-02 09:00:00.000,0.00001420,0.00001458,0.00001413,0.00001451,1711513.00000000,2019-06-03 08:59:59.999,24.57096823,2185,810435.00000000,11.64873256,0
11,2019-06-03 09:00:00.000,0.00001448,0.00001449,0.00001409,0.00001412,1896003.00000000,2019-06-04 08:59:59.999,27.08992182,1963,666284.00000000,9.53020701,0
12,2019-06-04 09:00:00.000,0.00001412,0.00001423,0.00001377,0.00001396,3206366.00000000,2019-06-05 08:59:59.999,44.90616167,3096,1450048.00000000,20.34936775,0
13,2019-06-05 09:00:00.000,0.00001399,0.00001458,0.00001376,0.00001399,2218789.00000000,2019-06-06 08:59:59.999,31.26418742,2385,977173.00000000,13.81160380,0
14,2019-06-06 09:00:00.000,0.00001398,0.00001458,0.00001396,0.00001433,1441974.00000000,2019-06-07 08:59:59.999,20.52500737,1525,647477.00000000,9.22869805,0
15,2019-06-07 09:00:00.000,0.00001430,0.00001570,0.00001426,0.00001507,8037928.00000000,2019-06-08 08:59:59.999,120.37236961,6870,3667558.00000000,55.03539487,0
16,2019-06-08 09:00:00.000,0.00001502,0.00001662,0.00001502,0.00001559,10465714.00000000,2019-06-09 08:59:59.999,164.33390199,10574,5646208.00000000,88.81577546,0
17,2019-06-09 09:00:00.000,0.00001556,0.00001755,0.00001521,0.00001540,11988822.00000000,2019-06-10 08:59:59.999,195.48325066,10563,6081326.00000000,100.06536751,0
18,2019-06-10 09:00:00.000,0.00001543,0.00001576,0.00001488,0.00001531,5313202.00000000,2019-06-11 08:59:59.999,80.91246205,5310,2285989.00000000,34.89611186,0
19,2019-06-11 09:00:00.000,0.00001529,0.00001553,0.00001490,0.00001541,3608551.00000000,2019-06-12 08:59:59.999,55.02575420,2883,1568080.00000000,23.92624756,0
20,2019-06-12 09:00:00.000,0.00001544,0.00001563,0.00001493,0.00001518,3136549.00000000,2019-06-13 08:59:59.999,48.04967107,2588,1332616.00000000,20.43341362,0
21,2019-06-13 09:00:00.000,0.00001513,0.00001544,0.00001446,0.00001458,2386750.00000000,2019-06-14 08:59:59.999,35.88490130,2212,1032163.00000000,15.50960384,0
22,2019-06-14 09:00:00.000,0.00001458,0.00001481,0.00001340,0.00001358,3140403.00000000,2019-06-15 08:59:59.999,43.99825682,3166,1462947.00000000,20.52263655,0
23,2019-06-15 09:00:00.000,0.00001356,0.00001379,0.00001325,0.00001331,2462630.00000000,2019-06-16 08:59:59.999,33.29964620,2408,1210987.00000000,16.40488019,0
24,2019-06-16 09:00:00.000,0.00001330,0.00001384,0.00001280,0.00001371,3202867.00000000,2019-06-17 08:59:59.999,42.79275467,2978,1571259.00000000,21.08750240,0
25,2019-06-17 09:00:00.000,0.00001371,0.00001371,0.00001259,0.00001278,4942584.00000000,2019-06-18 08:59:59.999,64.82834390,3915,2341124.00000000,30.71118598,0
26,2019-06-18 09:00:00.000,0.00001278,0.00001367,0.00001254,0.00001310,7162919.00000000,2019-06-19 08:59:59.999,93.54228959,5253,3120554.00000000,40.62879344,0
27,2019-06-19 09:00:00.000,0.00001312,0.00001446,0.00001292,0.00001360,7715209.00000000,2019-06-20 08:59:59.999,106.27114678,6434,3785961.00000000,52.23136528,0
28,2019-06-20 09:00:00.000,0.00001360,0.00001360,0.00001216,0.00001243,3111133.00000000,2019-06-21 08:59:59.999,39.89530555,2851,1377032.00000000,17.71879043,0
29,2019-06-21 09:00:00.000,0.00001243,0.00001253,0.00001150,0.00001156,2553490.00000000,2019-06-22 08:59:59.999,31.01239361,2343,1373454.00000000,16.75601736,0
30,2019-06-22 09:00:00.000,0.00001156,0.00001176,0.00001019,0.00001105,4631474.00000000,2019-06-23 08:59:59.999,50.09974266,3571,2341730.00000000,25.33784719,0
31,2019-06-23 09:00:00.000,0.00001107,0.00001137,0.00001045,0.00001074,1522194.00000000,2019-06-24 08:59:59.999,16.72659362,1717,676584.00000000,7.44856653,0
32,2019-06-24 09:00:00.000,0.00001073,0.00001093,0.00001054,0.00001060,1669590.00000000,2019-06-25 08:59:59.999,17.89039201,1306,760572.00000000,8.16956490,0
33,2019-06-25 09:00:00.000,0.00001060,0.00001062,0.00000983,0.00000987,2042079.00000000,2019-06-26 08:59:59.999,20.83908363,1737,892686.00000000,9.11121610,0
34,2019-06-26 09:00:00.000,0.00000989,0.00001017,0.00000832,0.00000871,5220376.00000000,2019-06-27 08:59:59.999,47.89099230,4847,2173124.00000000,19.98406607,0
35,2019-06-27 09:00:00.000,0.00000870,0.00000928,0.00000844,0.00000894,4824305.00000000,2019-06-28 08:59:59.999,42.72474504,4168,2193252.00000000,19.43582367,0
36,2019-06-28 09:00:00.000,0.00000895,0.00000957,0.00000840,0.00000849,6838810.00000000,2019-06-29 08:59:59.999,61.16926375,5190,3058857.00000000,27.33383585,0
37,2019-06-29 09:00:00.000,0.00000848,0.00000922,0.00000844,0.00000896,3684521.00000000,2019-06-30 08:59:59.999,32.55237934,2853,1805177.00000000,15.98084900,0
38,2019-06-30 09:00:00.000,0.00000893,0.00000960,0.00000867,0.00000946,4726032.00000000,2019-07-01 08:59:59.999,42.96889168,2808,2041731.00000000,18.63495802,0
39,2019-07-01 09:00:00.000,0.00000947,0.00001039,0.00000936,0.00001007,5823283.00000000,2019-07-02 08:59:59.999,57.04430385,3681,2945250.00000000,28.93635921,0
40,2019-07-02 09:00:00.000,0.00001008,0.00001083,0.00000951,0.00000979,6542844.00000000,2019-07-03 08:59:59.999,67.53199247,5068,2798382.00000000,29.00788024,0
41,2019-07-03 09:00:00.000,0.00000976,0.00001497,0.00000903,0.00000950,31877805.00000000,2019-07-04 08:59:59.999,357.70429205,17005,14905989.00000000,167.62228618,0
42,2019-07-04 09:00:00.000,0.00000946,0.00000964,0.00000917,0.00000947,6789712.00000000,2019-07-05 08:59:59.999,63.71964193,3754,3558658.00000000,33.44857915,0
43,2019-07-05 09:00:00.000,0.00000949,0.00000972,0.00000921,0.00000963,3157611.00000000,2019-07-06 08:59:59.999,29.67058258,2224,1629974.00000000,15.34423445,0
44,2019-07-06 09:00:00.000,0.00000961,0.00000981,0.00000921,0.00000952,2857536.00000000,2019-07-07 08:59:59.999,27.11966954,1977,1269283.00000000,12.08985072,0
45,2019-07-07 09:00:00.000,0.00000952,0.00000964,0.00000931,0.00000953,1681616.00000000,2019-07-08 08:59:59.999,15.95189757,1495,730755.00000000,6.94031151,0
46,2019-07-08 09:00:00.000,0.00000954,0.00000955,0.00000860,0.00000870,2295325.00000000,2019-07-09 08:59:59.999,20.81747577,1806,992834.00000000,9.03817032,0
47,2019-07-09 09:00:00.000,0.00000870,0.00000878,0.00000814,0.00000822,3365837.00000000,2019-07-10 08:59:59.999,28.02650402,1858,1689244.00000000,14.07577203,0
48,2019-07-10 09:00:00.000,0.00000817,0.00000817,0.00000747,0.00000766,3078500.00000000,2019-07-11 08:59:59.999,23.90325244,2083,1250490.00000000,9.70453435,0
49,2019-07-11 09:00:00.000,0.00000764,0.00000773,0.00000711,0.00000726,3164552.00000000,2019-07-12 08:59:59.999,23.18660007,2714,1599119.00000000,11.71859028,0
50,2019-07-12 09:00:00.000,0.00000732,0.00000753,0.00000720,0.00000743,2090163.00000000,2019-07-13 08:59:59.999,15.41332033,2016,1081907.00000000,7.98887347,0
51,2019-07-13 09:00:00.000,0.00000744,0.00000767,0.00000732,0.00000736,1704201.00000000,2019-07-14 08:59:59.999,12.77294268,1474,675330.00000000,5.06941506,0
52,2019-07-14 09:00:00.000,0.00000738,0.00000763,0.00000713,0.00000730,1983920.00000000,2019-07-15 08:59:59.999,14.50762235,1881,900854.00000000,6.60966573,0
53,2019-07-15 09:00:00.000,0.00000724,0.00000730,0.00000679,0.00000690,2331392.00000000,2019-07-16 08:59:59.999,16.42600601,2161,941318.00000000,6.64120564,0
54,2019-07-16 09:00:00.000,0.00000693,0.00000762,0.00000685,0.00000698,5725348.00000000,2019-07-17 08:59:59.999,41.41449935,4538,3284186.00000000,23.95094546,0
55,2019-07-17 09:00:00.000,0.00000699,0.00000724,0.00000665,0.00000701,3750010.00000000,2019-07-18 08:59:59.999,25.89255999,2876,1900761.00000000,13.15596555,0
56,2019-07-18 09:00:00.000,0.00000700,0.00000783,0.00000667,0.00000675,5135790.00000000,2019-07-19 08:59:59.999,37.01640211,3692,2487924.00000000,17.89883671,0
57,2019-07-19 09:00:00.000,0.00000675,0.00000771,0.00000673,0.00000741,7803695.00000000,2019-07-20 08:59:59.999,57.53856394,5576,4789825.00000000,35.43555751,0
