,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00013650,0.00014350,0.00013110,0.00013330,781432.08000000,2019-05-24 08:59:59.999,107.19506456,6247,378027.38000000,51.84688826,0
1,2019-05-24 09:00:00.000,0.00013400,0.00013920,0.00012720,0.00013080,862682.52000000,2019-05-25 08:59:59.999,115.15179883,6004,401187.63000000,53.47940016,0
2,2019-05-25 09:00:00.000,0.00013080,0.00013190,0.00012320,0.00012630,431578.15000000,2019-05-26 08:59:59.999,54.54672379,3082,183400.12000000,23.21098776,0
3,2019-05-26 09:00:00.000,0.00012620,0.00012950,0.00011180,0.00011290,640574.86000000,2019-05-27 08:59:59.999,78.25714349,3825,252665.66000000,30.88554706,0
4,2019-05-27 09:00:00.000,0.00011290,0.00011720,0.00011070,0.00011610,405263.23000000,2019-05-28 08:59:59.999,46.13907632,3363,201521.08000000,23.00177213,0
5,2019-05-28 09:00:00.000,0.00011550,0.00012210,0.00011240,0.00011520,518659.08000000,2019-05-29 08:59:59.999,60.03336263,4218,223103.93000000,25.86624553,0
6,2019-05-29 09:00:00.000,0.00011470,0.00012430,0.00011310,0.00012190,758326.22000000,2019-05-30 08:59:59.999,90.08932083,5689,345947.39000000,41.08387236,0
7,2019-05-30 09:00:00.000,0.00012200,0.00012330,0.00011240,0.00011740,620894.55000000,2019-05-31 08:59:59.999,73.77796305,4223,270591.05000000,32.03889087,0
8,2019-05-31 09:00:00.000,0.00011750,0.00013110,0.00011410,0.00011670,955861.76000000,2019-06-01 08:59:59.999,114.19479928,7430,461662.99000000,55.42765586,0
9,2019-06-01 09:00:00.000,0.00011670,0.00011810,0.00011000,0.00011250,350471.04000000,2019-06-02 08:59:59.999,40.05140816,2653,154724.49000000,17.77102111,0
10,2019-06-02 09:00:00.000,0.00011260,0.00011430,0.00011080,0.00011310,318178.81000000,2019-06-03 08:59:59.999,35.84192278,2222,126942.19000000,14.33589389,0
11,2019-06-03 09:00:00.000,0.00011310,0.00012350,0.00011190,0.00011360,697436.78000000,2019-06-04 08:59:59.999,81.86170437,5869,321463.49000000,37.85980576,0
12,2019-06-04 09:00:00.000,0.00011310,0.00012350,0.00011200,0.00012200,528098.62000000,2019-06-05 08:59:59.999,61.76773388,4533,274020.43000000,32.14213080,0
13,2019-06-05 09:00:00.000,0.00012160,0.00012490,0.00011630,0.00011710,474242.72000000,2019-06-06 08:59:59.999,57.06433267,4172,188228.14000000,22.74336180,0
14,2019-06-06 09:00:00.000,0.00011730,0.00012330,0.00011730,0.00011870,380208.94000000,2019-06-07 08:59:59.999,45.43406579,2728,144326.91000000,17.29110474,0
15,2019-06-07 09:00:00.000,0.00011900,0.00012730,0.00011690,0.00012240,401177.58000000,2019-06-08 08:59:59.999,48.98958619,3310,194961.85000000,23.79883809,0
16,2019-06-08 09:00:00.000,0.00012270,0.00014370,0.00012190,0.00014100,903450.85000000,2019-06-09 08:59:59.999,119.91563394,7701,470634.57000000,62.57944089,0
17,2019-06-09 09:00:00.000,0.00014140,0.00014430,0.00012760,0.00013000,1112880.44000000,2019-06-10 08:59:59.999,149.80998598,9492,475827.20000000,64.28582820,0
18,2019-06-10 09:00:00.000,0.00013050,0.00015620,0.00012960,0.00014230,2120564.81000000,2019-06-11 08:59:59.999,309.78855689,16529,1058275.76000000,154.82741072,0
19,2019-06-11 09:00:00.000,0.00014290,0.00016160,0.00013940,0.00014810,1575094.83000000,2019-06-12 08:59:59.999,239.35566286,14736,790982.42000000,120.34408424,0
20,2019-06-12 09:00:00.000,0.00014770,0.00015000,0.00013870,0.00014320,835876.31000000,2019-06-13 08:59:59.999,119.91172447,8071,351186.83000000,50.44989943,0
21,2019-06-13 09:00:00.000,0.00014420,0.00015500,0.00013310,0.00013450,737524.46000000,2019-06-14 08:59:59.999,106.41756716,7314,318467.72000000,46.25628543,0
22,2019-06-14 09:00:00.000,0.00013390,0.00013630,0.00011480,0.00011610,810344.59000000,2019-06-15 08:59:59.999,100.53532354,6172,341911.84000000,42.50470269,0
23,2019-06-15 09:00:00.000,0.00011580,0.00012100,0.00011100,0.00011370,820421.24000000,2019-06-16 08:59:59.999,94.47447260,5728,352213.89000000,40.69202143,0
24,2019-06-16 09:00:00.000,0.00011370,0.00011420,0.00010260,0.00010760,563981.28000000,2019-06-17 08:59:59.999,60.80215524,4975,259721.81000000,28.00357754,0
25,2019-06-17 09:00:00.000,0.00010800,0.00011800,0.00010160,0.00010210,678823.16000000,2019-06-18 08:59:59.999,73.71482666,4900,263724.68000000,28.67159346,0
26,2019-06-18 09:00:00.000,0.00010240,0.00010790,0.00010190,0.00010710,477639.67000000,2019-06-19 08:59:59.999,49.62279759,3113,294707.95000000,30.64082529,0
27,2019-06-19 09:00:00.000,0.00010700,0.00011650,0.00010320,0.00010440,424093.83000000,2019-06-20 08:59:59.999,46.16017893,3704,186484.42000000,20.37405612,0
28,2019-06-20 09:00:00.000,0.00010430,0.00010570,0.00009490,0.00009740,488583.35000000,2019-06-21 08:59:59.999,48.79796517,2990,199875.07000000,20.01890721,0
29,2019-06-21 09:00:00.000,0.00009770,0.00009810,0.00008740,0.00008770,406368.76000000,2019-06-22 08:59:59.999,37.65934875,2767,193253.98000000,17.87965295,0
30,2019-06-22 09:00:00.000,0.00008790,0.00008910,0.00007790,0.00008050,718255.27000000,2019-06-23 08:59:59.999,58.34961347,3636,337739.55000000,27.33424358,0
31,2019-06-23 09:00:00.000,0.00008100,0.00010510,0.00007810,0.00008340,1908213.30000000,2019-06-24 08:59:59.999,171.26690970,10534,865290.79000000,77.80051154,0
32,2019-06-24 09:00:00.000,0.00008360,0.00009440,0.00008250,0.00008310,838441.27000000,2019-06-25 08:59:59.999,73.13897460,5425,345432.48000000,30.17307403,0
33,2019-06-25 09:00:00.000,0.00008310,0.00008330,0.00007430,0.00007510,615395.75000000,2019-06-26 08:59:59.999,48.82207808,3731,238206.88000000,18.96958991,0
34,2019-06-26 09:00:00.000,0.00007520,0.00008240,0.00005800,0.00006120,1322783.40000000,2019-06-27 08:59:59.999,88.29440646,7682,609854.76000000,40.70293993,0
35,2019-06-27 09:00:00.000,0.00006140,0.00006750,0.00005900,0.00006210,2106682.14000000,2019-06-28 08:59:59.999,134.33823652,6011,1055420.68000000,67.21686313,0
36,2019-06-28 09:00:00.000,0.00006170,0.00006440,0.00005480,0.00005540,1332256.84000000,2019-06-29 08:59:59.999,79.06224845,5390,636842.91000000,37.89129856,0
37,2019-06-29 09:00:00.000,0.00005540,0.00005870,0.00005450,0.00005720,1136626.28000000,2019-06-30 08:59:59.999,64.39902860,4691,545735.57000000,30.99062578,0
38,2019-06-30 09:00:00.000,0.00005710,0.00005830,0.00005530,0.00005730,846863.38000000,2019-07-01 08:59:59.999,48.08301611,3172,432721.43000000,24.61542033,0
39,2019-07-01 09:00:00.000,0.00005730,0.00006380,0.00005680,0.00006190,1091547.93000000,2019-07-02 08:59:59.999,66.52147335,3956,571711.44000000,34.82189701,0
40,2019-07-02 09:00:00.000,0.00006190,0.00006360,0.00005710,0.00005920,1029442.14000000,2019-07-03 08:59:59.999,62.42690688,3909,388253.09000000,23.64225170,0
41,2019-07-03 09:00:00.000,0.00005880,0.00006360,0.00005240,0.00005330,1758853.91000000,2019-07-04 08:59:59.999,99.29318864,7166,771495.35000000,43.68616724,0
42,2019-07-04 09:00:00.000,0.00005340,0.00005930,0.00005210,0.00005660,641621.15000000,2019-07-05 08:59:59.999,34.90637721,2601,265523.20000000,14.44745197,0
43,2019-07-05 09:00:00.000,0.00005660,0.00005790,0.00005440,0.00005600,421334.89000000,2019-07-06 08:59:59.999,23.61310634,1799,185704.55000000,10.40797755,0
44,2019-07-06 09:00:00.000,0.00005570,0.00007910,0.00005460,0.00007610,6982604.43000000,2019-07-07 08:59:59.999,497.55659501,32495,3431297.02000000,245.17596952,0
45,2019-07-07 09:00:00.000,0.00007610,0.00010900,0.00007260,0.00008840,10967286.50000000,2019-07-08 08:59:59.999,1012.87832799,49254,5421301.03000000,499.12241957,0
46,2019-07-08 09:00:00.000,0.00008840,0.00009400,0.00006680,0.00006830,4348838.93000000,2019-07-09 08:59:59.999,338.30747768,18427,1794702.94000000,139.52365204,0
47,2019-07-09 09:00:00.000,0.00006830,0.00007260,0.00006130,0.00006490,2745038.40000000,2019-07-10 08:59:59.999,181.05461282,10525,1241477.90000000,82.24827122,0
48,2019-07-10 09:00:00.000,0.00006470,0.00006840,0.00005800,0.00006250,1636786.07000000,2019-07-11 08:59:59.999,101.62235267,7487,759682.55000000,47.30666970,0
49,2019-07-11 09:00:00.000,0.00006250,0.00006360,0.00005530,0.00005820,1039781.70000000,2019-07-12 08:59:59.999,61.07207304,5281,462740.10000000,27.19129943,0
50,2019-07-12 09:00:00.000,0.00005840,0.00007400,0.00005590,0.00006890,2630251.35000000,2019-07-13 08:59:59.999,176.03718977,14902,1189927.93000000,79.83830393,0
51,2019-07-13 09:00:00.000,0.00006900,0.00007560,0.00006710,0.00006780,1739631.09000000,2019-07-14 08:59:59.999,123.48426840,11662,851205.27000000,60.55758031,0
52,2019-07-14 09:00:00.000,0.00006780,0.00006830,0.00006170,0.00006210,661269.36000000,2019-07-15 08:59:59.999,43.38586330,4331,241770.81000000,15.89103622,0
53,2019-07-15 09:00:00.000,0.00006220,0.00006690,0.00005960,0.00006110,721363.77000000,2019-07-16 08:59:59.999,44.97299406,5251,305482.62000000,18.97500366,0
54,2019-07-16 09:00:00.000,0.00006110,0.00006700,0.00006040,0.00006540,731082.99000000,2019-07-17 08:59:59.999,46.19949214,5108,381003.39000000,24.08045125,0
55,2019-07-17 09:00:00.000,0.00006540,0.00006890,0.00006260,0.00006660,710369.76000000,2019-07-18 08:59:59.999,46.74223740,5338,321442.83000000,21.19755446,0
56,2019-07-18 09:00:00.000,0.00006670,0.00006990,0.00006080,0.00006240,640809.78000000,2019-07-19 08:59:59.999,41.51267816,4326,297463.19000000,19.24657578,0
57,2019-07-19 09:00:00.000,0.00006210,0.00007460,0.00006160,0.00007190,997603.64000000,2019-07-20 08:59:59.999,68.26368454,7203,526694.11000000,36.09722890,0
58,2019-07-20 09:00:00.000,0.00007180,0.00007360,0.00006710,0.00006810,761880.78000000,2019-07-21 08:59:59.999,53.57402764,5295,305199.96000000,21.51078002,0
59,2019-07-21 09:00:00.000,0.00006830,0.00006960,0.00006660,0.00006760,234099.90000000,2019-07-22 08:59:59.999,15.89373853,1901,118010.06000000,8.02120859,0
60,2019-07-22 09:00:00.000,0.00006720,0.00006850,0.00006510,0.00006690,385858.40000000,2019-07-23 08:59:59.999,25.68419882,2406,156360.53000000,10.42445357,0
61,2019-07-23 09:00:00.000,0.00006660,0.00006810,0.00006470,0.00006600,463553.73000000,2019-07-24 08:59:59.999,30.81949758,2292,205516.25000000,13.71194266,0
62,2019-07-24 09:00:00.000,0.00006620,0.00007100,0.00006580,0.00007070,403636.21000000,2019-07-25 08:59:59.999,27.73253234,2106,231911.59000000,15.91309917,0
63,2019-07-25 09:00:00.000,0.00007070,0.00007570,0.00006990,0.00007220,840384.68000000,2019-07-26 08:59:59.999,61.36547198,6166,442631.48000000,32.28309060,0
64,2019-07-26 09:00:00.000,0.00007220,0.00007560,0.00007010,0.00007480,438378.01000000,2019-07-27 08:59:59.999,32.09713837,2539,201860.86000000,14.76995286,0
65,2019-07-27 09:00:00.000,0.00007480,0.00007540,0.00007140,0.00007300,316322.14000000,2019-07-28 08:59:59.999,23.13450777,2338,158902.23000000,11.65626298,0
66,2019-07-28 09:00:00.000,0.00007330,0.00008490,0.00007280,0.00007970,1707433.41000000,2019-07-29 08:59:59.999,137.13533051,10917,846633.17000000,68.22167055,0
67,2019-07-29 09:00:00.000,0.00007960,0.00008390,0.00007540,0.00007720,523726.27000000,2019-07-30 08:59:59.999,41.50482316,4442,244639.99000000,19.45006827,0
68,2019-07-30 09:00:00.000,0.00007730,0.00009190,0.00007710,0.00009030,1515347.40000000,2019-07-31 08:59:59.999,129.56871442,12935,760243.20000000,64.94626667,0
69,2019-07-31 09:00:00.000,0.00009030,0.00009240,0.00007630,0.00007780,592434.34000000,2019-08-01 08:59:59.999,49.86182469,4845,223944.07000000,18.92213896,0
70,2019-08-01 09:00:00.000,0.00007770,0.00008250,0.00006810,0.00006930,568051.40000000,2019-08-02 08:59:59.999,42.31945321,4680,274128.69000000,20.48484148,0
71,2019-08-02 09:00:00.000,0.00006920,0.00007130,0.00006720,0.00006870,281499.43000000,2019-08-03 08:59:59.999,19.47663013,2049,147320.99000000,10.21859212,0
72,2019-08-03 09:00:00.000,0.00006870,0.00006920,0.00006370,0.00006390,254704.02000000,2019-08-04 08:59:59.999,16.80638710,1484,82910.51000000,5.47355588,0
73,2019-08-04 09:00:00.000,0.00006390,0.00007270,0.00006290,0.00006890,424447.02000000,2019-08-05 08:59:59.999,28.88555528,2979,190570.69000000,12.87696004,0
74,2019-08-05 09:00:00.000,0.00006890,0.00006930,0.00005680,0.00005830,758189.37000000,2019-08-06 08:59:59.999,46.85012062,4858,328490.33000000,20.17133515,0
75,2019-08-06 09:00:00.000,0.00005830,0.00006050,0.00005530,0.00005630,395287.93000000,2019-08-07 08:59:59.999,22.63542198,2231,189354.91000000,10.86807998,0
76,2019-08-07 09:00:00.000,0.00005630,0.00006500,0.00005470,0.00005940,701567.82000000,2019-08-08 08:59:59.999,41.63057282,4855,319574.15000000,18.91716606,0
77,2019-08-08 09:00:00.000,0.00005940,0.00006200,0.00005510,0.00005560,427363.99000000,2019-08-09 08:59:59.999,25.12150707,2676,167141.37000000,9.85288799,0
78,2019-08-09 09:00:00.000,0.00005560,0.00005780,0.00005300,0.00005460,461778.29000000,2019-08-10 08:59:59.999,25.25782777,2968,218570.54000000,11.99680602,0
79,2019-08-10 09:00:00.000,0.00005460,0.00005950,0.00005320,0.00005750,442925.32000000,2019-08-11 08:59:59.999,24.64881314,2801,246471.13000000,13.82081884,0
80,2019-08-11 09:00:00.000,0.00005770,0.00005940,0.00005500,0.00005660,308644.39000000,2019-08-12 08:59:59.999,17.72813109,2022,125034.59000000,7.21831658,0
81,2019-08-12 09:00:00.000,0.00005650,0.00006130,0.00005450,0.00005570,724673.77000000,2019-08-13 08:59:59.999,41.65881700,3484,293159.06000000,16.96076854,0
82,2019-08-13 09:00:00.000,0.00005570,0.00005640,0.00005420,0.00005600,438403.61000000,2019-08-14 08:59:59.999,24.27568055,2096,204938.17000000,11.36130367,0
83,2019-08-14 09:00:00.000,0.00005590,0.00005750,0.00005310,0.00005360,456700.97000000,2019-08-15 08:59:59.999,25.42350178,2599,229089.09000000,12.78755569,0
84,2019-08-15 09:00:00.000,0.00005380,0.00005470,0.00005240,0.00005350,209632.74000000,2019-08-16 08:59:59.999,11.20841701,1355,85837.42000000,4.60002618,0
85,2019-08-16 09:00:00.000,0.00005350,0.00005620,0.00005290,0.00005430,247029.17000000,2019-08-17 08:59:59.999,13.50101852,1390,141402.82000000,7.73318271,0
86,2019-08-17 09:00:00.000,0.00005430,0.00005800,0.00005390,0.00005570,298459.47000000,2019-08-18 08:59:59.999,16.65943620,1560,116572.39000000,6.50664875,0
87,2019-08-18 09:00:00.000,0.00005570,0.00005780,0.00005560,0.00005650,168704.05000000,2019-08-19 08:59:59.999,9.56938304,1248,88017.84000000,4.99647470,0
88,2019-08-19 09:00:00.000,0.00005650,0.00005690,0.00005390,0.00005400,185606.20000000,2019-08-20 08:59:59.999,10.22642149,1077,79666.01000000,4.41588606,0
89,2019-08-20 09:00:00.000,0.00005390,0.00005450,0.00005160,0.00005220,242863.43000000,2019-08-21 08:59:59.999,12.86203105,1099,87232.50000000,4.63791612,0
90,2019-08-21 09:00:00.000,0.00005200,0.00005590,0.00005200,0.00005460,340488.46000000,2019-08-22 08:59:59.999,18.28186156,1654,174922.79000000,9.40838284,0
91,2019-08-22 09:00:00.000,0.00005450,0.00006000,0.00005430,0.00005790,501071.77000000,2019-08-23 08:59:59.999,28.70394957,2465,253986.16000000,14.57736432,0
92,2019-08-23 09:00:00.000,0.00005800,0.00006030,0.00005490,0.00005590,299693.94000000,2019-08-24 08:59:59.999,17.01885400,1828,132056.37000000,7.51185137,0
93,2019-08-24 09:00:00.000,0.00005590,0.00006000,0.00005560,0.00005800,523091.23000000,2019-08-25 08:59:59.999,30.63626468,2616,232941.98000000,13.67933295,0
94,2019-08-25 09:00:00.000,0.00005810,0.00005990,0.00005500,0.00005540,396923.56000000,2019-08-26 08:59:59.999,22.70903707,1855,166556.39000000,9.55196212,0
95,2019-08-26 09:00:00.000,0.00005540,0.00005640,0.00005280,0.00005420,273188.60000000,2019-08-27 08:59:59.999,14.94985985,1427,101761.29000000,5.57561679,0
96,2019-08-27 09:00:00.000,0.00005420,0.00005480,0.00005280,0.00005420,195773.37000000,2019-08-28 08:59:59.999,10.53900156,1003,84763.00000000,4.57529627,0
97,2019-08-28 09:00:00.000,0.00005430,0.00005440,0.00005080,0.00005150,306343.36000000,2019-08-29 08:59:59.999,16.07097462,1488,117912.57000000,6.20798293,0
98,2019-08-29 09:00:00.000,0.00005150,0.00005210,0.00005090,0.00005170,143526.48000000,2019-08-30 08:59:59.999,7.37764425,768,57962.85000000,2.98302473,0
99,2019-08-30 09:00:00.000,0.00005170,0.00005450,0.00005090,0.00005110,195093.96000000,2019-08-31 08:59:59.999,10.21280364,1049,77668.63000000,4.09434406,0
100,2019-08-31 09:00:00.000,0.00005090,0.00005340,0.00005080,0.00005230,189769.47000000,2019-09-01 08:59:59.999,9.84160286,750,101399.56000000,5.25744344,0
101,2019-09-01 09:00:00.000,0.00005210,0.00005400,0.00005040,0.00005060,200351.79000000,2019-09-02 08:59:59.999,10.41197177,1012,95181.91000000,4.96480551,0
102,2019-09-02 09:00:00.000,0.00005050,0.00005090,0.00004470,0.00004510,596214.41000000,2019-09-03 08:59:59.999,28.55401947,2263,182179.05000000,8.71058666,0
103,2019-09-03 09:00:00.000,0.00004530,0.00004540,0.00004150,0.00004250,293043.06000000,2019-09-04 08:59:59.999,12.64468419,1387,158819.26000000,6.84895017,0
104,2019-09-04 09:00:00.000,0.00004220,0.00004290,0.00003670,0.00003810,1299734.50000000,2019-09-05 08:59:59.999,51.28795064,3860,514532.64000000,20.16371334,0
105,2019-09-05 09:00:00.000,0.00003810,0.00004000,0.00003730,0.00003900,487046.66000000,2019-09-06 08:59:59.999,18.73465871,1829,282763.21000000,10.90021187,0
106,2019-09-06 09:00:00.000,0.00003920,0.00004160,0.00003440,0.00003590,1338810.29000000,2019-09-07 08:59:59.999,49.04305159,3899,475490.79000000,17.47458457,0
107,2019-09-07 09:00:00.000,0.00003600,0.00003640,0.00003420,0.00003520,1405785.35000000,2019-09-08 08:59:59.999,49.23418069,3081,495989.64000000,17.46065730,0
108,2019-09-08 09:00:00.000,0.00003520,0.00003550,0.00003270,0.00003470,1873109.27000000,2019-09-09 08:59:59.999,63.42374911,3835,913121.58000000,31.02146555,0
109,2019-09-09 09:00:00.000,0.00003470,0.00004050,0.00003390,0.00003830,1856615.37000000,2019-09-10 08:59:59.999,68.90919644,6218,984745.40000000,36.64289098,0
110,2019-09-10 09:00:00.000,0.00003830,0.00004140,0.00003580,0.00003700,1354267.52000000,2019-09-11 08:59:59.999,50.78176389,4216,663152.90000000,24.85900277,0
111,2019-09-11 09:00:00.000,0.00003700,0.00004430,0.00003670,0.00004400,1620357.39000000,2019-09-12 08:59:59.999,66.72641829,6294,799239.88000000,32.93615176,0
