,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000335,0.00000372,0.00000330,0.00000352,289364165.00000000,2019-05-24 08:59:59.999,1021.70284515,26345,128016155.00000000,452.63209642,0
1,2019-05-24 09:00:00.000,0.00000352,0.00000356,0.00000312,0.00000331,239833397.00000000,2019-05-25 08:59:59.999,803.23409072,21317,117111043.00000000,392.32571044,0
2,2019-05-25 09:00:00.000,0.00000331,0.00000348,0.00000326,0.00000347,89592676.00000000,2019-05-26 08:59:59.999,300.92323539,9507,44554917.00000000,149.93643621,0
3,2019-05-26 09:00:00.000,0.00000347,0.00000350,0.00000288,0.00000300,170773687.00000000,2019-05-27 08:59:59.999,548.49891532,16340,75534445.00000000,242.49072396,0
4,2019-05-27 09:00:00.000,0.00000299,0.00000314,0.00000290,0.00000299,95697884.00000000,2019-05-28 08:59:59.999,286.57933814,10736,47689593.00000000,143.04423864,0
5,2019-05-28 09:00:00.000,0.00000299,0.00000324,0.00000294,0.00000311,128201114.00000000,2019-05-29 08:59:59.999,392.73906161,12217,59301703.00000000,182.25835256,0
6,2019-05-29 09:00:00.000,0.00000311,0.00000317,0.00000300,0.00000309,80128875.00000000,2019-05-30 08:59:59.999,246.33321893,7677,39840742.00000000,122.71953717,0
7,2019-05-30 09:00:00.000,0.00000308,0.00000322,0.00000279,0.00000288,174761073.00000000,2019-05-31 08:59:59.999,529.85614723,16071,73656308.00000000,223.71449177,0
8,2019-05-31 09:00:00.000,0.00000288,0.00000308,0.00000272,0.00000285,172392653.00000000,2019-06-01 08:59:59.999,490.76711341,17069,70770070.00000000,202.44145549,0
9,2019-06-01 09:00:00.000,0.00000285,0.00000294,0.00000251,0.00000272,361602499.00000000,2019-06-02 08:59:59.999,976.67256253,29277,177035302.00000000,479.43365843,0
10,2019-06-02 09:00:00.000,0.00000272,0.00000281,0.00000263,0.00000277,126243309.00000000,2019-06-03 08:59:59.999,344.77677075,10721,54207614.00000000,148.23658999,0
11,2019-06-03 09:00:00.000,0.00000277,0.00000283,0.00000266,0.00000272,146724610.00000000,2019-06-04 08:59:59.999,400.91757151,11276,68146750.00000000,186.53053862,0
12,2019-06-04 09:00:00.000,0.00000272,0.00000284,0.00000259,0.00000282,193013905.00000000,2019-06-05 08:59:59.999,527.57721882,23397,91359093.00000000,250.25059176,0
13,2019-06-05 09:00:00.000,0.00000282,0.00000308,0.00000272,0.00000293,289946868.00000000,2019-06-06 08:59:59.999,837.22933216,24511,126507050.00000000,365.68789328,0
14,2019-06-06 09:00:00.000,0.00000292,0.00000338,0.00000287,0.00000323,459249948.00000000,2019-06-07 08:59:59.999,1432.93453699,34768,198508537.00000000,621.12830751,0
15,2019-06-07 09:00:00.000,0.00000323,0.00000344,0.00000311,0.00000326,455883589.00000000,2019-06-08 08:59:59.999,1485.59470827,31197,182475363.00000000,596.03909280,0
16,2019-06-08 09:00:00.000,0.00000326,0.00000334,0.00000302,0.00000313,267908179.00000000,2019-06-09 08:59:59.999,852.36971916,19306,108343001.00000000,344.70411019,0
17,2019-06-09 09:00:00.000,0.00000313,0.00000313,0.00000284,0.00000292,204981299.00000000,2019-06-10 08:59:59.999,611.69737810,17660,86991134.00000000,259.68713045,0
18,2019-06-10 09:00:00.000,0.00000292,0.00000303,0.00000288,0.00000299,143757685.00000000,2019-06-11 08:59:59.999,424.80728274,11436,69857159.00000000,206.72191325,0
19,2019-06-11 09:00:00.000,0.00000299,0.00000316,0.00000291,0.00000312,189774809.00000000,2019-06-12 08:59:59.999,578.25350189,15039,85100274.00000000,259.43956302,0
20,2019-06-12 09:00:00.000,0.00000312,0.00000317,0.00000286,0.00000295,174795803.00000000,2019-06-13 08:59:59.999,524.43407195,15008,76097396.00000000,228.27967750,0
21,2019-06-13 09:00:00.000,0.00000295,0.00000298,0.00000281,0.00000284,101415826.00000000,2019-06-14 08:59:59.999,294.05949913,8645,42822066.00000000,124.34968307,0
22,2019-06-14 09:00:00.000,0.00000284,0.00000300,0.00000261,0.00000271,155466895.00000000,2019-06-15 08:59:59.999,435.53867993,15474,82379546.00000000,231.41998730,0
23,2019-06-15 09:00:00.000,0.00000270,0.00000274,0.00000261,0.00000269,64699169.00000000,2019-06-16 08:59:59.999,173.19427840,6211,25967454.00000000,69.55230529,0
24,2019-06-16 09:00:00.000,0.00000269,0.00000270,0.00000243,0.00000262,97253259.00000000,2019-06-17 08:59:59.999,248.24639702,10108,42836432.00000000,109.51176476,0
25,2019-06-17 09:00:00.000,0.00000262,0.00000262,0.00000232,0.00000236,191239252.00000000,2019-06-18 08:59:59.999,467.45927820,14644,101449922.00000000,248.04234553,0
26,2019-06-18 09:00:00.000,0.00000236,0.00000244,0.00000220,0.00000232,549691940.00000000,2019-06-19 08:59:59.999,1273.68374703,26671,273818113.00000000,635.51128236,0
27,2019-06-19 09:00:00.000,0.00000232,0.00000240,0.00000225,0.00000228,198038784.00000000,2019-06-20 08:59:59.999,455.92568530,13732,84521138.00000000,195.04429263,0
28,2019-06-20 09:00:00.000,0.00000228,0.00000228,0.00000204,0.00000210,205921714.00000000,2019-06-21 08:59:59.999,448.38639123,13680,88695800.00000000,193.02315616,0
29,2019-06-21 09:00:00.000,0.00000209,0.00000210,0.00000186,0.00000187,133748050.00000000,2019-06-22 08:59:59.999,265.97107590,9227,54532743.00000000,108.31637703,0
30,2019-06-22 09:00:00.000,0.00000187,0.00000194,0.00000160,0.00000172,167210760.00000000,2019-06-23 08:59:59.999,287.10512199,10950,73427974.00000000,125.77965714,0
31,2019-06-23 09:00:00.000,0.00000172,0.00000183,0.00000160,0.00000168,126213938.00000000,2019-06-24 08:59:59.999,217.52016817,8704,62517701.00000000,107.73625489,0
32,2019-06-24 09:00:00.000,0.00000168,0.00000182,0.00000166,0.00000172,72941758.00000000,2019-06-25 08:59:59.999,125.29135819,5645,33675087.00000000,57.88812891,0
33,2019-06-25 09:00:00.000,0.00000172,0.00000173,0.00000152,0.00000155,119717203.00000000,2019-06-26 08:59:59.999,194.85569936,8176,49610678.00000000,80.95861174,0
34,2019-06-26 09:00:00.000,0.00000155,0.00000157,0.00000127,0.00000131,190536154.00000000,2019-06-27 08:59:59.999,265.43249874,11257,70510384.00000000,98.83068386,0
35,2019-06-27 09:00:00.000,0.00000132,0.00000153,0.00000128,0.00000139,131453702.00000000,2019-06-28 08:59:59.999,181.85430541,7389,53724311.00000000,74.52410138,0
36,2019-06-28 09:00:00.000,0.00000139,0.00000143,0.00000128,0.00000130,74595093.00000000,2019-06-29 08:59:59.999,101.00884949,3983,32789568.00000000,44.37295102,0
37,2019-06-29 09:00:00.000,0.00000130,0.00000155,0.00000129,0.00000148,122755642.00000000,2019-06-30 08:59:59.999,175.83979308,6962,45150601.00000000,64.54094147,0
38,2019-06-30 09:00:00.000,0.00000147,0.00000271,0.00000145,0.00000224,336685740.00000000,2019-07-01 08:59:59.999,675.86237387,17049,141448506.00000000,275.26704030,0
39,2019-07-01 09:00:00.000,0.00000223,0.00000243,0.00000190,0.00000209,636851939.00000000,2019-07-02 08:59:59.999,1339.29686583,48469,243960727.00000000,513.59473921,0
40,2019-07-02 09:00:00.000,0.00000209,0.00000215,0.00000178,0.00000195,186783310.00000000,2019-07-03 08:59:59.999,376.41305198,18252,82590382.00000000,166.68654832,0
41,2019-07-03 09:00:00.000,0.00000195,0.00000195,0.00000163,0.00000166,118903857.00000000,2019-07-04 08:59:59.999,208.66264143,9319,49119585.00000000,86.26945277,0
42,2019-07-04 09:00:00.000,0.00000165,0.00000171,0.00000157,0.00000168,69570071.00000000,2019-07-05 08:59:59.999,113.01945354,5909,34992321.00000000,56.98224917,0
43,2019-07-05 09:00:00.000,0.00000168,0.00000174,0.00000164,0.00000171,38584845.00000000,2019-07-06 08:59:59.999,64.96485168,3522,17859322.00000000,30.12657013,0
44,2019-07-06 09:00:00.000,0.00000170,0.00000176,0.00000160,0.00000171,77280210.00000000,2019-07-07 08:59:59.999,129.79257766,6972,35274418.00000000,59.48563824,0
45,2019-07-07 09:00:00.000,0.00000171,0.00000180,0.00000164,0.00000169,66845619.00000000,2019-07-08 08:59:59.999,113.47747174,6536,31150826.00000000,53.07819271,0
46,2019-07-08 09:00:00.000,0.00000170,0.00000170,0.00000144,0.00000147,83597530.00000000,2019-07-09 08:59:59.999,132.09902412,6848,37242719.00000000,58.92027700,0
47,2019-07-09 09:00:00.000,0.00000147,0.00000158,0.00000136,0.00000138,147968744.00000000,2019-07-10 08:59:59.999,211.23930348,10593,64262963.00000000,92.15430216,0
48,2019-07-10 09:00:00.000,0.00000138,0.00000143,0.00000132,0.00000136,66646482.00000000,2019-07-11 08:59:59.999,90.63835860,5148,29985239.00000000,40.92803967,0
49,2019-07-11 09:00:00.000,0.00000137,0.00000152,0.00000121,0.00000127,111877275.00000000,2019-07-12 08:59:59.999,148.86309413,7797,40153587.00000000,53.38461994,0
50,2019-07-12 09:00:00.000,0.00000127,0.00000137,0.00000125,0.00000131,45702733.00000000,2019-07-13 08:59:59.999,59.38737903,3946,19676770.00000000,25.66361495,0
51,2019-07-13 09:00:00.000,0.00000131,0.00000142,0.00000129,0.00000136,45305507.00000000,2019-07-14 08:59:59.999,62.13327306,2937,17959011.00000000,24.68016706,0
52,2019-07-14 09:00:00.000,0.00000136,0.00000139,0.00000126,0.00000129,44901292.00000000,2019-07-15 08:59:59.999,59.12078033,3368,19951421.00000000,26.32415390,0
53,2019-07-15 09:00:00.000,0.00000129,0.00000137,0.00000122,0.00000131,76742830.00000000,2019-07-16 08:59:59.999,100.72736877,7138,35721156.00000000,46.99230801,0
54,2019-07-16 09:00:00.000,0.00000132,0.00000135,0.00000129,0.00000131,35559976.00000000,2019-07-17 08:59:59.999,46.70931236,3883,13450205.00000000,17.75421428,0
55,2019-07-17 09:00:00.000,0.00000131,0.00000134,0.00000130,0.00000130,46359105.00000000,2019-07-18 08:59:59.999,60.80529872,2420,17596718.00000000,23.16578945,0
56,2019-07-18 09:00:00.000,0.00000130,0.00000134,0.00000130,0.00000132,59428671.00000000,2019-07-19 08:59:59.999,78.60535570,2947,19602923.00000000,26.00346529,0
57,2019-07-19 09:00:00.000,0.00000133,0.00000135,0.00000131,0.00000133,48195566.00000000,2019-07-20 08:59:59.999,63.93100327,2304,15896960.00000000,21.16484973,0
58,2019-07-20 09:00:00.000,0.00000133,0.00000137,0.00000132,0.00000134,85610555.00000000,2019-07-21 08:59:59.999,115.06423020,5862,35470649.00000000,47.85219839,0
59,2019-07-21 09:00:00.000,0.00000134,0.00000138,0.00000132,0.00000134,43010592.00000000,2019-07-22 08:59:59.999,57.72727871,3003,19289755.00000000,26.03001668,0
60,2019-07-22 09:00:00.000,0.00000134,0.00000142,0.00000134,0.00000142,91426014.00000000,2019-07-23 08:59:59.999,125.66717538,8154,43570821.00000000,60.10063293,0
61,2019-07-23 09:00:00.000,0.00000141,0.00000150,0.00000139,0.00000143,91343208.00000000,2019-07-24 08:59:59.999,129.95914876,4885,33439464.00000000,47.99280570,0
62,2019-07-24 09:00:00.000,0.00000143,0.00000146,0.00000140,0.00000141,65790524.00000000,2019-07-25 08:59:59.999,92.75560013,3857,18401278.00000000,26.05601838,0
63,2019-07-25 09:00:00.000,0.00000141,0.00000146,0.00000139,0.00000143,38120624.00000000,2019-07-26 08:59:59.999,53.94040916,2223,11874129.00000000,16.90387941,0
64,2019-07-26 09:00:00.000,0.00000143,0.00000155,0.00000143,0.00000148,85186861.00000000,2019-07-27 08:59:59.999,125.83773271,5040,46638663.00000000,69.07219541,0
65,2019-07-27 09:00:00.000,0.00000148,0.00000149,0.00000145,0.00000146,35534974.00000000,2019-07-28 08:59:59.999,51.83360832,1626,8536285.00000000,12.53905230,0
66,2019-07-28 09:00:00.000,0.00000146,0.00000148,0.00000145,0.00000146,23225440.00000000,2019-07-29 08:59:59.999,33.88562560,1065,6639047.00000000,9.73262669,0
67,2019-07-29 09:00:00.000,0.00000145,0.00000150,0.00000145,0.00000149,35894867.00000000,2019-07-30 08:59:59.999,52.74874202,2029,10740877.00000000,15.89610847,0
68,2019-07-30 09:00:00.000,0.00000148,0.00000154,0.00000145,0.00000149,32523324.00000000,2019-07-31 08:59:59.999,48.13885058,2078,12827623.00000000,19.11101848,0
69,2019-07-31 09:00:00.000,0.00000149,0.00000155,0.00000142,0.00000149,86855440.00000000,2019-08-01 08:59:59.999,129.53890554,5129,35982532.00000000,54.01986438,0
70,2019-08-01 09:00:00.000,0.00000149,0.00000154,0.00000148,0.00000152,51039236.00000000,2019-08-02 08:59:59.999,76.34522428,3017,19616069.00000000,29.53777463,0
71,2019-08-02 09:00:00.000,0.00000153,0.00000164,0.00000145,0.00000150,103862213.00000000,2019-08-03 08:59:59.999,160.59597131,7184,38405629.00000000,59.77782546,0
72,2019-08-03 09:00:00.000,0.00000150,0.00000155,0.00000148,0.00000150,27382772.00000000,2019-08-04 08:59:59.999,41.37288249,1705,9685428.00000000,14.71434761,0
73,2019-08-04 09:00:00.000,0.00000149,0.00000163,0.00000148,0.00000153,54048210.00000000,2019-08-05 08:59:59.999,83.39939458,4453,25325781.00000000,39.22775361,0
74,2019-08-05 09:00:00.000,0.00000153,0.00000155,0.00000142,0.00000149,71291056.00000000,2019-08-06 08:59:59.999,106.40150293,3575,21124830.00000000,31.69693883,0
75,2019-08-06 09:00:00.000,0.00000149,0.00000159,0.00000148,0.00000153,129784184.00000000,2019-08-07 08:59:59.999,196.74942416,7030,58269925.00000000,88.97728054,0
76,2019-08-07 09:00:00.000,0.00000152,0.00000178,0.00000143,0.00000148,512271952.00000000,2019-08-08 08:59:59.999,818.09924606,20905,257644592.00000000,415.56070797,0
77,2019-08-08 09:00:00.000,0.00000148,0.00000163,0.00000146,0.00000150,124781674.00000000,2019-08-09 08:59:59.999,189.36843666,5582,50283541.00000000,77.02813398,0
78,2019-08-09 09:00:00.000,0.00000150,0.00000153,0.00000150,0.00000151,113496971.00000000,2019-08-10 08:59:59.999,171.07068743,4045,27556670.00000000,41.70784184,0
79,2019-08-10 09:00:00.000,0.00000151,0.00000152,0.00000150,0.00000151,47259283.00000000,2019-08-11 08:59:59.999,71.05229824,2411,11023605.00000000,16.64984334,0
80,2019-08-11 09:00:00.000,0.00000151,0.00000152,0.00000150,0.00000150,32381788.00000000,2019-08-12 08:59:59.999,48.79074227,2068,9814371.00000000,14.83681223,0
81,2019-08-12 09:00:00.000,0.00000150,0.00000155,0.00000150,0.00000153,51536030.00000000,2019-08-13 08:59:59.999,78.63927893,2798,18754367.00000000,28.71563135,0
82,2019-08-13 09:00:00.000,0.00000153,0.00000155,0.00000153,0.00000154,24099977.00000000,2019-08-14 08:59:59.999,37.02193157,2162,9075866.00000000,13.98868827,0
83,2019-08-14 09:00:00.000,0.00000153,0.00000156,0.00000153,0.00000153,47903129.00000000,2019-08-15 08:59:59.999,73.91084022,3880,17677178.00000000,27.37259387,0
84,2019-08-15 09:00:00.000,0.00000153,0.00000155,0.00000140,0.00000152,59184424.00000000,2019-08-16 08:59:59.999,89.26815729,2548,17344877.00000000,25.92029296,0
85,2019-08-16 09:00:00.000,0.00000151,0.00000153,0.00000151,0.00000151,33889226.00000000,2019-08-17 08:59:59.999,51.24249862,1954,4838678.00000000,7.35772872,0
86,2019-08-17 09:00:00.000,0.00000151,0.00000154,0.00000151,0.00000153,23911738.00000000,2019-08-18 08:59:59.999,36.31760945,1410,10457694.00000000,15.95077874,0
87,2019-08-18 09:00:00.000,0.00000153,0.00000153,0.00000151,0.00000152,19610951.00000000,2019-08-19 08:59:59.999,29.72535550,879,9361094.00000000,14.23163514,0
88,2019-08-19 09:00:00.000,0.00000151,0.00000153,0.00000145,0.00000152,51367118.00000000,2019-08-20 08:59:59.999,77.49642707,2281,12870749.00000000,19.44047345,0
89,2019-08-20 09:00:00.000,0.00000151,0.00000152,0.00000133,0.00000135,56727073.00000000,2019-08-21 08:59:59.999,79.52479320,5424,20143245.00000000,28.19761727,0
90,2019-08-21 09:00:00.000,0.00000135,0.00000137,0.00000128,0.00000131,58268665.00000000,2019-08-22 08:59:59.999,77.46233409,4568,26673861.00000000,35.55627610,0
91,2019-08-22 09:00:00.000,0.00000131,0.00000135,0.00000129,0.00000134,46239012.00000000,2019-08-23 08:59:59.999,61.00535678,3294,21152543.00000000,27.98908348,0
92,2019-08-23 09:00:00.000,0.00000135,0.00000136,0.00000129,0.00000130,31167410.00000000,2019-08-24 08:59:59.999,41.32820281,3507,13135338.00000000,17.48843894,0
93,2019-08-24 09:00:00.000,0.00000129,0.00000136,0.00000129,0.00000136,38697444.00000000,2019-08-25 08:59:59.999,51.25630533,3374,18753690.00000000,24.87653693,0
94,2019-08-25 09:00:00.000,0.00000136,0.00000142,0.00000129,0.00000131,42314289.00000000,2019-08-26 08:59:59.999,57.65751347,4303,19621110.00000000,26.96498221,0
