,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00000566,0.00000614,0.00000552,0.00000589,49944153.00000000,2019-05-24 08:59:59.999,288.72883437,8574,36164221.00000000,208.76931634,0
1,2019-05-24 09:00:00.000,0.00000588,0.00000635,0.00000563,0.00000577,60820480.00000000,2019-05-25 08:59:59.999,368.66582145,9897,45234018.00000000,274.70730985,0
2,2019-05-25 09:00:00.000,0.00000576,0.00000597,0.00000531,0.00000541,49021120.00000000,2019-05-26 08:59:59.999,279.31996440,7497,37044757.00000000,212.90586656,0
3,2019-05-26 09:00:00.000,0.00000542,0.00000557,0.00000467,0.00000481,37646231.00000000,2019-05-27 08:59:59.999,197.48726856,5946,24987600.00000000,132.69365967,0
4,2019-05-27 09:00:00.000,0.00000481,0.00000524,0.00000447,0.00000462,54922183.00000000,2019-05-28 08:59:59.999,267.20391329,7924,39592352.00000000,193.80159862,0
5,2019-05-28 09:00:00.000,0.00000462,0.00000489,0.00000451,0.00000457,49975536.00000000,2019-05-29 08:59:59.999,236.74666429,6312,36606966.00000000,173.92585274,0
6,2019-05-29 09:00:00.000,0.00000456,0.00000485,0.00000443,0.00000475,40638162.00000000,2019-05-30 08:59:59.999,188.12252889,4910,31566737.00000000,146.02239556,0
7,2019-05-30 09:00:00.000,0.00000475,0.00000535,0.00000465,0.00000474,106945466.00000000,2019-05-31 08:59:59.999,529.98951986,12445,81932218.00000000,405.62180500,0
8,2019-05-31 09:00:00.000,0.00000475,0.00000495,0.00000466,0.00000473,49818126.00000000,2019-06-01 08:59:59.999,239.52485625,6554,41403924.00000000,199.12130351,0
9,2019-06-01 09:00:00.000,0.00000476,0.00000495,0.00000460,0.00000478,44990444.00000000,2019-06-02 08:59:59.999,215.10522604,8216,33815304.00000000,161.90821966,0
10,2019-06-02 09:00:00.000,0.00000480,0.00000488,0.00000468,0.00000478,16605662.00000000,2019-06-03 08:59:59.999,79.31975185,3237,11303479.00000000,54.02272708,0
11,2019-06-03 09:00:00.000,0.00000478,0.00000520,0.00000470,0.00000497,60678221.00000000,2019-06-04 08:59:59.999,298.65782835,9292,23580889.00000000,116.11113758,0
12,2019-06-04 09:00:00.000,0.00000497,0.00000521,0.00000477,0.00000506,36307531.00000000,2019-06-05 08:59:59.999,182.37034415,6008,13272403.00000000,66.74983699,0
13,2019-06-05 09:00:00.000,0.00000506,0.00000518,0.00000498,0.00000510,20117342.00000000,2019-06-06 08:59:59.999,102.52344566,4097,7674323.00000000,39.13076217,0
14,2019-06-06 09:00:00.000,0.00000510,0.00000535,0.00000508,0.00000518,17768321.00000000,2019-06-07 08:59:59.999,92.58431848,4695,10217728.00000000,53.34109816,0
15,2019-06-07 09:00:00.000,0.00000520,0.00000525,0.00000493,0.00000503,17197775.00000000,2019-06-08 08:59:59.999,87.26424375,3659,7441155.00000000,37.92382218,0
16,2019-06-08 09:00:00.000,0.00000503,0.00000510,0.00000486,0.00000491,12678721.00000000,2019-06-09 08:59:59.999,63.42513412,4592,6394607.00000000,32.03748589,0
17,2019-06-09 09:00:00.000,0.00000491,0.00000498,0.00000475,0.00000480,13255807.00000000,2019-06-10 08:59:59.999,64.50293806,3334,5840236.00000000,28.46078716,0
18,2019-06-10 09:00:00.000,0.00000480,0.00000533,0.00000479,0.00000517,31580622.00000000,2019-06-11 08:59:59.999,159.92996038,6869,15083625.00000000,76.52340258,0
19,2019-06-11 09:00:00.000,0.00000516,0.00000530,0.00000505,0.00000522,23956564.00000000,2019-06-12 08:59:59.999,123.97224878,4818,9859697.00000000,51.13002269,0
20,2019-06-12 09:00:00.000,0.00000523,0.00000537,0.00000490,0.00000506,19715704.00000000,2019-06-13 08:59:59.999,101.41707127,4298,7684738.00000000,39.64596738,0
21,2019-06-13 09:00:00.000,0.00000504,0.00000509,0.00000465,0.00000475,12670383.00000000,2019-06-14 08:59:59.999,62.51067729,3079,4596998.00000000,22.63086368,0
22,2019-06-14 09:00:00.000,0.00000474,0.00000491,0.00000422,0.00000429,26419583.00000000,2019-06-15 08:59:59.999,121.83748610,5221,14632891.00000000,68.66172648,0
23,2019-06-15 09:00:00.000,0.00000428,0.00000455,0.00000425,0.00000444,6267546.00000000,2019-06-16 08:59:59.999,27.64152224,2014,2718368.00000000,11.99196113,0
24,2019-06-16 09:00:00.000,0.00000444,0.00000446,0.00000400,0.00000416,8810577.00000000,2019-06-17 08:59:59.999,36.48424619,2721,3772545.00000000,15.58773725,0
25,2019-06-17 09:00:00.000,0.00000416,0.00000465,0.00000400,0.00000407,23892794.00000000,2019-06-18 08:59:59.999,101.79017575,6718,10405235.00000000,44.49316646,0
26,2019-06-18 09:00:00.000,0.00000405,0.00000423,0.00000403,0.00000411,6039018.00000000,2019-06-19 08:59:59.999,24.79495558,1811,2698682.00000000,11.09102206,0
27,2019-06-19 09:00:00.000,0.00000411,0.00000455,0.00000406,0.00000414,15181288.00000000,2019-06-20 08:59:59.999,64.95120185,4503,7540693.00000000,32.30386936,0
28,2019-06-20 09:00:00.000,0.00000414,0.00000442,0.00000398,0.00000405,14382000.00000000,2019-06-21 08:59:59.999,59.78076568,4976,5553493.00000000,23.22343484,0
29,2019-06-21 09:00:00.000,0.00000405,0.00000408,0.00000361,0.00000361,12682739.00000000,2019-06-22 08:59:59.999,48.87659407,3659,4815333.00000000,18.62106140,0
30,2019-06-22 09:00:00.000,0.00000362,0.00000365,0.00000296,0.00000326,16588955.00000000,2019-06-23 08:59:59.999,53.53953937,5620,7760084.00000000,25.02735950,0
