,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00037400,0.00037800,0.00036000,0.00036600,822662.15000000,2019-05-24 08:59:59.999,303.46826043,10889,444751.21000000,164.26162792,0
1,2019-05-24 09:00:00.000,0.00036700,0.00037700,0.00036400,0.00036600,395263.03000000,2019-05-25 08:59:59.999,146.07970286,6812,193836.09000000,71.76034430,0
2,2019-05-25 09:00:00.000,0.00036600,0.00036800,0.00035800,0.00036100,181242.65000000,2019-05-26 08:59:59.999,65.67913297,2903,76567.97000000,27.78362433,0
3,2019-05-26 09:00:00.000,0.00036100,0.00036700,0.00034600,0.00035500,312300.91000000,2019-05-27 08:59:59.999,111.84224735,5755,150352.29000000,53.94404976,0
4,2019-05-27 09:00:00.000,0.00035500,0.00037100,0.00034900,0.00036600,465469.72000000,2019-05-28 08:59:59.999,167.05046976,7386,228486.93000000,82.03402693,0
5,2019-05-28 09:00:00.000,0.00036500,0.00037700,0.00035900,0.00037000,533650.38000000,2019-05-29 08:59:59.999,195.61490308,7632,251970.71000000,92.45214881,0
6,2019-05-29 09:00:00.000,0.00037000,0.00039400,0.00035600,0.00038100,699167.07000000,2019-05-30 08:59:59.999,264.89912942,11407,339531.91000000,128.89488244,0
7,2019-05-30 09:00:00.000,0.00038100,0.00040900,0.00036900,0.00037700,1090901.59000000,2019-05-31 08:59:59.999,427.06922999,18040,512107.80000000,200.78459975,0
8,2019-05-31 09:00:00.000,0.00037700,0.00038900,0.00037000,0.00038600,390797.81000000,2019-06-01 08:59:59.999,147.92861008,6769,181674.13000000,68.79517715,0
9,2019-06-01 09:00:00.000,0.00038700,0.00044600,0.00038400,0.00041000,1741131.42000000,2019-06-02 08:59:59.999,734.93371578,23638,852824.33000000,360.31868077,0
10,2019-06-02 09:00:00.000,0.00041000,0.00042400,0.00040400,0.00041400,503051.11000000,2019-06-03 08:59:59.999,207.56376304,7081,254818.73000000,105.26531855,0
11,2019-06-03 09:00:00.000,0.00041500,0.00041500,0.00038500,0.00038800,665727.27000000,2019-06-04 08:59:59.999,265.28017251,9297,294479.35000000,117.60160423,0
12,2019-06-04 09:00:00.000,0.00038900,0.00039500,0.00038200,0.00038500,599895.81000000,2019-06-05 08:59:59.999,232.08633979,8484,287119.76000000,111.24269046,0
13,2019-06-05 09:00:00.000,0.00038500,0.00039100,0.00038000,0.00038700,414454.32000000,2019-06-06 08:59:59.999,159.56750208,5405,246228.33000000,94.89160189,0
14,2019-06-06 09:00:00.000,0.00038900,0.00038900,0.00037800,0.00038500,321665.36000000,2019-06-07 08:59:59.999,123.30597656,4143,142417.86000000,54.65808028,0
15,2019-06-07 09:00:00.000,0.00038500,0.00040300,0.00038200,0.00039200,452870.88000000,2019-06-08 08:59:59.999,176.86179068,6758,217535.50000000,85.04130040,0
16,2019-06-08 09:00:00.000,0.00039200,0.00040100,0.00037800,0.00037800,357512.65000000,2019-06-09 08:59:59.999,139.08610487,5469,159393.34000000,62.16809581,0
17,2019-06-09 09:00:00.000,0.00038000,0.00038700,0.00037400,0.00038300,351136.68000000,2019-06-10 08:59:59.999,133.51575358,4846,156514.09000000,59.63867514,0
18,2019-06-10 09:00:00.000,0.00038200,0.00044500,0.00038100,0.00040100,1429754.94000000,2019-06-11 08:59:59.999,588.77501589,18713,702709.97000000,289.71423932,0
19,2019-06-11 09:00:00.000,0.00040000,0.00041300,0.00039300,0.00039800,417198.63000000,2019-06-12 08:59:59.999,166.50412842,6607,195950.84000000,78.30760189,0
20,2019-06-12 09:00:00.000,0.00039900,0.00040200,0.00039100,0.00039600,314005.20000000,2019-06-13 08:59:59.999,124.67506456,4711,151379.47000000,60.20455476,0
21,2019-06-13 09:00:00.000,0.00039500,0.00042700,0.00039000,0.00040300,691408.73000000,2019-06-14 08:59:59.999,283.50168724,10671,328761.51000000,134.73534782,0
