,開始日,Open,Hight,low,closed,volume,終了日,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2019-05-23 09:00:00.000,0.00004150,0.00004369,0.00003847,0.00004147,2990958.00000000,2019-05-24 08:59:59.999,121.53879369,6344,1413434.00000000,57.31253631,0
1,2019-05-24 09:00:00.000,0.00004158,0.00004274,0.00003756,0.00003821,1441998.00000000,2019-05-25 08:59:59.999,57.54163028,3703,642586.00000000,25.73567111,0
2,2019-05-25 09:00:00.000,0.00003819,0.00003977,0.00003718,0.00003866,628561.00000000,2019-05-26 08:59:59.999,24.19714980,1690,274892.00000000,10.58688977,0
3,2019-05-26 09:00:00.000,0.00003869,0.00004058,0.00003648,0.00003740,1117700.00000000,2019-05-27 08:59:59.999,43.38016513,3373,470786.00000000,18.25004001,0
4,2019-05-27 09:00:00.000,0.00003739,0.00003740,0.00003500,0.00003578,660984.00000000,2019-05-28 08:59:59.999,23.84115673,2144,261822.00000000,9.45604565,0
5,2019-05-28 09:00:00.000,0.00003572,0.00003704,0.00003522,0.00003588,682508.00000000,2019-05-29 08:59:59.999,24.76548340,1960,381462.00000000,13.88503393,0
6,2019-05-29 09:00:00.000,0.00003587,0.00004397,0.00003521,0.00003975,3442580.00000000,2019-05-30 08:59:59.999,137.52077254,10185,1717933.00000000,68.71304022,0
7,2019-05-30 09:00:00.000,0.00003978,0.00004883,0.00003805,0.00004351,5467556.00000000,2019-05-31 08:59:59.999,238.01095466,13664,2422486.00000000,105.27345595,0
8,2019-05-31 09:00:00.000,0.00004352,0.00006034,0.00004324,0.00005233,12879902.00000000,2019-06-01 08:59:59.999,691.49786475,43220,6236578.00000000,335.32015382,0
9,2019-06-01 09:00:00.000,0.00005233,0.00005489,0.00004581,0.00004636,3433298.00000000,2019-06-02 08:59:59.999,167.99673320,9441,1652255.00000000,80.84300087,0
10,2019-06-02 09:00:00.000,0.00004656,0.00004692,0.00004517,0.00004635,645407.00000000,2019-06-03 08:59:59.999,29.61468344,2177,307091.00000000,14.09317253,0
11,2019-06-03 09:00:00.000,0.00004625,0.00004645,0.00004383,0.00004411,631254.00000000,2019-06-04 08:59:59.999,28.19435332,2110,262996.00000000,11.74019754,0
12,2019-06-04 09:00:00.000,0.00004411,0.00004440,0.00003921,0.00004128,1226716.00000000,2019-06-05 08:59:59.999,51.98019785,3783,461194.00000000,19.51527176,0
13,2019-06-05 09:00:00.000,0.00004147,0.00004156,0.00004043,0.00004127,505697.00000000,2019-06-06 08:59:59.999,20.79557134,1682,219494.00000000,9.03832232,0
14,2019-06-06 09:00:00.000,0.00004125,0.00004224,0.00004098,0.00004161,405271.00000000,2019-06-07 08:59:59.999,16.85204889,1321,192615.00000000,8.00747671,0
15,2019-06-07 09:00:00.000,0.00004158,0.00004458,0.00004103,0.00004354,888367.00000000,2019-06-08 08:59:59.999,38.31077321,3093,477750.00000000,20.56801162,0
16,2019-06-08 09:00:00.000,0.00004344,0.00004593,0.00004306,0.00004390,918830.00000000,2019-06-09 08:59:59.999,41.01481133,3183,374444.00000000,16.71448216,0
17,2019-06-09 09:00:00.000,0.00004389,0.00004451,0.00003956,0.00004068,1051565.00000000,2019-06-10 08:59:59.999,43.81175339,3236,373524.00000000,15.65970429,0
18,2019-06-10 09:00:00.000,0.00004055,0.00004474,0.00004042,0.00004363,1186769.00000000,2019-06-11 08:59:59.999,50.83653527,4770,706031.00000000,30.31846065,0
19,2019-06-11 09:00:00.000,0.00004359,0.00004546,0.00004299,0.00004375,899786.00000000,2019-06-12 08:59:59.999,39.64633271,2784,369792.00000000,16.32711690,0
20,2019-06-12 09:00:00.000,0.00004378,0.00004459,0.00004364,0.00004445,439680.00000000,2019-06-13 08:59:59.999,19.37542233,1312,151881.00000000,6.71160163,0
